代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
601700	风范股份	10.02	0.00	电气设备	9064	8.15	--  	--  	1574180	11557	         13.89	12.77	9.22	9.22	0.035㈢	   195.94	1384298240	  1.34	        104.48亿	江苏	8.41	8.79	758828	815352	  0.93	9.22	0	  8.90	
600288	大恒科技	9.95	0.00	软件服务	49086	9.17	--  	--  	36645	105	          0.84	0.00	9.17	9.17	0.072㈢	    95.07	33603364	  0.32	         40.05亿	北京	9.17	9.17	32578	4066	  8.01	9.17	0	  8.83	
002526	山东矿机	9.93	0.00	工程机械	39870	2.78	--  	--  	3670136	4575	         22.59	11.35	3.10	3.10	0.063㈢	    36.85	1102100224	  2.84	         50.37亿	山东	2.83	3.00	1531973	2138162	  0.72	3.10	0	  7.56	
300227	光韵达	7.19	-0.37	元器件	363	12.40	--  	13.26	114066	2541	          7.52	7.68	13.35	13.26	0.277㈢	    35.87	147883760	  1.27	         20.13亿	深圳	12.40	12.96	59402	54663	  1.09	13.25	186	  4.83	
002008	大族激光	4.97	0.65	电器仪表	7	40.23	--  	42.00	388593	1994	          3.91	5.92	42.60	42.00	1.550㈢	    20.29	1618060672	  1.38	        417.19亿	深圳	40.25	41.64	208377	180215	  1.16	41.99	1023	  2.61	
002690	美亚光电	3.70	0.60	专用机械	181	24.37	--  	24.95	113635	607	          3.47	5.61	25.72	24.95	0.473㈢	    39.54	283333792	  1.58	         81.69亿	安徽	24.37	24.93	54747	58887	  0.93	24.94	245	  1.33	
300043	星辉娱乐	3.41	0.00	文教休闲	584	4.21	--  	4.26	402339	1859	          4.46	6.81	4.49	4.25	0.171㈢	    18.66	175920304	  1.87	         38.36亿	广东	4.35	4.37	190860	211478	  0.90	4.25	2090	  1.04	
300024	机器人	3.35	0.17	专用机械	1010	17.00	--  	17.27	471214	3640	          3.11	4.49	17.75	17.27	0.211㈢	    61.38	820223168	  1.32	        261.40亿	辽宁	17.25	17.41	245281	225932	  1.09	17.26	2681	  0.99	
600687	刚泰控股	2.75	0.21	黄金	6777	4.67	--  	4.86	610209	8781	          4.10	5.51	4.93	4.85	0.031㈢	   115.63	293344288	  0.92	         72.20亿	甘肃	4.68	4.81	298862	311347	  0.96	4.85	3912	  1.63	
000969	安泰科技	2.50	-0.15	钢加工	120	6.01	--  	6.17	192745	955	          2.13	3.66	6.23	6.16	-0.078㈢	--  	118624928	  0.83	         55.74亿	北京	6.01	6.15	91710	101035	  0.91	6.16	241	  0.13	
000938	紫光股份	2.34	-0.07	软件服务	402	39.49	--  	39.88	142723	909	          4.95	3.93	41.02	39.86	0.796㈢	    37.53	574379136	  1.33	        115.00亿	北京	39.76	40.24	67854	74869	  0.91	39.86	530	 -0.03	
300337	银邦股份	2.20	0.00	铝	855	4.13	--  	4.18	287856	4268	          4.11	2.69	4.24	4.18	0.026㈢	   120.19	120496520	  1.10	         29.29亿	江苏	4.14	4.19	129823	158032	  0.82	4.17	185	 -0.16	
600765	中航重机	2.12	-0.09	机械基件	305	9.92	--  	10.11	218580	2031	          2.81	3.33	10.25	10.11	0.428㈣	    23.61	219805088	  0.85	         78.66亿	贵州	9.92	10.06	114350	104230	  1.10	10.10	1168	  1.00	
300161	华中数控	2.08	-0.06	机床制造	443	13.33	--  	13.72	58701	616	          3.50	4.09	13.88	13.72	-0.342㈢	--  	80041328	  1.14	         23.04亿	湖北	13.51	13.64	26147	32553	  0.80	13.71	15	 -0.28	
002698	博实股份	1.86	0.35	化工机械	383	11.25	--  	11.50	60111	808	          1.10	3.55	11.65	11.49	0.192㈢	    44.81	69047976	  1.43	         62.56亿	黑龙江	11.32	11.49	24730	35380	  0.70	11.49	200	 -0.50	
600080	金花股份	1.85	0.52	中成药	1359	7.58	--  	7.73	296992	3659	          9.73	3.96	7.88	7.72	0.100㈢	    62.00	229519248	  0.88	         23.57亿	陕西	7.58	7.73	149412	147579	  1.01	7.72	554	  0.73	
600466	蓝光发展	1.44	0.63	区域地产	9	6.28	--  	6.36	581062	2592	          1.95	4.63	6.57	6.35	0.310㈢	    11.65	373556832	  1.54	        189.49亿	四川	6.32	6.43	284453	296609	  0.96	6.35	310	  0.32	
000928	中钢国际	1.41	0.20	建筑施工	634	4.96	--  	5.05	237357	3137	          3.19	3.22	5.12	5.04	0.224㈢	    16.86	119970952	  0.85	         37.46亿	吉林	5.00	5.05	110448	126908	  0.87	5.04	1064	 -0.96	
300331	苏大维格	1.30	0.54	元器件	2	14.58	--  	14.83	72690	537	          5.46	5.53	15.39	14.83	0.276㈢	    40.25	108815152	  0.95	         19.74亿	江苏	14.65	14.97	37440	35249	  1.06	14.81	265	 -1.07	
300004	南风股份	1.19	0.47	电气设备	747	4.19	--  	4.24	262718	2633	          5.89	4.53	4.38	4.24	0.026㈢	   120.41	112569008	  1.05	         18.90亿	广东	4.20	4.28	125621	137096	  0.92	4.23	258	 -1.17	
600456	宝钛股份	1.18	0.90	小金属	203	21.04	--  	21.40	183235	1015	          4.26	5.34	22.17	21.40	0.225㈢	    71.33	396152736	  1.53	         92.08亿	陕西	21.80	21.62	94514	88721	  1.07	21.39	458	  0.06	
002540	亚太科技	1.14	0.19	铝	395	5.27	--  	5.34	87054	1000	          0.97	2.46	5.40	5.34	0.228㈢	    17.57	46511420	  1.03	         47.79亿	江苏	5.35	5.34	39980	47073	  0.85	5.33	396	 -1.23	
002730	电光科技	0.92	0.13	电气设备	347	7.62	--  	7.70	39205	156	          1.35	2.76	7.83	7.69	0.152㈢	    37.94	30299188	  0.98	         22.34亿	浙江	7.67	7.73	19003	20202	  0.94	7.69	124	 -1.45	
002222	福晶科技	0.90	-0.15	元器件	1301	12.22	--  	12.34	191215	1031	          4.52	3.52	12.65	12.33	0.307㈢	    30.17	238861952	  1.00	         52.15亿	福建	12.50	12.49	97092	94123	  1.03	12.33	43	 -1.46	
603002	宏昌电子	0.72	0.00	化工原料	688	4.14	--  	4.18	127002	1165	          2.08	2.66	4.25	4.17	0.078㈢	    39.93	53240872	  0.88	         25.45亿	广东	4.15	4.19	63190	63812	  0.99	4.17	896	 -0.40	
300521	爱司凯	0.71	0.62	专用机械	35	11.18	--  	11.37	52136	778	          5.50	3.28	11.55	11.36	0.127㈢	    67.22	59194800	  0.80	         10.78亿	广东	11.31	11.35	28080	24055	  1.17	11.36	75	 -1.66	
002361	神剑股份	0.69	0.00	化工原料	1709	4.32	--  	4.40	232070	1907	          3.76	2.98	4.45	4.39	0.072㈢	    45.54	101737600	  1.12	         27.08亿	安徽	4.37	4.38	131968	100101	  1.32	4.39	1886	 -1.68	
300220	金运激光	0.57	0.00	元器件	95	12.26	--  	12.30	29759	130	          2.38	3.44	12.68	12.28	0.057㈣	   216.65	37169256	  1.31	         15.34亿	湖北	12.40	12.49	18109	11650	  1.55	12.28	9	 -1.79	
300177	中海达	0.43	0.36	通信设备	174	13.73	--  	13.92	227260	2237	          6.91	4.33	14.33	13.92	0.166㈢	    62.87	318082272	  0.74	         45.81亿	广东	14.00	14.00	113540	113720	  1.00	13.91	7	 -1.93	
002786	银宝山新	0.20	-0.19	专用机械	657	10.05	--  	10.16	134395	1413	          3.53	5.43	10.60	10.15	0.049㈢	   155.82	138827968	  0.79	         38.70亿	深圳	10.36	10.33	69984	64410	  1.09	10.15	237	 -2.17	
300221	银禧科技	0.14	0.29	塑料	267	6.88	--  	7.01	365127	2409	          8.62	5.15	7.24	7.00	0.061㈢	    86.60	257455136	  1.24	         29.64亿	广东	7.05	7.05	181735	183392	  0.99	7.00	580	 -2.22	
002529	海源复材	0.12	0.12	专用机械	821	7.98	--  	8.11	134521	1793	          6.73	3.96	8.30	8.10	0.024㈢	   255.60	109488784	  1.21	         16.20亿	福建	8.09	8.14	73183	61338	  1.19	8.10	181	 -2.24	
002309	中利集团	0.11	0.00	电气设备	33	8.80	--  	8.84	203577	2765	          2.90	1.93	8.97	8.83	0.067㈢	    98.93	180849248	  1.01	         61.98亿	江苏	8.93	8.88	105354	98223	  1.07	8.83	736	 -2.25	
002348	高乐股份	0.00	0.49	文教休闲	1106	4.05	--  	4.12	502565	3879	          6.76	5.58	4.28	4.12	0.042㈢	    72.97	208688784	  1.15	         30.62亿	广东	4.06	4.15	271790	230774	  1.18	4.11	5831	 -2.36	
002171	楚江新材	0.00	0.00	铜	354	5.68	--  	5.75	215318	1294	          2.04	3.83	5.90	5.74	0.290㈢	    16.56	124902152	  1.14	         60.44亿	安徽	5.85	5.80	124770	90547	  1.38	5.74	247	 -2.36	
000638	万方发展	0.00	0.16	批发业	886	6.10	--  	6.21	197562	2471	          6.39	3.71	6.33	6.20	-0.063㈢	--  	122763080	  0.90	         19.18亿	辽宁	6.16	6.21	99660	97902	  1.02	6.20	223	 -2.36	
300210	森远股份	-0.22	-0.21	专用机械	637	4.56	--  	4.63	164797	1472	          4.12	4.10	4.75	4.62	0.052㈢	    66.67	76928640	  0.99	         18.49亿	辽宁	4.64	4.67	77890	86907	  0.90	4.62	602	 -2.58	
002576	通达动力	-0.25	0.00	电气设备	506	12.00	--  	12.07	60190	739	          4.16	2.23	12.27	12.06	0.099㈢	    91.52	72998544	  0.84	         17.44亿	江苏	12.10	12.13	34851	25339	  1.38	12.06	71	 -2.61	
002545	东方铁塔	-0.26	-0.51	钢加工	263	7.58	--  	7.69	219533	2343	          2.85	4.03	7.89	7.68	0.173㈢	    33.36	169331824	  0.98	         59.22亿	山东	7.70	7.71	114761	104772	  1.10	7.68	151	 -2.62	
000988	华工科技	-0.40	0.13	电器仪表	594	14.80	--  	14.95	464977	2017	          4.63	3.33	15.30	14.94	0.255㈢	    43.93	700768960	  1.19	        150.19亿	湖北	15.25	15.07	262369	202607	  1.29	14.94	784	 -2.76	
002339	积成电子	-0.48	0.00	电气设备	1120	8.24	--  	8.32	132384	2606	          4.01	3.23	8.51	8.31	0.092㈢	    67.42	110718440	  0.92	         27.43亿	山东	8.34	8.36	73608	58776	  1.25	8.31	180	 -2.84	
002375	亚厦股份	-1.72	0.16	装修装饰	1157	6.26	--  	6.30	192804	1777	          1.54	3.59	6.49	6.29	0.233㈢	    20.26	122870856	  1.57	         78.73亿	浙江	6.41	6.37	125607	67197	  1.87	6.29	895	 -4.08	
数据来源:通达信
