代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
601068	中铝国际	10.03	0.00	建筑施工	12234	6.73	--  	--  	1380740	2013	         46.66	10.77	7.46	7.46	0.070㈢	    65.94	1006529024	  1.54	         22.07亿	北京	7.00	7.29	823684	557056	  1.48	7.46	0	  8.91	
600776	东方通信	10.02	0.00	通信设备	68051	27.30	--  	--  	1151946	970	         12.05	11.28	30.42	30.42	0.061㈢	   373.60	3360540928	  0.89	        290.82亿	浙江	27.82	29.17	552184	599762	  0.92	30.42	0	  8.90	
002017	东信和平	10.01	0.00	通信设备	41911	14.70	--  	--  	223620	290	          6.48	5.61	15.49	15.49	0.089㈢	   131.12	340768896	  0.45	         53.46亿	广东	14.84	15.24	101038	122581	  0.82	15.49	0	  7.65	
300366	创意信息	10.01	0.00	软件服务	21700	8.47	--  	--  	152515	333	          4.74	4.01	8.79	8.79	0.158㈢	    41.71	133606128	  0.91	         28.31亿	四川	8.51	8.76	120353	32161	  3.74	8.79	0	  7.65	
600775	南京熊猫	10.01	0.00	通信设备	13948	10.16	--  	--  	743171	599	         11.06	10.30	11.21	11.21	0.089㈢	    94.59	816658688	  1.31	         75.31亿	江苏	10.38	10.99	424959	318211	  1.34	11.21	0	  8.89	
300504	天邑股份	9.99	0.00	通信设备	18213	27.20	--  	--  	145097	121	         21.70	7.85	29.29	29.29	0.530㈢	    44.81	415547520	  1.64	         19.58亿	四川	27.23	28.64	70592	74504	  0.95	29.29	0	  7.62	
002848	高斯贝尔	9.97	0.00	通信设备	21044	15.15	--  	--  	236143	454	         26.94	5.78	15.99	15.99	-0.176㈢	--  	372632384	  1.54	         14.01亿	湖南	15.45	15.78	137307	98836	  1.39	15.99	0	  7.61	
603803	瑞斯康达	9.97	0.00	通信设备	18695	11.56	--  	--  	338942	386	         15.42	8.92	12.58	12.58	0.191㈢	    49.39	417757792	  2.26	         27.65亿	北京	11.56	12.33	195036	143906	  1.36	12.58	0	  8.84	
002231	奥维通信	9.96	0.00	通信设备	1550	7.80	--  	--  	339560	1134	         11.10	7.73	8.39	8.39	-0.013㈢	--  	275796544	  1.98	         25.66亿	辽宁	7.93	8.12	170959	168601	  1.01	8.39	0	  7.60	
002148	北纬科技	9.83	-0.12	互联网	332	6.93	--  	7.61	791893	4579	         17.83	9.83	7.61	7.60	0.068㈢	    83.66	584241024	  2.39	         33.75亿	北京	6.95	7.38	377055	414837	  0.91	7.60	1051	  7.46	
300679	电连技术	9.50	1.16	元器件	114	33.73	--  	36.79	105838	2341	         10.48	9.59	36.95	36.78	0.932㈢	    29.59	379696640	  1.41	         37.16亿	深圳	33.73	35.88	45707	60131	  0.76	36.78	237	  7.13	
002547	春兴精工	8.14	1.01	通信设备	2455	8.40	--  	9.03	1364683	21232	         17.11	8.98	9.15	9.03	0.039㈢	   173.01	1207545728	  0.95	         72.03亿	江苏	8.40	8.85	614212	750470	  0.82	9.02	996	  5.78	
300638	广和通	7.91	-1.01	通信设备	23	44.00	--  	46.50	68312	567	         17.12	7.89	47.40	46.50	0.480㈢	    73.16	313722912	  1.20	         18.55亿	深圳	44.18	45.93	31887	36424	  0.88	46.45	213	  5.55	
002123	梦网集团	7.83	-0.47	互联网	43	11.63	--  	12.40	564913	5777	          8.75	8.87	12.65	12.40	0.188㈢	    49.49	689967744	  1.28	         80.03亿	深圳	11.70	12.21	284441	280472	  1.01	12.39	2328	  5.46	
000070	特发信息	6.47	-0.11	通信设备	475	15.66	--  	16.28	1081736	11568	         18.02	7.26	16.77	16.28	0.262㈢	    46.60	1752128256	  1.12	         97.73亿	深圳	16.00	16.20	552691	529044	  1.04	16.27	3132	  4.11	
002364	中恒电气	6.13	0.45	电气设备	5	10.63	--  	11.25	214309	2413	          4.16	8.96	11.58	11.25	0.158㈢	    53.40	237290768	  1.36	         57.98亿	浙江	10.66	11.07	101571	112738	  0.90	11.24	477	  3.77	
603220	贝通信	5.63	0.56	通信设备	856	35.88	--  	37.56	263843	4053	         31.25	6.92	38.34	37.55	0.213㈢	   132.47	985187200	  1.01	         31.71亿	湖北	35.88	37.34	128436	135407	  0.95	37.55	42	  4.50	
603186	华正新材	5.61	0.25	元器件	156	24.01	--  	27.87	74219	813	         10.07	14.63	27.87	27.87	0.450㈢	    46.74	197162560	  1.40	         20.54亿	浙江	26.60	26.56	33673	40546	  0.83	27.86	124	  4.49	
002217	合力泰	5.13	0.40	元器件	7065	7.26	--  	7.58	2162561	29375	          8.44	6.10	7.70	7.58	0.381㈢	    14.91	1621293184	  1.37	        194.15亿	山东	7.26	7.50	960298	1202262	  0.80	7.57	10649	  2.77	
300379	东方通	5.13	-0.13	软件服务	226	20.08	--  	20.91	169304	1290	          8.81	8.05	21.68	20.90	0.081㈢	   193.29	353326464	  1.15	         40.18亿	北京	20.08	20.87	81599	87704	  0.93	20.90	38	  2.77	
002725	跃岭股份	5.07	-0.45	汽车配件	701	10.19	--  	10.79	239797	4249	         13.58	10.14	11.23	10.78	0.104㈢	    77.53	253341168	  1.58	         19.03亿	浙江	10.32	10.56	110910	128886	  0.86	10.78	2775	  2.70	
002194	*ST凡谷	5.00	0.00	通信设备	5184	11.15	--  	--  	148303	17	          2.80	1.76	11.34	11.34	-0.094㈢	--  	167617712	  1.24	         60.14亿	湖北	11.16	11.30	83746	64556	  1.30	11.34	0	  2.64	
300310	宜通世纪	4.95	0.16	通信设备	689	6.00	--  	6.36	952505	11806	         15.16	9.08	6.55	6.36	-0.645㈢	--  	595671232	  1.20	         39.96亿	广东	6.17	6.25	448972	503533	  0.89	6.35	745	  2.59	
002913	奥士康	4.93	0.02	元器件	116	54.40	--  	56.00	97802	2628	         27.16	7.87	58.60	56.00	1.280㈢	    33.40	552035392	  1.62	         20.17亿	湖南	56.00	56.44	45666	52136	  0.88	55.99	45	  2.56	
002886	沃特股份	4.77	0.42	塑料	314	18.30	--  	19.12	77961	1147	         15.72	7.02	19.58	19.11	0.198㈢	    72.34	147849648	  1.68	          9.48亿	深圳	18.30	18.96	34244	43716	  0.78	19.11	23	  2.41	
300548	博创科技	4.64	-0.01	元器件	49	40.31	--  	42.38	28398	108	          8.33	9.38	44.11	42.38	0.540㈢	    59.12	121485560	  1.25	         14.46亿	浙江	40.53	42.78	13580	14818	  0.92	42.34	50	  2.28	
000889	中嘉博创	4.27	0.40	通信设备	12	12.50	--  	12.70	72739	289	          1.17	6.40	13.28	12.70	0.260㈢	    39.47	93793832	  1.02	         78.95亿	河北	12.70	12.89	38183	34556	  1.10	12.69	167	  1.90	
000801	四川九洲	3.70	0.16	通信设备	921	6.06	--  	6.17	512264	7316	          5.01	4.87	6.35	6.17	0.022㈢	   205.72	316357408	  1.13	         63.11亿	四川	6.30	6.18	272260	240003	  1.13	6.16	505	  1.33	
300502	新易盛	3.31	-0.09	通信设备	150	28.20	--  	28.99	72272	947	          4.59	7.98	30.44	28.99	0.023㈢	   957.03	213201616	  1.20	         45.67亿	四川	28.20	29.50	32586	39686	  0.82	28.98	178	  0.95	
300735	光弘科技	3.02	0.14	通信设备	384	21.12	--  	21.49	116558	642	         10.68	5.08	22.18	21.49	0.500㈢	    32.25	252901728	  1.45	         23.46亿	广东	21.18	21.70	51283	65275	  0.79	21.48	106	  0.66	
300312	邦讯技术	2.86	0.11	通信设备	647	8.85	--  	9.00	274819	1636	         14.36	4.00	9.20	9.00	-0.034㈢	--  	248831792	  1.17	         17.22亿	北京	8.85	9.05	124227	150591	  0.82	8.99	1957	  0.49	
603322	超讯通信	2.83	0.09	通信设备	140	33.56	--  	33.81	57369	595	         12.65	7.88	36.15	33.80	0.110㈢	   258.20	198282016	  1.22	         15.33亿	广东	35.45	34.56	25746	31622	  0.81	33.80	1	  1.71	
300123	亚光科技	2.79	-0.20	船舶	292	13.31	--  	13.98	176549	1529	          5.75	6.84	14.24	13.98	0.157㈢	    66.85	243697488	  0.96	         42.94亿	湖南	13.60	13.80	93543	83005	  1.13	13.97	120	  0.43	
000890	法 尔 胜	2.78	0.48	钢加工	429	6.09	--  	6.30	228841	2409	          6.03	5.39	6.42	6.29	0.104㈢	    45.39	144082000	  0.70	         23.88亿	江苏	6.16	6.30	102764	126076	  0.82	6.29	985	  0.41	
300325	德威新材	2.76	0.25	塑料	1266	3.96	--  	4.09	567766	7028	          7.14	5.28	4.17	4.09	0.025㈢	   122.78	230341776	  0.95	         32.51亿	江苏	4.01	4.06	270015	297750	  0.91	4.08	4648	  0.40	
601869	长飞光纤	2.68	0.34	通信设备	404	46.96	--  	47.56	127269	942	         16.79	4.62	49.10	47.55	1.760㈢	    21.85	612072640	  1.26	         36.04亿	湖北	46.97	48.09	64290	62978	  1.02	47.55	5	  1.56	
000586	汇源通信	2.66	0.08	通信设备	223	11.67	--  	11.96	207337	2117	         10.72	4.73	12.22	11.95	-0.010㈢	--  	248529248	  1.00	         23.12亿	四川	11.70	11.99	101422	105914	  0.96	11.95	93	  0.30	
603083	剑桥科技	2.65	0.11	通信设备	442	26.10	--  	26.39	71330	976	         12.91	5.45	27.50	26.38	0.440㈢	    45.20	190383504	  1.13	         14.58亿	上海	27.06	26.69	38239	33090	  1.16	26.38	26	  1.52	
300747	锐科激光	2.56	0.04	元器件	1	144.01	--  	146.56	37247	220	         11.64	4.09	149.86	146.56	3.420㈢	    38.62	548846848	  1.24	         46.90亿	湖北	144.49	147.35	18522	18725	  0.99	146.55	3	  0.20	
300250	初灵信息	2.53	-0.18	软件服务	200	15.15	--  	15.38	185136	1699	         13.32	7.67	16.30	15.38	0.257㈢	    44.90	291249312	  1.12	         21.38亿	浙江	15.64	15.73	90600	94535	  0.96	15.37	31	  0.17	
300593	新雷能	2.46	0.61	电气设备	908	20.90	--  	21.30	53793	218	          8.04	7.22	22.40	21.28	0.290㈢	    56.52	116782920	  1.15	         14.24亿	北京	20.90	21.71	24342	29451	  0.83	21.28	12	  0.09	
002912	中新赛克	2.44	0.38	软件服务	7	102.75	--  	104.91	18168	101	          3.51	6.13	109.03	104.90	1.465㈢	    53.69	193038608	  1.31	         54.36亿	深圳	102.75	106.25	7729	10438	  0.74	104.90	1	  0.08	
300292	吴通控股	2.35	-0.45	软件服务	12842	4.23	--  	4.36	674037	6276	          6.55	4.71	4.43	4.35	0.097㈢	    33.66	292249184	  1.00	         44.79亿	江苏	4.30	4.34	310740	363296	  0.86	4.35	3634	 -0.01	
000938	紫光股份	2.34	-0.07	软件服务	402	39.49	--  	39.88	142723	909	          4.95	3.93	41.02	39.86	0.796㈢	    37.53	574379136	  1.33	        115.00亿	北京	39.76	40.24	67854	74869	  0.91	39.86	530	 -0.03	
300608	思特奇	2.22	0.83	软件服务	255	23.75	--  	24.43	30916	324	          4.47	6.15	25.22	24.43	0.030㈢	   616.41	75938856	  1.45	         16.89亿	北京	24.00	24.56	17605	13311	  1.32	24.37	31	 -0.15	
002446	盛路通信	2.15	0.21	通信设备	1368	9.35	--  	9.50	653444	5693	         12.09	4.95	9.81	9.50	0.160㈢	    49.86	627678400	  0.93	         51.35亿	广东	9.35	9.61	331028	322416	  1.03	9.49	200	 -0.21	
002881	美格智能	2.08	0.10	通信设备	46	19.25	--  	19.61	64670	687	         14.26	4.01	20.02	19.60	0.158㈢	    93.32	127073504	  1.16	          8.89亿	深圳	19.47	19.65	31794	32876	  0.97	19.60	301	 -0.28	
002929	润建通信	2.01	0.21	通信设备	115	33.37	--  	33.97	79903	1597	         10.43	4.08	34.73	33.97	0.670㈢	    40.24	272979616	  1.14	         26.02亿	广西	33.63	34.16	38096	41806	  0.91	33.96	587	 -0.35	
000063	中兴通讯	1.95	0.00	通信设备	2743	29.90	--  	30.32	2159491	14881	          6.29	5.55	31.55	30.31	-1.732㈢	--  	6625920512	  0.98	       1040.88亿	深圳	30.11	30.68	1088681	1070810	  1.02	30.31	745	 -0.41	
600105	永鼎股份	1.89	-0.36	通信设备	5694	5.33	--  	5.39	405104	3760	          3.27	3.98	5.54	5.38	0.085㈢	    47.37	220371808	  0.90	         66.62亿	江苏	5.33	5.44	206237	198867	  1.04	5.38	737	  0.77	
300597	吉大通信	1.88	0.21	通信设备	1011	14.49	--  	14.63	122252	1443	          9.01	2.65	14.87	14.62	0.101㈢	   108.14	179646144	  0.99	         19.84亿	吉林	14.49	14.69	56517	65735	  0.86	14.62	490	 -0.48	
002369	卓翼科技	1.84	0.23	通信设备	635	8.75	--  	8.87	602885	3464	         14.37	4.60	9.15	8.86	0.078㈢	    85.61	538794048	  1.40	         37.18亿	深圳	8.80	8.94	292325	310559	  0.94	8.86	81	 -0.53	
002860	星帅尔	1.82	0.23	电气设备	90	21.31	--  	21.82	59467	330	         12.57	5.46	22.48	21.82	0.670㈢	    25.08	129871832	  1.26	         10.32亿	浙江	21.66	21.84	29811	29655	  1.01	21.80	84	 -0.54	
300134	大富科技	1.76	0.35	通信设备	1329	13.90	--  	14.46	460497	3837	          6.46	7.46	14.96	14.45	-0.091㈢	--  	667980992	  1.04	        102.94亿	深圳	14.15	14.51	217907	242590	  0.90	14.45	74	 -0.60	
600734	实达集团	1.76	0.00	电脑设备	1347	8.46	--  	8.69	502448	4706	         14.17	5.98	8.97	8.68	0.200㈢	    32.61	440360672	  1.06	         30.79亿	福建	8.64	8.76	268996	233452	  1.15	8.68	897	  0.64	
603042	华脉科技	1.76	0.14	通信设备	335	14.27	--  	14.48	57980	473	          5.74	3.66	14.79	14.47	-0.030㈢	--  	84187056	  1.16	         14.62亿	江苏	14.27	14.52	26421	31559	  0.84	14.47	126	  0.64	
300050	世纪鼎利	1.75	0.31	软件服务	802	6.30	--  	6.38	234813	2025	          6.36	4.47	6.58	6.38	0.058㈢	    81.89	151423840	  1.21	         23.55亿	广东	6.33	6.45	110965	123847	  0.90	6.37	1042	 -0.61	
002288	超华科技	1.75	0.17	元器件	2915	5.72	--  	5.82	777808	7087	          9.72	5.25	6.02	5.81	0.044㈢	    99.76	457803936	  0.80	         46.50亿	广东	5.74	5.89	384539	393269	  0.98	5.81	1189	 -0.61	
300635	达安股份	1.70	0.18	建筑施工	19	16.60	--  	16.75	72573	752	         16.60	3.64	17.20	16.75	0.300㈢	    42.10	122665248	  0.89	          7.32亿	广东	16.64	16.90	33950	38623	  0.88	16.74	122	 -0.66	
600770	综艺股份	1.66	0.33	综合类	1283	6.06	--  	6.14	410517	2550	          3.16	4.31	6.32	6.13	0.065㈢	    70.21	253153984	  1.18	         79.69亿	江苏	6.13	6.17	202891	207626	  0.98	6.13	2542	  0.54	
000823	超声电子	1.63	0.10	元器件	519	9.85	--  	9.95	407112	3291	          7.58	3.88	10.23	9.95	0.339㈢	    22.03	407923808	  1.07	         53.42亿	广东	9.85	10.02	199039	208072	  0.96	9.94	599	 -0.73	
300711	广哈通信	1.55	0.10	通信设备	102	19.51	--  	19.69	50576	585	         11.19	2.94	20.08	19.69	0.129㈢	   114.32	100175424	  1.06	          8.90亿	广东	19.51	19.81	22717	27858	  0.82	19.68	112	 -0.82	
601138	工业富联	1.53	0.07	通信设备	1811	15.13	--  	15.32	938905	8160	          8.40	5.04	15.89	15.31	0.530㈢	    23.18	1458847488	  1.13	        171.15亿	深圳	15.13	15.54	497069	441835	  1.13	15.31	758	  0.40	
300288	朗玛信息	1.46	0.00	软件服务	429	15.03	--  	15.26	128735	1047	          6.35	3.99	15.63	15.25	0.230㈢	    49.72	197562544	  1.03	         30.94亿	贵州	15.15	15.35	65130	63605	  1.02	15.25	167	 -0.90	
002093	国脉科技	1.45	0.00	电信运营	66	8.36	--  	8.43	247340	1185	          2.54	3.86	8.68	8.42	0.126㈢	    50.02	211062560	  0.93	         82.00亿	福建	8.50	8.53	131386	115953	  1.13	8.42	499	 -0.92	
300038	数知科技	1.44	0.09	通信设备	1180	11.14	--  	11.28	373234	2685	          5.45	3.78	11.56	11.28	0.473㈢	    17.87	423733728	  1.17	         77.27亿	北京	11.14	11.35	186013	187220	  0.99	11.27	171	 -0.93	
300565	科信技术	1.44	-0.06	通信设备	47	14.71	--  	14.84	58501	579	          8.15	3.63	15.24	14.83	0.100㈢	   111.62	87571144	  1.07	         10.65亿	深圳	14.80	14.97	27827	30674	  0.91	14.83	495	 -0.93	
300493	润欣科技	1.40	0.46	通信设备	432	10.68	--  	10.85	100808	1255	          3.36	4.58	11.17	10.85	0.097㈢	    83.66	110334320	  0.81	         32.55亿	上海	10.70	10.94	51682	49126	  1.05	10.84	198	 -0.96	
002229	鸿博股份	1.39	0.00	广告包装	1891	7.85	--  	8.00	363835	4606	          8.84	4.18	8.18	8.00	-0.011㈢	--  	292515456	  1.03	         32.94亿	福建	7.97	8.04	163980	199854	  0.82	7.99	801	 -0.97	
000636	风华高科	1.37	0.00	元器件	6058	13.79	--  	14.11	972484	8593	         10.86	5.10	14.50	14.10	0.992㈢	    10.66	1383172224	  0.93	        126.22亿	广东	14.08	14.22	490776	481707	  1.02	14.10	1319	 -1.00	
300299	富春股份	1.35	-0.16	通信设备	3819	5.97	--  	6.03	426001	3517	          6.97	3.70	6.19	6.02	0.048㈢	    93.71	258766240	  0.91	         36.80亿	福建	6.05	6.07	214130	211871	  1.01	6.02	2588	 -1.02	
000836	富通鑫茂	1.33	0.22	通信设备	2337	4.49	--  	4.57	515996	3809	          4.27	4.88	4.71	4.57	0.066㈢	    51.97	237602224	  1.08	         55.23亿	天津	4.51	4.60	267460	248536	  1.08	4.56	402	 -1.03	
