代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
002177	御银股份	-1.09	1.56	IT设备	213	4.25	4.56	1.56	555237	13541	          8.61	13.04	4.85	4.55	0.003㈢	   988.49	250710048	  1.07	         29.33亿	广东	4.55	4.52	297453	257784	  1.15	4.55	437	  0.73	          6.45	-0.05	         34.63亿	   3252	--  	    171	        0.0026	20190213	20071101	          7.61	--  	--  	18.80	16.82	          0.00	10.54	7.20	2.22	0.74	1.76	0.30	0.94	1.98	3.04	2.10	0.08	0.19	0.01	0.03	0.03	8.32	0.35	0.41	90589.00	          6685	3.04万	-79.20	-22.32	          2.06	97.71	11.41	4.60	          2.21	0.00	          0.04	          1.09	         89.46	   0.16㈢	         30.77	          2.51	          0.87	002177	20180108	5.64	-19.06	
300042	朗科科技	-8.27	1.07	IT设备	15	19.49	19.86	1.07	60051	683	          5.37	10.25	21.71	19.86	0.483㈣	    41.14	121457128	  0.92	         22.22亿	深圳	21.58	20.23	35548	24503	  1.45	19.81	13	 -6.45	          1.12	-1.79	         26.53亿	   1980	--  	     30	        0.0027	20190313	20100108	          1.34	--  	--  	9.99	9.55	          0.00	4.38	7.60	0.45	0.10	0.42	6.02	0.36	0.00	9.67	8.47	0.77	0.20	0.77	0.64	0.64	1.91	0.61	-0.03	8449.00	          8443	16.77万	14.78	4.10	          2.78	43.75	2.74	21.65	          7.15	0.00	          4.51	          1.43	         95.62	   6.75㈣	         12.36	          7.95	          6.67	300042	--  	--  	--  	
000066	中国长城	-2.45	0.93	IT设备	35	7.33	7.58	0.93	874980	5878	          3.51	6.69	7.85	7.58	0.071㈢	    80.25	660800576	  0.57	        188.80亿	深圳	7.62	7.55	429412	445568	  0.96	7.57	1920	 -0.63	         24.91	-0.19	        222.56亿	   4212	--  	    208	        0.0008	20190305	19970626	         29.36	--  	--  	147.92	60.40	          8.21	53.61	79.24	18.55	4.05	53.91	4.44	21.57	26.39	62.71	51.85	3.54	3.34	3.48	2.37	2.08	18.61	-4.47	-9.49	145373.00	         11923	9.04万	-30.47	-4.67	          3.68	-49.74	3.55	7.77	          2.06	0.00	          0.15	          0.63	         40.83	   3.44㈢	         17.32	          5.65	          3.32	000066	--  	--  	--  	
600074	*ST保千	-3.94	0.83	IT设备	3173	1.21	1.22	0.83	263212	557	          2.57	4.72	1.27	1.22	-0.150㈢	--  	32254620	  0.76	         12.52亿	江苏	1.26	1.23	176955	86256	  2.05	1.21	6052	 -2.74	         10.26	-0.05	         29.74亿	   1502	--  	    175	        0.0017	20190213	19970623	         24.38	--  	--  	18.49	-37.25	          1.72	292.20	12.45	2.40	0.64	42.02	7.12	3.21	5.19	1.16	0.91	-3.75	0.00	-3.75	-3.75	-3.67	-66.20	-0.51	-0.42	101041.00	         10155	1.24万	-190.85	-96.10	         -0.80	-58.28	25.74	1.27	         -1.53	0.00	          0.29	         -2.72	       -201.49	--  	         20.87	       -324.65	       -317.26	600074	--  	--  	--  	
603019	中科曙光	-0.58	0.71	IT设备	94	55.30	57.96	0.71	389119	4269	          6.05	7.15	59.47	57.96	0.270㈢	   160.80	2215684352	  0.72	        372.70亿	天津	59.01	56.94	192125	196993	  0.98	57.95	32	  0.61	          6.43	-0.34	        372.70亿	   4422	--  	     88	        0.0014	20181015	20141106	          6.43	--  	--  	122.41	35.97	          2.03	68.96	86.60	11.75	3.70	55.05	16.59	28.20	20.55	54.58	44.41	2.12	-0.51	2.16	1.81	1.74	9.70	-1.04	1.71	81036.00	          6243	36.19万	129.63	44.06	         11.11	-357.84	6.83	58.30	          5.22	5.22	          2.58	          1.51	         29.38	   4.83㈢	         18.63	          3.88	          3.19	603019	20170905	34.00	70.76	
600100	同方股份	-6.17	0.59	IT设备	81	11.48	11.86	0.59	482245	3311	          1.63	9.10	12.63	11.86	-0.193㈢	--  	578529408	  0.86	        351.52亿	北京	12.38	12.00	272869	209376	  1.30	11.85	157	 -4.97	         29.64	-0.78	        351.52亿	   3960	--  	    122	        0.0004	20190213	19970627	         29.64	--  	--  	660.40	200.05	         36.71	64.15	332.07	36.11	13.48	289.28	93.99	112.01	86.54	165.60	127.60	-3.81	4.33	-3.76	-3.94	-5.72	66.33	-36.15	-23.88	168034.00	         11853	14.06万	-210.63	0.66	          1.76	-9.72	2.12	12.64	          6.75	0.00	          3.17	          2.24	         30.29	  -2.86㈢	         22.94	         -2.30	         -3.46	600100	--  	--  	--  	
002577	雷柏科技	-3.80	0.56	IT设备	100	12.32	12.65	0.56	54424	749	          1.93	6.39	13.16	12.65	0.065㈢	   146.10	69030784	  0.56	         35.58亿	深圳	13.00	12.68	29508	24916	  1.18	12.63	266	 -1.99	          2.81	-0.50	         35.78亿	   1576	--  	     35	        0.0012	20190213	20110428	          2.83	--  	--  	13.68	11.89	         -0.14	14.07	9.55	2.58	0.25	1.80	9.58	0.87	1.36	3.65	2.82	0.19	0.02	0.19	0.18	0.18	-0.74	-0.34	-0.47	31972.00	          3278	4.15万	13.54	-2.43	          3.01	-106.32	9.80	13.15	          4.20	0.00	          3.39	         -0.26	         86.93	   1.54㈢	         22.91	          5.28	          5.03	002577	20180301	15.14	-16.45	
300743	天地数码	-5.48	0.48	IT设备	12	39.56	40.00	0.48	20138	253	         12.20	5.51	41.89	39.99	0.440㈢	    76.35	81682248	  0.76	          6.60亿	浙江	41.89	40.56	12273	7864	  1.56	39.99	25	 -3.67	          0.17	-2.32	         26.17亿	   1753	--  	     11	        0.0070	20190306	20180427	          0.65	--  	--  	5.06	3.79	          0.01	24.85	3.55	1.24	0.17	1.23	1.95	0.99	0.72	2.89	2.00	0.30	0.00	0.30	0.26	0.26	1.02	-0.15	1.20	11652.00	          1416	5.66万	0.00	0.00	          6.79	-180.32	9.06	42.31	          5.89	5.89	          2.98	          1.56	         74.91	   6.78㈢	         30.90	         10.50	          8.90	300743	--  	--  	--  	
002635	安洁科技	-4.03	0.48	IT设备	1515	14.33	14.51	0.48	165616	1395	          4.57	5.16	15.11	14.51	0.570㈢	    18.77	242422208	  0.59	         52.62亿	江苏	15.01	14.64	88287	77329	  1.14	14.50	73	 -2.22	          3.63	-0.61	        106.62亿	   3635	--  	     46	        0.0013	20190312	20111125	          7.35	--  	--  	87.64	68.69	         -0.01	21.63	29.92	17.04	3.23	17.09	45.32	6.33	11.79	25.04	17.17	2.79	0.30	5.45	4.23	4.26	14.69	2.46	-7.37	51778.00	          6018	8.73万	23.93	50.83	          1.53	43.36	4.26	15.12	          9.46	9.46	          6.17	          2.00	         78.38	   6.20㈢	         31.43	         11.13	         17.02	002635	--  	--  	--  	
600271	航天信息	-3.18	0.39	IT设备	720	27.30	27.98	0.39	300760	2489	          1.62	5.12	28.78	27.98	0.460㈢	    45.74	841360896	  0.51	        518.41亿	北京	28.50	27.97	157785	142975	  1.10	27.97	29	 -1.99	         18.53	-0.92	        521.13亿	   4359	--  	     69	        0.0004	20190308	20030711	         18.63	--  	--  	200.61	103.66	         20.96	37.88	154.92	9.44	8.96	53.17	4.12	21.72	22.69	231.06	193.53	18.99	0.53	19.12	15.58	8.54	68.83	-9.09	-28.47	58714.00	         18928	52.96万	-23.87	12.75	          5.25	-57.33	2.26	28.90	          5.33	5.33	          0.22	          3.70	         51.67	   8.24㈢	         16.24	          8.22	          3.70	600271	--  	--  	--  	
600734	实达集团	-7.42	0.37	IT设备	325	8.12	8.24	0.37	297851	7252	          8.40	8.99	8.92	8.24	0.200㈢	    30.96	251251712	  0.68	         29.23亿	福建	8.92	8.44	157129	140722	  1.12	8.23	1151	 -6.22	          3.55	-0.66	         51.38亿	   3631	--  	     82	        0.0023	20190213	19960808	          6.24	--  	--  	67.84	30.01	          0.00	55.76	42.91	2.21	0.35	30.44	20.91	4.79	26.76	40.21	36.05	1.57	0.04	1.58	1.24	1.24	2.67	-4.07	-7.22	52438.00	          5092	4.20万	48.55	6.70	          1.71	-12.61	1.28	8.90	          4.81	0.00	          3.35	          0.43	         44.24	   4.15㈢	         10.35	          3.91	          3.10	600734	--  	--  	--  	
300656	民德电子	-3.95	0.33	IT设备	17	23.87	24.33	0.33	12974	309	          2.86	6.20	25.44	24.31	0.453㈢	    40.29	31703158	  0.56	         11.01亿	深圳	25.44	24.44	6603	6371	  1.04	24.31	12	 -2.14	          0.45	-1.00	         21.88亿	   1171	--  	     11	        0.0024	20190312	20170519	          0.90	--  	--  	6.09	4.47	          0.08	25.34	4.79	0.07	0.00	0.99	1.98	0.96	1.23	1.95	1.22	0.48	0.12	0.48	0.42	0.41	1.41	-0.28	0.32	6207.00	          5320	12.93万	55.38	144.65	          4.77	-77.90	11.20	25.31	          5.10	5.10	          2.20	          1.56	         73.32	   9.12㈢	         37.63	         24.44	         20.84	300656	--  	--  	--  	
600601	方正科技	-4.71	0.28	IT设备	611	3.55	3.65	0.28	665620	4545	          3.03	6.54	3.80	3.64	-0.105㈢	--  	242807280	  0.52	         79.89亿	上海	3.75	3.65	358396	307224	  1.17	3.64	3479	 -3.51	         21.95	-0.18	         79.89亿	   3622	--  	    184	        0.0008	20190213	19901219	         21.95	--  	--  	115.99	28.37	          0.10	75.45	59.34	35.70	1.31	72.64	3.47	20.02	15.15	33.25	28.05	-2.38	-0.01	-2.22	-2.30	-2.31	2.51	1.29	1.10	233768.00	          8296	3.02万	-17.45	-0.92	          2.82	61.78	2.40	3.82	          1.29	0.00	          0.16	          0.11	         24.46	  -8.13㈢	         15.63	         -7.16	         -6.94	600601	--  	--  	--  	
000021	深科技	-4.76	0.26	IT设备	476	7.70	7.82	0.26	283109	1369	          1.93	6.10	8.20	7.81	0.300㈢	    19.55	223185840	  0.66	        114.75亿	深圳	8.15	7.88	138997	144111	  0.96	7.81	46	 -2.94	         14.69	-0.39	        114.91亿	   4174	--  	     68	        0.0005	20190213	19940202	         14.71	--  	--  	141.98	61.80	          0.79	55.91	87.45	25.09	5.75	77.65	6.78	19.71	0.00	126.11	121.09	5.80	0.92	5.80	4.58	4.41	26.04	6.29	2.34	108466.00	          6526	5.10万	-6.01	17.58	          1.86	18.26	0.91	8.20	          4.20	0.00	          0.46	          1.77	         43.53	   7.13㈢	          3.98	          4.60	          3.50	000021	--  	--  	--  	
002362	汉王科技	-3.38	0.22	IT设备	387	17.68	18.01	0.22	73044	820	          4.11	6.98	18.98	18.00	0.124㈢	   109.20	133641568	  0.49	         32.02亿	北京	18.63	18.30	42202	30841	  1.37	18.00	18	 -1.57	          1.78	-0.63	         39.07亿	   2696	--  	     27	        0.0015	20190307	20100303	          2.17	--  	--  	11.37	8.64	          0.31	21.30	8.15	1.90	0.43	2.40	10.26	2.11	0.99	4.68	2.69	0.27	0.11	0.29	0.26	0.27	-3.84	-0.30	-0.01	54856.00	          2420	4.36万	-19.31	16.12	          4.51	-129.64	8.34	18.63	          3.99	3.99	          4.73	         -1.77	         75.98	   3.11㈢	         42.65	          5.68	          5.73	002362	20171016	34.09	-47.20	
