代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002600	领益智造	10.09	0.00	元器件	248154	5.62	--  	--  	1954521	1569	         13.14	6.97	6.00	6.00	-0.050㈢	--  	1158442624	  0.64	         89.27亿	广东	6.00	5.93	1404683	549838	  2.55	6.00	0	  7.73	
002149	西部材料	10.04	0.00	小金属	27775	7.38	--  	--  	453006	605	         10.65	9.91	8.11	8.11	0.087㈢	    69.57	357562912	  1.98	         34.50亿	陕西	7.45	7.89	267666	185340	  1.44	8.11	0	  7.68	
300346	南大光电	10.02	0.00	元器件	527	12.93	--  	--  	301516	741	         12.72	7.16	13.83	13.83	0.183㈢	    56.65	410027392	  2.36	         32.77亿	江苏	13.80	13.60	162075	139440	  1.16	13.83	0	  7.66	
000727	华东科技	9.96	0.00	元器件	182204	2.52	--  	--  	3677277	2258	         12.55	5.39	2.65	2.65	-0.348㈢	--  	966334976	  1.19	         77.66亿	江苏	2.65	2.63	2080530	1596746	  1.30	2.65	0	  7.59	
002547	春兴精工	8.14	1.01	通信设备	2455	8.40	--  	9.03	1364683	21232	         17.11	8.98	9.15	9.03	0.039㈢	   173.01	1207545728	  0.95	         72.03亿	江苏	8.40	8.85	614212	750470	  0.82	9.02	996	  5.78	
300400	劲拓股份	7.38	0.14	专用机械	58	20.20	--  	21.41	147098	565	          9.23	8.63	21.92	21.40	0.300㈢	    53.92	310141120	  1.42	         34.10亿	深圳	20.50	21.08	62165	84932	  0.73	21.40	50	  5.01	
300567	精测电子	7.09	-0.10	电器仪表	1	66.33	--  	71.00	29332	745	          3.51	8.19	71.76	71.00	1.190㈢	    45.66	206115712	  1.21	         59.42亿	湖北	66.33	70.27	14163	15168	  0.93	70.91	176	  4.72	
603985	恒润股份	5.48	0.33	机械基件	100	26.30	--  	27.73	18156	310	          2.73	5.79	27.82	27.71	1.000㈢	    23.14	49559780	  1.13	         18.44亿	江苏	26.30	27.30	8053	10102	  0.80	27.71	1	  4.36	
002217	合力泰	5.13	0.40	元器件	7065	7.26	--  	7.58	2162561	29375	          8.44	6.10	7.70	7.58	0.381㈢	    14.91	1621293184	  1.37	        194.15亿	山东	7.26	7.50	960298	1202262	  0.80	7.57	10649	  2.77	
002450	ST康得新	5.04	0.00	化工原料	296424	6.88	--  	--  	24844	481	          0.08	0.00	6.88	6.88	0.622㈢	     8.30	17092864	  0.02	        222.48亿	江苏	6.88	6.88	23202	1642	 14.13	6.88	0	  2.67	
300429	强力新材	5.00	-0.85	化工原料	43	32.65	--  	34.45	103401	2152	          7.36	7.13	34.99	34.45	0.430㈢	    62.30	354419712	  1.98	         48.42亿	江苏	32.88	34.28	52807	50594	  1.04	34.44	204	  2.63	
002008	大族激光	4.97	0.65	电器仪表	7	40.23	--  	42.00	388593	1994	          3.91	5.92	42.60	42.00	1.550㈢	    20.29	1618060672	  1.38	        417.19亿	深圳	40.25	41.64	208377	180215	  1.16	41.99	1023	  2.61	
000100	TCL 集团	4.86	0.29	家用电器	22912	3.42	--  	3.46	5397387	70686	          4.22	3.65	3.54	3.45	0.184㈢	    14.08	1873347584	  1.42	        441.18亿	广东	3.48	3.47	2590115	2807271	  0.92	3.45	32677	  2.50	
300128	锦富技术	3.88	-0.19	元器件	796	4.70	--  	5.10	1461790	17309	         13.72	12.45	5.31	5.09	-0.014㈢	--  	726079040	  1.12	         54.24亿	江苏	4.91	4.97	679669	782121	  0.87	5.09	5639	  1.51	
300395	菲利华	3.76	-0.09	玻璃	329	18.21	--  	19.04	78786	660	          2.93	8.45	19.76	19.03	0.400㈢	    36.65	149701648	  1.47	         51.21亿	湖北	18.26	19.00	32078	46707	  0.69	19.03	70	  1.40	
000536	华映科技	3.16	0.51	元器件	6098	3.65	--  	3.93	3430176	36009	         17.12	12.63	4.13	3.92	-0.166㈢	--  	1342422528	  1.32	         78.53亿	福建	3.87	3.91	1753082	1677094	  1.05	3.92	3175	  0.79	
600460	士兰微	2.41	0.44	半导体	2129	11.35	--  	11.48	849638	6296	          6.48	3.93	11.79	11.47	0.115㈢	    74.56	984232512	  1.37	        150.49亿	浙江	11.77	11.58	416767	432871	  0.96	11.47	1399	  1.29	
300037	新宙邦	2.40	0.45	化工原料	116	28.23	--  	29.00	106313	605	          4.27	5.37	29.75	28.99	0.560㈢	    39.67	309867872	  0.88	         72.23亿	深圳	28.32	29.15	48765	57548	  0.85	28.99	223	  0.04	
601208	东材科技	2.19	0.36	化工原料	2174	5.28	--  	5.60	570401	8805	          9.10	7.66	5.70	5.60	0.044㈢	    94.75	313221376	  1.10	         35.09亿	四川	5.50	5.49	278506	291895	  0.95	5.59	3828	  1.07	
300327	中颖电子	2.17	-0.12	半导体	65	23.12	--  	23.52	83350	654	          3.63	4.00	24.04	23.51	0.525㈢	    33.61	197115552	  1.31	         53.91亿	上海	23.47	23.65	37377	45972	  0.81	23.51	103	 -0.19	
002326	永太科技	2.13	0.00	化工原料	1601	8.91	--  	9.10	262612	2784	          4.88	4.71	9.33	9.10	0.485㈢	    14.06	239407840	  1.18	         49.00亿	浙江	9.03	9.12	121691	140921	  0.86	9.09	818	 -0.23	
600552	凯盛科技	2.12	0.32	玻璃	2511	5.83	--  	6.27	1057375	11901	         13.84	9.46	6.41	6.26	0.095㈢	    49.29	646939840	  1.19	         47.82亿	安徽	6.15	6.12	536141	521234	  1.03	6.26	1632	  1.00	
002426	胜利精密	2.03	0.28	元器件	3985	3.44	--  	3.52	1363912	13689	          6.32	6.09	3.65	3.52	0.089㈢	    29.59	483329472	  1.20	         75.95亿	江苏	3.49	3.54	660788	703124	  0.94	3.51	7346	 -0.34	
600340	华夏幸福	1.97	0.00	区域地产	477	30.98	--  	31.65	418821	2420	          1.42	6.12	32.88	31.65	2.540㈢	     9.05	1341710848	  2.02	        935.24亿	河北	31.00	32.04	203832	214988	  0.95	31.64	13	  0.84	
300134	大富科技	1.76	0.35	通信设备	1329	13.90	--  	14.46	460497	3837	          6.46	7.46	14.96	14.45	-0.091㈢	--  	667980992	  1.04	        102.94亿	深圳	14.15	14.51	217907	242590	  0.90	14.45	74	 -0.60	
002288	超华科技	1.75	0.17	元器件	2915	5.72	--  	5.82	777808	7087	          9.72	5.25	6.02	5.81	0.044㈢	    99.76	457803936	  0.80	         46.50亿	广东	5.74	5.89	384539	393269	  0.98	5.81	1189	 -0.61	
300686	智动力	1.51	-0.16	元器件	531	11.31	--  	11.44	83349	939	          9.46	5.15	11.89	11.43	0.046㈢	   184.80	96430840	  1.15	         10.07亿	深圳	11.34	11.57	43090	40259	  1.07	11.43	266	 -0.85	
