代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600408	*ST安泰	5.08	0.00	焦炭加工	22260	3.61	--  	--  	106320	160	          1.06	3.11	3.72	3.72	0.566㈢	     4.93	39435128	  0.44	         37.45亿	山西	3.61	3.71	51899	54420	  0.95	3.72	0	  3.96	
002552	*ST宝鼎	5.06	0.00	机械基件	2487	7.67	--  	--  	60472	103	          3.02	5.45	8.09	8.09	0.094㈣	    86.35	47934668	  1.35	         16.19亿	浙江	7.75	7.93	28930	31542	  0.92	8.09	0	  2.70	
002450	ST康得新	5.04	0.00	化工原料	296424	6.88	--  	--  	24844	481	          0.08	0.00	6.88	6.88	0.622㈢	     8.30	17092864	  0.02	        222.48亿	江苏	6.88	6.88	23202	1642	 14.13	6.88	0	  2.67	
002207	ST准油	5.03	0.00	石油开采	2113	6.02	--  	--  	105584	12	          4.45	7.31	6.47	6.47	-0.072㈢	--  	67442280	  1.10	         15.36亿	新疆	6.10	6.39	49343	56240	  0.88	6.47	0	  2.67	
002194	*ST凡谷	5.00	0.00	通信设备	5184	11.15	--  	--  	148303	17	          2.80	1.76	11.34	11.34	-0.094㈢	--  	167617712	  1.24	         60.14亿	湖北	11.16	11.30	83746	64556	  1.30	11.34	0	  2.64	
002188	*ST巴士	4.96	0.00	广告包装	3232	3.78	--  	--  	87176	145	          3.95	6.27	4.02	4.02	-2.168㈣	--  	34594128	  1.22	          8.86亿	浙江	3.82	3.97	53205	33970	  1.57	4.02	0	  2.60	
600610	*ST毅达	4.93	0.00	建筑施工	16714	3.62	--  	--  	9101	10	          0.24	0.00	3.62	3.62	-0.020㈢	--  	3294595	  0.08	         13.60亿	上海	3.62	3.62	7827	1274	  6.14	3.62	0	  3.81	
900906	*ST毅达B	4.86	0.00		6381	0.148	--  	--  	26371	12	          0.73	2.08	0.151	0.151	-0.003㈢	--  	397396	  0.96	          0.54亿		0.149	0.151	21263	5107	  4.16	0.151	0	  3.74	
000048	*ST康达	4.71	0.15	饲料	25	19.75	--  	20.70	12333	31	          0.32	5.01	20.74	20.68	0.229㈢	    67.87	25193980	  1.77	         79.70亿	深圳	19.85	20.43	6221	6112	  1.02	20.68	58	  2.34	
600421	ST仰帆	4.22	1.02	机械基件	146	8.52	--  	8.89	7868	485	          0.40	4.34	8.89	8.89	-0.024㈢	--  	6830761	  0.91	         17.39亿	湖北	8.52	8.68	4130	3737	  1.11	8.86	44	  3.10	
600767	ST运盛	3.92	0.38	医疗保健	333	5.10	--  	5.30	42516	155	          1.25	5.10	5.36	5.30	-0.054㈢	--  	22337610	  1.69	         18.07亿	上海	5.13	5.25	14664	27852	  0.53	5.29	224	  2.80	
600247	*ST成城	3.38	0.00	商贸代理	57	5.83	--  	6.11	42101	67	          1.25	6.43	6.21	6.11	0.044㈢	   104.20	25755914	  1.07	         20.56亿	吉林	5.93	6.12	18337	23763	  0.77	6.10	25	  2.26	
000972	ST中基	2.80	0.61	食品	10339	3.17	--  	3.30	113576	1338	          1.47	6.23	3.37	3.30	-0.152㈢	--  	37314052	  1.40	         25.45亿	新疆	3.20	3.29	51308	62268	  0.82	3.29	272	  0.44	
002570	*ST因美	2.45	0.34	乳制品	99	5.77	--  	5.87	168359	1903	          1.65	3.50	5.97	5.86	0.027㈢	   160.71	98937464	  1.08	         59.90亿	浙江	5.77	5.88	88282	80076	  1.10	5.86	727	  0.08	
600654	ST中安	2.42	0.47	软件服务	2778	2.07	--  	2.12	235494	2180	          3.12	4.35	2.16	2.12	-0.084㈢	--  	49975308	  1.43	         16.01亿	上海	2.07	2.12	99402	136092	  0.73	2.11	2205	  1.29	
600238	*ST椰岛	2.27	-1.26	红黄药酒	41	8.34	--  	8.55	64430	2667	          1.45	5.26	8.78	8.55	-0.363㈢	--  	56083668	  1.78	         38.05亿	海南	8.35	8.70	40371	24058	  1.68	8.54	2332	  1.15	
002086	ST东海洋	2.25	0.00	渔业	3684	4.49	--  	4.56	403442	1808	          8.48	3.37	4.64	4.55	0.122㈢	    27.95	183442320	  1.21	         21.64亿	山东	4.59	4.55	212979	190462	  1.12	4.55	2345	 -0.12	
002259	ST升达	2.13	0.42	供气供热	9253	2.34	--  	2.41	234937	15652	          3.25	2.55	2.40	2.40	-0.054㈢	--  	55794384	  1.14	         17.37亿	四川	2.35	2.37	121621	113315	  1.07	2.40	2067	 -0.24	
600202	*ST哈空	2.12	0.23	电气设备	1091	4.27	--  	4.34	81034	418	          2.11	2.82	4.39	4.34	0.028㈢	   115.59	35194280	  1.33	         16.64亿	黑龙江	4.32	4.34	39084	41950	  0.93	4.33	148	  1.00	
600150	*ST船舶	1.92	-0.37	船舶	1495	15.50	--  	15.90	260072	3482	          1.89	4.43	16.19	15.89	0.225㈢	    53.03	411588256	  1.46	        218.98亿	上海	15.86	15.83	159174	100897	  1.58	15.89	289	  0.80	
601558	ST锐电	1.49	0.00	电气设备	15670	1.34	--  	1.36	827553	2591	          1.45	2.99	1.38	1.36	0.000㈢	  3129.11	112409288	  0.87	         77.62亿	北京	1.35	1.36	381862	445691	  0.86	1.35	33993	  0.37	
000816	*ST慧业	1.46	0.48	农用机械	4661	2.00	--  	2.09	593526	4015	          4.44	7.77	2.16	2.09	-0.063㈢	--  	124822592	  1.32	         27.93亿	江苏	2.09	2.10	300643	292882	  1.03	2.08	459	 -0.91	
600749	*ST藏旅	1.35	-0.09	旅游景点	34	9.64	--  	9.77	29161	98	          1.54	2.18	9.85	9.77	0.100㈢	    79.63	28367198	  1.46	         18.48亿	西藏	9.66	9.73	15962	13198	  1.21	9.76	4	  0.23	
600778	*ST友好	1.18	0.39	百货	53	5.06	--  	5.16	38468	634	          1.24	1.96	5.16	5.16	0.259㈢	    14.96	19716934	  1.22	         16.05亿	新疆	5.13	5.13	21569	16898	  1.28	5.15	231	  0.05	
600397	*ST安煤	1.18	0.00	煤炭开采	2747	2.56	--  	2.59	120598	1424	          1.22	2.35	2.62	2.58	0.082㈢	    23.51	31198206	  0.84	         25.54亿	江西	2.59	2.59	72166	48431	  1.49	2.58	2500	  0.05	
601798	*ST蓝科	1.07	-0.34	化工机械	317	5.56	--  	5.68	46716	159	          1.32	2.85	5.72	5.67	-0.257㈢	--  	26211296	  1.28	         20.10亿	甘肃	5.64	5.61	25047	21668	  1.16	5.67	160	 -0.05	
000893	*ST东凌	1.07	0.00	食品	200	4.69	--  	4.74	35494	93	          0.89	3.84	4.87	4.74	0.004㈢	   829.83	16989760	  0.99	         19.00亿	广东	4.69	4.79	19014	16480	  1.15	4.73	390	 -1.30	
600399	*ST抚钢	1.05	-0.25	特种钢	1465	3.79	--  	3.85	359795	2400	          1.82	5.26	3.99	3.84	-0.064㈢	--  	140799712	  1.66	         75.73亿	辽宁	3.88	3.91	200448	159346	  1.26	3.84	1227	 -0.07	
002445	ST中南	1.00	0.00	影视音像	7010	2.00	--  	2.02	293698	1919	          2.25	2.50	2.05	2.02	-0.017㈢	--  	59438652	  0.74	         26.42亿	江苏	2.01	2.02	161597	132101	  1.22	2.01	2304	 -1.36	
000655	*ST金岭	0.89	0.44	普钢	94	4.49	--  	4.55	126298	760	          2.12	4.44	4.69	4.54	0.124㈢	    27.46	57856460	  1.47	         27.03亿	山东	4.61	4.58	75537	50761	  1.49	4.54	346	 -1.48	
600696	ST岩石	0.87	0.00	区域地产	557	5.76	--  	5.82	36260	970	          1.06	2.43	5.90	5.82	0.063㈢	    69.77	21159010	  0.83	         19.82亿	上海	5.78	5.84	17599	18661	  0.94	5.81	224	 -0.26	
600877	ST嘉陵	0.83	0.00	摩托车	805	4.71	--  	4.84	113862	1056	          1.66	3.13	4.86	4.84	-0.235㈢	--  	54584824	  1.24	         33.26亿	重庆	4.80	4.79	58654	55207	  1.06	4.83	172	 -0.29	
600074	*ST保千	0.83	0.00	电脑设备	16722	1.19	--  	1.22	235350	2935	          2.29	4.13	1.24	1.22	-0.150㈢	--  	28674538	  0.85	         12.52亿	江苏	1.21	1.22	114878	120471	  0.95	1.21	3968	 -0.30	
600198	*ST大唐	0.81	-0.10	通信设备	498	8.60	--  	8.71	181759	1548	          2.08	4.28	8.97	8.71	0.286㈢	    22.84	160583088	  1.03	         76.24亿	北京	8.65	8.83	94227	87532	  1.08	8.70	23	 -0.31	
600265	ST景谷	0.77	-0.22	林业	25	26.11	--  	26.20	1771	27	          0.14	3.96	27.14	26.20	-0.163㈢	--  	4691985	  0.61	         34.01亿	云南	26.11	26.50	907	863	  1.05	26.15	24	 -0.35	
000982	*ST 中绒	0.75	0.00	纺织	16222	1.33	--  	1.35	156327	1878	          0.87	2.99	1.37	1.35	-0.290㈢	--  	21120440	  1.00	         24.37亿	宁夏	1.34	1.35	81615	74711	  1.09	1.34	72	 -1.62	
600539	*ST狮头	0.73	0.58	水泥	1	6.79	--  	6.90	9166	149	          0.40	2.04	6.93	6.90	0.038㈢	   135.01	6291968	  0.87	         15.87亿	山西	6.87	6.86	4878	4288	  1.14	6.88	14	 -0.39	
002473	*ST圣莱	0.69	-0.10	家用电器	312	8.50	--  	8.77	37753	673	          2.36	3.22	8.78	8.75	0.076㈣	   115.89	32572058	  1.19	         14.00亿	浙江	8.73	8.63	19601	18152	  1.08	8.75	31	 -1.67	
600747	ST大控	0.69	-0.67	多元金融	4264	1.45	--  	1.47	199598	1664	          1.88	3.45	1.50	1.46	-0.002㈢	--  	29410610	  1.00	         15.54亿	辽宁	1.45	1.47	95867	103730	  0.92	1.46	3633	 -0.43	
600462	ST九有	0.43	0.00	元器件	532	2.30	--  	2.34	294465	3598	          5.52	3.02	2.37	2.33	-0.023㈢	--  	68686656	  0.91	         12.44亿	深圳	2.33	2.33	168985	125479	  1.35	2.33	2020	 -0.69	
600608	ST沪科	0.43	0.43	钢加工	116	4.62	--  	4.68	29864	85	          0.94	1.72	4.70	4.68	-0.006㈢	--  	13924161	  0.96	         14.90亿	上海	4.68	4.66	17580	12283	  1.43	4.67	231	 -0.69	
600234	ST山水	0.42	-0.27	文教休闲	472	7.04	--  	7.23	14907	196	          0.74	3.33	7.28	7.23	-0.013㈢	--  	10704170	  1.73	         14.64亿	山西	7.21	7.18	7875	7032	  1.12	7.22	68	 -0.70	
600634	*ST富控	0.35	0.35	互联网	1896	2.85	--  	2.88	133411	1441	          2.32	3.83	2.96	2.88	-0.781㈢	--  	38648180	  1.10	         16.58亿	上海	2.92	2.90	75585	57825	  1.31	2.87	995	 -0.77	
600275	ST昌鱼	0.34	0.67	农业综合	1763	2.95	--  	2.99	69424	569	          1.36	2.35	3.02	2.99	-0.014㈢	--  	20701310	  1.04	         15.21亿	湖北	2.98	2.98	40401	29023	  1.39	2.98	259	 -0.79	
002147	ST新光	0.33	0.00	区域地产	2079	3.01	--  	3.05	452770	8217	          8.43	2.97	3.10	3.04	0.068㈢	    33.63	137901504	  0.97	         16.32亿	安徽	3.04	3.05	250907	201863	  1.24	3.04	9276	 -2.03	
002260	*ST德奥	0.31	0.62	航空	80	3.18	--  	3.23	145364	229	          5.48	3.11	3.28	3.23	-0.241㈢	--  	46962552	  1.12	          8.57亿	广东	3.27	3.23	79896	65467	  1.22	3.22	253	 -2.05	
