代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300264	佳创视讯	10.08	0.00	通信设备	12621	6.52	--  	--  	300130	95	          9.42	2.31	6.66	6.66	-0.003㈢	--  	199547824	  2.35	         21.22亿	深圳	6.66	6.65	238209	61920	  3.85	6.66	0	  7.72	
000665	湖北广电	10.06	0.00	影视音像	65741	8.94	--  	--  	68222	50	          1.07	2.99	9.19	9.19	0.324㈢	    21.29	62549400	  0.90	         58.46亿	湖北	8.95	9.17	50761	17460	  2.91	9.19	0	  7.70	
600037	歌华有线	10.05	0.00	影视音像	64882	10.90	--  	--  	306784	346	          2.20	7.70	11.72	11.72	0.393㈢	    22.37	351976064	  2.26	        163.12亿	北京	11.40	11.47	166803	139981	  1.19	11.72	0	  8.93	
300104	乐视网	10.04	0.00	互联网	438144	2.71	--  	--  	2830584	10488	          9.21	9.29	2.96	2.96	-0.373㈢	--  	804969664	  1.07	         90.97亿	北京	2.71	2.84	1460273	1370311	  1.07	2.96	0	  7.67	
000917	电广传媒	10.02	0.00	影视音像	53152	8.69	--  	--  	1586884	806	         12.26	6.32	9.22	9.22	-0.095㈢	--  	1442531328	  1.15	        119.37亿	湖南	8.99	9.09	924136	662748	  1.39	9.22	0	  7.66	
300079	数码科技	10.00	0.00	通信设备	617405	4.62	--  	--  	109926	330	          0.91	0.00	4.62	4.62	0.059㈢	    59.04	50785928	  0.20	         55.86亿	北京	4.62	4.62	96424	13502	  7.14	4.62	0	  7.64	
300710	万隆光电	9.99	0.00	通信设备	35132	33.13	--  	--  	11580	90	          4.07	0.00	33.13	33.13	0.197㈢	   125.89	38364540	  0.33	          9.43亿	浙江	33.13	33.13	8856	2724	  3.25	33.13	0	  7.63	
300017	网宿科技	9.96	0.00	电信运营	267248	11.60	--  	--  	2367446	1731	         12.31	1.96	11.81	11.81	0.252㈢	    35.13	2793327360	  1.97	        227.10亿	上海	11.81	11.80	1814149	553296	  3.28	11.81	0	  7.60	
002238	天威视讯	9.95	0.00	影视音像	32011	8.21	--  	--  	143713	178	          2.33	2.49	8.40	8.40	0.244㈢	    25.81	120648176	  1.15	         51.86亿	深圳	8.40	8.40	132129	11584	 11.41	8.40	0	  7.58	
002519	银河电子	9.93	0.00	通信设备	56737	4.23	--  	--  	789252	522	          9.49	4.96	4.43	4.43	0.117㈢	    28.38	346985280	  2.12	         36.84亿	江苏	4.31	4.40	567976	221275	  2.57	4.43	0	  7.56	
002148	北纬科技	9.83	-0.12	互联网	332	6.93	--  	7.61	791893	4579	         17.83	9.83	7.61	7.60	0.068㈢	    83.66	584241024	  2.39	         33.75亿	北京	6.95	7.38	377055	414837	  0.91	7.60	1051	  7.46	
600100	同方股份	9.28	-0.08	电脑设备	1542	10.52	--  	11.20	613050	3001	          2.07	7.23	11.26	11.19	-0.193㈢	--  	679055552	  3.44	        331.66亿	北京	10.52	11.08	255934	357115	  0.72	11.19	1809	  8.16	
000503	国新健康	6.97	-0.04	医疗保健	333	20.09	--  	21.32	415544	3091	          4.62	9.08	21.90	21.32	-0.126㈢	--  	878107008	  1.48	        191.63亿	海南	20.39	21.13	197691	217852	  0.91	21.31	465	  4.61	
600996	贵广网络	6.91	0.35	影视音像	283	8.55	--  	8.67	334129	1400	         11.21	4.44	8.91	8.66	0.242㈢	    26.83	293054848	  2.45	         25.81亿	贵州	8.91	8.77	214027	120102	  1.78	8.66	774	  5.79	
