代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600748	上实发展	10.04	0.00	全国地产	20800	7.29	--  	--  	545476	2728	          2.96	11.13	8.11	8.11	0.155㈢	    39.17	426197760	  1.65	        149.59亿	上海	7.29	7.81	292061	253414	  1.15	8.11	0	  8.92	
600119	长江投资	6.59	0.53	仓储物流	369	7.17	--  	7.60	223740	4339	          7.28	6.45	7.63	7.60	-0.947㈢	--  	165866384	  1.66	         23.36亿	上海	7.24	7.41	96479	127260	  0.76	7.59	2390	  5.47	
600895	张江高科	3.51	0.05	园区开发	2126	18.72	--  	19.16	838006	6227	          5.41	5.30	19.70	19.15	0.296㈢	    48.60	1608378496	  0.82	        296.57亿	上海	19.09	19.19	422177	415828	  1.02	19.15	1152	  2.39	
600676	交运股份	3.45	0.39	公共交通	851	4.95	--  	5.10	193810	5506	          2.01	3.04	5.10	5.10	0.204㈢	    18.72	97383336	  1.78	         49.06亿	上海	4.95	5.02	81284	112525	  0.72	5.09	530	  2.33	
603648	畅联股份	3.34	0.17	仓储物流	156	11.42	--  	11.75	121660	1281	          4.45	5.98	12.10	11.75	0.341㈢	    25.86	141795696	  1.56	         32.10亿	上海	11.55	11.66	59429	62231	  0.95	11.74	376	  2.22	
002401	中远海科	3.32	0.18	软件服务	68	10.59	--  	10.88	138332	2158	          4.60	5.51	11.17	10.88	0.232㈢	    35.16	150751392	  1.69	         32.69亿	上海	10.63	10.90	66443	71888	  0.92	10.87	20	  0.96	
603329	上海雅仕	3.25	0.00	仓储物流	117	16.61	--  	17.19	62198	850	          9.62	4.63	17.38	17.18	0.356㈢	    36.22	105659048	  1.29	         11.11亿	上海	16.84	16.99	29417	32780	  0.90	17.18	12	  2.12	
603128	华贸物流	3.15	0.32	仓储物流	353	6.09	--  	6.22	319079	2218	          3.34	5.14	6.40	6.22	0.253㈢	    18.47	198295232	  1.78	         59.39亿	上海	6.09	6.21	139229	179849	  0.77	6.21	1839	  2.03	
600643	爱建集团	3.06	0.95	多元金融	216	12.10	--  	12.81	619149	3892	          4.32	10.70	13.43	12.81	0.510㈢	    19.08	788951040	  0.84	        183.70亿	上海	12.45	12.74	306875	312274	  0.98	12.80	1571	  1.94	
600687	刚泰控股	2.75	0.21	黄金	6777	4.67	--  	4.86	610209	8781	          4.10	5.51	4.93	4.85	0.031㈢	   115.63	293344288	  0.92	         72.20亿	甘肃	4.68	4.81	298862	311347	  0.96	4.85	3912	  1.63	
600637	东方明珠	2.75	0.08	影视音像	768	11.90	--  	11.96	412139	3522	          1.21	4.81	12.46	11.96	0.440㈢	    20.38	498765184	  1.74	        408.37亿	上海	12.21	12.10	215235	196904	  1.09	11.95	381	  1.63	
600655	豫园股份	2.71	0.58	百货	1128	8.49	--  	8.72	205643	1722	          1.43	4.25	8.85	8.71	0.330㈢	    22.24	178680784	  1.58	        125.19亿	上海	8.52	8.69	93978	111664	  0.84	8.71	335	  1.59	
600822	上海物贸	2.37	0.10	商贸代理	216	9.69	--  	9.93	170189	1179	          4.30	7.84	10.45	9.92	0.082㈢	    90.49	168854128	  1.92	         39.30亿	上海	9.80	9.92	85395	84793	  1.01	9.92	76	  1.25	
600061	国投资本	2.26	0.00	证券	354	12.79	--  	13.55	689566	6036	          1.65	12.91	14.50	13.55	0.260㈢	    39.13	936735552	  1.13	        565.55亿	上海	13.20	13.58	356211	333355	  1.07	13.54	544	  1.14	
600170	上海建工	2.25	0.55	建筑施工	7568	3.56	--  	3.63	764342	7707	          0.90	3.10	3.67	3.63	0.190㈢	    13.39	277400992	  1.28	        308.07亿	上海	3.57	3.63	342155	422187	  0.81	3.62	890	  1.13	
600679	上海凤凰	1.94	0.52	文教休闲	734	11.33	--  	11.56	43540	587	          1.89	2.91	11.66	11.55	0.066㈢	   130.55	50153800	  0.87	         26.63亿	上海	11.38	11.52	20351	23189	  0.88	11.55	263	  0.82	
600689	上海三毛	1.91	0.27	纺织	277	11.04	--  	11.19	129679	2558	          8.52	3.10	11.38	11.18	0.012㈢	   707.82	145016672	  0.68	         17.02亿	上海	11.23	11.18	62596	67082	  0.93	11.18	221	  0.79	
600708	光明地产	1.91	0.00	全国地产	1553	4.19	--  	4.28	292004	2646	          1.31	3.58	4.34	4.27	0.454㈢	     7.05	124824232	  1.24	         95.02亿	上海	4.25	4.27	147855	144148	  1.03	4.27	2097	  0.79	
600695	绿庭投资	1.84	0.00	多元金融	203	5.99	--  	6.11	401355	6434	         10.95	5.18	6.30	6.10	0.007㈢	   668.04	245935808	  0.78	         22.35亿	上海	6.12	6.13	189234	212120	  0.89	6.10	1039	  0.71	
600630	龙头股份	1.83	-0.12	纺织	1056	7.68	--  	7.80	147724	832	          3.48	3.39	7.94	7.80	0.125㈢	    46.71	115150192	  1.26	         33.14亿	上海	7.69	7.79	66220	81504	  0.81	7.79	321	  0.71	
600650	锦江投资	1.82	0.00	公共交通	479	10.98	--  	11.17	78180	717	          2.00	4.74	11.50	11.17	0.382㈢	    21.90	87571584	  1.39	         43.63亿	上海	11.06	11.20	37442	40738	  0.92	11.16	498	  0.70	
600639	浦东金桥	1.79	0.29	园区开发	250	13.47	--  	13.65	79112	430	          0.93	3.58	13.95	13.64	0.506㈢	    20.21	109250704	  1.43	        115.97亿	上海	13.61	13.81	41842	37269	  1.12	13.64	532	  0.67	
603003	龙宇燃油	1.63	0.12	石油贸易	521	8.00	--  	8.14	84080	484	          2.02	3.13	8.25	8.13	0.112㈢	    54.23	68382056	  1.26	         33.86亿	上海	8.03	8.13	42044	42035	  1.00	8.13	161	  0.50	
300330	华虹计通	1.53	1.01	软件服务	24	7.86	--  	7.98	34869	325	          2.08	5.09	8.26	7.98	-0.102㈢	--  	28001416	  1.05	         13.38亿	上海	7.88	8.03	20154	14714	  1.37	7.94	564	 -0.84	
600284	浦东建设	1.52	0.33	建筑施工	52	5.92	--  	6.01	284622	3266	          2.93	2.71	6.08	6.00	0.221㈢	    20.32	170709328	  1.32	         58.22亿	上海	5.92	6.00	153324	131297	  1.17	6.00	1084	  0.40	
