代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002537	海联金汇	5.29	0.77	汽车整车	402	11.10	--  	11.76	141209	2903	          1.18	6.09	11.78	11.75	0.231㈢	    38.12	162097472	  1.25	        140.41亿	山东	11.17	11.48	61058	80151	  0.76	11.75	596	  2.92	
300001	特锐德	2.80	-0.23	电气设备	268	24.18	--  	24.57	242963	1899	          2.63	6.49	25.73	24.57	0.144㈢	   127.96	605742912	  1.49	        227.20亿	山东	24.20	24.93	118675	124288	  0.95	24.56	80	  0.44	
600735	新华锦	2.57	0.31	商贸代理	135	6.23	--  	6.39	234767	3182	          6.24	6.43	6.63	6.38	0.155㈢	    30.84	149678576	  1.25	         23.99亿	山东	6.27	6.38	112719	122047	  0.92	6.38	249	  1.45	
600317	营口港	2.26	0.00	港口	10975	2.66	--  	2.71	269576	3579	          0.42	3.40	2.75	2.71	0.087㈢	    23.39	72998480	  0.94	        175.42亿	辽宁	2.66	2.71	105863	163713	  0.65	2.70	1132	  1.14	
300208	青岛中程	2.14	0.15	电气设备	735	6.54	--  	6.68	176272	935	          2.90	4.75	6.85	6.67	0.339㈢	    14.78	117801384	  1.24	         40.50亿	山东	6.62	6.68	95617	80654	  1.19	6.67	710	 -0.22	
300183	东软载波	1.95	0.07	软件服务	219	14.00	--  	14.11	112540	544	          4.20	3.54	14.49	14.10	0.250㈢	    42.35	159893152	  1.39	         37.82亿	山东	14.33	14.21	57707	54833	  1.05	14.10	25	 -0.41	
002073	软控股份	1.95	0.00	软件服务	994	5.10	--  	5.24	431837	2842	          5.27	5.45	5.38	5.24	0.084㈢	    46.96	225276304	  1.56	         42.91亿	山东	5.15	5.22	217637	214199	  1.02	5.23	577	 -0.42	
002094	青岛金王	1.86	0.55	日用化工	233	5.40	--  	5.47	238800	2401	          3.96	2.98	5.56	5.47	0.310㈢	    17.49	130531176	  1.04	         32.98亿	山东	5.43	5.47	123346	115453	  1.07	5.46	455	 -0.50	
600798	宁波海运	1.33	0.00	水运	718	3.74	--  	3.81	192996	2628	          1.87	4.53	3.91	3.80	0.110㈢	    29.33	73541136	  1.20	         39.17亿	浙江	3.77	3.81	103698	89298	  1.16	3.80	698	  0.21	
600190	锦州港	1.20	0.30	港口	2049	3.33	--  	3.37	172974	1612	          0.97	3.00	3.43	3.37	0.057㈢	    44.07	58206392	  0.86	         59.97亿	辽宁	3.33	3.37	77900	95073	  0.82	3.36	2312	  0.08	
000679	大连友谊	1.10	0.22	百货	343	4.51	--  	4.60	80365	1211	          2.26	3.30	4.66	4.59	-0.446㈢	--  	36897820	  0.67	         16.36亿	辽宁	4.56	4.59	46801	33563	  1.39	4.59	280	 -1.26	
000599	青岛双星	0.94	0.00	汽车配件	1174	4.24	--  	4.28	100949	1046	          1.31	2.36	4.34	4.28	0.070㈢	    49.77	43300232	  1.37	         32.86亿	山东	4.25	4.29	47409	53539	  0.89	4.27	104	 -1.42	
600017	日照港	0.92	0.61	港口	1021	3.24	--  	3.29	439400	835	          1.43	3.37	3.35	3.29	0.175㈢	    14.09	144561232	  1.17	        101.19亿	山东	3.27	3.29	265648	173751	  1.53	3.28	5601	 -0.20	
601880	大连港	0.89	0.00	港口	1380	2.22	--  	2.28	868162	8109	          1.12	4.44	2.32	2.27	0.034㈢	    49.68	197407056	  0.66	        175.60亿	辽宁	2.25	2.27	472615	395547	  1.19	2.27	8664	 -0.23	
601008	连云港	0.82	0.00	港口	2803	3.67	--  	3.69	145747	834	          1.44	2.46	3.76	3.69	0.008㈢	   341.57	54113084	  0.78	         37.46亿	江苏	3.70	3.71	71313	74433	  0.96	3.68	186	 -0.30	
600241	时代万恒	0.75	0.60	商贸代理	24	6.63	--  	6.71	25896	275	          1.03	2.10	6.77	6.71	-0.108㈢	--  	17393756	  1.01	         16.88亿	辽宁	6.65	6.72	11131	14764	  0.75	6.67	113	 -0.37	
002498	汉缆股份	0.70	0.35	电气设备	3638	2.86	--  	2.90	529106	2541	          1.59	2.79	2.94	2.89	0.043㈢	    50.48	153325008	  0.93	         96.12亿	山东	2.88	2.90	271027	258079	  1.05	2.89	9442	 -1.67	
601000	唐山港	0.69	-0.33	港口	13805	2.91	--  	2.93	891109	4256	          1.60	3.10	3.00	2.92	0.187㈢	    11.71	262384256	  0.78	        162.76亿	河北	2.96	2.94	462042	429066	  1.08	2.92	1776	 -0.43	
000881	中广核技	0.48	-0.11	综合类	86	8.34	--  	8.38	91732	1007	          2.98	2.76	8.57	8.37	0.184㈢	    34.12	77465352	  1.05	         25.78亿	辽宁	8.34	8.44	46924	44808	  1.05	8.37	11	 -1.88	
