代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
000582	北部湾港	-0.59	0.72	港口	822	8.13	8.39	0.72	68893	1044	          2.62	4.27	8.49	8.38	0.360㈢	    20.45	57038180	  0.68	         22.05亿	广西	8.35	8.28	40605	28288	  1.44	8.38	280	  1.22	          2.63	-0.05	        136.98亿	   1719	--  	     40	        0.0015	20181227	19951102	         16.35	--  	--  	158.84	74.88	         12.13	45.22	24.57	102.48	23.03	38.61	27.04	0.82	5.27	30.13	18.63	6.80	-0.00	6.78	5.60	5.02	30.42	11.58	2.70	34883.00	          7545	6.32万	2.02	17.01	          1.55	11.83	4.55	8.43	          5.40	5.40	          1.65	          1.86	         47.14	   6.71㈢	         38.17	         22.58	         16.67	000582	--  	--  	--  	
600190	锦州港	-3.92	0.59	港口	664	3.34	3.43	0.59	133089	1658	          0.75	5.88	3.55	3.43	0.057㈢	    44.85	45561472	  0.66	         61.04亿	辽宁	3.55	3.42	93074	40015	  2.33	3.42	619	 -2.72	         17.79	-0.14	         68.68亿	   1978	--  	     67	        0.0004	20190213	19990609	         20.02	          2.23	--  	171.61	61.01	          1.06	63.83	16.01	90.51	3.44	72.22	26.64	0.11	4.74	43.63	38.69	1.57	0.93	1.61	1.18	1.15	10.31	5.02	-0.81	103707.00	          6286	2.16万	34.39	39.04	          1.13	13.67	1.57	3.57	          3.05	0.00	          1.33	          0.52	         35.55	   1.88㈢	         11.32	          3.59	          2.63	600190	--  	--  	--  	
002040	南 京 港	-2.76	0.59	港口	516	10.02	10.23	0.59	64078	762	          2.09	5.81	10.63	10.21	0.347㈢	    22.05	65968312	  0.54	         31.32亿	江苏	10.51	10.30	36039	28039	  1.29	10.21	10	 -0.95	          3.07	-0.29	         38.01亿	   2055	--  	     31	        0.0010	20190213	20050325	          3.72	--  	--  	46.85	25.32	          6.15	32.84	6.53	22.59	13.00	7.12	16.50	0.06	1.08	5.19	2.69	1.98	0.72	1.97	1.50	1.29	4.47	1.75	-0.19	30163.00	          3988	4.07万	73.86	7.73	          1.50	21.76	7.32	10.50	          6.80	0.00	          4.43	          1.20	         54.04	   5.11㈢	         48.15	         38.12	         24.91	002040	20170330	24.71	-58.48	
600368	五洲交通	-2.49	0.57	路桥	546	3.45	3.52	0.57	153718	2542	          1.37	4.16	3.60	3.52	0.261㈢	    10.12	54039332	  0.64	         39.62亿	广西	3.57	3.52	98171	55547	  1.77	3.51	972	 -1.30	         11.26	-0.09	         39.62亿	   1548	--  	     99	        0.0009	20190213	20001221	         11.26	--  	--  	104.00	34.41	         -0.25	67.15	31.90	61.79	1.77	22.40	4.68	20.70	0.00	12.46	5.42	3.52	0.00	3.53	2.89	2.94	14.28	8.15	-1.63	55211.00	         10233	3.60万	-0.22	5.24	          1.15	4.86	3.18	3.61	          3.06	0.00	          0.42	          1.27	         33.09	   8.53㈢	         56.54	         28.22	         23.56	600368	--  	--  	--  	
601107	四川成渝	-0.99	0.50	路桥	326	3.88	4.00	0.50	150906	3759	          0.70	4.22	4.05	3.99	0.298㈢	    10.03	59613288	  1.00	         86.29亿	四川	4.02	3.95	75673	75232	  1.01	3.99	1835	  0.21	         21.63	-0.04	         86.29亿	   1847	--  	     82	        0.0004	20190213	20090727	         30.58	--  	          8.95	355.09	145.48	          4.11	57.87	75.29	4.66	247.02	45.19	18.54	18.56	1.99	43.23	24.09	11.91	0.33	12.18	9.57	9.12	46.93	18.85	8.80	65094.00	         23017	9.18万	-0.29	-25.27	          0.84	6.47	2.82	4.03	          4.76	0.00	          0.61	          1.53	         40.97	   6.27㈢	         44.28	         27.56	         21.10	601107	--  	--  	--  	
001965	招商公路	-2.80	0.33	路桥	3	8.86	9.02	0.33	84544	923	          1.52	4.85	9.31	9.01	0.491㈢	    13.78	76475096	  0.52	         49.99亿	天津	9.18	9.05	46338	38205	  1.21	9.01	165	 -0.99	          5.55	-0.26	        556.66亿	   2528	--  	     33	        0.0006	20190305	20171225	         61.78	--  	--  	832.15	452.71	         46.08	40.06	100.78	27.95	396.79	60.65	292.30	13.74	15.68	45.14	23.76	37.14	24.89	37.48	33.60	30.31	92.40	21.14	-14.83	57082.00	          9720	8.76万	7.84	21.12	          1.21	26.33	12.33	9.27	          7.46	7.46	          4.73	          1.50	         54.40	   6.69㈢	         47.36	         82.26	         67.14	001965	20180223	10.73	-13.99	
600033	福建高速	-2.87	0.30	路桥	501	3.35	3.40	0.30	179509	649	          0.65	5.73	3.55	3.39	0.221㈢	    11.50	61593816	  0.82	         93.04亿	福建	3.51	3.43	118033	61476	  1.92	3.39	2153	 -1.67	         27.44	-0.10	         93.04亿	   1759	--  	    102	        0.0004	20190213	20010209	         27.44	--  	--  	174.20	89.69	         19.24	37.47	14.72	145.60	0.00	15.63	16.61	0.09	0.00	19.70	6.82	10.49	-0.21	10.60	7.84	6.07	36.30	14.38	2.10	124626.00	         10150	3.44万	2.87	6.67	          1.04	6.47	4.72	3.49	          3.27	0.00	          0.61	          1.32	         51.49	   6.76㈢	         65.37	         53.23	         30.80	600033	--  	--  	--  	
600106	重庆路桥	-3.30	0.28	路桥	1095	3.48	3.53	0.28	220567	1275	          2.01	4.12	3.63	3.52	0.196㈢	    13.46	78209160	  0.70	         38.66亿	重庆	3.58	3.55	137185	83381	  1.65	3.52	609	 -2.10	         10.98	-0.12	         38.66亿	   1789	--  	    123	        0.0011	20190213	19970618	         10.98	--  	--  	65.68	35.56	          0.00	45.86	12.89	1.81	0.00	11.33	0.54	3.50	1.27	1.81	0.24	2.34	1.46	2.34	2.15	2.15	16.00	0.66	-1.35	67084.00	         11649	4.10万	-6.67	0.98	          1.09	58.14	21.40	3.64	          3.24	0.00	          0.05	          1.46	         54.14	   6.06㈢	         86.60	        129.61	        119.19	600106	--  	--  	--  	
000905	厦门港务	-2.85	0.28	港口	390	7.06	7.15	0.28	94297	886	          1.78	3.94	7.35	7.15	0.047㈣	   150.67	67657040	  0.55	         37.97亿	福建	7.32	7.17	62573	31724	  1.97	7.14	127	 -1.04	          5.31	-0.21	         37.97亿	   1757	--  	     54	        0.0010	20190311	19990429	          5.31	--  	--  	85.53	26.88	          9.18	57.84	28.35	34.57	10.62	42.63	0.08	10.46	0.00	133.91	128.89	1.83	-0.02	1.86	1.07	0.25	19.47	2.25	0.52	52200.00	          4565	3.26万	-76.81	-2.35	          1.41	16.89	0.28	7.36	          5.06	0.00	          0.02	          3.67	         31.42	   0.94㈣	          3.75	          1.37	          0.19	000905	20171020	14.48	-50.48	
601008	连云港	-3.33	0.27	港口	592	3.73	3.78	0.27	124184	1973	          1.22	4.87	3.92	3.77	0.008㈢	   348.98	47221892	  0.49	         38.27亿	江苏	3.89	3.80	76741	47443	  1.62	3.77	1029	 -2.14	         10.15	-0.13	         38.27亿	   1710	--  	     73	        0.0007	20190213	20070426	         10.15	--  	--  	71.34	32.06	          0.44	54.44	11.46	48.83	0.00	24.53	16.15	0.24	3.63	9.09	7.00	0.00	0.73	0.02	0.03	0.08	4.39	1.46	0.55	102189.00	          5123	1.93万	57.16	-3.00	          1.19	26.26	4.21	3.90	          3.16	0.00	          1.59	          0.43	         44.95	   0.26㈢	         23.04	          0.04	          0.90	601008	20170330	8.72	-56.59	
