代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
002769	普路通	-4.28	1.20	仓储物流	100	11.51	11.86	1.20	124145	2859	          5.35	6.06	12.26	11.85	0.267㈢	    33.26	146979216	  0.74	         27.49亿	深圳	12.26	11.84	72680	51464	  1.41	11.85	210	 -2.47	          2.32	-0.53	         44.24亿	   2633	--  	     47	        0.0020	20190213	20150629	          3.73	--  	--  	169.16	13.36	         -0.00	92.10	165.69	0.11	0.01	155.57	2.55	1.68	15.44	45.49	41.42	1.19	0.42	1.19	1.00	1.00	6.42	-10.20	-14.93	38918.00	          4381	5.19万	-33.41	13.90	          3.31	-4.34	0.97	12.38	          3.58	0.00	          0.68	          1.72	          7.90	   7.47㈢	          8.95	          2.61	          2.19	002769	20180305	20.47	-41.95	
600179	安通控股	-3.97	0.52	仓储物流	10	7.65	7.74	0.52	145989	2519	          2.17	6.33	8.16	7.74	0.344㈢	    16.87	113810200	  0.54	         52.14亿	黑龙江	8.08	7.80	76471	69517	  1.10	7.73	2692	 -2.77	          6.74	-0.32	        115.09亿	   2440	--  	     60	        0.0009	20190213	19981104	         14.87	--  	--  	106.65	34.04	          0.00	68.08	40.31	49.68	1.41	47.18	1.32	1.10	13.21	73.52	64.04	6.71	0.00	6.70	5.12	5.12	19.58	6.66	0.28	19155.00	         26820	20.76万	39.93	64.36	          3.38	17.27	1.57	8.06	          2.29	0.00	          0.09	          1.32	         31.92	  15.03㈢	         12.90	          9.12	          6.96	600179	--  	--  	--  	
002468	申通快递	-7.69	0.49	仓储物流	24	22.23	22.70	0.49	247837	2659	          7.47	6.30	23.78	22.70	1.052㈢	    16.18	563527680	  1.18	         75.31亿	浙江	23.78	22.74	139321	108515	  1.28	22.69	71	 -5.87	          3.32	-1.89	        347.49亿	   4337	--  	     57	        0.0017	20190213	20100908	         15.31	--  	--  	100.71	80.53	          0.65	19.40	53.60	14.74	7.90	19.25	31.94	0.24	8.82	111.03	91.24	21.36	4.17	21.81	16.14	16.11	41.29	10.90	1.00	32121.00	          7543	17.12万	42.86	29.64	          4.32	31.88	3.13	24.59	          5.26	0.00	          2.09	          2.70	         79.96	  20.00㈢	         17.82	         19.24	         14.51	002468	--  	--  	--  	
603813	原尚股份	0.20	0.45	仓储物流	83	19.81	20.20	0.45	13458	160	          2.88	3.23	20.46	20.19	0.466㈢	    32.51	27068780	  0.65	          9.45亿	广东	20.21	20.11	6238	7220	  0.86	20.19	32	  1.40	          0.47	0.04	         18.08亿	   1879	--  	      7	        0.0015	20181030	20170918	          0.90	--  	--  	7.48	6.12	          0.02	17.87	3.58	2.65	0.63	1.23	2.51	0.01	2.50	6.14	5.25	0.47	0.01	0.49	0.41	0.42	2.48	-0.83	0.03	12730.00	          2619	5.29万	9.89	116.86	          2.95	-21.82	2.94	20.15	          6.84	0.00	          2.81	          2.77	         81.83	   6.81㈢	         14.45	          7.59	          6.79	603813	20180125	36.18	-43.70	
600603	广汇物流	-3.14	0.41	仓储物流	440	4.82	4.93	0.41	124909	625	          2.48	6.29	5.14	4.93	0.212㈢	    17.44	62354764	  0.74	         24.85亿	四川	5.05	4.99	77080	47829	  1.61	4.92	407	 -1.95	          5.04	-0.16	         61.76亿	   2012	--  	     62	        0.0012	20190311	19920113	         12.53	--  	--  	118.19	60.83	          1.25	47.47	60.41	0.47	0.47	35.55	7.51	32.76	5.06	10.09	4.16	3.88	0.03	3.85	2.80	2.66	34.52	5.90	8.39	26742.00	         14266	7.03万	80.16	142.33	          1.02	10.47	6.12	5.09	          4.86	0.00	          0.60	          2.76	         51.47	   4.37㈢	         58.83	         38.48	         26.31	600603	--  	--  	--  	
603648	畅联股份	-8.59	0.39	仓储物流	92	12.78	12.98	0.39	117774	745	          4.31	9.79	14.17	12.98	0.341㈢	    28.57	156893760	  0.92	         35.46亿	上海	14.00	13.32	68804	48969	  1.41	12.97	178	 -7.39	          2.73	-1.22	         47.85亿	   2574	--  	     46	        0.0017	20181030	20170913	          3.69	--  	--  	19.67	16.14	          0.05	17.68	11.66	2.83	1.11	3.36	9.04	0.16	2.14	9.20	6.80	1.52	0.21	1.65	1.25	1.26	2.80	-0.13	-1.04	34160.00	          3405	4.42万	4.88	3.98	          2.96	-363.52	5.20	14.20	          4.38	0.00	          2.45	          0.76	         82.08	   7.78㈢	         26.09	         16.52	         13.65	603648	20171022	27.68	-52.57	
603128	华贸物流	-2.18	0.39	仓储物流	16	7.40	7.65	0.39	417887	2812	          4.38	8.96	8.10	7.64	0.253㈢	    22.69	323600544	  0.80	         72.95亿	上海	7.77	7.74	220304	197582	  1.12	7.64	1902	 -0.98	          9.55	-0.17	         77.32亿	   3056	--  	    137	        0.0014	20190213	20120529	         10.12	--  	--  	56.01	39.44	          0.33	29.01	38.09	6.46	1.83	15.39	19.38	1.35	19.30	68.56	60.60	3.37	0.15	3.41	2.67	2.56	9.22	1.77	-1.16	65451.00	          8199	6.26万	19.10	8.94	          1.96	43.81	1.13	7.81	          3.90	0.00	          1.91	          0.91	         70.41	   6.48㈢	         11.61	          4.92	          3.73	603128	20171024	12.89	-40.07	
002352	顺丰控股	-0.40	0.34	仓储物流	23	34.88	35.30	0.34	33819	519	          0.30	2.57	35.79	35.30	0.685㈢	    38.63	119211776	  0.45	        399.47亿	深圳	35.44	35.25	17733	16086	  1.10	35.27	46	  1.42	         11.32	-0.14	       1559.67亿	   2890	--  	     12	        0.0001	20190313	20100205	         44.18	--  	--  	660.08	348.56	          2.78	46.77	297.23	134.96	65.06	233.39	161.17	7.59	60.76	653.68	533.36	40.35	2.60	40.54	29.77	30.28	135.46	43.85	-62.18	53469.00	         21165	74.71万	-16.87	31.19	          4.27	35.57	2.39	35.44	          8.27	8.27	          3.65	          3.07	         52.81	   8.69㈢	         18.41	          6.17	          4.63	002352	--  	--  	--  	
600794	保税科技	-4.23	0.32	仓储物流	877	3.12	3.17	0.32	191940	1642	          1.61	5.74	3.31	3.17	0.024㈢	    98.87	61068692	  0.75	         37.77亿	江苏	3.25	3.18	120127	71812	  1.67	3.16	34	 -3.03	         11.92	-0.14	         38.43亿	   1657	--  	    116	        0.0010	20190213	19970306	         12.12	--  	--  	32.43	18.05	          2.81	35.68	13.15	10.35	2.32	6.81	2.68	1.09	0.31	10.80	9.44	0.40	-0.55	0.56	0.37	0.29	2.42	1.06	-1.87	85578.00	          9107	2.89万	136.85	63.52	          2.13	36.16	3.56	3.31	          1.49	0.00	          0.22	          0.20	         55.64	   1.62㈢	         12.57	          3.70	          2.70	600794	20170905	4.58	-30.79	
603066	音飞储存	-4.64	0.26	仓储物流	222	7.48	7.62	0.26	80999	477	          2.69	6.27	7.98	7.61	0.238㈢	    23.99	62301572	  0.49	         22.88亿	江苏	7.81	7.69	47971	33028	  1.45	7.61	314	 -3.44	          3.01	-0.37	         23.01亿	   1662	--  	     49	        0.0016	20190213	20150611	          3.02	--  	--  	12.33	9.28	          0.04	24.38	10.28	0.96	0.22	2.95	1.98	2.91	2.12	4.82	3.24	0.82	0.09	0.83	0.71	0.72	3.87	-0.19	-2.69	20204.00	          6610	5.03万	15.26	16.01	          2.48	-120.47	4.78	7.98	          3.07	0.00	          0.66	          1.28	         75.29	   7.75㈢	         32.76	         17.04	         14.93	603066	--  	--  	--  	
