代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
600229	城市传媒	3.64	1.67	出版业	1669	8.40	9.13	1.67	165304	4602	          2.35	8.18	9.12	9.12	0.273㈢	    25.05	144746704	  1.07	         64.03亿	山东	8.71	8.76	90256	75047	  1.20	9.12	364	  4.83	          7.02	0.32	         64.03亿	   2122	--  	     78	        0.0011	20190213	20000309	          7.02	--  	--  	36.91	24.04	          0.04	34.76	19.17	5.17	3.37	12.50	4.41	5.19	5.12	15.45	9.71	1.90	0.01	1.93	1.91	1.92	12.23	0.42	-1.85	39000.00	          8408	7.67万	5.38	13.88	          2.66	153.07	4.15	8.80	          3.42	0.00	          0.63	          1.74	         65.13	   7.97㈢	         37.13	         12.31	         12.41	600229	--  	--  	--  	
600088	中视传媒	2.39	1.21	影视音像	80	15.51	16.70	1.21	298519	814	          7.51	12.82	17.60	16.69	0.195㈢	    64.29	497227392	  1.17	         66.38亿	上海	15.64	16.66	138994	159524	  0.87	16.69	19	  3.59	          3.98	0.39	         66.38亿	   3584	--  	     83	        0.0021	20190213	19970616	          3.98	--  	--  	15.08	11.43	          0.35	21.89	9.54	3.45	0.00	3.30	2.54	0.67	0.18	4.90	3.13	1.09	0.02	1.09	0.82	0.77	3.47	0.67	-3.91	23451.00	          7741	12.92万	16.84	-0.80	          5.81	99.35	13.55	16.30	          2.87	0.00	          0.64	          0.87	         75.80	   6.77㈢	         36.17	         22.20	         15.80	600088	20180322	15.18	32.43	
300426	唐德影视	-4.79	1.04	影视音像	168	7.58	7.76	1.04	86799	2059	          3.43	6.63	8.12	7.75	0.251㈢	    23.20	67571440	  0.85	         19.59亿	浙江	7.93	7.78	51364	35434	  1.45	7.75	177	 -2.98	          2.53	-0.39	         31.00亿	   2216	--  	     39	        0.0015	20190304	20150217	          4.00	--  	--  	35.16	12.89	          0.18	62.82	32.55	0.20	0.01	20.07	1.10	13.53	14.49	6.14	3.36	0.99	-0.00	1.03	0.93	1.00	7.46	-1.65	-2.32	19569.00	         12914	10.01万	-17.77	16.07	          3.38	-18.83	5.05	8.14	          2.29	2.29	          0.28	          1.87	         36.67	   7.77㈢	         45.20	         16.19	         16.33	300426	--  	--  	--  	
000917	电广传媒	-2.62	0.76	影视音像	76	8.88	9.28	0.76	1322818	12013	         10.22	12.91	10.11	9.28	-0.095㈢	--  	1251587584	  1.04	        120.14亿	湖南	9.70	9.46	711425	611393	  1.16	9.27	738	 -0.81	         12.95	-0.25	        131.55亿	   4333	--  	    305	        0.0024	20190213	19990325	         14.18	--  	--  	240.62	98.33	         12.79	53.82	94.23	64.26	8.27	66.65	61.97	30.46	12.82	73.45	60.57	0.38	2.62	0.73	0.20	-1.35	19.13	4.64	0.11	107802.00	          9819	9.11万	-223.10	25.29	          1.34	28.37	1.79	9.53	          6.94	0.00	          4.37	          1.35	         40.87	  -1.38㈢	         17.54	          0.52	         -1.84	000917	--  	--  	--  	
002027	分众传媒	-0.15	0.60	影视音像	4059	6.55	6.73	0.60	1614592	30506	          1.10	3.26	6.77	6.73	0.328㈢	    15.40	1074146432	  0.56	        987.82亿	广东	6.70	6.65	852141	762451	  1.12	6.72	3524	  1.67	        146.78	-0.01	        987.82亿	   4510	--  	    358	        0.0002	20190213	20040804	        146.78	--  	--  	184.86	135.29	          1.76	25.86	121.44	12.63	0.30	36.17	1.86	0.14	51.89	108.77	33.46	58.13	1.70	58.10	47.89	48.10	132.72	15.61	-2.74	134296.00	         83786	56.39万	22.81	24.59	          7.30	63.29	9.08	6.74	          0.92	0.00	          0.01	          0.90	         73.19	  35.55㈢	         69.24	         53.44	         44.22	002027	--  	--  	--  	
000835	长城动漫	-3.47	0.60	影视音像	0	4.93	5.02	0.60	113328	1890	          3.74	7.51	5.32	5.01	-0.060㈢	--  	57651280	  0.62	         15.18亿	四川	5.25	5.09	66764	46563	  1.43	5.01	228	 -1.65	          3.03	-0.18	         16.37亿	   1944	--  	     58	        0.0019	20190307	19990625	          3.27	--  	--  	14.25	4.59	         -0.00	67.81	2.82	1.58	2.48	5.57	0.92	0.24	1.49	0.77	0.40	-0.17	0.04	-0.11	-0.19	-0.20	0.40	-0.11	-2.19	42862.00	          5965	2.99万	-156.59	-51.22	          3.57	-149.96	21.25	5.19	          1.40	0.00	          0.28	          0.12	         32.22	  -4.27㈢	         47.70	        -22.46	        -25.47	000835	--  	--  	--  	
300654	世纪天鸿	-0.44	0.57	出版业	96	24.27	24.69	0.57	22061	238	          3.55	2.99	25.01	24.68	0.158㈢	   117.15	54115788	  0.41	         15.35亿	山东	24.27	24.53	10242	11819	  0.87	24.68	76	  1.37	          0.62	-0.11	         34.56亿	    977	--  	     23	        0.0036	20190311	20170926	          1.40	--  	--  	6.65	4.38	          0.06	33.30	5.35	0.36	0.33	2.10	1.59	0.58	2.18	2.67	1.86	0.27	0.01	0.30	0.22	0.22	1.23	-0.14	0.14	4438.00	         10395	25.65万	17.70	6.26	          7.71	-239.99	12.96	24.79	          3.20	3.20	          1.13	          0.88	         65.84	   5.06㈢	         30.25	         10.26	          8.30	300654	--  	--  	--  	
300364	中文在线	-5.19	0.52	出版业	426	5.68	5.84	0.52	316250	1983	          5.89	7.95	6.17	5.84	0.050㈢	    87.66	185387808	  0.63	         31.34亿	北京	6.14	5.86	182986	133263	  1.37	5.83	1167	 -3.38	          5.37	-0.32	         45.08亿	   2917	--  	    108	        0.0020	20190213	20150121	          7.72	--  	--  	42.46	37.28	          0.16	11.82	12.16	1.25	6.39	4.59	26.39	0.13	3.30	7.10	3.53	0.49	0.81	0.47	0.42	0.39	2.99	-0.53	-2.43	44508.00	         12056	7.04万	3.75	50.27	          1.21	-85.39	6.35	6.16	          4.83	0.00	          3.42	          0.39	         87.81	   1.03㈢	         50.28	          6.90	          5.43	300364	20171026	15.02	-61.03	
600996	贵广网络	-2.69	0.50	影视音像	331	9.80	10.13	0.50	201649	2884	          6.77	8.17	10.65	10.12	0.242㈢	    31.35	203269248	  0.69	         30.16亿	贵州	10.57	10.08	108505	93144	  1.16	10.12	10	 -1.49	          2.98	-0.28	        105.51亿	   2924	--  	     69	        0.0023	20190126	20161226	         10.43	--  	--  	117.09	43.17	          0.53	62.68	40.98	39.47	0.68	61.28	16.05	2.02	14.60	20.15	12.98	2.50	0.01	2.54	2.53	2.52	14.90	1.85	7.70	52470.00	          4512	4.57万	-26.89	15.02	          2.41	57.04	5.24	10.40	          4.20	4.20	          1.54	          1.43	         36.87	   5.85㈢	         35.58	         12.40	         12.52	600996	--  	--  	--  	
000802	北京文化	0.79	0.39	影视音像	404	12.56	12.76	0.39	156565	2640	          4.06	3.40	12.99	12.76	0.065㈢	   148.10	200198176	  0.76	         49.23亿	北京	12.67	12.79	82196	74368	  1.11	12.75	223	  2.61	          3.86	0.10	         91.35亿	   2971	--  	     53	        0.0014	20190308	19980108	          7.16	--  	--  	63.01	48.08	          0.21	23.36	43.11	0.28	0.41	14.66	31.75	7.48	5.85	3.53	1.77	0.63	0.06	0.63	0.46	0.46	8.68	1.90	-0.05	60393.00	          4503	5.75万	144.55	45.80	          1.79	48.19	25.87	12.66	          7.11	7.11	          4.43	          1.21	         76.31	   0.96㈢	         49.86	         17.72	         13.10	000802	20170804	20.74	-38.28	
