代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600131	岷江水电	10.01	0.00	水力发电	27869	17.18	--  	--  	339752	133	          8.33	3.89	17.81	17.81	0.218㈢	    61.31	601267200	  0.63	         72.60亿	四川	17.28	17.70	193161	146591	  1.32	17.81	0	  8.88	
002123	梦网集团	7.83	-0.47	互联网	43	11.63	--  	12.40	564913	5777	          8.75	8.87	12.65	12.40	0.188㈢	    49.49	689967744	  1.28	         80.03亿	深圳	11.70	12.21	284441	280472	  1.01	12.39	2328	  5.46	
600388	龙净环保	5.10	0.38	环境保护	38	12.50	--  	13.19	245951	5780	          2.30	6.06	13.26	13.19	0.496㈢	    19.96	319690304	  1.60	        141.01亿	福建	12.57	13.00	123918	122032	  1.02	13.18	522	  3.98	
002227	奥 特 迅	4.96	0.64	电气设备	599	13.66	--  	14.19	97287	879	          4.42	6.43	14.53	14.19	-0.045㈢	--  	137574576	  1.57	         31.20亿	深圳	13.73	14.14	43655	53631	  0.81	14.18	185	  2.59	
600011	华能国际	4.88	0.57	火力发电	3267	6.77	--  	7.09	702956	11568	          0.67	4.88	7.10	7.09	0.120㈢	    41.97	489494784	  1.65	        744.45亿	北京	6.78	6.96	278511	424445	  0.66	7.08	314	  3.76	
002076	雪 莱 特	4.84	0.82	家用电器	1785	3.51	--  	3.69	421045	9719	          9.45	5.41	3.70	3.68	-0.071㈢	--  	151757472	  1.52	         16.39亿	广东	3.53	3.60	159926	261118	  0.61	3.68	4841	  2.48	
000786	北新建材	4.46	0.40	其他建材	194	19.10	--  	19.90	362419	2624	          2.56	7.09	20.45	19.89	1.160㈢	    12.34	719646656	  1.16	        281.24亿	北京	19.10	19.86	193504	168914	  1.15	19.89	133	  2.10	
002028	思源电气	4.06	-0.07	电气设备	390	11.56	--  	12.06	312827	2824	          5.39	5.95	12.25	12.06	0.315㈢	    28.69	373443232	  1.72	         69.97亿	上海	11.65	11.94	142462	170364	  0.84	12.05	119	  1.69	
000826	启迪桑德	3.40	0.16	环境保护	41	11.76	--  	12.15	364504	4428	          3.07	6.21	12.49	12.15	0.540㈢	    15.37	443699264	  1.65	        144.30亿	湖北	11.90	12.17	184912	179592	  1.03	12.14	273	  1.04	
600649	城投控股	3.36	0.47	区域地产	977	6.28	--  	6.46	400277	2951	          1.65	4.64	6.57	6.46	0.346㈢	    13.99	257788096	  1.20	        156.38亿	上海	6.28	6.44	197478	202799	  0.97	6.45	379	  2.24	
