代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002181	粤 传 媒	10.10	0.00	出版业	59210	5.10	--  	--  	478221	1108	          4.22	9.11	5.56	5.56	0.023㈢	   178.61	256679568	  0.99	         63.07亿	广东	5.25	5.37	254705	223516	  1.14	5.56	0	  7.73	
002780	三夫户外	6.02	0.12	其他商业	223	15.88	--  	16.92	53831	746	          6.68	7.27	17.04	16.92	0.018㈢	   692.21	89542472	  1.93	         13.64亿	北京	16.00	16.63	15475	38355	  0.40	16.90	68	  3.65	
300162	雷曼股份	5.43	1.01	元器件	572	5.72	--  	6.02	219252	3892	         10.01	7.88	6.17	6.02	0.042㈢	   108.07	130507032	  1.28	         13.19亿	深圳	5.72	5.95	101331	117921	  0.86	6.01	281	  3.06	
600132	重庆啤酒	4.87	0.31	啤酒	50	33.39	--  	35.11	42279	1051	          0.87	5.11	35.10	35.10	0.795㈢	    33.12	145182656	  1.21	        169.87亿	重庆	33.40	34.34	17529	24749	  0.71	35.10	108	  3.75	
002052	同洲电子	4.86	-0.20	通信设备	3154	4.51	--  	4.76	652022	4996	          8.74	10.38	4.98	4.75	-0.092㈢	--  	318067616	  2.06	         35.43亿	深圳	4.95	4.88	338606	313415	  1.08	4.75	2734	  2.49	
300431	暴风集团	4.52	-0.30	互联网	129	9.55	--  	9.73	421838	3507	         16.88	7.31	10.23	9.72	-0.710㈢	--  	420115168	  1.67	         24.29亿	北京	10.00	9.96	235452	186385	  1.26	9.72	204	  2.15	
603555	贵人鸟	4.14	0.89	服饰	22	6.54	--  	6.79	135724	2706	          2.16	5.52	6.90	6.79	0.026㈢	   199.34	91171160	  1.38	         42.68亿	福建	6.54	6.72	58894	76829	  0.77	6.77	182	  3.02	
601718	际华集团	3.61	0.23	服饰	2360	4.13	--  	4.31	757344	4217	          1.72	8.19	4.47	4.30	0.039㈢	    83.14	323805024	  1.37	        188.84亿	北京	4.19	4.28	379724	377619	  1.01	4.30	1564	  2.49	
300043	星辉娱乐	3.41	0.00	文教休闲	584	4.21	--  	4.26	402339	1859	          4.46	6.81	4.49	4.25	0.171㈢	    18.66	175920304	  1.87	         38.36亿	广东	4.35	4.37	190860	211478	  0.90	4.25	2090	  1.04	
300291	华录百纳	3.18	0.00	影视音像	859	5.37	--  	5.53	177596	850	          2.96	4.49	5.61	5.52	-0.426㈢	--  	97549456	  1.50	         33.10亿	北京	5.38	5.49	84643	92953	  0.91	5.52	1855	  0.81	
000839	中信国安	3.03	0.00	综合类	9508	4.66	--  	4.76	1839058	22573	          4.69	6.06	4.94	4.76	0.001㈢	  2570.12	880746560	  0.93	        186.54亿	北京	4.76	4.79	916047	923010	  0.99	4.75	53	  0.67	
000652	泰达股份	2.80	1.25	批发业	477	3.94	--  	4.04	543363	6206	          3.69	5.34	4.15	4.04	0.049㈢	    61.79	218534192	  0.93	         59.55亿	天津	4.03	4.02	288097	255266	  1.13	4.03	299	  0.43	
600136	当代明诚	2.54	0.32	影视音像	542	9.11	--  	9.29	92232	534	          2.06	3.76	9.45	9.28	0.267㈢	    26.06	85857112	  1.27	         41.63亿	湖北	9.18	9.31	36880	55352	  0.67	9.28	282	  1.42	
002105	信隆健康	2.37	0.00	文教休闲	89	4.58	--  	4.75	79641	793	          2.16	8.19	4.96	4.75	0.014㈢	   252.71	37710856	  1.95	         17.50亿	深圳	4.65	4.74	39916	39724	  1.00	4.74	77	  0.01	
002659	凯文教育	2.01	-0.11	文教休闲	99	7.92	--  	8.13	139569	2467	          4.49	5.52	8.36	8.13	-0.143㈢	--  	112999136	  0.91	         25.28亿	江苏	8.00	8.10	68911	70657	  0.98	8.12	493	 -0.36	
002431	棕榈股份	1.99	0.22	建筑施工	4004	4.53	--  	4.62	566362	4512	          4.27	3.97	4.71	4.62	0.010㈢	   345.23	262838768	  1.19	         61.22亿	广东	4.54	4.64	279288	287073	  0.97	4.61	339	 -0.38	
600826	兰生股份	1.98	-0.25	商贸代理	31	11.35	--  	11.35	156106	3100	          3.71	2.96	11.68	11.35	0.565㈢	    15.06	179469216	  1.81	         47.74亿	上海	11.55	11.50	81847	74259	  1.10	11.34	1744	  0.86	
600139	西部资源	1.52	0.25	汽车整车	1870	3.94	--  	4.00	233497	4978	          3.53	3.55	4.08	4.00	-0.055㈢	--  	93825208	  0.92	         26.48亿	四川	3.95	4.02	110058	123438	  0.89	3.99	436	  0.40	
000558	莱茵体育	1.47	0.29	文教休闲	1876	3.39	--  	3.46	308304	1636	          2.39	3.81	3.52	3.46	0.015㈢	   170.24	106704760	  1.00	         44.58亿	浙江	3.43	3.46	149865	158439	  0.95	3.45	5973	 -0.90	
002168	惠程科技	1.42	0.47	电气设备	248	10.52	--  	10.72	203596	4319	          2.58	3.31	10.87	10.72	0.420㈢	    20.09	218167888	  1.21	         84.70亿	深圳	10.57	10.72	95430	108166	  0.88	10.71	812	 -0.95	
300526	中潜股份	1.38	0.16	专用机械	122	12.23	--  	12.47	35038	350	          5.83	4.39	12.77	12.46	0.120㈢	    77.85	43797904	  1.38	          7.49亿	广东	12.32	12.50	16167	18870	  0.86	12.46	99	 -0.98	
002346	柘中股份	1.28	0.15	电气设备	96	13.30	--  	13.50	81063	805	          2.07	3.08	13.71	13.49	0.118㈢	    85.54	109403360	  1.03	         52.92亿	上海	13.56	13.50	40586	40477	  1.00	13.49	404	 -1.09	
002098	浔兴股份	1.17	0.49	服饰	3538	9.93	--  	10.36	390108	10063	         10.90	4.20	10.36	10.35	0.133㈢	    58.53	397317920	  1.25	         37.05亿	福建	10.13	10.18	204842	185266	  1.11	10.35	1734	 -1.19	
600881	亚泰集团	1.03	0.51	水泥	257	3.84	--  	3.92	404369	985	          1.25	5.41	4.05	3.92	0.032㈢	    90.75	159468432	  1.06	        126.36亿	吉林	3.91	3.94	210842	193527	  1.09	3.91	1419	 -0.09	
600287	江苏舜天	1.01	0.00	商贸代理	525	5.93	--  	6.02	113973	538	          2.61	4.03	6.17	6.02	0.168㈢	    26.83	68843048	  0.78	         26.30亿	江苏	5.99	6.04	56116	57857	  0.97	6.01	293	 -0.11	
600257	大湖股份	0.97	0.19	渔业	1109	5.14	--  	5.19	183964	1803	          4.31	2.72	5.28	5.19	0.046㈢	    84.81	95804728	  1.23	         22.16亿	湖南	5.16	5.21	87051	96912	  0.90	5.18	809	 -0.15	
002701	奥瑞金	0.95	-0.18	广告包装	5043	5.27	--  	5.32	322521	620	          1.37	1.90	5.37	5.31	0.298㈢	    13.36	171594240	  1.36	        124.97亿	北京	5.31	5.32	187415	135105	  1.39	5.31	3350	 -1.41	
000599	青岛双星	0.94	0.00	汽车配件	1174	4.24	--  	4.28	100949	1046	          1.31	2.36	4.34	4.28	0.070㈢	    49.77	43300232	  1.37	         32.86亿	山东	4.25	4.29	47409	53539	  0.89	4.27	104	 -1.42	
300389	艾比森	0.76	0.64	半导体	71	17.08	--  	17.22	37437	227	          2.28	3.22	17.63	17.20	0.554㈢	    23.29	65149380	  1.41	         28.20亿	深圳	17.34	17.40	20298	17138	  1.18	17.20	4	 -1.60	
002081	金 螳 螂	0.74	0.74	装修装饰	9	10.75	--  	10.88	183590	1789	          0.71	3.06	11.08	10.88	0.600㈢	    13.78	200045200	  0.97	        280.29亿	江苏	10.84	10.90	101379	82211	  1.23	10.81	189	 -1.62	
600358	国旅联合	0.72	0.00	旅游服务	1237	4.14	--  	4.17	127339	682	          2.52	3.14	4.27	4.17	-0.033㈢	--  	53448392	  1.49	         21.06亿	江苏	4.17	4.20	64313	63026	  1.02	4.16	363	 -0.40	
002899	英派斯	0.59	0.07	文教休闲	61	15.23	--  	15.34	27464	299	          3.46	2.23	15.57	15.33	0.382㈢	    30.13	42346164	  0.96	         12.16亿	山东	15.33	15.42	13809	13655	  1.01	15.33	54	 -1.77	
300005	探路者	0.52	0.26	服饰	2069	3.82	--  	3.85	266379	2502	          4.02	3.66	3.96	3.85	0.028㈢	   101.72	103713032	  1.10	         25.50亿	北京	3.86	3.89	123986	142393	  0.87	3.84	95	 -1.84	
002482	广田集团	0.51	0.34	装修装饰	33	5.86	--  	5.91	189790	655	          1.24	3.41	6.06	5.90	0.300㈢	    14.73	112851976	  1.38	         90.23亿	深圳	5.88	5.95	84206	105584	  0.80	5.90	809	 -1.85	
002858	力盛赛车	0.49	0.18	文教休闲	78	16.22	--  	16.35	22447	225	          3.64	2.65	16.65	16.32	0.083㈢	   146.68	36781880	  1.03	         10.06亿	上海	16.30	16.39	13274	9172	  1.45	16.32	34	 -1.87	
600158	中体产业	0.49	0.29	文教休闲	63	10.13	--  	10.33	315363	2056	          4.80	4.38	10.58	10.32	0.053㈢	   147.27	326368448	  1.04	         67.85亿	天津	10.28	10.35	163976	151386	  1.08	10.32	887	 -0.63	
002027	分众传媒	0.29	0.00	影视音像	18789	6.84	--  	6.90	3253209	22605	          2.22	4.65	7.16	6.90	0.328㈢	    15.79	2272379392	  1.41	       1012.77亿	广东	6.97	6.99	1694200	1559009	  1.09	6.89	3637	 -2.07	
600814	杭州解百	0.17	0.00	百货	597	5.83	--  	5.85	53331	579	          0.75	2.57	5.98	5.84	0.184㈢	    23.80	31406412	  0.97	         41.76亿	浙江	5.86	5.89	29235	24095	  1.21	5.84	207	 -0.95	
002395	双象股份	0.00	0.48	塑料	2	14.59	--  	14.68	15475	146	          0.87	2.59	14.97	14.68	0.093㈢	   117.93	22864008	  1.06	         26.25亿	江苏	14.68	14.78	10171	5303	  1.92	14.66	151	 -2.36	
002587	奥拓电子	-0.15	0.00	元器件	1414	6.51	--  	6.57	257727	1488	          6.46	4.71	6.82	6.57	0.200㈢	    25.47	170769616	  0.93	         26.23亿	深圳	6.60	6.63	148331	109396	  1.36	6.56	12	 -2.52	
002615	哈尔斯	-0.64	-0.15	家居用品	484	6.15	--  	6.21	60781	999	          2.65	2.88	6.33	6.20	0.200㈢	    23.29	37967516	  0.74	         14.25亿	浙江	6.24	6.25	33376	27404	  1.22	6.20	118	 -3.01	
000720	*ST新能	-1.07	0.22	火力发电	127	4.59	--  	4.63	171392	974	          1.98	3.43	4.75	4.62	0.431㈢	     8.05	79991944	  1.30	         39.89亿	山东	4.68	4.67	109621	61771	  1.77	4.62	438	 -3.44	
300651	金陵体育	-1.14	1.23	文教休闲	2	48.88	--  	50.10	12061	235	          4.85	6.12	51.98	50.10	0.357㈢	   105.34	60760972	  1.14	         12.46亿	江苏	50.70	50.38	7316	4745	  1.54	50.08	18	 -3.51	
数据来源:通达信
