代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
600635	大众公用	-9.07	1.01	供气供热	17284	6.95	7.02	1.01	2428386	22330	         10.04	7.77	7.55	7.02	0.113㈢	    46.45	1727628032	  0.92	        169.80亿	上海	7.40	7.11	1160986	1267399	  0.92	7.01	5735	 -7.87	         24.19	-0.70	        169.80亿	   4567	--  	    532	        0.0022	20190213	19930304	         29.52	--  	          5.34	206.32	70.46	         12.32	59.88	50.55	41.76	10.00	57.93	11.13	0.60	3.52	37.79	32.87	4.34	3.80	4.43	3.93	3.35	18.68	0.90	-24.83	196940.00	          8987	6.31万	-5.93	13.58	          2.94	230.86	5.48	7.72	          2.39	0.00	          0.38	          0.63	         34.15	   4.75㈢	         13.01	         11.50	          8.86	600635	--  	--  	--  	
000692	惠天热电	-4.76	0.59	供气供热	754	3.31	3.40	0.59	81481	992	          1.53	8.40	3.61	3.40	-0.565㈢	--  	27834120	  0.71	         18.11亿	辽宁	3.53	3.42	46894	34587	  1.36	3.39	183	 -2.95	          5.33	-0.17	         18.12亿	   1159	--  	     70	        0.0013	20190213	19970227	          5.33	--  	--  	53.24	10.24	          0.40	80.02	18.05	25.99	2.11	38.17	3.79	3.81	5.33	10.36	12.44	-3.96	-0.04	-3.89	-3.01	-3.01	-0.40	-5.08	-1.11	39059.00	          8852	3.01万	-161.50	4.78	          1.77	-3.57	1.75	3.57	          1.92	0.00	          0.71	         -0.08	         19.23	 -29.40㈢	        -20.09	        -38.22	        -29.05	000692	--  	--  	--  	
600617	国新能源	-0.93	0.57	供气供热	44	5.24	5.34	0.57	67555	678	          0.69	4.09	5.46	5.33	0.012㈢	   346.40	35995784	  0.81	         51.96亿	山西	5.37	5.33	35330	32225	  1.10	5.33	228	  0.27	          9.75	-0.05	         57.81亿	   1625	--  	     42	        0.0004	20190213	19921013	         10.85	          1.10	--  	280.10	37.52	          6.17	84.40	57.56	107.66	6.25	95.65	9.37	2.69	9.87	70.08	57.90	0.57	-0.10	0.38	-0.35	0.13	15.39	4.51	6.02	38939.00	         11087	5.91万	98.93	2.79	          1.54	12.83	0.82	5.38	          3.46	0.00	          0.86	          1.42	         13.40	   0.33㈢	         17.38	          0.81	          0.18	600617	20171124	7.99	-33.29	
000669	金鸿控股	1.26	0.47	供气供热	868	6.08	6.44	0.47	404285	4197	          6.03	8.81	6.64	6.44	0.250㈢	    19.28	257505968	  0.85	         43.14亿	吉林	6.36	6.37	199174	205111	  0.97	6.43	193	  3.07	          6.70	0.08	         43.82亿	   3475	--  	    116	        0.0017	20190213	19961210	          6.80	--  	--  	127.02	42.92	          4.83	62.41	14.50	64.54	5.93	43.65	15.99	1.32	6.34	30.51	24.72	2.93	1.29	2.93	1.77	1.70	19.06	6.29	-5.03	43706.00	          9787	6.30万	-11.41	32.05	          1.02	6.97	1.44	6.36	          6.31	0.00	          2.35	          2.80	         33.79	   3.97㈢	         18.96	          9.60	          5.59	000669	20181010	6.70	-3.88	
600167	联美控股	5.36	0.44	供气供热	12	12.76	13.57	0.44	82863	950	          1.01	9.24	13.95	13.57	0.748㈣	    18.14	110651176	  1.35	        111.52亿	辽宁	12.85	13.35	35543	47320	  0.75	13.52	238	  6.56	          8.22	0.69	        238.84亿	   3163	--  	     26	        0.0003	20190312	19990128	         17.60	--  	--  	110.02	61.07	          0.86	43.72	55.79	29.16	2.88	27.25	6.99	1.68	0.00	30.37	14.41	16.93	0.41	17.06	13.49	13.17	33.83	11.33	-12.42	9345.00	         54217	73.57万	25.68	11.89	          3.91	21.08	7.86	12.88	          3.47	0.00	          0.40	          1.92	         55.50	  21.56㈣	         52.56	         55.73	         43.36	600167	--  	--  	--  	
603080	新疆火炬	2.60	0.42	供气供热	1121	20.90	21.68	0.42	53831	1630	          6.17	3.69	21.68	21.68	0.409㈢	    39.72	115312568	  0.91	         18.91亿	新疆	21.10	21.42	23948	29883	  0.80	21.67	253	  3.80	          0.87	0.55	         30.68亿	   2358	--  	     23	        0.0026	20190102	20180103	          1.42	--  	--  	11.21	9.92	          0.00	11.49	6.52	2.82	1.07	1.26	4.86	0.57	0.57	2.45	1.46	0.65	0.01	0.65	0.58	0.58	3.39	0.85	-0.62	22995.00	          2951	6.40万	17.12	13.59	          3.09	35.96	12.50	21.13	          7.01	0.00	          3.43	          2.39	         88.51	   5.84㈢	         40.55	         26.42	         23.59	603080	20180411	46.09	-52.55	
002893	华通热力	2.37	0.38	供气供热	66	15.71	15.98	0.38	58883	770	          9.19	8.59	17.05	15.97	0.150㈢	    80.81	95682904	  1.55	         10.23亿	北京	16.08	16.25	28664	30218	  0.95	15.97	71	  4.19	          0.64	0.37	         19.64亿	   2323	--  	     25	        0.0040	20181217	20170915	          1.23	--  	--  	13.89	6.00	          0.13	55.93	5.74	3.89	0.04	6.79	2.61	0.56	2.54	5.90	5.25	0.19	0.01	0.21	0.14	0.18	2.10	-1.27	-3.47	20389.00	          2465	3.94万	-47.58	7.41	          3.20	-15.51	3.33	15.60	          5.00	5.00	          2.12	          1.70	         43.16	   3.04㈢	         11.11	          3.28	          3.09	002893	20171013	41.82	-61.57	
600333	长春燃气	3.42	0.33	供气供热	3125	5.75	6.05	0.33	227317	3812	          4.29	5.99	6.10	6.04	-0.212㈢	--  	135121328	  1.17	         31.99亿	吉林	5.88	5.94	97959	129358	  0.76	6.04	4227	  4.62	          5.30	0.20	         36.79亿	   2449	--  	     93	        0.0018	20190213	20001211	          6.09	--  	--  	54.25	20.20	          0.08	62.62	7.86	35.53	2.72	28.84	9.90	3.99	0.95	10.42	7.51	-1.27	0.09	-1.26	-1.30	-1.29	2.64	-0.93	-0.60	56762.00	          4426	2.67万	-848.57	11.78	          1.82	-39.39	3.53	5.84	          3.32	0.00	          1.63	          0.43	         37.23	  -6.39㈢	         27.98	        -12.22	        -12.38	600333	--  	--  	--  	
000593	大通燃气	2.47	0.28	供气供热	2133	6.80	7.05	0.28	147219	2533	          5.26	4.94	7.14	7.05	0.048㈢	   109.13	102932824	  1.03	         19.73亿	四川	6.89	6.99	67141	80078	  0.84	7.04	1217	  4.29	          2.80	0.17	         25.28亿	   2520	--  	     58	        0.0021	20190213	19960312	          3.59	--  	--  	17.84	11.25	          0.04	36.69	4.27	4.63	0.43	2.51	6.56	0.82	1.24	4.64	3.57	0.31	0.11	0.33	0.17	0.17	0.92	0.63	0.18	39839.00	          4305	3.04万	248.77	40.54	          2.25	40.08	5.44	6.88	          3.14	0.00	          1.83	          0.26	         63.08	   1.54㈢	         23.04	          6.78	          3.74	000593	--  	--  	--  	
600982	宁波热电	-2.60	0.27	供气供热	94	3.68	3.75	0.27	104411	848	          1.40	6.23	3.92	3.75	0.207㈣	    18.13	39418668	  0.74	         28.01亿	浙江	3.81	3.78	59717	44694	  1.34	3.74	1770	 -1.40	          7.47	-0.10	         28.01亿	   1475	--  	     71	        0.0009	20190228	20040706	          7.47	--  	--  	48.22	25.51	          2.89	41.10	30.06	8.81	0.64	15.23	10.49	2.24	0.00	17.41	15.15	2.17	1.67	2.23	1.71	1.54	6.64	0.18	0.41	40952.00	         11424	4.28万	60.91	11.76	          1.10	156.31	1.61	3.85	          3.42	0.00	          1.40	          0.89	         52.91	   6.05㈣	         12.99	         12.46	          8.87	600982	--  	--  	--  	
