代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600425	青松建化	10.10	0.00	水泥	168450	4.36	--  	--  	904031	5054	          6.56	2.71	4.47	4.47	0.328㈢	    10.22	403698400	  1.33	         61.63亿	新疆	4.47	4.47	675339	228692	  2.95	4.47	0	  8.98	
600383	金地集团	8.03	1.06	全国地产	1320	11.55	--  	12.38	978696	11398	          2.17	9.00	12.58	12.37	1.162㈢	     7.98	1186030720	  2.51	        558.45亿	深圳	11.60	12.12	470455	508241	  0.93	12.37	1001	  6.91	
000786	北新建材	4.46	0.40	其他建材	194	19.10	--  	19.90	362419	2624	          2.56	7.09	20.45	19.89	1.160㈢	    12.34	719646656	  1.16	        281.24亿	北京	19.10	19.86	193504	168914	  1.15	19.89	133	  2.10	
000877	天山股份	4.40	0.10	水泥	3016	10.15	--  	10.45	1029467	11367	         11.70	8.20	10.97	10.44	0.730㈢	    10.73	1088057856	  2.20	         91.88亿	新疆	10.45	10.57	542557	486910	  1.11	10.44	2011	  2.04	
600048	保利地产	4.12	0.14	全国地产	4935	13.39	--  	13.91	2891193	19770	          2.46	7.04	14.33	13.90	0.810㈢	    12.92	3999716608	  1.79	       1636.44亿	广东	13.40	13.83	1369550	1521643	  0.90	13.90	845	  3.00	
000002	万 科Ａ	4.06	0.54	全国地产	100	28.54	--  	29.71	1414795	8092	          1.46	6.34	30.35	29.70	1.267㈢	    17.58	4185090560	  1.51	       2885.41亿	深圳	28.80	29.58	640764	774031	  0.83	29.70	1	  1.70	
600649	城投控股	3.36	0.47	区域地产	977	6.28	--  	6.46	400277	2951	          1.65	4.64	6.57	6.46	0.346㈢	    13.99	257788096	  1.20	        156.38亿	上海	6.28	6.44	197478	202799	  0.97	6.45	379	  2.24	
002359	北讯集团	3.06	0.31	通信设备	3111	9.55	--  	9.76	631043	5192	          8.91	4.54	9.98	9.76	0.493㈢	    14.85	618415552	  0.91	         69.11亿	深圳	9.55	9.80	315354	315688	  1.00	9.75	731	  0.70	
600876	洛阳玻璃	3.05	-0.22	玻璃	353	12.37	--  	12.86	114924	994	          4.39	8.42	13.42	12.85	0.004㈢	  2206.29	147590400	  1.77	         33.64亿	河南	12.38	12.84	55394	59530	  0.93	12.85	356	  1.93	
600173	卧龙地产	2.80	0.42	全国地产	284	4.65	--  	4.78	144193	1410	          2.06	4.30	4.85	4.78	0.447㈢	     8.01	68860320	  1.01	         33.41亿	浙江	4.66	4.78	62000	82192	  0.75	4.77	1426	  1.67	
000031	中粮地产	2.76	0.85	全国地产	320	5.82	--  	5.95	377417	1827	          2.08	3.80	6.04	5.95	0.500㈢	    19.29	224735104	  1.35	        107.92亿	深圳	5.82	5.95	190237	187179	  1.02	5.94	1158	  0.40	
000401	冀东水泥	2.56	0.06	水泥	2770	16.01	--  	16.40	847632	12462	          6.29	4.00	16.65	16.40	1.050㈢	    11.72	1380406016	  1.08	        220.94亿	河北	16.53	16.29	432534	415097	  1.04	16.39	2045	  0.20	
300093	金刚玻璃	2.40	0.74	玻璃	10	6.69	--  	6.84	88659	1534	          4.11	3.74	6.94	6.84	0.066㈢	    77.44	60342352	  1.11	         14.75亿	广东	6.70	6.81	47135	41523	  1.14	6.81	233	  0.03	
600266	北京城建	2.37	0.00	区域地产	135	9.42	--  	9.52	324967	2160	          2.07	4.09	9.80	9.52	0.370㈢	    16.68	311364576	  1.26	        149.18亿	北京	9.42	9.58	173077	151890	  1.14	9.51	732	  1.24	
600165	新日恒力	2.34	0.57	钢加工	1044	5.10	--  	5.25	463818	17666	          6.77	3.90	5.30	5.25	0.000㈢	  8194.26	240864224	  0.99	         35.96亿	宁夏	5.14	5.19	232332	231486	  1.00	5.24	6031	  1.22	
600117	西宁特钢	2.29	0.50	特种钢	1917	3.88	--  	4.03	375284	3324	          5.06	8.14	4.20	4.02	-0.551㈢	--  	150395872	  1.14	         29.80亿	青海	3.92	4.01	180521	194762	  0.93	4.02	3543	  1.17	
600322	天房发展	2.28	0.84	区域地产	588	3.50	--  	3.59	162440	1552	          1.47	3.42	3.62	3.59	0.134㈢	    20.02	58088948	  1.05	         39.69亿	天津	3.51	3.58	71291	91149	  0.78	3.58	670	  1.16	
002367	康力电梯	2.27	0.00	运输设备	2035	8.01	--  	8.11	310706	4159	          5.93	5.93	8.48	8.11	0.078㈢	    78.03	255277056	  0.91	         42.52亿	江苏	8.35	8.22	157105	153600	  1.02	8.10	242	 -0.09	
600170	上海建工	2.25	0.55	建筑施工	7568	3.56	--  	3.63	764342	7707	          0.90	3.10	3.67	3.63	0.190㈢	    13.39	277400992	  1.28	        308.07亿	上海	3.57	3.63	342155	422187	  0.81	3.62	890	  1.13	
600340	华夏幸福	1.97	0.00	区域地产	477	30.98	--  	31.65	418821	2420	          1.42	6.12	32.88	31.65	2.540㈢	     9.05	1341710848	  2.02	        935.24亿	河北	31.00	32.04	203832	214988	  0.95	31.64	13	  0.84	
000926	福星股份	1.96	0.00	区域地产	304	7.15	--  	7.27	418325	1956	          4.42	3.23	7.38	7.27	0.697㈢	     7.82	304021120	  1.31	         68.85亿	湖北	7.15	7.27	189284	229040	  0.83	7.26	58	 -0.40	
600208	新湖中宝	1.62	0.00	全国地产	2909	3.68	--  	3.77	1204602	5892	          1.40	5.68	3.89	3.76	0.206㈢	    13.70	455135872	  1.04	        323.29亿	浙江	3.71	3.78	618590	586012	  1.06	3.76	158	  0.50	
