代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300370	安控科技	10.15	0.00	电器仪表	213920	3.58	--  	--  	151726	224	          2.13	0.00	3.58	3.58	-0.009㈢	--  	54317832	  0.25	         25.56亿	北京	3.58	3.58	133406	18319	  7.28	3.58	0	  7.79	
000977	浪潮信息	10.02	0.00	电脑设备	109822	22.27	--  	--  	1503209	1426	         11.66	6.68	23.71	23.71	0.289㈢	    61.60	3495555328	  2.39	        305.68亿	山东	23.40	23.25	833436	669773	  1.24	23.71	0	  7.66	
300017	网宿科技	9.96	0.00	电信运营	267248	11.60	--  	--  	2367446	1731	         12.31	1.96	11.81	11.81	0.252㈢	    35.13	2793327360	  1.97	        227.10亿	上海	11.81	11.80	1814149	553296	  3.28	11.81	0	  7.60	
600100	同方股份	9.28	-0.08	电脑设备	1542	10.52	--  	11.20	613050	3001	          2.07	7.23	11.26	11.19	-0.193㈢	--  	679055552	  3.44	        331.66亿	北京	10.52	11.08	255934	357115	  0.72	11.19	1809	  8.16	
603496	恒为科技	5.88	0.03	电脑设备	68	27.68	--  	29.02	48200	387	          6.34	6.61	29.49	29.01	0.590㈢	    37.40	137664864	  1.99	         22.07亿	上海	27.68	28.56	18162	30038	  0.60	29.01	28	  4.75	
300379	东方通	5.13	-0.13	软件服务	226	20.08	--  	20.91	169304	1290	          8.81	8.05	21.68	20.90	0.081㈢	   193.29	353326464	  1.15	         40.18亿	北京	20.08	20.87	81599	87704	  0.93	20.90	38	  2.77	
300634	彩讯股份	4.40	0.26	软件服务	93	26.26	--  	27.29	86218	1082	         21.55	7.35	28.18	27.29	0.206㈢	    99.48	234845536	  1.47	         10.92亿	深圳	26.26	27.24	40066	46152	  0.87	27.28	38	  2.03	
300479	神思电子	3.86	0.52	软件服务	46	17.25	--  	17.50	139301	1487	          8.71	5.88	18.24	17.50	0.039㈢	   339.99	246892224	  0.97	         28.00亿	山东	17.54	17.72	63393	75907	  0.84	17.49	37	  1.49	
000606	顺利办	3.58	-0.68	互联网	112	6.98	--  	7.24	229596	1844	          4.20	7.02	7.47	7.23	0.411㈢	    13.20	166190960	  1.17	         39.51亿	青海	6.98	7.24	104753	124843	  0.84	7.23	582	  1.22	
600410	华胜天成	3.57	0.83	软件服务	1597	7.07	--  	7.26	584483	3750	          5.32	5.86	7.48	7.25	0.046㈢	   117.09	424425440	  1.48	         79.66亿	北京	7.16	7.26	274834	309649	  0.89	7.25	486	  2.45	
603232	格尔软件	3.56	0.06	软件服务	15	30.70	--  	32.36	24626	42	          4.81	8.66	33.40	32.27	0.132㈢	   183.90	79719224	  1.18	         16.51亿	上海	31.21	32.37	13006	11619	  1.12	32.27	26	  2.44	
000555	神州信息	2.93	0.34	软件服务	1164	11.75	--  	11.96	388912	3686	          4.16	3.88	12.20	11.95	0.308㈢	    29.14	466352032	  1.14	        111.72亿	深圳	11.75	11.99	193337	195574	  0.99	11.95	926	  0.56	
000793	华闻传媒	2.88	0.26	出版业	6053	3.85	--  	3.93	1529312	15184	          7.89	5.50	4.06	3.93	0.011㈢	   256.55	602117184	  0.83	         76.20亿	海南	3.86	3.94	774686	754625	  1.03	3.92	3623	  0.52	
603019	中科曙光	2.66	0.00	电脑设备	556	47.40	--  	47.92	323690	1699	          5.03	4.50	49.50	47.91	0.270㈢	   132.91	1570715008	  1.28	        308.07亿	天津	48.51	48.53	165686	158003	  1.05	47.91	125	  1.54	
002912	中新赛克	2.44	0.38	软件服务	7	102.75	--  	104.91	18168	101	          3.51	6.13	109.03	104.90	1.465㈢	    53.69	193038608	  1.31	         54.36亿	深圳	102.75	106.25	7729	10438	  0.74	104.90	1	  0.08	
002439	启明星辰	2.40	0.08	软件服务	92	25.66	--  	26.47	179831	1067	          2.88	7.12	27.50	26.47	0.132㈢	   150.47	479287808	  1.27	        165.15亿	北京	26.01	26.65	84631	95200	  0.89	26.46	110	  0.03	
300659	中孚信息	2.39	-0.02	软件服务	92	29.00	--  	30.18	29838	341	          4.59	7.37	31.16	30.00	-0.028㈢	--  	89826544	  0.66	         19.49亿	山东	29.24	30.10	18221	11616	  1.57	30.00	5	  0.02	
