代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
601700	风范股份	10.02	0.00	电气设备	9064	8.15	--  	--  	1574180	11557	         13.89	12.77	9.22	9.22	0.035㈢	   195.94	1384298240	  1.34	        104.48亿	江苏	8.41	8.79	758828	815352	  0.93	9.22	0	  8.90	
000563	陕国投Ａ	9.13	-0.87	多元金融	2106	4.96	--  	5.62	6204720	35580	         15.65	13.79	5.67	5.62	0.070㈢	    70.71	3341320448	  2.18	        222.78亿	陕西	5.00	5.39	3295517	2909202	  1.13	5.61	6977	  6.76	
601177	杭齿前进	6.72	0.08	机械基件	235	12.11	--  	12.86	55951	537	          1.40	7.05	12.96	12.86	0.028㈢	   346.65	71263776	  0.91	         51.45亿	浙江	12.11	12.74	21629	34321	  0.63	12.85	636	  5.60	
600783	鲁信创投	5.44	0.09	矿物制品	1198	22.30	--  	23.46	640983	6708	          8.61	7.33	23.93	23.46	0.291㈢	    60.38	1484397696	  1.00	        174.63亿	山东	23.11	23.16	327642	313341	  1.05	23.45	267	  4.32	
000425	徐工机械	4.49	0.24	工程机械	6142	4.06	--  	4.19	2567525	12265	          3.67	6.23	4.31	4.19	0.192㈢	    16.33	1077102976	  1.93	        293.03亿	江苏	4.09	4.20	1176275	1391250	  0.85	4.18	6369	  2.12	
002285	世联行	3.95	0.17	房产服务	124	5.84	--  	6.06	407757	4339	          2.03	6.36	6.21	6.05	0.184㈢	    24.69	246697344	  1.30	        121.61亿	深圳	5.85	6.05	182061	225695	  0.81	6.05	709	  1.59	
601106	中国一重	3.56	0.49	工程机械	3726	4.00	--  	4.08	2021808	27375	          3.09	7.12	4.28	4.07	0.015㈢	   203.49	834156416	  1.42	        266.10亿	黑龙江	4.01	4.13	967712	1054095	  0.92	4.07	7919	  2.44	
000652	泰达股份	2.80	1.25	批发业	477	3.94	--  	4.04	543363	6206	          3.69	5.34	4.15	4.04	0.049㈢	    61.79	218534192	  0.93	         59.55亿	天津	4.03	4.02	288097	255266	  1.13	4.03	299	  0.43	
000837	秦川机床	2.54	0.77	机床制造	426	5.00	--  	5.25	371524	6882	          6.38	7.63	5.39	5.24	-0.031㈢	--  	192120704	  1.15	         30.53亿	陕西	5.06	5.17	200532	170991	  1.17	5.24	80	  0.18	
000567	海德股份	2.53	0.29	多元金融	630	13.32	--  	13.76	110399	1091	          7.34	5.29	14.03	13.76	0.220㈢	    59.77	150746976	  0.92	         20.69亿	海南	13.56	13.65	58419	51980	  1.12	13.75	62	  0.17	
000600	建投能源	2.27	0.30	火力发电	486	6.61	--  	6.75	142609	1408	          1.31	3.33	6.83	6.75	0.158㈢	    32.04	96267336	  1.04	         73.58亿	河北	6.61	6.75	62823	79785	  0.79	6.74	103	 -0.09	
002657	中科金财	2.06	0.00	软件服务	806	17.26	--  	17.81	378091	2298	         13.68	8.14	18.68	17.80	0.200㈢	    66.71	678511296	  1.31	         49.20亿	北京	17.50	17.95	188958	189132	  1.00	17.80	40	 -0.30	
000597	东北制药	1.99	0.41	化学制药	44	11.93	--  	12.34	96006	1662	          2.03	3.97	12.41	12.33	0.300㈢	    35.83	116870216	  1.53	         58.37亿	辽宁	12.09	12.17	44787	51219	  0.87	12.33	161	 -0.38	
600657	信达地产	1.64	0.20	全国地产	156	4.89	--  	4.96	150618	726	          0.99	3.48	5.06	4.96	0.410㈢	    11.96	74928208	  1.17	         75.60亿	北京	4.91	4.97	75136	75482	  1.00	4.94	211	  0.52	
600736	苏州高新	1.44	0.16	园区开发	2155	6.29	--  	6.35	331818	1469	          2.88	3.83	6.53	6.35	0.290㈢	    12.85	212064416	  0.93	         73.11亿	江苏	6.38	6.39	174062	157755	  1.10	6.34	1322	  0.32	
000928	中钢国际	1.41	0.20	建筑施工	634	4.96	--  	5.05	237357	3137	          3.19	3.22	5.12	5.04	0.224㈢	    16.86	119970952	  0.85	         37.46亿	吉林	5.00	5.05	110448	126908	  0.87	5.04	1064	 -0.96	
002134	天津普林	1.34	-0.14	元器件	711	6.72	--  	6.84	43979	302	          1.79	3.41	6.95	6.83	-0.053㈢	--  	30125146	  0.95	         16.79亿	天津	6.78	6.85	18419	25560	  0.72	6.83	275	 -1.03	
600705	中航资本	1.33	0.33	多元金融	8398	5.91	--  	6.08	1750008	10832	          1.95	6.67	6.31	6.08	0.245㈢	    18.60	1067667648	  0.87	        545.76亿	黑龙江	6.05	6.10	769755	980252	  0.79	6.07	3384	  0.21	
601600	中国铝业	1.18	0.47	铝	8311	4.24	--  	4.30	2009587	10920	          1.83	3.76	4.40	4.30	0.080㈢	    36.69	867119104	  1.00	        471.27亿	北京	4.25	4.31	1007215	1002371	  1.00	4.29	13990	  0.05	
600509	天富能源	1.06	0.42	火力发电	1699	4.61	--  	4.76	412677	3407	          4.56	4.88	4.84	4.76	0.056㈢	    63.56	195175872	  0.88	         43.11亿	新疆	4.71	4.73	207557	205119	  1.01	4.75	730	 -0.06	
000993	闽东电力	1.05	0.17	水力发电	747	5.58	--  	5.79	147956	4245	          3.97	4.90	5.86	5.78	-0.180㈢	--  	84859152	  0.93	         21.56亿	福建	5.60	5.74	75889	72066	  1.05	5.78	1969	 -1.32	
000960	锡业股份	0.88	0.32	小金属	341	12.41	--  	12.56	428938	3081	          3.05	3.94	12.90	12.55	0.436㈢	    21.58	542820416	  1.04	        176.47亿	云南	12.58	12.65	218247	210690	  1.04	12.55	563	 -1.48	
300309	吉艾科技	0.81	0.00	多元金融	311	7.37	--  	7.43	276856	3936	          3.71	3.53	7.63	7.43	0.350㈢	    15.91	206916256	  1.07	         55.50亿	北京	7.49	7.47	144313	132542	  1.09	7.42	1119	 -1.55	
002386	天原集团	0.80	0.00	化工原料	229	6.26	--  	6.32	156539	2509	          2.33	2.39	6.41	6.32	0.190㈢	    24.92	99177344	  1.01	         42.45亿	四川	6.27	6.34	77855	78683	  0.99	6.31	1201	 -1.57	
601038	一拖股份	0.79	-0.19	农用机械	620	5.04	--  	5.09	122617	577	          2.06	2.98	5.19	5.08	-0.403㈢	--  	62712424	  0.92	         30.17亿	河南	5.05	5.11	61602	61015	  1.01	5.08	633	 -0.33	
601198	东兴证券	0.74	0.82	证券	125	13.21	--  	13.60	680695	6532	          2.47	8.38	14.34	13.59	0.282㈢	    36.11	930818304	  1.03	        374.81亿	北京	13.60	13.67	334003	346692	  0.96	13.59	704	 -0.38	
601992	金隅集团	0.73	0.73	水泥	1068	4.09	--  	4.15	1567435	14686	          1.88	2.92	4.21	4.14	0.291㈢	    10.68	649814656	  1.09	        345.03亿	北京	4.16	4.15	874149	693286	  1.26	4.14	10380	 -0.39	
600704	物产中大	0.72	0.00	商贸代理	486	5.49	--  	5.57	352497	1815	          0.82	4.17	5.72	5.56	0.380㈢	     9.84	197186096	  1.16	        239.45亿	浙江	5.57	5.59	175954	176543	  1.00	5.56	1991	 -0.40	
000792	盐湖股份	0.54	0.41	化工原料	2305	7.27	--  	7.42	580802	5421	          2.11	3.53	7.53	7.41	-0.436㈢	--  	429629664	  1.04	        203.77亿	青海	7.35	7.40	300581	280221	  1.07	7.41	864	 -1.82	
600784	鲁银投资	0.54	0.18	普钢	433	5.59	--  	5.64	109542	814	          1.93	2.68	5.74	5.63	0.114㈢	    36.89	61990244	  0.87	         31.99亿	山东	5.63	5.66	54948	54594	  1.01	5.63	130	 -0.59	
002430	杭氧股份	0.44	0.09	化工机械	744	11.38	--  	11.44	189262	1431	          1.99	3.25	11.75	11.43	0.559㈢	    15.33	218848912	  1.21	        108.56亿	浙江	11.40	11.56	108953	80308	  1.36	11.43	293	 -1.93	
300178	腾邦国际	0.41	0.10	旅游服务	472	9.60	--  	9.70	259547	1816	          4.43	4.56	10.04	9.69	0.477㈢	    15.24	254108736	  1.19	         56.73亿	深圳	9.65	9.79	128644	130903	  0.98	9.69	551	 -1.95	
000520	长航凤凰	0.29	0.00	水运	4948	3.39	--  	3.42	199832	2188	          1.97	2.35	3.47	3.41	0.059㈢	    43.24	68500320	  0.84	         34.51亿	湖北	3.40	3.43	106047	93784	  1.13	3.41	2396	 -2.07	
600163	中闽能源	0.26	0.26	新型电力	2536	3.81	--  	3.84	115588	264	          1.16	2.35	3.90	3.84	0.097㈢	    29.80	44488916	  1.09	         38.38亿	福建	3.83	3.85	67776	47811	  1.42	3.83	754	 -0.86	
601555	东吴证券	0.21	-0.10	证券	3690	9.24	--  	9.46	754109	5504	          2.61	8.27	10.02	9.45	0.064㈢	   110.75	722360640	  0.97	        273.20亿	江苏	9.46	9.58	414113	339995	  1.22	9.45	1811	 -0.91	
601158	重庆水务	0.16	-0.15	水务	258	6.12	--  	6.14	88277	378	          0.18	1.63	6.22	6.13	0.290㈢	    15.86	54539996	  1.08	        294.24亿	重庆	6.16	6.18	47894	40383	  1.19	6.13	466	 -0.96	
000668	荣丰控股	0.00	0.56	区域地产	29	12.45	--  	12.53	21912	77	          1.49	2.39	12.75	12.53	0.032㈢	   297.46	27558308	  0.98	         18.38亿	上海	12.55	12.58	12113	9799	  1.24	12.50	473	 -2.36	
002451	摩恩电气	-0.29	-0.28	电气设备	1391	13.80	--  	13.96	355916	5981	          8.55	3.57	14.30	13.95	0.014㈢	   768.56	500649344	  0.76	         58.09亿	上海	14.20	14.07	185791	170125	  1.09	13.95	1274	 -2.65	
数据来源:通达信
