代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600682	南京新百	10.00	0.00	百货	34529	11.59	--  	--  	163467	77	          1.63	9.22	12.65	12.65	-1.070㈢	--  	201758608	  0.88	        126.77亿	江苏	11.59	12.34	97511	65956	  1.48	12.65	0	  8.88	
300016	北陆药业	10.00	0.00	中成药	10092	9.24	--  	--  	375641	753	          9.40	7.33	9.90	9.90	0.302㈣	    32.76	364081504	  1.39	         39.57亿	北京	9.42	9.69	203140	172501	  1.18	9.90	0	  7.64	
002605	姚记扑克	9.14	0.73	文教休闲	1110	9.97	--  	11.11	234164	4347	          8.76	11.11	11.10	11.10	0.193㈢	    43.10	246330960	  1.70	         29.68亿	上海	10.22	10.52	108235	125928	  0.86	11.10	213	  6.78	
002675	东诚药业	6.63	-0.08	化学制药	284	11.10	--  	11.58	165369	549	          2.62	6.26	11.78	11.58	0.370㈣	    33.13	190070656	  1.43	         72.99亿	山东	11.10	11.49	63270	102098	  0.62	11.57	468	  4.27	
300181	佐力药业	5.87	0.29	中成药	1077	6.53	--  	6.86	580401	5231	         12.42	7.26	7.00	6.85	0.042㈢	   121.65	393371488	  1.17	         32.01亿	浙江	6.70	6.78	290515	289886	  1.00	6.85	2747	  3.51	
002399	海普瑞	4.35	0.04	化学制药	25	22.95	--  	23.99	114571	931	          0.92	9.14	25.05	23.98	0.362㈢	    49.75	276936608	  1.98	        299.08亿	深圳	22.97	24.17	50021	64549	  0.77	23.98	562	  1.99	
000806	银河生物	3.80	0.00	生物制药	1719	4.35	--  	4.65	913638	9857	         13.08	9.40	4.77	4.64	-0.106㈢	--  	416077760	  1.03	         32.41亿	广西	4.35	4.55	462525	451113	  1.03	4.64	3680	  1.44	
300272	开能健康	3.80	0.11	环境保护	305	8.44	--  	8.76	206697	1721	          7.76	9.13	9.21	8.75	0.680㈢	     9.80	182273952	  1.39	         23.32亿	上海	8.56	8.82	108270	98427	  1.10	8.75	261	  1.43	
600851	海欣股份	3.42	0.12	纺织	130	7.87	--  	8.17	94976	936	          1.29	4.68	8.24	8.17	0.086㈢	    71.26	76828208	  1.40	         60.31亿	上海	7.90	8.09	39338	55638	  0.71	8.16	318	  2.30	
600572	康恩贝	3.11	0.00	中成药	8140	7.90	--  	8.28	2202279	20452	          8.28	7.72	8.52	8.28	0.287㈢	    21.61	1793939584	  1.09	        220.30亿	浙江	8.19	8.15	1084690	1117588	  0.97	8.27	2847	  1.99	
600521	华海药业	2.77	0.36	化学制药	126	13.41	--  	13.76	262806	1436	          2.13	5.01	14.08	13.75	0.204㈢	    50.51	360540480	  1.14	        170.02亿	浙江	13.42	13.72	136102	126703	  1.07	13.75	21	  1.64	
300247	融捷健康	2.65	0.00	医疗保健	1248	3.78	--  	3.87	403836	1831	          6.60	5.04	3.97	3.87	0.057㈢	    51.30	157174528	  1.21	         23.69亿	安徽	3.82	3.89	191882	211954	  0.91	3.86	7217	  0.29	
600267	海正药业	2.59	0.19	化学制药	321	10.47	--  	10.71	303286	2154	          3.14	6.13	11.11	10.71	0.007㈢	  1090.27	326772384	  1.23	        103.41亿	浙江	10.64	10.77	154788	148498	  1.04	10.70	593	  1.46	
600645	中源协和	2.34	0.59	生物制药	114	20.24	--  	20.58	185067	1287	          4.82	4.53	21.15	20.57	0.840㈢	    20.30	383939968	  1.03	         78.94亿	天津	20.42	20.75	92232	92834	  0.99	20.57	520	  1.22	
300238	冠昊生物	2.27	0.00	医疗保健	626	13.61	--  	14.40	201134	2126	          8.18	7.53	14.67	14.39	0.095㈢	   113.26	284665472	  1.34	         35.40亿	广东	13.94	14.15	103011	98123	  1.05	14.39	246	 -0.09	
300009	安科生物	2.12	0.06	生物制药	814	15.23	--  	15.41	197546	1311	          2.90	3.71	15.79	15.41	0.232㈢	    49.78	307253824	  1.03	        105.05亿	安徽	15.23	15.55	93939	103606	  0.91	15.40	214	 -0.24	
300273	和佳股份	1.94	0.17	医疗保健	154	5.69	--  	5.77	352436	4108	          6.27	3.89	5.91	5.77	0.110㈢	    39.56	204220368	  1.07	         32.44亿	广东	5.74	5.79	166936	185500	  0.90	5.76	3370	 -0.42	
000504	南华生物	1.92	0.15	环境保护	2	13.02	--  	13.27	28516	941	          0.92	4.30	13.58	13.27	-0.074㈢	--  	37856344	  1.24	         41.23亿	湖南	13.02	13.28	14039	14477	  0.97	13.26	719	 -0.44	
000516	国际医学	1.04	-0.16	百货	1307	5.76	--  	5.82	573583	2486	          2.97	2.78	5.92	5.81	1.132㈢	     3.85	335000832	  1.08	        112.29亿	陕西	5.79	5.84	301664	271918	  1.11	5.81	2438	 -1.32	
300003	乐普医疗	0.92	0.11	医疗保健	179	25.77	--  	26.20	522635	3550	          3.45	3.20	26.60	26.19	0.642㈢	    30.61	1368483840	  0.90	        396.85亿	北京	26.13	26.18	260363	262271	  0.99	26.19	1590	 -1.44	
300030	阳普医疗	0.86	0.00	医疗保健	181	5.76	--  	5.88	71623	196	          2.82	3.95	5.99	5.87	0.049㈢	    89.66	42325400	  1.09	         14.93亿	广东	5.85	5.91	36170	35453	  1.02	5.87	130	 -1.51	
300294	博雅生物	0.83	-0.42	生物制药	70	30.03	--  	30.30	35039	190	          0.87	4.03	31.24	30.25	0.680㈢	    34.33	107163296	  0.92	        121.33亿	江西	30.03	30.58	16515	18523	  0.89	30.25	26	 -1.53	
300147	香雪制药	0.82	0.14	中成药	73	7.30	--  	7.40	167572	1375	          2.54	3.97	7.59	7.37	0.139㈢	    39.79	124832312	  1.51	         48.67亿	广东	7.34	7.45	81767	85805	  0.95	7.37	80	 -1.54	
002038	双鹭药业	0.67	0.00	生物制药	85	27.01	--  	27.24	178282	1257	          3.14	2.62	27.72	27.23	0.777㈢	    26.29	488532000	  1.06	        154.38亿	北京	27.28	27.40	95167	83115	  1.15	27.23	78	 -1.70	
300006	莱美药业	0.45	0.00	化学制药	145	4.38	--  	4.43	281220	1566	          4.19	2.95	4.51	4.42	0.123㈢	    26.92	125087112	  1.23	         29.67亿	重庆	4.42	4.45	144530	136690	  1.06	4.42	428	 -1.91	
600568	中珠医疗	0.37	0.00	区域地产	3854	2.71	--  	2.75	1196579	12536	          7.65	4.03	2.82	2.74	0.013㈢	   158.39	329730400	  0.91	         42.88亿	湖北	2.74	2.76	632304	564275	  1.12	2.74	3928	 -0.76	
000566	海南海药	-0.29	0.15	化学制药	554	6.78	--  	6.86	336839	3930	          2.80	4.08	7.06	6.85	0.171㈢	    29.97	234170240	  0.87	         82.44亿	海南	7.00	6.95	183050	153788	  1.19	6.85	881	 -2.66	
数据来源:通达信
