代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002189	利达光电	9.99	0.84	元器件	1205	19.01	--  	--  	183487	1781	          9.33	7.34	20.37	20.37	0.220㈢	    82.09	366178336	  1.62	         40.07亿	河南	19.69	19.96	95982	87504	  1.10	20.37	0	  7.62	
600288	大恒科技	9.95	0.00	软件服务	49086	9.17	--  	--  	36645	105	          0.84	0.00	9.17	9.17	0.072㈢	    95.07	33603364	  0.32	         40.05亿	北京	9.17	9.17	32578	4066	  8.01	9.17	0	  8.83	
002273	水晶光电	7.10	0.69	元器件	141	12.35	--  	13.12	569146	5654	          7.00	8.49	13.39	13.12	0.470㈢	    20.97	726853440	  1.73	        106.65亿	浙江	12.49	12.77	258807	310339	  0.83	13.11	4908	  4.74	
002308	威创股份	6.80	-0.67	电脑设备	389	5.58	--  	5.82	776704	7054	          8.61	7.35	5.98	5.81	0.162㈢	    26.97	448492032	  1.79	         52.39亿	广东	5.80	5.77	403509	373194	  1.08	5.81	2765	  4.44	
600071	凤凰光学	5.12	1.26	元器件	56	10.86	--  	11.29	43149	1228	          1.82	7.17	11.63	11.29	-0.018㈢	--  	48315540	  1.30	         26.81亿	江西	11.02	11.20	28114	15034	  1.87	11.20	690	  4.00	
002456	欧菲科技	2.97	0.57	元器件	4387	13.91	--  	14.21	1659482	13000	          6.22	4.13	14.48	14.20	0.510㈢	    20.99	2354999808	  1.07	        378.84亿	深圳	14.02	14.19	803107	856374	  0.94	14.20	416	  0.61	
300093	金刚玻璃	2.40	0.74	玻璃	10	6.69	--  	6.84	88659	1534	          4.11	3.74	6.94	6.84	0.066㈢	    77.44	60342352	  1.11	         14.75亿	广东	6.70	6.81	47135	41523	  1.14	6.81	233	  0.03	
300327	中颖电子	2.17	-0.12	半导体	65	23.12	--  	23.52	83350	654	          3.63	4.00	24.04	23.51	0.525㈢	    33.61	197115552	  1.31	         53.91亿	上海	23.47	23.65	37377	45972	  0.81	23.51	103	 -0.19	
600363	联创光电	1.88	0.00	元器件	477	9.55	--  	9.74	199184	1797	          4.49	3.25	9.86	9.73	0.395㈢	    18.47	193355056	  1.12	         43.15亿	江西	9.59	9.71	106694	92489	  1.15	9.73	599	  0.76	
002253	川大智胜	1.57	0.36	软件服务	61	16.68	--  	16.87	101903	1025	          4.93	4.28	17.39	16.86	0.139㈢	    91.16	172915344	  1.02	         34.86亿	四川	16.80	16.97	51416	50487	  1.02	16.86	107	 -0.80	
002106	莱宝高科	1.51	0.12	元器件	561	8.02	--  	8.10	302826	2174	          4.30	2.76	8.24	8.09	0.244㈢	    24.82	246365376	  1.04	         56.94亿	深圳	8.08	8.14	146063	156763	  0.93	8.09	718	 -0.86	
002414	高德红外	1.45	0.68	电器仪表	92	25.94	--  	26.62	107703	1479	          2.26	6.60	27.67	26.61	0.155㈢	   128.69	289018464	  0.98	        126.69亿	湖北	26.23	26.83	53840	53863	  1.00	26.61	39	 -0.92	
600171	上海贝岭	0.93	0.67	半导体	795	11.83	--  	11.95	386606	2164	          5.74	3.55	12.25	11.94	0.126㈢	    70.85	465697664	  1.14	         80.45亿	上海	12.12	12.05	195211	191395	  1.02	11.94	1011	 -0.19	
600855	航天长峰	0.79	-0.20	专用机械	34	13.80	--  	13.97	184244	2108	          5.58	3.90	14.34	13.97	0.028㈢	   369.97	259394736	  0.85	         46.12亿	北京	13.86	14.08	100616	83628	  1.20	13.96	422	 -0.33	
600707	彩虹股份	0.62	0.31	元器件	91	6.40	--  	6.53	419616	4159	          3.26	8.47	6.95	6.53	-0.074㈢	--  	276264448	  1.16	         84.10亿	陕西	6.73	6.58	218503	201113	  1.09	6.52	862	 -0.51	
600345	长江通信	0.33	-0.23	通信设备	449	24.21	--  	24.60	100660	978	          5.08	4.20	25.24	24.59	1.089㈢	    16.94	250353856	  1.18	         48.69亿	湖北	24.66	24.87	54623	46037	  1.19	24.59	2	 -0.80	
000050	深天马Ａ	0.19	0.06	元器件	2364	15.71	--  	16.22	1369047	13083	          7.52	5.81	16.65	16.21	0.623㈢	    19.53	2217459712	  0.77	        295.00亿	深圳	16.40	16.20	678885	690161	  0.98	16.21	1238	 -2.18	
300221	银禧科技	0.14	0.29	塑料	267	6.88	--  	7.01	365127	2409	          8.62	5.15	7.24	7.00	0.061㈢	    86.60	257455136	  1.24	         29.64亿	广东	7.05	7.05	181735	183392	  0.99	7.00	580	 -2.22	
603466	风语筑	0.00	0.22	文教休闲	66	17.87	--  	18.05	90739	1343	         10.31	4.16	18.62	18.05	0.591㈢	    22.92	165314448	  0.91	         15.88亿	上海	18.20	18.22	47023	43715	  1.08	18.04	197	 -1.12	
002587	奥拓电子	-0.15	0.00	元器件	1414	6.51	--  	6.57	257727	1488	          6.46	4.71	6.82	6.57	0.200㈢	    25.47	170769616	  0.93	         26.23亿	深圳	6.60	6.63	148331	109396	  1.36	6.56	12	 -2.52	
000988	华工科技	-0.40	0.13	电器仪表	594	14.80	--  	14.95	464977	2017	          4.63	3.33	15.30	14.94	0.255㈢	    43.93	700768960	  1.19	        150.19亿	湖北	15.25	15.07	262369	202607	  1.29	14.94	784	 -2.76	
002289	宇顺电子	-0.69	0.00	元器件	349	7.14	--  	7.20	165269	995	          6.37	3.73	7.41	7.19	-0.240㈢	--  	119803840	  0.80	         18.65亿	深圳	7.28	7.25	85469	79799	  1.07	7.19	116	 -3.06	
数据来源:通达信
