代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
603776	永安行	1.66	0.73	公共交通	81	25.78	26.35	0.73	35188	397	          4.09	5.67	27.25	26.34	0.671㈢	    29.45	92831528	  0.80	         22.69亿	江苏	26.35	26.38	18076	17111	  1.06	26.34	25	  2.86	          0.86	0.43	         35.40亿	   2061	--  	     17	        0.0020	20181030	20170817	          1.34	--  	--  	23.36	16.63	          0.01	28.76	13.06	0.51	0.05	4.94	7.03	0.74	6.17	6.13	4.35	1.18	0.06	1.18	0.90	0.90	7.78	1.54	-1.72	15542.00	          3752	9.88万	13.75	-18.41	          2.13	23.04	5.78	25.91	         12.37	0.00	          5.23	          5.79	         71.18	   5.42㈢	         29.08	         19.20	         14.71	603776	20170830	91.18	-58.79	
600650	锦江投资	-4.18	0.60	公共交通	397	11.44	11.68	0.60	83279	603	          2.13	5.09	12.06	11.68	0.382㈢	    22.90	98064056	  0.81	         45.62亿	上海	12.01	11.78	52752	30527	  1.73	11.67	73	 -2.99	          3.91	-0.51	         64.43亿	   2321	--  	     36	        0.0009	20190213	19930607	          5.52	          1.61	--  	45.14	32.63	          2.97	21.14	13.11	9.99	3.13	6.88	3.44	1.53	1.55	17.73	14.58	2.68	1.40	2.80	2.48	2.11	13.82	1.19	0.12	76147.00	          4452	5.20万	12.95	-0.90	          1.97	54.27	3.63	12.19	          5.91	0.00	          0.62	          2.51	         72.27	   6.47㈢	         17.79	         15.14	         11.90	600650	--  	--  	--  	
002627	宜昌交运	-1.19	0.54	公共交通	436	7.30	7.48	0.54	38599	390	          1.39	4.36	7.63	7.48	0.268㈢	    20.90	28782772	  0.64	         20.74亿	湖北	7.56	7.46	24410	14189	  1.72	7.47	344	  0.63	          2.77	-0.09	         23.54亿	   1185	--  	     33	        0.0012	20181022	20111103	          3.15	--  	--  	38.21	20.64	          1.24	42.75	21.41	6.18	3.99	12.44	11.95	1.78	0.38	16.54	14.46	1.19	0.20	1.20	0.89	0.84	4.78	-2.34	-3.73	11083.00	         16271	12.17万	-11.66	3.29	          1.14	-10.04	1.42	7.57	          6.56	0.00	          3.80	          1.52	         54.02	   4.09㈢	         12.55	          7.17	          5.11	002627	--  	--  	--  	
600561	江西长运	-3.44	0.31	公共交通	130	6.37	6.45	0.31	36605	247	          1.54	4.34	6.66	6.45	0.074㈢	    65.57	23704668	  0.54	         15.29亿	江西	6.61	6.48	22917	13687	  1.67	6.44	116	 -2.25	          2.37	-0.23	         15.29亿	    794	--  	     46	        0.0019	20190213	20020716	          2.37	--  	--  	60.59	14.19	          3.43	70.91	13.30	23.86	12.58	32.29	4.77	1.20	3.12	19.97	18.20	0.50	0.00	0.55	0.28	0.17	5.35	2.23	-7.99	15161.00	         11304	7.29万	62.97	-4.92	          1.08	6.85	0.77	6.68	          5.99	0.00	          2.01	          2.26	         23.43	   1.23㈢	          8.87	          2.52	          0.88	600561	--  	--  	--  	
600834	申通地铁	-4.07	0.27	公共交通	44	7.45	7.56	0.27	37432	161	          0.78	4.96	7.84	7.55	0.053㈢	   107.29	28463990	  0.53	         36.04亿	上海	7.81	7.60	25739	11693	  2.20	7.55	84	 -2.87	          4.77	-0.32	         36.04亿	   1098	--  	     34	        0.0007	20190213	19940224	          4.77	--  	--  	27.53	14.72	          0.00	46.53	5.18	11.91	0.00	7.00	0.80	0.00	0.05	5.58	5.25	0.30	0.30	0.34	0.25	0.25	7.07	-1.10	0.26	37422.00	          5303	4.00万	-60.83	-0.82	          2.45	-32.87	6.46	7.87	          3.08	0.00	          0.17	          1.48	         53.47	   1.71㈢	          5.88	          5.45	          4.52	600834	--  	--  	--  	
600662	强生控股	-3.48	0.20	公共交通	149	4.93	4.99	0.20	223912	848	          2.13	6.58	5.27	4.99	0.038㈢	    97.45	113179104	  0.84	         52.56亿	上海	5.11	5.05	132921	90990	  1.46	4.98	148	 -2.28	         10.53	-0.18	         52.56亿	   2526	--  	     89	        0.0008	20190213	19930614	         10.53	--  	--  	61.04	32.31	          3.47	41.39	17.03	18.96	13.12	22.48	7.68	5.49	2.19	29.88	26.24	0.67	0.22	0.70	0.40	0.40	9.62	3.70	-4.24	92580.00	          6257	3.12万	-12.65	3.28	          1.63	14.21	1.76	5.17	          3.07	0.00	          0.73	          0.91	         52.93	   1.25㈢	         12.18	          2.25	          1.35	600662	20181008	4.53	10.15	
600676	交运股份	-5.51	0.19	公共交通	1369	5.11	5.14	0.19	163123	702	          1.70	5.33	5.40	5.14	0.204㈢	    18.87	85466168	  0.79	         49.45亿	上海	5.39	5.24	103693	59429	  1.74	5.13	358	 -4.32	          9.62	-0.30	         52.86亿	   1958	--  	     83	        0.0009	20190213	19930928	         10.28	--  	--  	88.97	56.94	          3.35	32.24	50.71	24.45	3.33	22.49	23.89	11.95	0.00	71.68	65.62	3.08	0.31	3.13	2.46	2.10	19.12	3.38	-0.88	54269.00	         10040	5.16万	-4.12	10.87	          0.93	15.65	0.74	5.44	          5.54	0.00	          2.32	          1.86	         64.00	   3.69㈢	          8.45	          4.30	          2.93	600676	--  	--  	--  	
600611	大众交通	-3.70	0.00	公共交通	873	4.63	4.70	0.00	288871	844	          1.85	6.57	4.95	4.69	0.244㈢	    14.40	137498480	  0.68	         73.32亿	上海	4.85	4.76	158272	130599	  1.21	4.69	1211	 -2.50	         15.63	-0.18	        110.88亿	   3704	--  	     78	        0.0005	20190213	19920807	         23.64	          8.01	--  	157.03	86.78	          5.21	41.42	68.99	19.83	12.41	55.96	0.07	28.10	1.41	23.42	15.27	8.15	3.15	8.17	6.15	5.78	36.92	2.61	-0.13	155734.00	         12142	5.69万	1.65	32.72	          1.28	42.41	4.73	4.87	          3.67	0.00	          0.00	          1.56	         55.26	   6.66㈢	         34.81	         34.80	         24.66	600611	--  	--  	--  	
600386	北巴传媒	-6.33	0.00	公共交通	622	4.76	4.89	0.00	284507	1777	          3.53	7.87	5.17	4.88	0.080㈢	    45.88	140698672	  0.79	         39.35亿	北京	5.05	4.95	180119	104387	  1.73	4.88	790	 -5.14	          8.06	-0.33	         39.35亿	   2511	--  	    113	        0.0014	20190213	20010216	          8.06	--  	--  	45.34	17.51	          1.49	58.08	20.72	12.08	5.64	16.47	2.38	4.91	2.57	33.50	27.70	1.36	0.05	1.36	0.89	0.64	5.05	1.99	-2.70	30115.00	         12050	5.88万	-20.58	15.78	          2.25	19.78	1.17	5.21	          2.17	0.00	          0.30	          0.63	         38.63	   3.67㈢	         17.31	          4.06	          1.92	600386	--  	--  	--  	
数据来源:通达信
