代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300370	安控科技	10.15	0.00	电器仪表	213920	3.58	--  	--  	151726	224	          2.13	0.00	3.58	3.58	-0.009㈢	--  	54317832	  0.25	         25.56亿	北京	3.58	3.58	133406	18319	  7.28	3.58	0	  7.79	
300008	天海防务	10.14	3.83	船舶	49897	3.38	--  	--  	1319724	39753	         21.91	12.17	3.80	3.80	-1.379㈢	--  	468144736	  1.13	         22.89亿	上海	3.40	3.55	636783	682940	  0.93	3.80	0	  7.78	
002175	东方网络	10.13	0.00	电器仪表	115483	4.20	--  	--  	429152	697	          7.16	3.80	4.35	4.35	-0.140㈢	--  	186371984	  0.82	         26.07亿	广西	4.35	4.34	357139	72012	  4.96	4.35	0	  7.76	
600839	四川长虹	10.10	0.00	家用电器	319825	3.13	--  	--  	880363	3236	          1.91	1.05	3.16	3.16	0.044㈢	    53.35	277916064	  1.01	        145.81亿	四川	3.13	3.16	753051	127312	  5.92	3.16	0	  8.98	
002181	粤 传 媒	10.10	0.00	出版业	59210	5.10	--  	--  	478221	1108	          4.22	9.11	5.56	5.56	0.023㈢	   178.61	256679568	  0.99	         63.07亿	广东	5.25	5.37	254705	223516	  1.14	5.56	0	  7.73	
300264	佳创视讯	10.08	0.00	通信设备	12621	6.52	--  	--  	300130	95	          9.42	2.31	6.66	6.66	-0.003㈢	--  	199547824	  2.35	         21.22亿	深圳	6.66	6.65	238209	61920	  3.85	6.66	0	  7.72	
000917	电广传媒	10.02	0.00	影视音像	53152	8.69	--  	--  	1586884	806	         12.26	6.32	9.22	9.22	-0.095㈢	--  	1442531328	  1.15	        119.37亿	湖南	8.99	9.09	924136	662748	  1.39	9.22	0	  7.66	
600776	东方通信	10.02	0.00	通信设备	68051	27.30	--  	--  	1151946	970	         12.05	11.28	30.42	30.42	0.061㈢	   373.60	3360540928	  0.89	        290.82亿	浙江	27.82	29.17	552184	599762	  0.92	30.42	0	  8.90	
601212	白银有色	10.00	0.00	铜	67047	3.66	--  	--  	520258	2723	          2.65	8.33	3.96	3.96	-0.035㈢	--  	201867216	  1.17	         77.80亿	甘肃	3.68	3.88	314098	206160	  1.52	3.96	0	  8.88	
002825	纳尔股份	10.00	0.00	化工原料	6714	15.50	--  	--  	63763	726	         15.69	10.00	17.05	17.05	0.442㈣	    38.59	105285264	  2.35	          6.93亿	上海	15.50	16.51	35936	27827	  1.29	17.05	0	  7.64	
600536	中国软件	10.00	0.00	软件服务	22073	29.40	--  	--  	572197	848	         11.57	7.59	31.58	31.58	-0.485㈢	--  	1770019840	  1.44	        156.18亿	北京	29.66	30.93	282173	290023	  0.97	31.58	0	  8.87	
603000	人民网	9.99	0.00	互联网	73193	19.93	--  	--  	326039	116	          2.95	6.25	21.13	21.13	0.061㈢	   258.60	676864768	  0.53	        233.63亿	北京	20.20	20.76	179864	146174	  1.23	21.13	0	  8.87	
002243	通产丽星	9.99	0.00	塑料	8950	19.20	--  	--  	534670	1427	         14.65	10.05	21.13	21.13	0.149㈢	   106.52	1082723584	  0.99	         77.11亿	深圳	19.90	20.25	241365	293305	  0.82	21.13	0	  7.63	
000711	京蓝科技	9.98	0.00	软件服务	74008	6.05	--  	--  	237667	845	          5.85	9.32	6.61	6.61	0.170㈢	    33.25	154655232	  1.04	         26.86亿	黑龙江	6.05	6.51	170765	66901	  2.55	6.61	0	  7.62	
600604	市北高新	9.98	0.00	园区开发	50851	11.88	--  	--  	2454147	472	         18.39	9.48	13.00	13.00	0.031㈢	   318.89	3099451392	  1.42	        173.44亿	上海	12.34	12.63	1308396	1145751	  1.14	13.00	0	  8.86	
300070	碧水源	9.97	0.10	环境保护	1543	9.61	--  	10.48	1258299	8844	          6.24	9.13	10.48	10.48	0.182㈢	    43.19	1291084160	  1.90	        211.22亿	北京	9.62	10.26	614239	644060	  0.95	10.47	12904	  7.60	
002488	金固股份	9.96	0.00	汽车配件	104402	8.50	--  	--  	309618	63	          4.03	1.40	8.61	8.61	0.125㈢	    51.62	266358416	  1.13	         66.19亿	浙江	8.61	8.60	171676	137941	  1.24	8.61	0	  7.60	
601929	吉视传媒	9.84	0.00	影视音像	42908	2.64	--  	--  	1617891	1146	          5.20	5.91	2.79	2.79	0.060㈢	    36.39	445395392	  2.86	         86.79亿	吉林	2.71	2.75	892326	725564	  1.23	2.79	0	  8.72	
002148	北纬科技	9.83	-0.12	互联网	332	6.93	--  	7.61	791893	4579	         17.83	9.83	7.61	7.60	0.068㈢	    83.66	584241024	  2.39	         33.75亿	北京	6.95	7.38	377055	414837	  0.91	7.60	1051	  7.46	
600728	佳都科技	9.63	1.35	软件服务	5714	10.81	--  	11.27	1894057	17753	         11.81	4.86	11.31	11.27	0.070㈢	   121.49	2108389760	  2.24	        180.79亿	广东	11.31	11.13	1041367	852690	  1.22	11.26	1122	  8.51	
600100	同方股份	9.28	-0.08	电脑设备	1542	10.52	--  	11.20	613050	3001	          2.07	7.23	11.26	11.19	-0.193㈢	--  	679055552	  3.44	        331.66亿	北京	10.52	11.08	255934	357115	  0.72	11.19	1809	  8.16	
