代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
000707	*ST双环	-1.10	2.27	化工原料	1131	3.48	3.61	2.27	90744	2730	          1.96	6.59	3.72	3.60	0.247㈢	    10.93	32649306	  0.77	         16.71亿	湖北	3.64	3.60	54056	36687	  1.47	3.60	5	  0.72	          4.64	-0.04	         16.71亿	    988	--  	     92	        0.0020	20190213	19970415	          4.64	--  	--  	78.27	1.70	          0.42	97.29	33.21	33.67	3.84	68.86	7.34	18.34	2.02	27.01	26.44	1.13	6.22	1.16	1.09	1.15	-12.40	2.11	-7.74	42944.00	          8094	2.91万	269.21	-8.73	          9.84	7.90	0.62	3.64	          0.37	0.00	          1.58	         -2.67	          2.17	  67.48㈢	          2.10	          4.19	          4.24	000707	--  	--  	--  	
002457	青龙管业	-0.53	2.08	塑料	165	8.95	9.31	2.08	189900	3651	          5.68	6.20	9.53	9.31	0.112㈢	    62.24	175143184	  0.84	         31.14亿	宁夏	9.23	9.22	103866	86033	  1.21	9.30	1720	  1.28	          3.34	-0.05	         31.19亿	   2962	--  	     64	        0.0019	20190213	20100803	          3.35	--  	--  	29.23	18.12	          0.33	36.85	19.59	4.06	1.11	10.55	8.21	6.50	5.14	7.64	5.40	0.45	0.21	0.46	0.39	0.38	5.69	-2.24	-2.12	63218.00	          3628	3.38万	153.29	34.75	          1.72	-13.94	4.08	9.36	          5.41	0.00	          2.45	          1.70	         62.01	   2.07㈢	         29.29	          5.83	          4.92	002457	20180308	11.95	-21.26	
603378	亚士创能	-2.04	1.52	染料涂料	5	14.79	15.38	1.52	42085	835	          6.10	7.96	16.04	15.38	0.266㈢	    43.36	64564040	  0.64	         10.61亿	上海	15.51	15.34	23628	18456	  1.28	15.20	911	 -0.84	          0.69	-0.32	         29.96亿	   1368	--  	     31	        0.0045	20181026	20170928	          1.95	--  	--  	24.51	13.05	          0.00	46.75	16.71	2.80	0.85	8.63	5.78	1.75	0.00	11.55	8.25	0.60	-0.00	0.69	0.52	0.52	5.21	0.07	-0.41	18168.00	          3797	5.84万	-33.20	19.15	          2.30	441.88	2.59	15.70	          6.70	0.00	          2.97	          2.68	         53.25	   3.97㈢	         28.60	          5.23	          4.49	603378	--  	--  	--  	
000510	金路集团	3.30	1.14	化工原料	2256	5.08	5.33	1.14	241366	8990	          4.39	4.85	5.33	5.32	0.139㈢	    28.78	126190240	  1.23	         29.23亿	四川	5.19	5.23	109101	132264	  0.82	5.32	1761	  5.12	          5.49	0.17	         32.41亿	   2267	--  	    106	        0.0019	20190301	19930507	          6.09	--  	--  	15.40	9.15	          0.25	38.91	5.46	8.48	0.60	5.69	0.25	1.05	0.24	16.22	13.70	0.88	-0.00	0.87	0.86	0.84	1.64	1.90	-0.20	52000.00	          9389	4.99万	113.93	29.95	          3.54	17.07	2.00	5.15	          1.50	0.00	          0.04	          0.27	         59.45	   9.22㈢	         15.57	          5.41	          5.20	000510	20180709	5.48	-2.92	
300305	裕兴股份	-2.00	1.09	塑料	9	9.11	9.31	1.09	29560	170	          1.29	6.32	9.71	9.31	0.190㈢	    36.66	28038182	  0.87	         21.38亿	江苏	9.53	9.49	10890	18670	  0.58	9.30	101	 -0.18	          2.30	-0.19	         26.88亿	    705	--  	     42	        0.0018	20190213	20120329	          2.89	--  	--  	16.37	14.73	          0.00	9.97	12.34	3.27	0.12	1.47	5.78	0.44	1.46	5.14	4.37	0.65	0.18	0.64	0.55	0.55	4.70	0.71	-0.03	11881.00	         15435	14.37万	5.73	20.67	          1.82	37.66	5.23	9.50	          5.10	0.00	          2.00	          1.63	         90.03	   3.73㈢	         14.97	         12.56	         10.70	300305	--  	--  	--  	
002735	王子新材	-1.23	1.06	塑料	10	24.40	24.84	1.06	9576	204	          2.25	5.01	25.66	24.84	0.373㈢	    49.96	23830684	  0.71	         10.56亿	深圳	25.66	24.89	5724	3851	  1.49	24.83	33	  0.58	          0.43	-0.31	         20.92亿	    896	--  	     11	        0.0025	20190213	20141203	          0.84	--  	--  	10.41	5.71	          0.28	42.53	7.30	1.44	0.28	4.27	2.65	1.28	3.48	5.72	4.37	0.49	0.02	0.49	0.34	0.31	2.89	-0.33	-0.34	7879.00	          3410	8.47万	1.51	37.92	          3.67	-63.54	3.66	25.15	          6.78	0.00	          3.15	          3.43	         54.80	   5.50㈢	         23.52	          8.50	          5.49	002735	--  	--  	--  	
002319	乐通股份	5.77	1.03	染料涂料	1353	12.54	13.76	1.03	95880	3142	          4.79	9.31	13.75	13.75	0.013㈢	   816.19	126156984	  0.94	         27.49亿	广东	12.83	13.16	43468	52412	  0.83	13.75	113	  7.58	          2.00	0.75	         27.50亿	   2313	--  	     41	        0.0021	20190213	20091211	          2.00	--  	--  	10.30	4.90	          0.00	52.45	2.88	4.24	0.21	5.39	1.04	0.59	1.79	3.63	2.80	-0.02	0.00	-0.03	0.03	0.03	1.36	0.67	-0.13	15154.00	          9764	13.43万	-78.83	-10.70	          5.62	41.24	7.57	13.00	          2.45	0.00	          0.52	          0.68	         47.55	   0.52㈢	         23.06	         -0.56	          0.70	002319	--  	--  	--  	
002125	湘潭电化	-4.71	1.00	化工原料	243	10.78	11.12	1.00	174517	3282	          5.05	8.23	11.74	11.12	0.205㈣	    54.33	196740352	  0.65	         38.43亿	湖南	11.41	11.27	93956	80561	  1.17	11.11	90	 -2.90	          3.46	-0.55	         38.43亿	   2840	--  	     61	        0.0018	20190306	20070403	          3.46	--  	--  	31.76	11.52	          0.16	63.23	9.37	14.27	2.18	15.00	6.70	3.16	0.00	10.79	7.99	1.11	0.04	1.06	0.75	0.71	1.17	0.58	0.51	23046.00	          7002	7.79万	49.96	45.66	          3.34	65.87	3.56	11.67	          3.33	0.00	          1.94	          0.34	         36.26	   6.14㈣	         25.96	         10.28	          6.56	002125	--  	--  	--  	
600309	万华化学	1.15	0.92	化工原料	55	37.92	38.58	0.92	296629	5128	          2.08	2.52	38.88	38.58	3.300㈢	    10.07	1140226304	  0.69	        549.29亿	山东	38.21	38.44	145301	151327	  0.96	38.52	65	  2.35	         14.24	0.44	       1211.31亿	   4413	--  	     67	        0.0005	20190214	20010105	         31.40	--  	--  	719.94	321.40	         51.49	48.20	263.49	274.65	31.00	291.90	23.93	84.14	30.92	459.23	290.14	137.12	0.78	136.86	108.58	90.21	242.40	155.19	2.87	126317.00	         11271	43.48万	15.49	17.86	          3.28	7.81	2.64	38.14	         11.76	11.76	          0.76	          7.72	         44.64	  28.07㈢	         36.82	         29.86	         19.64	600309	--  	--  	--  	
600589	广东榕泰	-0.84	0.85	塑料	854	5.81	5.94	0.85	276088	5074	          4.17	4.52	6.08	5.93	0.177㈢	    25.18	163853760	  0.40	         39.23亿	广东	5.86	5.93	145001	131086	  1.11	5.93	876	  0.36	          6.62	-0.05	         41.82亿	   2979	--  	     93	        0.0014	20190213	20010612	          7.05	--  	--  	51.52	31.56	          0.03	38.68	24.31	9.24	2.15	15.67	13.00	6.38	7.54	11.76	8.57	1.45	0.05	1.45	1.24	1.25	10.07	-0.44	-12.93	37979.00	         11683	6.93万	27.46	13.16	          1.33	-94.38	3.56	5.98	          4.48	0.00	          1.84	          1.43	         61.27	   3.95㈢	         27.09	         12.31	         10.60	600589	20180312	5.98	0.13	
