代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
300180	华峰超纤	-0.50	1.01	化纤	171	13.68	13.99	1.01	47437	1774	          0.69	4.27	14.28	13.98	0.244㈢	    42.95	66415988	  0.62	         95.61亿	上海	14.05	14.00	23330	24107	  0.97	13.98	60	  1.32	          6.84	-0.07	        158.79亿	   1533	--  	     31	        0.0005	20190213	20110222	         11.36	--  	--  	73.58	51.11	          0.05	30.47	19.41	27.05	3.27	13.77	28.20	6.12	4.95	22.73	16.29	3.11	0.11	3.38	2.82	2.77	10.66	-1.49	-0.81	7379.00	         78350	109.53万	41.83	31.25	          3.11	-106.78	6.99	14.05	          4.50	0.00	          2.48	          0.94	         69.46	   5.43㈢	         28.35	         13.68	         12.20	300180	--  	--  	--  	
002015	霞客环保	10.05	0.60	化纤	13885	5.92	--  	0.60	253542	997	          6.33	12.52	6.68	6.68	0.003㈢	  1753.60	162617312	  1.78	         26.77亿	江苏	5.95	6.41	115801	137740	  0.84	6.68	0	 11.86	          4.01	0.61	         26.77亿	   2533	--  	    100	        0.0025	20190213	20040708	          4.01	--  	--  	5.86	5.31	          0.16	6.64	4.84	0.64	0.31	0.39	12.41	1.48	0.30	3.23	3.05	0.03	0.00	0.03	0.02	0.01	-11.28	-0.52	1.79	18584.00	         15309	10.23万	132.43	25.22	          5.04	-51.31	8.28	6.07	          1.32	0.00	          3.10	         -2.82	         90.54	   0.22㈢	          5.86	          0.93	          0.35	002015	--  	--  	--  	
603225	新凤鸣	-3.14	0.50	化纤	1	19.66	20.05	0.50	110182	1436	          9.26	6.33	20.97	20.05	1.690㈣	    11.99	222004096	  0.79	         23.86亿	浙江	20.45	20.15	56615	53567	  1.06	20.04	159	 -1.94	          1.19	-0.65	        170.60亿	   2984	--  	     37	        0.0031	20190228	20170418	          8.51	--  	--  	171.69	82.42	          0.00	51.99	55.93	77.25	5.96	66.10	17.78	14.38	0.00	326.59	296.93	16.93	0.26	17.16	14.23	14.23	51.04	9.79	7.07	32070.00	          3711	7.44万	-4.91	42.22	          2.18	17.42	0.52	20.70	          9.20	9.20	          2.09	          6.00	         48.01	  17.26㈣	          9.08	          5.18	          4.36	603225	--  	--  	--  	
600810	神马股份	3.10	0.30	化纤	916	12.76	13.32	0.30	224558	5235	          5.08	5.11	13.42	13.31	1.277㈢	     7.82	296179168	  1.14	         58.87亿	河南	12.78	13.19	104909	119648	  0.88	13.31	657	  4.30	          4.42	0.40	         58.87亿	   3554	--  	     63	        0.0014	20190213	19940106	          4.42	--  	--  	109.09	30.94	          7.81	64.48	53.55	25.73	2.76	62.03	17.90	8.67	13.43	86.41	74.09	9.05	2.69	9.04	8.45	5.65	6.24	4.73	-2.06	37090.00	          6049	8.05万	708.49	8.38	          1.90	12.43	0.68	12.91	          7.00	0.00	          4.05	          1.41	         28.36	  18.25㈢	         14.26	         10.48	          6.54	600810	--  	--  	--  	
000584	哈工智能	-2.52	0.24	化纤	49	8.26	8.50	0.24	95977	477	          1.60	6.65	8.84	8.50	0.196㈣	    43.32	81619968	  0.54	         50.86亿	江苏	8.70	8.50	51425	44551	  1.15	8.49	198	 -0.71	          5.98	-0.22	         52.13亿	   2100	--  	     46	        0.0008	20190306	19951128	          6.13	--  	--  	44.95	17.01	          0.98	59.98	24.43	1.14	0.82	23.22	6.75	10.32	0.00	23.83	16.16	1.98	0.45	1.99	1.19	1.20	3.30	2.04	-0.68	40300.00	         10296	8.75万	33.65	51.60	          3.07	25.54	2.19	8.72	          2.77	0.00	          1.10	          0.54	         37.84	   7.08㈣	         32.19	          8.31	          5.05	000584	20170330	11.85	-28.10	
002206	海 利 得	-4.82	0.23	化纤	333	4.28	4.35	0.23	151104	1056	          1.65	6.14	4.56	4.34	0.237㈢	    13.71	66675428	  1.13	         39.65亿	浙江	4.53	4.41	99488	51615	  1.93	4.34	561	 -3.01	          9.14	-0.22	         53.08亿	   1629	--  	     93	        0.0010	20190306	20080123	         12.23	--  	--  	45.43	29.17	          0.20	35.34	18.65	16.70	2.02	15.56	8.89	6.46	5.54	26.75	20.67	3.36	0.04	3.36	2.94	2.90	6.04	4.06	-1.02	26000.00	         30022	13.03万	13.10	14.69	          1.82	13.06	1.98	4.56	          2.38	2.38	          0.73	          0.49	         64.22	   9.95㈢	         22.73	         12.57	         10.85	002206	--  	--  	--  	
000703	恒逸石化	-2.12	0.22	化纤	30	13.23	13.39	0.22	78187	513	          0.34	4.09	13.79	13.39	0.970㈢	    12.94	105573776	  0.50	        304.43亿	广西	13.70	13.50	43160	35026	  1.23	13.38	209	 -0.30	         22.74	-0.29	        380.51亿	   2664	--  	     29	        0.0001	20190222	19970328	         28.42	--  	--  	547.54	143.59	         46.15	65.35	214.32	86.63	5.12	251.01	39.58	44.50	15.89	608.29	577.51	31.39	11.48	31.54	26.14	22.05	77.10	16.66	40.76	18916.00	         59247	79.33万	63.20	29.18	          2.15	22.85	0.63	13.68	          6.22	6.22	          1.39	          2.71	         26.22	  15.36㈢	          5.06	          5.16	          3.62	000703	--  	--  	--  	
600889	南京化纤	-3.63	0.18	化纤	180	5.51	5.57	0.18	49881	660	          1.62	3.98	5.74	5.57	-0.231㈢	--  	27991522	  0.48	         17.10亿	江苏	5.72	5.61	33224	16656	  1.99	5.56	624	 -2.44	          3.07	-0.21	         20.41亿	   1026	--  	     49	        0.0016	20190213	19960308	          3.66	--  	--  	20.62	14.25	          0.10	30.41	9.82	7.79	0.28	4.50	5.38	3.29	0.18	7.30	6.73	-0.82	0.00	-0.81	-0.84	-0.85	2.94	-1.16	2.59	27387.00	          6633	3.69万	-221.72	-42.42	          1.43	-17.64	2.80	5.78	          3.89	0.00	          1.47	          0.80	         69.09	  -5.94㈢	          7.83	        -11.22	        -11.59	600889	--  	--  	--  	
002254	泰和新材	-1.13	0.18	化纤	20	11.19	11.35	0.18	76014	1036	          1.24	3.14	11.55	11.35	0.231㈢	    36.82	86011592	  0.78	         69.31亿	山东	11.46	11.32	37865	38149	  0.99	11.34	520	  0.68	          6.11	-0.13	         69.33亿	   2015	--  	     38	        0.0006	20190304	20080625	          6.11	--  	--  	38.42	21.42	          3.01	36.43	20.80	15.45	0.68	13.45	2.28	5.19	2.06	15.70	12.76	1.57	0.07	1.57	1.34	1.41	9.87	1.01	-2.27	29000.00	         13580	15.41万	103.84	24.85	          3.22	68.88	4.42	11.48	          3.53	3.53	          0.37	          1.62	         55.74	   6.59㈢	         18.76	         10.00	          8.99	002254	--  	--  	--  	
600346	恒力股份	0.00	0.07	化纤	31	14.75	14.97	0.07	107928	867	          1.17	2.20	15.08	14.97	0.760㈢	    15.53	160478912	  0.90	        137.63亿	辽宁	15.08	14.87	57584	50344	  1.14	14.96	837	  1.20	          9.19	0.00	        756.40亿	   2412	--  	     45	        0.0005	20181020	20010820	         50.53	--  	--  	1151.01	285.08	          2.80	74.99	387.59	232.09	49.63	453.85	204.58	105.40	7.38	438.32	365.94	44.57	0.27	44.55	37.18	36.53	25.94	56.80	85.73	24696.00	         37227	55.73万	98.94	34.43	          2.65	13.32	1.73	14.97	          5.64	0.00	          4.05	          0.51	         24.77	  12.81㈢	         16.51	         10.17	          8.33	600346	--  	--  	--  	
