代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
300314	戴维医疗	-2.88	0.93	医疗保健	35	9.65	9.79	0.93	40062	319	          2.12	6.05	10.26	9.79	0.130㈢	    56.38	39856948	  0.60	         18.52亿	浙江	10.09	9.95	22291	17771	  1.25	9.78	60	 -1.06	          1.89	-0.29	         28.20亿	   1350	--  	     30	        0.0016	20190312	20120508	          2.88	--  	--  	8.72	8.01	          0.00	8.04	5.55	2.27	0.30	0.67	1.76	0.90	0.00	1.96	0.98	0.48	0.11	0.46	0.38	0.38	2.91	-0.04	-0.54	23100.00	          4154	4.07万	-25.34	-8.02	          3.50	-704.14	14.42	10.08	          2.80	2.80	          0.61	          1.01	         91.96	   4.68㈢	         50.06	         24.46	         19.18	300314	--  	--  	--  	
600530	交大昂立	-3.32	0.87	医疗保健	2803	5.63	5.83	0.87	404776	3668	          5.19	11.96	6.35	5.82	0.106㈢	    41.06	241790848	  2.05	         45.40亿	上海	6.06	5.97	212991	191785	  1.11	5.82	77	 -2.12	          7.80	-0.20	         45.40亿	   2817	--  	    144	        0.0018	20190213	20010702	          7.80	--  	--  	19.49	15.08	          1.01	17.40	2.86	0.80	0.07	3.07	1.22	0.50	0.48	1.94	0.90	0.95	0.94	0.98	0.85	0.83	3.61	-0.14	-0.92	40206.00	         12021	7.00万	-12.00	-1.72	          3.01	-320.40	23.41	6.02	          1.93	0.00	          0.16	          0.46	         77.39	   5.50㈢	         53.76	         49.23	         42.77	600530	20171110	7.39	-20.37	
603976	正川股份	-3.19	0.82	医疗保健	356	18.62	19.71	0.82	80268	1411	         20.96	12.43	21.15	19.70	0.440㈢	    33.61	159888416	  1.08	          7.55亿	重庆	19.92	19.92	40576	39691	  1.02	19.70	12	 -2.00	          0.38	-0.65	         29.79亿	   2752	--  	     29	        0.0076	20190311	20170822	          1.51	--  	--  	10.69	9.71	          0.00	9.12	6.97	2.88	0.44	0.92	5.56	1.00	1.30	4.55	3.24	0.78	0.00	0.78	0.66	0.66	2.32	0.51	-0.55	14300.00	          2678	5.28万	3.17	18.87	          3.07	58.51	6.55	20.35	          6.42	0.00	          3.67	          1.53	         90.88	   6.84㈢	         28.75	         17.23	         14.61	603976	--  	--  	--  	
600767	ST运盛	-3.75	0.78	医疗保健	67	5.09	5.14	0.78	22820	145	          0.67	5.43	5.38	5.14	-0.054㈢	--  	11814157	  0.79	         17.52亿	上海	5.36	5.18	15128	7692	  1.97	5.13	141	 -2.55	          3.41	-0.20	         17.53亿	    448	--  	     51	        0.0015	20190213	19961115	          3.41	--  	--  	4.55	2.48	          0.51	34.43	2.25	0.02	1.51	1.29	0.36	0.49	0.89	0.94	0.67	-0.18	0.02	-0.25	-0.23	-0.18	-1.35	-0.71	-1.34	32483.00	          7940	4.08万	-536.39	67.21	          7.08	-24.63	18.72	5.34	          0.73	0.00	          0.11	         -0.40	         54.44	  -7.41㈢	         28.25	        -19.14	        -19.61	600767	--  	--  	--  	
603127	昭衍新药	1.53	0.61	医疗保健	28	68.94	71.00	0.61	14355	125	          2.57	5.81	73.00	70.99	0.942㈣	    75.35	101977264	  0.79	         39.62亿	北京	70.21	71.04	6511	7844	  0.83	70.99	34	  2.73	          0.56	1.07	         81.63亿	   1726	--  	      8	        0.0015	20190304	20170825	          1.15	--  	--  	11.41	6.51	          0.00	42.92	6.90	2.86	0.48	4.09	2.46	1.15	0.00	4.09	1.92	1.26	0.09	1.28	1.08	1.08	2.82	1.76	-1.09	5865.00	          6619	46.99万	41.72	35.69	         12.53	46.36	19.97	69.92	          5.66	0.00	          2.14	          2.45	         57.06	  16.63㈣	         53.02	         30.82	         26.50	603127	--  	--  	--  	
300326	凯利泰	-4.71	0.60	医疗保健	20	9.85	10.13	0.60	152410	850	          2.37	7.82	10.68	10.12	0.221㈢	    34.30	154426928	  0.85	         65.19亿	上海	10.57	10.13	96381	56029	  1.72	10.12	127	 -2.89	          6.44	-0.50	         72.71亿	   2245	--  	     68	        0.0011	20190213	20120613	          7.18	--  	--  	32.24	21.93	          0.06	31.81	11.64	2.68	0.61	5.56	7.33	1.80	5.37	6.87	2.65	1.93	0.06	1.93	1.59	1.59	7.04	0.48	0.32	21030.00	         23997	24.28万	4.96	20.18	          3.32	152.40	10.58	10.62	          3.05	0.00	          1.02	          0.98	         68.02	   7.25㈢	         61.50	         28.04	         23.13	300326	--  	--  	--  	
002551	尚荣医疗	-4.06	0.49	医疗保健	1071	6.02	6.16	0.49	131201	1045	          2.96	6.55	6.44	6.15	0.145㈢	    31.74	80994488	  0.56	         27.29亿	深圳	6.33	6.17	72538	58663	  1.24	6.15	966	 -2.24	          4.44	-0.26	         43.41亿	   2155	--  	     61	        0.0014	20181220	20110225	          7.06	--  	--  	41.86	23.13	          4.37	34.29	23.02	2.30	2.35	13.14	9.03	3.67	0.00	13.48	10.05	1.42	-0.04	1.43	1.17	1.03	6.76	-1.33	-2.45	43509.00	          8593	5.28万	-29.17	-10.94	          1.88	-32.67	3.22	6.41	          3.28	0.00	          1.28	          0.96	         55.27	   4.43㈢	         25.41	         10.57	          7.61	002551	--  	--  	--  	
000502	绿景控股	-2.23	0.48	医疗保健	48	8.10	8.33	0.48	26044	211	          1.42	5.41	8.56	8.32	0.227㈢	    27.47	21694718	  0.67	         15.25亿	广东	8.47	8.33	15523	10521	  1.48	8.32	95	 -0.42	          1.83	-0.19	         15.38亿	   1261	--  	     21	        0.0011	20190304	19921123	          1.85	--  	--  	3.93	1.69	          0.17	52.64	2.86	0.23	0.00	2.07	0.23	0.31	0.00	0.13	0.11	0.41	0.84	0.41	0.41	0.42	-0.46	-0.98	0.02	19762.00	          7159	5.96万	172.28	-26.76	          9.11	-15.72	117.08	8.51	          0.91	0.00	          0.12	         -0.25	         42.91	  24.88㈢	         18.41	        314.43	        319.69	000502	--  	--  	--  	
300396	迪瑞医疗	-2.14	0.45	医疗保健	278	15.10	15.56	0.45	19886	105	          0.80	6.60	16.15	15.56	0.571㈢	    20.42	30950798	  0.73	         38.45亿	吉林	15.92	15.56	10659	9226	  1.16	15.52	42	 -0.32	          2.47	-0.34	         42.95亿	   1418	--  	     14	        0.0006	20190213	20140910	          2.76	--  	--  	19.89	13.55	          2.11	21.22	8.74	2.96	2.80	3.58	2.87	2.73	1.46	6.67	2.32	2.14	0.05	2.21	1.91	1.58	7.16	1.60	-0.10	8073.00	         12214	19.00万	16.83	9.83	          3.17	26.82	6.43	15.90	          4.91	0.00	          1.04	          2.59	         68.15	  11.64㈢	         65.30	         32.13	         23.63	300396	--  	--  	--  	
300642	透景生命	-2.76	0.40	医疗保健	26	42.36	43.00	0.40	16270	151	          3.05	5.70	44.88	42.99	1.002㈢	    32.18	70415616	  0.69	         22.90亿	上海	44.15	43.28	8714	7555	  1.15	42.99	41	 -0.94	          0.53	-1.22	         39.05亿	   1759	--  	      9	        0.0017	20190213	20170421	          0.91	--  	--  	10.55	9.96	          0.00	5.64	7.98	1.46	0.10	0.52	5.51	0.87	0.72	2.40	0.54	1.07	0.05	1.07	0.91	0.91	3.22	0.96	-4.31	9254.00	          3161	13.59万	17.65	23.53	          3.92	40.76	16.28	44.21	         10.96	0.00	          6.07	          3.55	         94.36	   9.14㈢	         77.66	         44.64	         37.95	300642	20171120	111.97	-42.05	
