代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
600645	中源协和	1.79	2.01	生物制药	867	21.60	23.31	2.01	143527	6104	          3.74	7.65	23.35	23.30	0.840㈢	    22.99	323341344	  0.71	         89.42亿	天津	22.87	22.53	71439	72088	  0.99	23.30	11	  2.99	          3.84	0.41	        102.56亿	   3206	--  	     45	        0.0012	20181030	19930504	          4.40	--  	--  	46.59	30.10	          2.17	30.74	14.17	6.12	1.62	12.46	28.88	2.04	3.97	9.71	2.95	3.78	2.68	3.85	3.47	3.35	-3.79	0.53	0.38	45024.00	          6673	15.55万	1116.90	1.23	          3.41	194.45	10.56	22.89	          6.84	0.00	          6.56	         -0.86	         64.61	  11.11㈢	         69.62	         38.87	         34.44	600645	20180209	18.39	26.70	
300181	佐力药业	-4.80	1.17	中成药	938	6.70	6.95	1.17	339830	4076	          7.27	11.52	7.54	6.94	0.042㈢	   123.25	239392752	  0.87	         32.43亿	浙江	7.09	7.04	197131	142698	  1.38	6.94	310	 -2.99	          4.67	-0.35	         42.24亿	   3030	--  	    112	        0.0024	20190213	20110222	          6.09	--  	--  	22.12	13.68	          1.38	31.91	8.06	5.92	0.79	5.61	4.12	2.71	2.52	5.29	1.90	0.34	0.02	0.35	0.32	0.26	2.87	-0.29	-0.77	44864.00	          9450	6.56万	-49.58	-11.76	          3.09	-146.85	7.99	7.29	          2.25	0.00	          0.68	          0.47	         61.84	   1.88㈢	         63.97	          6.51	          4.86	300181	20171215	7.28	-4.40	
300584	海辰药业	-2.76	1.13	化学制药	27	27.80	28.54	1.13	19958	357	          4.21	7.26	29.93	28.52	0.519㈢	    41.20	57505116	  0.48	         13.53亿	江苏	29.31	28.81	12539	7419	  1.69	28.52	8	 -0.95	          0.47	-0.81	         34.22亿	   1248	--  	     16	        0.0034	20190213	20170112	          1.20	--  	--  	7.39	5.60	          0.00	24.23	2.87	1.93	0.23	1.69	2.12	0.45	0.76	5.26	0.72	0.72	0.01	0.72	0.62	0.62	2.05	0.46	0.50	7797.00	          6082	17.35万	35.74	74.19	          6.11	74.36	6.51	29.33	          4.67	0.00	          1.77	          1.71	         75.77	  11.13㈢	         86.23	         13.78	         11.85	300584	--  	--  	--  	
300255	常山药业	-3.75	0.98	生物制药	54	6.05	6.17	0.98	473964	2865	          7.33	7.03	6.50	6.16	0.172㈢	    26.83	294934464	  0.61	         39.80亿	河北	6.31	6.22	238817	235147	  1.02	6.16	101	 -1.93	          6.46	-0.24	         57.59亿	   3032	--  	    156	        0.0024	20190213	20110819	          9.35	--  	--  	36.72	24.71	          0.11	32.42	24.01	6.18	1.86	8.87	5.34	10.72	3.03	11.51	3.37	1.86	0.00	1.86	1.61	1.61	9.69	0.38	-1.19	35490.00	         12692	7.82万	21.18	30.71	          2.33	152.99	5.00	6.40	          2.64	0.00	          0.57	          1.04	         67.27	   6.52㈢	         70.71	         16.18	         13.98	300255	--  	--  	--  	
603538	美诺华	-5.09	0.97	化学制药	21	19.19	19.77	0.97	45154	641	          5.05	8.45	20.95	19.77	0.490㈢	    34.34	90454496	  0.74	         17.69亿	浙江	20.60	20.03	26558	18595	  1.43	19.71	215	 -3.89	          0.89	-1.06	         29.48亿	   1975	--  	     23	        0.0026	20181024	20170407	          1.49	--  	--  	21.81	11.57	          1.40	40.53	10.44	3.94	1.76	7.74	5.17	2.93	1.08	5.59	3.93	0.83	0.24	0.83	0.70	0.64	5.21	0.16	0.28	12671.00	          7060	13.96万	80.91	30.09	          2.55	186.63	5.28	20.83	          7.76	0.00	          3.47	          3.49	         53.06	   5.56㈢	         29.63	         14.78	         11.53	603538	--  	--  	--  	
600789	鲁抗医药	5.25	0.97	化学制药	1926	9.71	10.44	0.97	1039065	20337	         17.87	7.87	10.49	10.43	0.220㈢	    36.78	1053546688	  2.09	         60.66亿	山东	9.76	10.14	469876	569188	  0.83	10.43	579	  6.45	          5.82	0.52	         70.62亿	   4560	--  	    228	        0.0039	20181031	19970226	          6.77	--  	--  	65.03	29.33	          1.91	51.96	30.15	21.85	2.22	20.04	18.52	9.09	5.02	23.74	16.37	1.62	0.04	1.68	1.57	1.44	2.54	0.62	6.12	96336.00	          4553	4.75万	230.56	25.98	          2.41	114.01	2.98	9.91	          4.33	0.00	          2.74	          0.37	         45.11	   4.91㈢	         31.05	          6.83	          6.07	600789	20170807	9.08	15.20	
002750	龙津药业	-4.94	0.86	中成药	889	16.57	17.51	0.86	407357	13235	         10.25	7.12	17.88	17.50	0.035㈣	   505.32	697593920	  1.33	         69.53亿	云南	16.57	17.12	191700	215656	  0.89	17.50	55	 -3.13	          3.97	-0.91	         70.09亿	   3949	--  	    103	        0.0026	20190313	20150324	          4.00	--  	--  	7.88	6.47	          0.09	16.71	4.73	2.05	0.26	0.99	0.00	0.27	0.00	3.36	0.33	0.17	0.02	0.16	0.14	0.14	1.99	0.32	3.13	21600.00	          4490	7.86万	-60.55	10.36	         10.83	221.11	20.86	18.41	          1.62	0.00	          0.00	          0.50	         82.20	   2.14㈣	         90.13	          4.97	          4.13	002750	--  	--  	--  	
300049	福瑞股份	-2.93	0.85	中成药	30	10.45	10.62	0.85	51305	792	          2.25	4.30	10.92	10.62	0.223㈢	    35.77	54620240	  0.63	         24.21亿	内蒙	10.92	10.65	28452	22853	  1.25	10.61	28	 -1.11	          2.28	-0.32	         27.94亿	   1390	--  	     37	        0.0016	20190306	20100120	          2.63	--  	--  	21.80	14.38	          2.00	24.86	8.22	0.97	3.45	1.73	6.59	1.01	3.07	5.84	1.78	1.06	0.05	1.02	0.77	0.59	4.15	0.09	-4.24	19199.00	         10615	11.27万	19.37	0.16	          2.02	307.16	4.78	10.94	          5.25	5.25	          2.51	          1.58	         65.96	   4.07㈢	         69.56	         18.19	         10.03	300049	--  	--  	--  	
603168	莎普爱思	-2.67	0.79	化学制药	166	7.50	7.65	0.79	39678	1294	          1.33	5.09	7.90	7.65	0.242㈢	    23.75	30300674	  0.58	         22.75亿	浙江	7.75	7.64	23418	16260	  1.44	7.63	1350	 -1.47	          2.97	-0.21	         24.68亿	   1383	--  	     29	        0.0010	20190213	20140702	          3.23	--  	--  	18.03	16.86	          0.00	6.52	8.96	5.13	0.55	1.17	6.20	1.16	0.32	4.96	1.27	0.76	0.08	0.95	0.78	0.78	6.35	0.75	-2.99	27914.00	          4607	3.52万	-47.10	-29.34	          1.46	32.73	4.97	7.86	          5.23	0.00	          1.92	          1.97	         93.48	   4.62㈢	         74.32	         15.40	         15.70	603168	--  	--  	--  	
600332	白云山	2.10	0.75	中成药	622	36.50	37.49	0.75	127473	4511	          1.19	2.81	37.53	37.49	2.115㈢	    13.29	473682848	  0.80	        401.59亿	广东	36.62	37.16	60737	66736	  0.91	37.48	460	  3.29	         10.71	0.77	        527.07亿	   3690	--  	     35	        0.0003	20190213	20010206	         16.26	--  	          2.20	495.94	216.85	         14.60	53.33	411.95	31.71	9.92	246.80	98.65	75.79	114.84	298.76	222.35	38.08	11.90	39.81	35.09	34.39	90.38	33.56	34.01	61498.00	          7922	29.70万	131.50	87.11	          2.81	18.16	2.04	36.72	         13.34	13.34	          6.07	          5.56	         43.72	  15.86㈢	         25.58	         12.75	         11.51	600332	--  	--  	--  	
