代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
603501	韦尔股份	-0.90	1.63	半导体	3	45.93	48.60	1.63	80167	531	          5.70	7.65	49.68	48.59	0.540㈢	    67.53	383638944	  0.95	         68.29亿	上海	48.00	47.86	44068	36098	  1.22	48.59	141	  0.30	          1.41	-0.44	        221.43亿	   3379	--  	     24	        0.0017	20190305	20170504	          4.56	--  	--  	39.68	16.10	          0.06	59.26	29.74	2.01	0.64	22.96	10.92	10.92	11.91	31.13	22.86	2.85	0.00	2.88	2.31	2.46	7.28	-1.89	-4.97	12655.00	         11105	53.96万	145.05	92.40	         13.75	-116.91	7.11	49.03	          3.53	0.00	          2.40	          1.60	         40.58	  15.27㈢	         26.58	          9.16	          7.90	603501	20180208	29.75	63.48	
002119	康强电子	-8.63	1.47	半导体	63	12.20	12.39	1.47	151206	1715	          5.35	7.01	13.15	12.39	0.227㈢	    40.86	188714880	  0.71	         35.03亿	浙江	12.75	12.48	84814	66391	  1.28	12.38	222	 -6.81	          2.83	-1.17	         35.77亿	   2977	--  	     51	        0.0018	20190213	20070302	          2.89	--  	--  	17.52	7.85	          0.79	50.68	9.75	5.49	0.82	8.47	1.62	3.12	3.71	11.44	9.09	0.93	-0.01	0.93	0.76	0.66	2.88	0.89	0.23	16277.00	          8113	10.05万	16.90	22.10	          4.56	40.05	3.13	13.56	          2.72	0.00	          0.56	          1.00	         44.79	   8.37㈢	         20.53	          8.16	          5.74	002119	--  	--  	--  	
300223	北京君正	-4.57	1.20	半导体	2	26.32	27.75	1.20	99747	804	          8.32	7.84	28.60	27.75	0.104㈢	   200.83	273479904	  0.62	         33.27亿	北京	28.44	27.42	54880	44866	  1.22	27.72	95	 -2.76	          1.20	-1.33	         55.68亿	   3037	--  	     33	        0.0027	20190311	20110531	          2.01	--  	--  	11.87	11.47	          0.00	3.38	8.74	0.37	0.33	0.24	7.31	1.36	0.12	1.60	0.95	0.24	0.17	0.24	0.21	0.21	1.83	-0.10	0.52	20045.00	          5477	15.20万	202.25	30.37	          4.88	-584.86	34.70	29.08	          5.69	5.69	          3.64	          0.91	         96.62	   1.81㈢	         40.56	         15.07	         12.96	300223	20171123	35.64	-6.52	
300389	艾比森	-6.07	0.82	半导体	138	16.91	17.19	0.82	49885	476	          3.04	7.98	18.37	17.18	0.554㈢	    23.26	87157624	  0.79	         28.17亿	深圳	18.31	17.47	29523	20362	  1.45	17.18	23	 -4.25	          1.64	-1.11	         54.92亿	   1696	--  	     29	        0.0018	20181105	20140801	          3.20	--  	--  	20.46	12.01	          0.04	41.12	14.21	3.68	0.33	8.40	0.90	4.17	5.28	13.34	8.39	1.99	0.01	2.01	1.75	1.77	7.28	0.97	0.28	7831.00	         18304	31.45万	218.67	51.01	          4.57	56.52	4.12	18.29	          3.76	0.00	          0.28	          2.28	         58.70	  14.74㈢	         37.11	         14.93	         13.27	300389	20170926	14.41	19.78	
300301	长方集团	-4.23	0.74	半导体	263	3.99	4.08	0.74	94569	2295	          1.72	6.81	4.28	4.08	0.006㈢	   546.26	38716892	  0.68	         22.46亿	深圳	4.28	4.09	53659	40910	  1.31	4.07	1552	 -2.41	          5.50	-0.18	         32.24亿	   1156	--  	     82	        0.0015	20190213	20120321	          7.90	--  	--  	37.41	21.00	          2.92	36.07	15.78	11.42	1.11	11.68	10.71	3.88	7.41	11.78	8.49	0.53	0.04	0.52	0.47	0.04	2.11	-2.82	-1.75	18732.00	         22035	8.99万	-85.08	-11.36	          1.54	-11.42	2.74	4.26	          2.66	0.00	          1.36	          0.27	         56.13	   0.21㈢	         27.89	          4.46	          0.38	300301	20180328	6.35	-35.75	
300613	富瀚微	-3.80	0.61	半导体	3	106.70	109.47	0.61	6695	23	          5.17	8.03	115.84	109.47	1.230㈣	    91.02	73737768	  0.62	         14.17亿	上海	114.77	110.13	3713	2982	  1.25	109.39	4	 -1.98	          0.13	-4.32	         49.61亿	   1368	--  	      5	        0.0038	20190311	20170220	          0.45	--  	--  	11.90	10.31	          0.04	13.04	9.27	1.87	0.32	1.48	7.13	0.54	0.00	4.12	2.39	0.43	0.10	0.52	0.46	0.54	3.26	1.03	-2.90	11700.00	          1106	12.11万	-48.62	-8.28	          4.81	48.21	12.04	113.79	         22.75	0.00	         15.74	          7.20	         86.65	   5.29㈣	         41.94	         10.33	         13.23	300613	20170914	210.00	-47.76	
300232	洲明科技	-6.24	0.55	半导体	509	12.38	12.79	0.55	150658	1353	          3.33	8.95	13.60	12.78	0.425㈢	    22.53	194380080	  1.32	         57.85亿	深圳	13.40	12.90	87164	63493	  1.37	12.78	44	 -4.42	          4.53	-0.85	         97.21亿	   3339	--  	     45	        0.0010	20190227	20110622	          7.61	--  	--  	59.58	21.05	          2.33	60.76	38.45	8.01	1.20	32.71	4.90	12.72	15.27	31.85	22.07	3.72	-0.03	3.81	3.30	3.24	9.51	0.75	-0.16	13177.00	         28373	36.26万	50.63	62.19	          4.62	129.08	3.05	13.63	          2.77	0.00	          0.64	          1.25	         35.33	  15.37㈢	         30.72	         11.68	         10.16	300232	--  	--  	--  	
300077	国民技术	-5.06	0.51	半导体	292	9.56	9.94	0.51	629316	5624	         11.63	6.69	10.26	9.94	0.394㈢	    18.94	622030912	  0.54	         53.77亿	深圳	10.08	9.88	338198	291117	  1.16	9.93	1481	 -3.25	          5.41	-0.53	         55.43亿	   4070	--  	    155	        0.0029	20190213	20100430	          5.58	--  	--  	40.95	27.86	          1.55	28.18	16.40	2.80	1.94	10.82	20.72	1.94	5.74	5.01	3.35	2.72	0.06	2.75	2.27	2.19	0.86	1.83	-2.47	93075.00	          5812	5.78万	328.15	-6.94	          1.99	30.36	11.06	10.47	          5.00	0.00	          3.72	          0.15	         68.04	   7.88㈢	         33.14	         54.33	         43.80	300077	20170816	14.06	-29.30	
600206	有研新材	-4.25	0.46	半导体	1171	8.61	8.80	0.46	348124	3612	          4.15	7.19	9.27	8.79	0.080㈢	    81.99	309244896	  0.55	         73.73亿	北京	9.12	8.88	197141	150982	  1.31	8.79	1219	 -3.05	          8.39	-0.39	         74.46亿	   3266	--  	    107	        0.0013	20190213	19990319	          8.47	--  	--  	34.92	29.31	          1.67	11.27	26.64	3.51	0.33	2.61	14.56	6.59	3.71	32.34	30.10	0.78	0.33	0.83	0.71	0.68	6.12	-1.99	-4.97	76441.00	          6976	6.13万	40.83	13.26	          2.54	-37.43	2.30	9.18	          3.46	0.00	          1.72	          0.72	         83.95	   2.32㈢	          6.93	          2.43	          2.11	600206	20170922	11.88	-26.01	
002654	万润科技	-6.11	0.42	半导体	145	4.69	4.77	0.42	183498	1341	          3.19	7.69	5.08	4.76	0.155㈢	    22.96	88966064	  0.58	         27.38亿	深圳	5.02	4.85	111183	72315	  1.54	4.76	324	 -4.30	          5.75	-0.31	         42.96亿	   2227	--  	     82	        0.0014	20190213	20120217	          9.03	--  	--  	58.72	32.87	          0.86	42.57	28.47	5.98	2.25	21.09	18.55	2.33	17.03	34.18	28.62	1.76	0.33	1.76	1.56	1.40	5.65	-0.78	-0.81	46871.00	         10405	4.95万	6.71	65.76	          1.31	-54.98	1.26	5.07	          3.64	0.00	          2.06	          0.63	         55.97	   4.27㈢	         16.27	          5.16	          4.11	002654	20180228	6.55	-26.56	
