代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002181	粤 传 媒	10.10	0.00	出版业	59210	5.10	--  	--  	478221	1108	          4.22	9.11	5.56	5.56	0.023㈢	   178.61	256679568	  0.99	         63.07亿	广东	5.25	5.37	254705	223516	  1.14	5.56	0	  7.73	
601519	大智慧	10.06	0.00	软件服务	120297	8.27	--  	--  	1654395	1601	          8.32	7.33	8.86	8.86	-0.020㈢	--  	1427239808	  1.37	        176.11亿	上海	8.27	8.63	886756	767638	  1.16	8.86	0	  8.94	
000665	湖北广电	10.06	0.00	影视音像	65741	8.94	--  	--  	68222	50	          1.07	2.99	9.19	9.19	0.324㈢	    21.29	62549400	  0.90	         58.46亿	湖北	8.95	9.17	50761	17460	  2.91	9.19	0	  7.70	
600037	歌华有线	10.05	0.00	影视音像	64882	10.90	--  	--  	306784	346	          2.20	7.70	11.72	11.72	0.393㈢	    22.37	351976064	  2.26	        163.12亿	北京	11.40	11.47	166803	139981	  1.19	11.72	0	  8.93	
000917	电广传媒	10.02	0.00	影视音像	53152	8.69	--  	--  	1586884	806	         12.26	6.32	9.22	9.22	-0.095㈢	--  	1442531328	  1.15	        119.37亿	湖南	8.99	9.09	924136	662748	  1.39	9.22	0	  7.66	
300079	数码科技	10.00	0.00	通信设备	617405	4.62	--  	--  	109926	330	          0.91	0.00	4.62	4.62	0.059㈢	    59.04	50785928	  0.20	         55.86亿	北京	4.62	4.62	96424	13502	  7.14	4.62	0	  7.64	
603000	人民网	9.99	0.00	互联网	73193	19.93	--  	--  	326039	116	          2.95	6.25	21.13	21.13	0.061㈢	   258.60	676864768	  0.53	        233.63亿	北京	20.20	20.76	179864	146174	  1.23	21.13	0	  8.87	
002605	姚记扑克	9.14	0.73	文教休闲	1110	9.97	--  	11.11	234164	4347	          8.76	11.11	11.10	11.10	0.193㈢	    43.10	246330960	  1.70	         29.68亿	上海	10.22	10.52	108235	125928	  0.86	11.10	213	  6.78	
002235	安妮股份	5.58	0.76	互联网	901	6.20	--  	6.63	776378	20910	         15.52	7.02	6.64	6.62	0.107㈢	    46.21	502824640	  1.22	         33.12亿	福建	6.30	6.48	355406	420972	  0.84	6.62	878	  3.22	
000981	银亿股份	3.37	0.27	汽车配件	390	3.50	--  	3.69	999746	14216	          3.88	7.87	3.78	3.68	0.212㈢	    13.03	364648736	  1.05	         94.73亿	甘肃	3.53	3.65	443044	556702	  0.80	3.68	3964	  1.01	
