代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600775	南京熊猫	10.01	0.00	通信设备	13948	10.16	--  	--  	743171	599	         11.06	10.30	11.21	11.21	0.089㈢	    94.59	816658688	  1.31	         75.31亿	江苏	10.38	10.99	424959	318211	  1.34	11.21	0	  8.89	
002512	达华智能	8.54	1.42	元器件	264	5.25	--  	5.73	761013	11084	          8.62	10.44	5.80	5.72	-0.368㈢	--  	423397440	  1.57	         50.52亿	福建	5.25	5.56	329153	431859	  0.76	5.72	785	  6.17	
002052	同洲电子	4.86	-0.20	通信设备	3154	4.51	--  	4.76	652022	4996	          8.74	10.38	4.98	4.75	-0.092㈢	--  	318067616	  2.06	         35.43亿	深圳	4.95	4.88	338606	313415	  1.08	4.75	2734	  2.49	
600614	鹏起科技	4.62	0.99	综合类	860	5.79	--  	6.11	1158927	19342	          7.67	7.53	6.23	6.11	0.091㈢	    50.26	698995264	  0.80	         92.35亿	上海	5.84	6.03	558476	600451	  0.93	6.10	673	  3.50	
000670	盈方微	3.91	0.00	元器件	756	3.91	--  	4.00	768200	6036	         12.81	5.21	4.11	3.99	-0.070㈢	--  	308547168	  1.33	         23.92亿	湖北	3.93	4.02	317689	450511	  0.71	3.99	8829	  1.54	
600501	航天晨光	2.95	0.39	汽车配件	658	7.46	--  	7.69	146308	1015	          3.47	4.02	7.76	7.69	-0.156㈢	--  	112055144	  1.13	         32.40亿	江苏	7.48	7.66	68948	77360	  0.89	7.68	1027	  1.82	
300324	旋极信息	2.38	0.41	软件服务	523	7.02	--  	7.32	1094544	11821	         10.56	6.71	7.50	7.32	0.206㈢	    26.69	794674560	  0.85	         75.90亿	北京	7.07	7.26	550906	543638	  1.01	7.31	1517	  0.01	
300456	耐威科技	1.85	0.13	元器件	581	29.60	--  	30.31	92021	855	          6.41	4.30	30.88	30.30	0.300㈢	    93.76	278470464	  0.97	         43.50亿	北京	30.10	30.26	46175	45845	  1.01	30.30	71	 -0.52	
300075	数字政通	1.79	0.34	软件服务	745	11.76	--  	11.92	164011	1672	          5.45	4.27	12.26	11.91	0.210㈢	    42.40	196431792	  1.21	         35.85亿	北京	11.82	11.98	80216	83794	  0.96	11.91	97	 -0.57	
300045	华力创通	1.73	0.21	电脑设备	505	9.27	--  	9.41	132046	1389	          3.24	3.03	9.55	9.41	0.079㈢	    89.85	124221944	  1.15	         38.32亿	北京	9.28	9.41	67129	64916	  1.03	9.40	165	 -0.63	
600435	北方导航	1.72	0.64	专用机械	3629	9.25	--  	9.47	568731	7782	          3.82	4.19	9.64	9.46	0.003㈢	  2623.64	536396320	  1.05	        140.89亿	北京	9.32	9.43	292945	275785	  1.06	9.46	372	  0.60	
300036	超图软件	1.72	0.00	软件服务	983	16.91	--  	17.17	194638	1008	          5.86	4.33	17.64	17.16	0.236㈢	    54.54	336554368	  1.07	         57.02亿	北京	16.91	17.29	97693	96944	  1.01	17.16	371	 -0.65	
600990	四创电子	1.71	0.02	通信设备	43	42.61	--  	43.33	25162	128	          1.84	3.52	44.11	43.32	-0.030㈢	--  	109372512	  1.03	         59.22亿	安徽	42.61	43.47	11780	13382	  0.88	43.32	3	  0.59	
