代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002207	ST准油	5.03	0.00	石油开采	2113	6.02	--  	--  	105584	12	          4.45	7.31	6.47	6.47	-0.072㈢	--  	67442280	  1.10	         15.36亿	新疆	6.10	6.39	49343	56240	  0.88	6.47	0	  2.67	
300157	恒泰艾普	2.29	-0.19	石油开采	1950	4.80	--  	4.93	305646	1353	          4.98	4.37	5.01	4.92	0.045㈢	    82.02	150006256	  1.16	         30.19亿	北京	4.83	4.91	151974	153672	  0.99	4.92	1249	 -0.08	
002278	神开股份	2.09	0.41	化工机械	172	7.14	--  	7.34	119783	742	          3.48	3.62	7.40	7.34	0.041㈢	   135.88	87261688	  1.47	         25.25亿	上海	7.22	7.28	59447	60336	  0.99	7.33	425	 -0.28	
000554	泰山石油	1.69	-0.16	石油贸易	317	5.81	--  	6.02	250278	3879	          6.90	8.11	6.29	6.02	0.002㈢	  1828.03	150467296	  1.50	         21.83亿	山东	5.88	6.01	115177	135101	  0.85	6.01	620	 -0.68	
002140	东华科技	1.10	-0.26	建筑施工	2462	7.31	--  	7.40	67410	463	          1.53	3.56	7.57	7.38	0.267㈢	    20.75	50132144	  1.15	         32.44亿	安徽	7.35	7.44	33514	33896	  0.99	7.38	536	 -1.27	
002554	惠博普	1.00	0.00	石油开采	4191	2.99	--  	3.03	273813	1809	          3.56	2.67	3.07	3.03	0.027㈢	    83.86	83099824	  0.92	         23.32亿	北京	3.01	3.03	127770	146042	  0.87	3.02	5126	 -1.36	
000852	石化机械	0.96	-0.11	化工机械	557	8.30	--  	8.44	224367	2487	          3.75	5.03	8.72	8.43	-0.061㈢	--  	189890496	  1.34	         50.42亿	湖北	8.38	8.46	121856	102510	  1.19	8.43	580	 -1.41	
601168	西部矿业	0.94	0.31	铜	689	6.40	--  	6.46	375050	1407	          1.57	2.81	6.58	6.46	0.285㈢	    16.98	243359568	  0.97	        153.94亿	青海	6.43	6.49	196834	178216	  1.10	6.45	2526	 -0.18	
300309	吉艾科技	0.81	0.00	多元金融	311	7.37	--  	7.43	276856	3936	          3.71	3.53	7.63	7.43	0.350㈢	    15.91	206916256	  1.07	         55.50亿	北京	7.49	7.47	144313	132542	  1.09	7.42	1119	 -1.55	
300084	海默科技	0.67	-0.16	石油开采	166	5.92	--  	5.99	164516	2226	          5.42	2.69	6.08	5.98	-0.063㈢	--  	98737232	  0.87	         18.15亿	甘肃	5.95	6.00	86395	78120	  1.11	5.98	784	 -1.69	
603727	博迈科	0.65	0.29	石油开采	177	13.91	--  	13.99	25049	165	          2.64	2.45	14.25	13.98	-0.126㈢	--  	35303600	  1.01	         13.26亿	天津	14.03	14.09	11686	13363	  0.87	13.98	70	 -0.47	
601808	中海油服	0.61	0.20	石油开采	770	9.83	--  	9.90	146551	833	          0.50	1.73	10.00	9.90	-0.058㈢	--  	144956272	  0.95	        293.09亿	天津	9.83	9.89	77599	68951	  1.13	9.89	973	 -0.51	
600378	天科股份	0.58	0.29	化工原料	242	10.30	--  	10.38	29345	136	          0.99	2.52	10.56	10.38	0.130㈢	   163.84	30605498	  1.36	         30.85亿	四川	10.34	10.43	16149	13196	  1.22	10.37	89	 -0.54	
300191	潜能恒信	0.47	-0.11	石油开采	268	16.92	--  	17.19	54237	1083	          2.62	3.74	17.56	17.18	0.033㈢	   386.29	93587072	  1.11	         35.57亿	北京	17.00	17.26	25520	28716	  0.89	17.18	31	 -1.90	
002221	东华能源	0.45	0.00	石油贸易	6889	8.77	--  	8.88	192265	817	          1.27	3.06	9.04	8.87	0.560㈢	    12.16	171857072	  1.12	        134.70亿	江苏	8.81	8.94	103613	88652	  1.17	8.87	237	 -1.91	
000039	中集集团	0.37	0.22	轻工机械	425	13.42	--  	13.50	266106	1674	          2.10	3.49	13.89	13.50	0.760㈢	    13.04	363051840	  1.23	        171.17亿	深圳	13.62	13.64	136662	129443	  1.06	13.49	2784	 -1.99	
002342	巨力索具	0.25	-0.24	机械基件	3966	3.91	--  	3.95	333321	2088	          3.78	2.80	4.02	3.94	0.016㈢	   182.11	132116176	  1.04	         34.72亿	河北	3.97	3.96	167677	165643	  1.01	3.94	3194	 -2.11	
002353	杰瑞股份	0.00	0.10	化工机械	238	19.88	--  	20.00	137877	610	          2.05	2.70	20.42	20.00	0.379㈢	    39.61	277303488	  1.17	        134.60亿	山东	20.08	20.11	64222	73654	  0.87	19.99	295	 -2.36	
600583	海油工程	-0.16	0.16	石油开采	1574	6.03	--  	6.09	390178	4612	          0.88	1.80	6.14	6.09	-0.032㈢	--  	237209504	  1.35	        269.26亿	天津	6.08	6.08	213780	176397	  1.21	6.08	685	 -1.29	
600871	*ST油服	-0.49	-0.48	石油开采	10301	2.04	--  	2.06	375466	2315	          0.31	2.43	2.09	2.05	0.023㈢	    66.34	77664288	  1.12	        246.87亿	北京	2.06	2.07	234170	141296	  1.66	2.05	10457	 -1.61	
数据来源:通达信
