代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
601319	中国人保	10.05	0.00	保险	134658	9.04	--  	--  	2212617	2827	         21.88	6.85	9.64	9.64	0.274㈢	    26.39	2105869312	  0.69	         97.48亿	北京	9.30	9.52	1242780	969836	  1.28	9.64	0	  8.92	
601865	福莱特	10.04	0.00	玻璃	182721	8.22	--  	--  	5411	135	          0.36	0.00	8.22	8.22	0.149㈢	    41.47	4448196	  1.13	         12.33亿	浙江	8.22	8.22	4543	868	  5.23	8.22	0	  8.92	
601068	中铝国际	10.03	0.00	建筑施工	12234	6.73	--  	--  	1380740	2013	         46.66	10.77	7.46	7.46	0.070㈢	    65.94	1006529024	  1.54	         22.07亿	北京	7.00	7.29	823684	557056	  1.48	7.46	0	  8.91	
600775	南京熊猫	10.01	0.00	通信设备	13948	10.16	--  	--  	743171	599	         11.06	10.30	11.21	11.21	0.089㈢	    94.59	816658688	  1.31	         75.31亿	江苏	10.38	10.99	424959	318211	  1.34	11.21	0	  8.89	
002703	浙江世宝	9.96	1.02	汽车配件	14545	5.25	--  	--  	463908	1760	          8.39	13.10	5.96	5.96	-0.007㈢	--  	266459456	  2.28	         32.96亿	浙江	5.25	5.74	212111	251797	  0.84	5.96	0	  7.60	
002936	郑州银行	8.46	-0.92	银行	1766	5.86	--  	6.41	2498849	19376	         41.65	10.83	6.50	6.41	0.650㈢	     8.29	1569580288	  1.46	         38.46亿	河南	5.93	6.28	1481911	1016938	  1.46	6.40	92	  6.10	
603259	药明康德	7.53	0.50	化学制药	140	89.95	--  	96.67	113543	709	         10.90	9.93	98.88	96.66	1.940㈢	    43.99	1084659200	  1.95	        100.72亿	江苏	89.95	95.53	53170	60372	  0.88	96.66	1	  6.41	
601598	中国外运	6.81	-0.34	仓储物流	11343	5.30	--  	5.66	2268482	19198	         16.78	9.83	5.82	5.65	0.262㈢	    16.18	1275669504	  1.50	         76.37亿	北京	5.33	5.62	1110178	1158303	  0.96	5.65	6604	  5.68	
600685	中船防务	6.27	0.19	船舶	1879	14.60	--  	15.77	298332	8528	          3.63	8.43	15.85	15.76	-0.408㈢	--  	450750720	  1.29	        129.46亿	广东	14.78	15.11	147322	151009	  0.98	15.76	384	  5.15	
000338	潍柴动力	6.18	0.00	汽车配件	1276	9.94	--  	10.65	1702075	11348	          4.01	10.27	10.97	10.65	0.756㈢	    10.56	1796992640	  1.86	        451.97亿	山东	10.08	10.56	771336	930738	  0.83	10.64	624	  3.82	
601066	中信建投	5.78	-3.81	证券	12035	22.25	--  	23.42	1654062	43755	         41.35	9.44	24.34	23.41	0.300㈢	    61.43	3902680576	  1.64	         93.64亿	北京	22.95	23.59	883917	770145	  1.15	23.41	70	  4.66	
601330	绿色动力	5.70	0.14	环境保护	3977	13.30	--  	14.10	300500	7300	         25.86	7.13	14.25	14.09	0.220㈢	    50.87	412992352	  1.62	         16.37亿	深圳	13.36	13.74	129040	171460	  0.75	14.09	1099	  4.58	
600635	大众公用	5.49	-0.15	供气供热	4381	5.95	--  	6.16	2438849	22164	         10.08	7.03	6.36	6.15	0.113㈢	    40.69	1494905344	  1.03	        148.76亿	上海	6.18	6.13	1150296	1288552	  0.89	6.15	6551	  4.37	
002672	东江环保	5.38	0.08	环境保护	202	11.93	--  	12.54	139052	1088	          2.12	7.73	12.85	12.54	0.430㈢	    22.39	174550768	  1.69	         82.31亿	广东	12.03	12.55	54289	84763	  0.64	12.53	91	  3.01	
600027	华电国际	5.20	0.00	火力发电	3528	4.45	--  	4.66	1250667	9658	          1.79	4.75	4.66	4.65	0.155㈢	    22.54	571828672	  2.66	        325.30亿	山东	4.45	4.57	474170	776496	  0.61	4.65	7015	  4.08	
002948	青岛银行	5.20	-0.99	银行	2777	7.42	--  	7.89	2222168	19959	         49.27	11.07	8.25	7.89	0.389㈢	    15.21	1764634496	  1.19	         35.58亿	山东	7.50	7.94	1152106	1070061	  1.08	7.88	877	  2.84	
600011	华能国际	4.88	0.57	火力发电	3267	6.77	--  	7.09	702956	11568	          0.67	4.88	7.10	7.09	0.120㈢	    41.97	489494784	  1.65	        744.45亿	北京	6.78	6.96	278511	424445	  0.66	7.08	314	  3.76	
601298	青岛港	4.49	0.12	港口	1651	7.81	--  	8.15	1418021	17610	         31.21	7.45	8.39	8.14	0.438㈢	    13.93	1149139072	  1.21	         36.99亿	山东	7.85	8.10	667183	750838	  0.89	8.14	10725	  3.37	
000002	万 科Ａ	4.06	0.54	全国地产	100	28.54	--  	29.71	1414795	8092	          1.46	6.34	30.35	29.70	1.267㈢	    17.58	4185090560	  1.51	       2885.41亿	深圳	28.80	29.58	640764	774031	  0.83	29.70	1	  1.70	
000921	海信家电	3.57	0.10	家用电器	549	9.73	--  	9.87	204371	1738	          2.27	5.25	10.23	9.87	0.859㈢	     8.62	203775312	  1.75	         89.03亿	广东	9.73	9.97	104015	100355	  1.04	9.86	70	  1.20	
002202	金风科技	3.26	0.00	电气设备	259	13.95	--  	14.55	600709	2651	          2.10	7.52	15.01	14.55	0.670㈢	    16.04	868766336	  1.42	        415.37亿	新疆	14.15	14.46	286011	314697	  0.91	14.54	209	  0.90	
600876	洛阳玻璃	3.05	-0.22	玻璃	353	12.37	--  	12.86	114924	994	          4.39	8.42	13.42	12.85	0.004㈢	  2206.29	147590400	  1.77	         33.64亿	河南	12.38	12.84	55394	59530	  0.93	12.85	356	  1.93	
000513	丽珠集团	3.03	-0.02	中成药	121	33.69	--  	34.69	118500	691	          2.59	3.95	35.02	34.69	1.307㈢	    19.90	408496736	  0.92	        158.97亿	广东	33.70	34.47	64367	54133	  1.19	34.68	400	  0.66	
600196	复星医药	3.00	0.24	化学制药	448	29.01	--  	29.58	628985	5302	          3.29	3.97	30.15	29.57	0.830㈢	    27.14	1856410752	  1.08	        564.94亿	上海	29.01	29.51	298666	330319	  0.90	29.57	246	  1.87	
601336	新华保险	2.81	0.99	保险	27	52.65	--  	53.80	414380	1886	          1.99	6.76	56.19	53.80	2.469㈢	    16.34	2238262016	  1.08	       1121.97亿	北京	53.15	54.01	195625	218754	  0.89	53.79	1448	  1.69	
600600	青岛啤酒	2.70	0.15	啤酒	70	38.65	--  	40.29	94150	1392	          1.35	4.92	40.58	40.29	1.554㈢	    19.44	375087520	  1.19	        280.38亿	山东	39.30	39.84	44006	50144	  0.88	40.28	673	  1.58	
601869	长飞光纤	2.68	0.34	通信设备	404	46.96	--  	47.56	127269	942	         16.79	4.62	49.10	47.55	1.760㈢	    21.85	612072640	  1.26	         36.04亿	湖北	46.97	48.09	64290	62978	  1.02	47.55	5	  1.56	
601607	上海医药	2.13	0.43	医药商业	122	18.41	--  	18.74	216848	1456	          1.13	2.62	18.89	18.74	1.190㈢	    11.85	405214656	  1.09	        360.36亿	上海	18.45	18.69	99839	117009	  0.85	18.73	120	  1.00	
601375	中原证券	2.08	-0.33	证券	893	5.63	--  	5.89	1092128	8421	          6.06	11.11	6.27	5.88	0.030㈢	   125.61	645481280	  1.06	        106.00亿	河南	5.79	5.91	531619	560508	  0.95	5.88	1349	  0.96	
601818	光大银行	2.05	0.22	银行	1423	4.41	--  	4.50	3098025	22266	          0.78	4.77	4.62	4.49	0.500㈢	     6.37	1395892480	  1.54	       1787.49亿	北京	4.43	4.51	1394179	1703845	  0.82	4.49	3343	  0.92	
000063	中兴通讯	1.95	0.00	通信设备	2743	29.90	--  	30.32	2159491	14881	          6.29	5.55	31.55	30.31	-1.732㈢	--  	6625920512	  0.98	       1040.88亿	深圳	30.11	30.68	1088681	1070810	  1.02	30.31	745	 -0.41	
600874	创业环保	1.92	0.00	环境保护	1475	9.37	--  	9.56	376960	1774	          3.47	4.38	9.78	9.55	0.292㈢	    24.51	362063424	  1.19	        103.83亿	天津	9.47	9.60	180344	196615	  0.92	9.55	687	  0.80	
000157	中联重科	1.89	-0.22	工程机械	5505	4.23	--  	4.32	809602	4652	          1.29	4.26	4.41	4.31	0.170㈢	    19.37	351305440	  1.69	        271.17亿	湖南	4.24	4.34	342897	466705	  0.73	4.31	1844	 -0.47	
