代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
603108	润达医疗	-1.39	2.30	医药商业	3551	10.10	10.69	2.30	147525	2331	          2.90	7.39	10.90	10.68	0.420㈢	    19.09	153709568	  0.80	         54.28亿	上海	10.85	10.42	72458	75066	  0.97	10.68	1258	 -0.19	          5.08	-0.15	         61.89亿	   2148	--  	     69	        0.0014	20190213	20150527	          5.80	--  	--  	74.54	24.86	          5.74	58.94	42.39	8.12	0.32	36.31	10.24	10.81	23.99	43.36	31.49	4.73	0.62	4.86	3.62	2.43	8.41	2.25	-2.24	15422.00	         22817	24.37万	45.12	48.17	          2.49	27.45	1.43	10.83	          4.29	0.00	          1.77	          1.45	         33.35	   9.78㈢	         27.38	         10.91	          5.61	603108	--  	--  	--  	
000679	大连友谊	-1.86	1.28	百货	86	4.64	4.75	1.28	43188	2099	          1.21	4.34	4.85	4.75	-0.446㈢	--  	20445002	  0.70	         16.93亿	辽宁	4.82	4.73	24049	19139	  1.26	4.71	416	 -0.04	          3.56	-0.09	         16.93亿	    857	--  	     50	        0.0014	20190213	19970124	          3.56	--  	--  	55.01	11.92	          1.19	76.16	44.77	2.60	1.52	35.60	0.69	36.02	0.26	8.19	6.76	-1.63	-0.16	-1.64	-1.70	-1.59	5.69	-0.63	-2.64	26366.00	          9723	4.62万	-2923.04	-38.99	          1.42	-26.94	2.07	4.84	          3.35	0.00	          0.19	          1.60	         21.68	 -13.32㈢	         17.48	        -19.92	        -19.40	000679	--  	--  	--  	
002416	爱施德	-2.60	0.95	电器连锁	366	6.28	6.38	0.95	117801	713	          1.00	4.89	6.60	6.37	0.146㈢	    32.71	75571768	  0.65	         74.73亿	深圳	6.41	6.42	57151	60649	  0.94	6.37	3373	 -0.78	         11.73	-0.17	         78.94亿	   2588	--  	     46	        0.0004	20190213	20100528	         12.39	--  	--  	156.94	51.23	          1.73	66.25	136.57	0.16	0.28	97.91	16.22	26.81	11.19	426.64	412.34	2.28	0.22	2.56	1.90	1.81	20.70	36.87	25.84	46941.00	          8537	5.44万	-32.44	9.19	          1.54	2.14	0.19	6.54	          4.13	0.00	          1.31	          1.67	         32.64	   3.53㈢	          3.35	          0.54	          0.42	002416	--  	--  	--  	
002556	辉隆股份	-3.20	0.70	其他商业	53	5.66	5.76	0.70	109221	2365	          1.56	5.22	5.97	5.75	0.194㈢	    22.21	62916724	  0.74	         40.21亿	安徽	5.97	5.76	64073	45147	  1.42	5.75	130	 -1.38	          6.99	-0.19	         41.26亿	   1524	--  	     72	        0.0010	20190223	20110302	          7.18	--  	--  	81.48	24.10	          2.01	67.96	61.51	5.26	1.99	55.10	8.33	21.51	4.21	126.27	119.87	1.89	0.53	1.90	1.59	1.39	7.64	-8.04	-0.90	47753.00	          8547	4.91万	14.92	21.66	          1.74	-5.13	0.33	5.94	          3.30	3.30	          1.16	          1.06	         29.58	   5.78㈢	          5.07	          1.50	          1.10	002556	20171018	10.02	-41.92	
000705	浙江震元	-0.95	0.55	医药商业	48	7.22	7.34	0.55	57181	472	          2.03	2.84	7.43	7.33	0.167㈢	    32.82	41882592	  0.99	         20.67亿	浙江	7.38	7.32	40306	16875	  2.39	7.33	31	  0.87	          2.82	-0.07	         24.49亿	   1206	--  	     47	        0.0017	20190213	19970410	          3.34	--  	--  	21.42	14.36	          0.20	32.05	12.28	5.18	0.77	6.57	5.37	4.77	4.58	20.55	16.21	0.70	0.01	0.70	0.56	0.56	4.41	-0.81	-1.06	31862.00	          8850	6.49万	20.31	9.12	          1.71	-30.38	1.19	7.40	          4.30	0.00	          1.61	          1.32	         67.02	   3.90㈢	         21.13	          3.39	          2.72	000705	--  	--  	--  	
600861	北京城乡	-1.05	0.53	百货	140	7.43	7.56	0.53	41730	505	          1.32	3.01	7.66	7.56	0.096㈢	    58.96	31346846	  0.88	         23.95亿	北京	7.66	7.51	25019	16710	  1.50	7.55	15	  0.15	          3.17	-0.08	         23.95亿	    846	--  	     49	        0.0016	20190213	19940520	          3.17	--  	--  	37.66	23.38	          0.96	35.36	14.81	15.31	0.42	12.01	7.89	9.24	0.29	13.83	9.74	0.43	0.00	0.43	0.35	0.30	5.99	0.39	-0.63	24476.00	          8513	6.44万	-46.45	-14.83	          1.02	60.86	1.73	7.64	          7.38	0.00	          2.49	          1.89	         62.09	   1.30㈢	         29.59	          3.10	          2.20	600861	--  	--  	--  	
002780	三夫户外	-0.43	0.49	其他商业	728	17.88	18.41	0.49	28171	571	          3.50	4.87	18.78	18.40	0.018㈢	   752.76	51624760	  0.91	         14.83亿	北京	18.48	18.33	14031	14140	  0.99	18.40	105	  1.38	          0.81	-0.08	         20.63亿	    960	--  	     29	        0.0036	20190110	20151209	          1.12	--  	--  	8.64	6.38	          0.00	26.17	6.70	1.21	0.02	1.77	3.78	2.29	0.21	2.88	1.56	0.04	0.02	0.03	0.02	0.02	1.36	-0.06	-1.36	19391.00	          2961	5.45万	128.58	19.32	          3.23	-355.99	7.15	18.48	          5.69	0.00	          3.38	          1.22	         73.78	   0.32㈢	         45.93	          1.23	          0.71	002780	--  	--  	--  	
000652	泰达股份	-4.19	0.49	批发业	55	4.03	4.13	0.49	390265	3233	          2.65	7.67	4.36	4.12	0.049㈢	    63.02	162278944	  0.78	         60.73亿	天津	4.25	4.16	230447	159817	  1.44	4.12	2109	 -2.37	         14.74	-0.18	         60.79亿	   2764	--  	    141	        0.0010	20190227	19961128	         14.76	--  	--  	339.87	37.90	         10.68	85.71	257.28	4.49	14.57	232.34	6.85	158.23	35.24	106.87	102.31	1.44	0.78	1.46	0.95	0.72	12.35	14.96	-3.91	100252.00	          9851	4.06万	9.40	-11.04	          1.60	4.06	0.57	4.30	          2.57	0.00	          0.46	          0.84	         11.15	   1.91㈢	          4.27	          1.35	          0.68	000652	--  	--  	--  	
600857	宁波中百	-5.17	0.45	百货	47	8.91	8.99	0.45	57464	615	          2.56	6.01	9.48	8.99	0.138㈢	    48.73	52398180	  1.10	         20.17亿	浙江	9.43	9.12	34051	23413	  1.45	8.97	191	 -3.97	          2.24	-0.49	         20.17亿	   1158	--  	     50	        0.0022	20190213	19940425	          2.24	--  	--  	8.42	1.97	          0.00	76.59	3.94	1.11	0.02	1.47	0.65	0.62	0.02	7.26	6.35	0.39	0.13	0.39	0.31	0.31	-1.57	-0.03	-0.21	12622.00	         12467	11.21万	10.13	5.08	         10.23	-695.51	2.78	9.48	          0.88	0.00	          0.29	         -0.70	         23.41	  15.75㈢	         12.52	          5.40	          4.28	600857	--  	--  	--  	
603716	塞力斯	-0.27	0.44	医药商业	42	17.88	18.35	0.44	13342	257	          1.39	3.32	18.49	18.35	0.380㈢	    39.71	24239376	  0.69	         17.64亿	湖北	18.42	18.17	6660	6682	  1.00	18.34	129	  0.93	          0.96	-0.05	         37.64亿	   1059	--  	     13	        0.0013	20181030	20161031	          2.05	--  	--  	24.22	15.50	          1.01	31.84	19.24	2.15	0.09	7.46	9.29	3.01	7.83	9.28	6.25	1.26	0.00	1.24	0.91	0.71	4.30	-1.10	5.01	9770.00	          7662	14.06万	28.37	50.26	          2.43	-34.32	4.06	18.40	          7.55	0.00	          4.53	          2.09	         63.98	   4.59㈢	         32.65	         13.53	          7.66	603716	--  	--  	--  	
