代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
600247	*ST成城	-3.10	1.26	商贸代理	5	5.55	5.63	1.26	22280	556	          0.66	4.82	5.83	5.63	0.044㈢	    96.01	12591486	  0.64	         18.94亿	吉林	5.63	5.65	13764	8516	  1.62	5.60	82	 -1.90	          3.36	-0.18	         18.94亿	    544	--  	     41	        0.0012	20190213	20001123	          3.36	--  	--  	9.48	0.19	          0.09	97.10	0.55	0.02	0.00	7.55	2.19	0.02	0.26	0.28	0.21	0.05	0.00	0.15	0.15	0.15	-5.96	5.19	0.00	18835.00	         16493	9.29万	104.02	-84.90	        102.26	3.65	67.45	5.81	          0.06	0.00	          0.65	         -1.77	          1.95	  79.88㈢	         26.01	         16.74	         52.69	600247	--  	--  	--  	
000151	中成股份	-0.23	0.55	商贸代理	1	12.60	12.88	0.55	84048	1113	          3.15	4.88	13.23	12.88	0.223㈢	    43.32	108346368	  0.62	         34.33亿	北京	12.80	12.89	45583	38465	  1.19	12.87	283	  1.58	          2.67	-0.03	         38.12亿	   2293	--  	     37	        0.0014	20190308	20000906	          2.96	--  	--  	24.17	9.82	          0.00	59.37	20.07	0.65	0.21	13.30	4.42	4.73	0.89	8.76	7.38	0.78	0.00	0.78	0.66	0.66	0.98	-2.18	-1.66	40421.00	          4001	5.15万	0.48	-44.75	          3.88	-17.48	4.35	12.91	          3.32	0.00	          1.49	          0.33	         40.63	   6.72㈢	         15.72	          8.90	          7.54	000151	20180313	12.17	7.89	
600735	新华锦	-6.73	0.47	商贸代理	91	6.26	6.38	0.47	148465	2480	          3.95	9.36	6.90	6.38	0.155㈢	    30.84	96003904	  0.77	         23.99亿	山东	6.90	6.47	92337	56128	  1.65	6.37	260	 -5.53	          3.76	-0.46	         23.99亿	   2114	--  	     70	        0.0019	20190213	19960726	          3.76	--  	--  	11.74	8.77	          0.58	20.33	8.68	0.29	0.02	2.28	1.43	2.78	1.27	10.09	7.69	1.18	0.03	1.18	0.86	0.58	3.12	1.06	-0.23	24947.00	          7635	4.87万	14.60	2.25	          2.73	22.68	2.38	6.84	          2.33	0.00	          0.38	          0.83	         74.73	   6.65㈢	         23.84	         11.66	          5.78	600735	--  	--  	--  	
600822	上海物贸	-4.48	0.38	商贸代理	1195	10.49	10.67	0.38	85145	742	          2.15	6.09	11.17	10.66	0.082㈢	    97.25	91873128	  0.50	         42.23亿	上海	11.01	10.79	48177	36968	  1.30	10.66	62	 -3.28	          3.96	-0.50	         52.87亿	   2129	--  	     40	        0.0010	20190213	19940204	          4.96	          1.00	--  	19.38	5.99	          0.59	66.03	12.63	3.35	0.33	11.80	17.83	4.32	1.17	50.29	47.60	0.57	0.20	0.60	0.47	0.41	-17.47	-0.31	-0.57	57038.00	          4513	4.81万	76.35	7.30	          8.83	-168.28	1.05	11.16	          1.21	0.00	          3.59	         -3.52	         30.90	   6.81㈢	          5.34	          1.14	          0.81	600822	20171026	17.13	-37.77	
000626	远大控股	-5.12	0.37	商贸代理	83	7.93	8.17	0.37	98412	975	          2.43	9.07	8.71	8.16	0.045㈢	   137.42	80376648	  0.99	         33.01亿	江苏	8.51	8.17	49690	48722	  1.02	8.16	160	 -3.30	          4.05	-0.44	         44.89亿	   1885	--  	     52	        0.0013	20190213	19961128	          5.50	--  	--  	76.07	25.74	          1.00	64.85	72.35	0.42	0.18	43.24	12.40	14.30	5.71	480.89	476.59	1.06	0.13	0.97	0.59	0.24	7.40	-14.71	-16.97	30393.00	          5503	4.49万	-89.93	-38.63	          1.74	-3.05	0.09	8.60	          4.68	0.00	          2.25	          1.35	         33.83	   0.95㈢	          0.89	          0.22	          0.05	000626	20170816	18.36	-54.68	
600605	汇通能源	-2.04	0.36	商贸代理	16	10.83	11.07	0.36	17232	469	          1.17	4.96	11.39	11.07	0.121㈣	    91.71	19052828	  0.47	         16.31亿	上海	11.31	11.06	10930	6302	  1.73	11.05	418	 -0.84	          1.47	-0.23	         16.31亿	    787	--  	     22	        0.0015	20190228	19920327	          1.47	--  	--  	11.94	6.95	          0.00	41.81	5.61	4.92	0.19	3.70	2.66	0.03	0.00	20.10	19.20	0.20	-0.06	0.21	0.18	0.18	2.01	4.68	3.44	11300.00	          8758	9.70万	-39.46	-18.75	          2.35	3.49	0.81	11.30	          4.71	0.00	          1.80	          1.36	         58.19	   2.56㈣	          4.49	          1.00	          0.88	600605	--  	--  	--  	
600153	建发股份	-1.86	0.36	商贸代理	364	8.38	8.43	0.36	174105	1002	          0.61	3.61	8.69	8.43	0.606㈢	    10.44	148201072	  0.71	        239.01亿	福建	8.57	8.51	92299	81805	  1.13	8.42	1181	 -0.66	         28.35	-0.16	        239.01亿	   3082	--  	     56	        0.0002	20190213	19980616	         28.35	--  	--  	2413.23	247.01	        237.26	79.93	2130.78	14.24	4.09	1358.96	24.51	1398.98	53.64	1832.63	1745.69	31.10	6.57	31.03	22.82	17.18	182.15	-131.64	87.79	92289.00	         16622	14.01万	5.34	27.10	          0.97	-1.82	0.13	8.59	          8.71	0.00	          0.86	          6.42	         10.24	   6.95㈢	          4.74	          1.70	          0.94	600153	--  	--  	--  	
600278	东方创业	-6.17	0.29	商贸代理	248	10.15	10.34	0.29	136992	1522	          2.62	7.26	10.95	10.34	0.199㈢	    38.95	144239136	  0.75	         54.00亿	上海	10.73	10.53	77214	59778	  1.29	10.33	93	 -4.97	          5.22	-0.68	         54.00亿	   2455	--  	     56	        0.0011	20190213	20000712	          5.22	--  	--  	78.41	37.01	          2.73	49.32	47.41	9.02	0.85	34.84	9.61	6.26	9.08	127.61	120.73	1.83	0.65	1.84	1.37	1.04	12.47	-3.59	-7.98	30747.00	          5527	5.71万	-1.53	11.76	          1.46	-15.02	0.42	11.02	          7.09	0.00	          1.84	          2.39	         47.20	   2.81㈢	          5.39	          1.44	          0.81	600278	20171023	15.22	-31.41	
600250	南纺股份	-5.56	0.24	商贸代理	420	8.31	8.51	0.24	69461	718	          2.69	9.33	9.15	8.50	0.068㈢	    93.54	60263312	  0.76	         21.99亿	江苏	8.99	8.68	40759	28702	  1.42	8.50	110	 -4.36	          2.59	-0.50	         21.99亿	   1806	--  	     38	        0.0015	20190213	20010306	          2.59	--  	--  	14.98	4.46	         -0.39	72.82	5.59	0.49	0.04	10.87	1.65	0.33	1.08	8.09	7.76	0.17	0.48	0.18	0.17	0.18	-0.79	-1.69	-0.43	12048.00	         12414	10.55万	122.33	67.76	          4.93	-13.03	2.72	9.00	          1.72	0.00	          0.64	         -0.30	         29.77	   3.95㈢	          4.06	          2.11	          2.18	600250	20180518	8.91	-4.60	
600704	物产中大	-2.45	0.18	商贸代理	818	5.52	5.58	0.18	216825	2460	          0.50	4.90	5.80	5.58	0.380㈢	     9.87	122448928	  0.58	        240.31亿	浙江	5.68	5.65	114502	102322	  1.12	5.57	1976	 -1.25	         43.07	-0.14	        240.31亿	   2749	--  	     79	        0.0002	20181105	19960606	         43.07	--  	--  	993.81	220.79	         48.67	72.89	672.56	69.67	17.69	644.00	39.99	213.49	70.50	2127.86	2064.41	35.13	16.51	35.47	26.92	18.26	77.68	-6.45	-14.34	78225.00	         21180	11.82万	23.47	10.38	          1.32	-37.25	0.11	5.72	          4.21	4.21	          0.93	          1.80	         22.22	   8.27㈢	          2.98	          1.65	          0.86	600704	--  	--  	--  	
