代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
000711	京蓝科技	9.98	0.00	软件服务	74008	6.05	--  	--  	237667	845	          5.85	9.32	6.61	6.61	0.170㈢	    33.25	154655232	  1.04	         26.86亿	黑龙江	6.05	6.51	170765	66901	  2.55	6.61	0	  7.62	
603588	高能环境	6.85	0.19	环境保护	974	9.71	--  	10.30	234348	2218	          3.58	7.99	10.48	10.30	0.365㈢	    21.14	238360976	  2.08	         67.40亿	北京	9.80	10.17	101586	132762	  0.77	10.29	6	  5.72	
601388	怡球资源	6.23	1.11	铝	1570	2.57	--  	2.73	1152615	20059	          5.69	7.39	2.76	2.73	0.039㈢	    53.11	308408960	  1.15	         55.29亿	江苏	2.59	2.68	466229	686386	  0.68	2.72	7010	  5.10	
002672	东江环保	5.38	0.08	环境保护	202	11.93	--  	12.54	139052	1088	          2.12	7.73	12.85	12.54	0.430㈢	    22.39	174550768	  1.69	         82.31亿	广东	12.03	12.55	54289	84763	  0.64	12.53	91	  3.01	
600459	贵研铂业	4.97	-0.05	小金属	256	14.81	--  	15.64	429574	3675	         12.66	10.48	16.37	15.63	0.354㈢	    33.11	668158336	  1.90	         53.03亿	云南	15.20	15.55	204033	225540	  0.90	15.63	284	  3.85	
000425	徐工机械	4.49	0.24	工程机械	6142	4.06	--  	4.19	2567525	12265	          3.67	6.23	4.31	4.19	0.192㈢	    16.33	1077102976	  1.93	        293.03亿	江苏	4.09	4.20	1176275	1391250	  0.85	4.18	6369	  2.12	
603817	海峡环保	4.32	0.13	环境保护	351	7.15	--  	7.49	79510	623	          4.42	8.79	7.78	7.48	0.175㈢	    32.15	59734728	  1.88	         13.46亿	福建	7.19	7.51	40357	39153	  1.03	7.48	542	  3.20	
002442	龙星化工	3.98	0.00	化工原料	1036	7.54	--  	7.84	149343	2781	          3.11	4.38	7.87	7.83	0.277㈣	    28.32	115165544	  1.65	         37.55亿	河北	7.58	7.71	69039	80304	  0.86	7.83	471	  1.62	
600116	三峡水利	3.91	0.31	水力发电	811	9.28	--  	9.58	215680	2908	          2.17	5.21	9.76	9.57	0.176㈢	    40.80	206213072	  1.16	         95.03亿	重庆	9.29	9.56	106565	109114	  0.98	9.57	423	  2.79	
600531	豫光金铅	3.71	0.18	铅锌	2495	5.46	--  	5.60	383485	4219	          3.52	6.12	5.79	5.59	0.029㈢	   146.05	215326320	  0.68	         60.94亿	河南	5.46	5.61	178579	204905	  0.87	5.59	2215	  2.59	
300090	盛运环保	3.67	0.00	环境保护	149	2.44	--  	2.55	1259013	18568	         11.02	7.35	2.62	2.54	-0.159㈢	--  	320223712	  1.02	         29.01亿	安徽	2.45	2.54	561561	697451	  0.81	2.54	3873	  1.31	
000826	启迪桑德	3.40	0.16	环境保护	41	11.76	--  	12.15	364504	4428	          3.07	6.21	12.49	12.15	0.540㈢	    15.37	443699264	  1.65	        144.30亿	湖北	11.90	12.17	184912	179592	  1.03	12.14	273	  1.04	
600247	*ST成城	3.38	0.00	商贸代理	57	5.83	--  	6.11	42101	67	          1.25	6.43	6.21	6.11	0.044㈢	   104.20	25755914	  1.07	         20.56亿	吉林	5.93	6.12	18337	23763	  0.77	6.10	25	  2.26	
600649	城投控股	3.36	0.47	区域地产	977	6.28	--  	6.46	400277	2951	          1.65	4.64	6.57	6.46	0.346㈢	    13.99	257788096	  1.20	        156.38亿	上海	6.28	6.44	197478	202799	  0.97	6.45	379	  2.24	
600292	远达环保	3.29	0.16	环境保护	270	6.08	--  	6.28	185982	1351	          2.38	5.26	6.40	6.28	0.138㈢	    34.14	116606496	  1.60	         49.04亿	重庆	6.10	6.27	96950	89031	  1.09	6.27	528	  2.17	
300172	中电环保	3.15	0.16	环境保护	371	6.01	--  	6.23	148270	2309	          4.28	4.80	6.30	6.23	0.189㈢	    24.77	91806368	  1.65	         21.56亿	江苏	6.06	6.19	71329	76941	  0.93	6.22	11	  0.78	
