代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
000977	浪潮信息	10.02	0.00	电脑设备	109822	22.27	--  	--  	1503209	1426	         11.66	6.68	23.71	23.71	0.289㈢	    61.60	3495555328	  2.39	        305.68亿	山东	23.40	23.25	833436	669773	  1.24	23.71	0	  7.66	
600756	浪潮软件	10.01	0.00	软件服务	54650	20.17	--  	--  	411468	412	         12.70	4.85	21.10	21.10	0.309㈢	    51.17	857275456	  1.80	         68.38亿	山东	21.10	20.83	218839	192628	  1.14	21.10	0	  8.89	
600536	中国软件	10.00	0.00	软件服务	22073	29.40	--  	--  	572197	848	         11.57	7.59	31.58	31.58	-0.485㈢	--  	1770019840	  1.44	        156.18亿	北京	29.66	30.93	282173	290023	  0.97	31.58	0	  8.87	
300339	润和软件	9.30	0.07	软件服务	322	12.49	--  	13.52	436013	2620	          6.11	8.98	13.60	13.51	0.230㈢	    45.09	575138048	  1.59	         96.41亿	江苏	12.66	13.19	214311	221702	  0.97	13.51	20	  6.94	
600571	信雅达	6.70	-0.35	软件服务	320	10.13	--  	10.99	663519	5149	         15.39	11.65	11.33	10.99	0.021㈢	   390.30	717282304	  1.66	         47.38亿	浙江	10.35	10.81	340420	323098	  1.05	10.98	2194	  5.58	
300379	东方通	5.13	-0.13	软件服务	226	20.08	--  	20.91	169304	1290	          8.81	8.05	21.68	20.90	0.081㈢	   193.29	353326464	  1.15	         40.18亿	北京	20.08	20.87	81599	87704	  0.93	20.90	38	  2.77	
002279	久其软件	5.09	0.63	软件服务	4453	7.68	--  	8.06	279759	3355	          4.67	8.09	8.30	8.05	0.240㈢	    25.67	225553184	  1.31	         48.17亿	北京	7.69	8.06	130012	149747	  0.87	8.05	1780	  2.73	
600718	东软集团	4.22	0.08	软件服务	301	12.17	--  	12.60	451298	1377	          3.63	6.53	12.96	12.60	0.100㈢	    94.27	569866368	  1.48	        156.54亿	辽宁	12.51	12.63	213783	237514	  0.90	12.59	952	  3.10	
300271	华宇软件	4.11	-0.09	软件服务	147	19.10	--  	19.76	158322	533	          2.83	6.22	20.28	19.76	0.410㈢	    36.59	311335808	  1.04	        110.47亿	北京	19.30	19.66	86138	72183	  1.19	19.75	32	  1.75	
600845	宝信软件	4.03	0.03	软件服务	23	29.50	--  	30.17	108154	882	          1.69	5.17	31.00	30.17	0.630㈢	    38.29	327332320	  1.38	        193.34亿	上海	29.50	30.27	36692	71462	  0.51	30.16	92	  2.91	
002368	太极股份	3.60	0.04	软件服务	19	27.40	--  	28.21	240588	1413	          6.01	5.80	28.98	28.20	0.167㈢	   126.32	680156224	  1.75	        112.93亿	北京	28.00	28.27	103413	137174	  0.75	28.20	215	  1.24	
300253	卫宁健康	3.58	-0.21	软件服务	3166	12.84	--  	13.33	693962	4252	          5.28	7.62	13.82	13.32	0.119㈢	    84.16	920619456	  1.21	        175.18亿	上海	13.09	13.27	316986	376976	  0.84	13.32	935	  1.21	
600410	华胜天成	3.57	0.83	软件服务	1597	7.07	--  	7.26	584483	3750	          5.32	5.86	7.48	7.25	0.046㈢	   117.09	424425440	  1.48	         79.66亿	北京	7.16	7.26	274834	309649	  0.89	7.25	486	  2.45	
300380	安硕信息	3.42	-0.17	软件服务	519	21.50	--  	22.71	107189	1022	          8.69	11.12	23.94	22.70	0.098㈢	   173.85	245415696	  1.48	         27.99亿	上海	22.07	22.90	50997	56191	  0.91	22.70	13	  1.05	
300302	同有科技	2.13	0.00	软件服务	306	8.95	--  	9.10	166574	935	          6.75	5.84	9.47	9.09	0.059㈢	   115.53	153144896	  1.30	         22.42亿	北京	8.98	9.19	81942	84632	  0.97	9.09	336	 -0.23	
002065	东华软件	2.10	0.12	软件服务	1272	8.14	--  	8.29	776443	2755	          2.77	5.30	8.57	8.28	0.210㈢	    29.57	648559424	  1.52	        232.48亿	北京	8.21	8.35	330340	446102	  0.74	8.28	2721	 -0.27	
002657	中科金财	2.06	0.00	软件服务	806	17.26	--  	17.81	378091	2298	         13.68	8.14	18.68	17.80	0.200㈢	    66.71	678511296	  1.31	         49.20亿	北京	17.50	17.95	188958	189132	  1.00	17.80	40	 -0.30	
600476	湘邮科技	2.05	-0.06	软件服务	142	14.61	--  	14.90	80915	1949	          5.02	3.90	15.18	14.90	-0.068㈢	--  	121100112	  0.82	         24.00亿	湖南	14.75	14.97	39130	41784	  0.94	14.89	857	  0.93	
600797	浙大网新	1.99	0.33	软件服务	1307	9.13	--  	9.24	552178	3066	          5.44	4.75	9.56	9.23	0.150㈢	    46.11	514946496	  1.04	         93.71亿	浙江	9.16	9.33	264346	287832	  0.92	9.23	753	  0.87	
300036	超图软件	1.72	0.00	软件服务	983	16.91	--  	17.17	194638	1008	          5.86	4.33	17.64	17.16	0.236㈢	    54.54	336554368	  1.07	         57.02亿	北京	16.91	17.29	97693	96944	  1.01	17.16	371	 -0.65	
002280	联络互动	1.57	0.22	软件服务	134	4.49	--  	4.54	578363	3345	          3.38	3.36	4.64	4.53	0.065㈢	    52.36	264294640	  1.12	         77.55亿	浙江	4.51	4.57	297310	281053	  1.06	4.53	1395	 -0.79	
002474	榕基软件	1.53	0.00	软件服务	567	7.88	--  	7.98	233288	2883	          4.98	4.59	8.24	7.97	0.049㈢	   122.49	188145536	  1.45	         37.36亿	福建	8.00	8.06	109496	123792	  0.88	7.97	969	 -0.84	
002195	二三四五	1.45	0.00	软件服务	21461	4.83	--  	4.92	3447748	25561	          7.96	6.40	5.14	4.91	0.250㈢	    15.14	1700538880	  1.02	        212.56亿	上海	4.88	4.93	1717158	1730590	  0.99	4.91	5029	 -0.92	
002153	石基信息	1.32	0.09	软件服务	7	31.97	--  	32.34	152667	938	          3.15	4.95	33.55	32.32	0.296㈢	    81.84	500595872	  1.66	        156.58亿	北京	32.40	32.79	73865	78802	  0.94	32.32	811	 -1.05	
300290	荣科科技	1.13	0.50	软件服务	105	7.99	--  	8.06	91891	1106	          2.86	3.26	8.25	8.06	0.030㈢	   249.91	74606576	  1.05	         25.91亿	辽宁	8.06	8.12	42102	49788	  0.85	8.05	15	 -1.24	
600588	用友网络	0.77	0.19	软件服务	651	30.80	--  	31.31	448750	3060	          2.36	7.60	33.16	31.30	0.080㈢	   298.49	1432818304	  1.24	        595.24亿	北京	32.00	31.93	213784	234966	  0.91	31.30	542	 -0.35	
300468	四方精创	0.60	0.66	软件服务	253	15.02	--  	15.20	82434	444	          4.43	4.17	15.65	15.19	0.283㈢	    40.24	126350904	  0.97	         28.30亿	深圳	15.50	15.33	43017	39416	  1.09	15.19	61	 -1.77	
000158	常山北明	-0.17	0.52	纺织	940	5.77	--  	5.82	277276	862	          1.71	3.95	6.00	5.82	0.024㈢	   181.64	163466800	  1.10	         94.53亿	河北	5.90	5.90	146856	130419	  1.13	5.81	320	 -2.54	
数据来源:通达信
