代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300362	天翔环境	10.07	0.00	环境保护	22301	5.80	--  	--  	385658	2700	         12.42	14.36	6.67	6.67	-0.580㈢	--  	242307648	  0.78	         20.72亿	四川	6.00	6.28	209294	176364	  1.19	6.67	0	  7.70	
002668	奥马电器	10.02	0.00	家用电器	49699	5.41	--  	--  	2202871	632	         33.67	9.65	5.93	5.93	0.251㈢	    17.73	1277915776	  3.11	         38.80亿	广东	5.50	5.80	1028043	1174827	  0.88	5.93	0	  7.65	
300538	同益股份	10.01	0.00	批发业	42837	30.11	--  	--  	11181	101	          4.66	0.00	30.11	30.11	0.300㈢	    73.28	33667316	  0.64	          7.23亿	深圳	30.11	30.11	10531	650	 16.20	30.11	0	  7.65	
002564	天沃科技	9.98	0.00	化工机械	84761	5.13	--  	--  	453538	863	          7.54	11.52	5.73	5.73	0.200㈢	    23.48	254045504	  2.41	         34.49亿	江苏	5.20	5.60	212722	240815	  0.88	5.73	0	  7.62	
002356	赫美集团	9.97	0.00	其他商业	295341	7.06	--  	--  	8141	12	          0.17	0.00	7.06	7.06	-0.473㈢	--  	5747758	  0.08	         33.90亿	深圳	7.06	7.06	6531	1610	  4.06	7.06	0	  7.60	
300072	三聚环保	9.96	0.00	环境保护	69724	10.09	--  	--  	549220	965	          2.58	9.46	11.04	11.04	0.529㈢	    15.65	594242560	  1.01	        235.07亿	北京	10.10	10.82	329353	219867	  1.50	11.04	0	  7.60	
300197	铁汉生态	9.93	0.00	环境保护	33263	4.40	--  	--  	1381418	1480	          9.21	10.61	4.87	4.87	0.160㈢	    22.86	659535936	  1.76	         73.01亿	深圳	4.50	4.77	695340	686077	  1.01	4.87	0	  7.57	
002512	达华智能	8.54	1.42	元器件	264	5.25	--  	5.73	761013	11084	          8.62	10.44	5.80	5.72	-0.368㈢	--  	423397440	  1.57	         50.52亿	福建	5.25	5.56	329153	431859	  0.76	5.72	785	  6.17	
002123	梦网集团	7.83	-0.47	互联网	43	11.63	--  	12.40	564913	5777	          8.75	8.87	12.65	12.40	0.188㈢	    49.49	689967744	  1.28	         80.03亿	深圳	11.70	12.21	284441	280472	  1.01	12.39	2328	  5.46	
002411	延安必康	6.81	-0.57	化学制药	109	20.57	--  	22.27	354822	2349	          2.97	11.37	22.94	22.27	0.393㈢	    42.46	776963776	  2.26	        266.38亿	陕西	20.88	21.90	164328	190494	  0.86	22.26	49	  4.45	
300162	雷曼股份	5.43	1.01	元器件	572	5.72	--  	6.02	219252	3892	         10.01	7.88	6.17	6.02	0.042㈢	   108.07	130507032	  1.28	         13.19亿	深圳	5.72	5.95	101331	117921	  0.86	6.01	281	  3.06	
002421	达实智能	5.29	0.46	软件服务	3000	4.14	--  	4.38	806016	11095	          4.75	8.41	4.49	4.38	0.082㈢	    40.10	348085504	  1.87	         74.28亿	深圳	4.18	4.32	354979	451036	  0.79	4.37	1965	  2.92	
002886	沃特股份	4.77	0.42	塑料	314	18.30	--  	19.12	77961	1147	         15.72	7.02	19.58	19.11	0.198㈢	    72.34	147849648	  1.68	          9.48亿	深圳	18.30	18.96	34244	43716	  0.78	19.11	23	  2.41	
002121	科陆电子	4.47	0.75	电器仪表	1031	5.20	--  	5.37	197683	5183	          2.18	3.50	5.38	5.37	0.014㈢	   286.34	104918840	  1.14	         48.63亿	深圳	5.25	5.31	93226	104457	  0.89	5.36	181	  2.11	
