代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300008	天海防务	10.14	3.83	船舶	49897	3.38	--  	--  	1319724	39753	         21.91	12.17	3.80	3.80	-1.379㈢	--  	468144736	  1.13	         22.89亿	上海	3.40	3.55	636783	682940	  0.93	3.80	0	  7.78	
600839	四川长虹	10.10	0.00	家用电器	319825	3.13	--  	--  	880363	3236	          1.91	1.05	3.16	3.16	0.044㈢	    53.35	277916064	  1.01	        145.81亿	四川	3.13	3.16	753051	127312	  5.92	3.16	0	  8.98	
300353	东土科技	10.04	0.00	通信设备	11286	11.03	--  	--  	535813	609	         15.26	9.40	12.06	12.06	0.088㈢	   102.92	631186752	  1.97	         42.34亿	北京	11.26	11.78	277638	258175	  1.08	12.06	0	  7.67	
300424	航新科技	10.02	0.00	航空	55949	20.59	--  	--  	131694	53	          8.35	9.34	22.50	22.50	0.183㈢	    92.16	285193312	  2.52	         35.49亿	广东	20.59	21.66	66366	65327	  1.02	22.50	0	  7.66	
300491	通合科技	10.02	0.00	电气设备	18745	16.56	--  	--  	69985	67	         12.23	10.02	18.22	18.22	0.022㈢	   611.71	123142280	  1.53	         10.43亿	河北	16.56	17.60	31341	38644	  0.81	18.22	0	  7.66	
000977	浪潮信息	10.02	0.00	电脑设备	109822	22.27	--  	--  	1503209	1426	         11.66	6.68	23.71	23.71	0.289㈢	    61.60	3495555328	  2.39	        305.68亿	山东	23.40	23.25	833436	669773	  1.24	23.71	0	  7.66	
600072	中船科技	10.01	0.00	船舶	25857	9.80	--  	--  	446367	2879	          7.43	9.91	10.77	10.77	0.004㈢	  2257.89	461120192	  1.71	         64.70亿	上海	9.80	10.33	223351	223016	  1.00	10.77	0	  8.89	
002771	真视通	10.01	0.00	软件服务	23476	14.00	--  	--  	20959	6	          2.29	9.22	15.28	15.28	0.176㈢	    65.02	31622012	  0.58	         13.98亿	北京	14.00	15.09	17234	3725	  4.63	15.28	0	  7.64	
300278	华昌达	10.00	0.00	专用机械	123031	7.37	--  	--  	3164	3	          0.12	0.00	7.37	7.37	0.008㈢	   668.35	2331883	  0.04	         19.76亿	湖北	7.37	7.37	2831	333	  8.50	7.37	0	  7.64	
002167	东方锆业	10.00	0.00	小金属	35872	6.73	--  	--  	325469	397	          5.26	8.03	7.26	7.26	0.017㈣	   424.18	228841008	  1.62	         44.91亿	广东	6.96	7.03	183835	141634	  1.30	7.26	0	  7.64	
300397	天和防务	9.99	0.00	通信设备	29729	18.16	--  	--  	156301	14	         10.08	6.87	19.37	19.37	-0.306㈢	--  	294694656	  0.93	         30.04亿	陕西	18.16	18.85	75201	81099	  0.93	19.37	0	  7.63	
002190	成飞集成	9.99	0.00	汽车配件	4364	18.85	--  	--  	240775	1497	          6.98	12.42	21.25	21.25	-0.278㈢	--  	481463296	  2.16	         73.35亿	四川	19.08	20.00	110469	130306	  0.85	21.25	0	  7.63	
002564	天沃科技	9.98	0.00	化工机械	84761	5.13	--  	--  	453538	863	          7.54	11.52	5.73	5.73	0.200㈢	    23.48	254045504	  2.41	         34.49亿	江苏	5.20	5.60	212722	240815	  0.88	5.73	0	  7.62	
601608	中信重工	9.98	0.00	专用机械	99886	4.40	--  	--  	1583529	2889	          3.65	7.89	4.74	4.74	0.020㈢	   218.01	736953472	  2.05	        205.69亿	河南	4.54	4.65	841305	742224	  1.13	4.74	0	  8.86	
000576	广东甘化	9.97	0.00	造纸	35718	8.68	--  	--  	547880	820	         12.58	9.39	9.49	9.49	-0.087㈢	--  	502234496	  1.49	         41.34亿	广东	8.68	9.17	250779	297100	  0.84	9.49	0	  7.60	
002231	奥维通信	9.96	0.00	通信设备	1550	7.80	--  	--  	339560	1134	         11.10	7.73	8.39	8.39	-0.013㈢	--  	275796544	  1.98	         25.66亿	辽宁	7.93	8.12	170959	168601	  1.01	8.39	0	  7.60	
002519	银河电子	9.93	0.00	通信设备	56737	4.23	--  	--  	789252	522	          9.49	4.96	4.43	4.43	0.117㈢	    28.38	346985280	  2.12	         36.84亿	江苏	4.31	4.40	567976	221275	  2.57	4.43	0	  7.56	
002683	宏大爆破	9.88	0.77	化工原料	25	9.54	--  	10.45	394638	4196	          6.60	9.67	10.46	10.45	0.220㈢	    36.14	397503904	  2.79	         62.48亿	广东	9.61	10.07	165265	229373	  0.72	10.44	753	  7.52	
600100	同方股份	9.28	-0.08	电脑设备	1542	10.52	--  	11.20	613050	3001	          2.07	7.23	11.26	11.19	-0.193㈢	--  	679055552	  3.44	        331.66亿	北京	10.52	11.08	255934	357115	  0.72	11.19	1809	  8.16	
002547	春兴精工	8.14	1.01	通信设备	2455	8.40	--  	9.03	1364683	21232	         17.11	8.98	9.15	9.03	0.039㈢	   173.01	1207545728	  0.95	         72.03亿	江苏	8.40	8.85	614212	750470	  0.82	9.02	996	  5.78	
600031	三一重工	7.65	-0.08	工程机械	225	10.93	--  	11.55	2681238	19645	          3.45	8.02	11.79	11.54	0.630㈢	    13.83	3085041920	  2.42	        895.85亿	北京	11.00	11.51	1301433	1379805	  0.94	11.54	843	  6.53	
000818	航锦科技	7.48	0.28	化工原料	1027	10.22	--  	10.92	296082	2033	          4.42	9.45	11.18	10.92	0.479㈢	    17.10	318476544	  2.32	         73.21亿	辽宁	10.22	10.76	125413	170668	  0.73	10.91	159	  5.12	
002371	北方华创	7.44	0.36	专用机械	7	52.00	--  	55.58	154521	1898	          4.30	9.47	56.90	55.58	0.368㈢	   113.21	851925248	  1.43	        199.72亿	北京	52.98	55.13	81285	73236	  1.11	55.57	225	  5.08	
002308	威创股份	6.80	-0.67	电脑设备	389	5.58	--  	5.82	776704	7054	          8.61	7.35	5.98	5.81	0.162㈢	    26.97	448492032	  1.79	         52.39亿	广东	5.80	5.77	403509	373194	  1.08	5.81	2765	  4.44	
000070	特发信息	6.47	-0.11	通信设备	475	15.66	--  	16.28	1081736	11568	         18.02	7.26	16.77	16.28	0.262㈢	    46.60	1752128256	  1.12	         97.73亿	深圳	16.00	16.20	552691	529044	  1.04	16.27	3132	  4.11	
600685	中船防务	6.27	0.19	船舶	1879	14.60	--  	15.77	298332	8528	          3.63	8.43	15.85	15.76	-0.408㈢	--  	450750720	  1.29	        129.46亿	广东	14.78	15.11	147322	151009	  0.98	15.76	384	  5.15	
600172	黄河旋风	6.23	0.47	矿物制品	5850	4.02	--  	4.27	1064048	9776	          9.30	7.73	4.33	4.26	0.070㈢	    45.66	443104544	  1.68	         48.76亿	河南	4.02	4.16	486986	577061	  0.84	4.26	2899	  5.11	
002224	三 力 士	5.66	0.28	橡胶	3169	6.88	--  	7.10	744112	3214	         15.77	7.45	7.38	7.09	0.140㈢	    37.71	530535456	  3.88	         33.45亿	浙江	6.90	7.13	315909	428203	  0.74	7.09	1207	  3.30	
002335	科华恒盛	5.60	0.22	电气设备	243	17.18	--  	18.15	92291	1324	          4.10	7.70	18.50	18.10	0.396㈢	    34.24	164343392	  2.03	         40.77亿	福建	17.18	17.81	38252	54039	  0.71	18.10	32	  3.24	
300379	东方通	5.13	-0.13	软件服务	226	20.08	--  	20.91	169304	1290	          8.81	8.05	21.68	20.90	0.081㈢	   193.29	353326464	  1.15	         40.18亿	北京	20.08	20.87	81599	87704	  0.93	20.90	38	  2.77	
300099	精准信息	5.12	0.75	电器仪表	329	5.10	--  	5.34	276893	5013	          7.07	7.28	5.47	5.34	0.036㈢	   110.36	145772416	  1.51	         20.92亿	山东	5.10	5.26	124006	152887	  0.81	5.33	597	  2.75	
600614	鹏起科技	4.62	0.99	综合类	860	5.79	--  	6.11	1158927	19342	          7.67	7.53	6.23	6.11	0.091㈢	    50.26	698995264	  0.80	         92.35亿	上海	5.84	6.03	558476	600451	  0.93	6.10	673	  3.50	
000425	徐工机械	4.49	0.24	工程机械	6142	4.06	--  	4.19	2567525	12265	          3.67	6.23	4.31	4.19	0.192㈢	    16.33	1077102976	  1.93	        293.03亿	江苏	4.09	4.20	1176275	1391250	  0.85	4.18	6369	  2.12	
002917	金奥博	4.31	0.61	化工原料	1602	27.70	--  	29.51	124559	2953	         36.79	6.36	29.50	29.50	0.443㈢	    49.99	357335936	  1.97	          9.99亿	深圳	27.74	28.69	64123	60435	  1.06	29.50	92	  1.95	
601989	中国重工	4.13	2.02	船舶	7369	5.29	--  	5.56	3308750	97003	          1.80	4.88	5.55	5.55	0.062㈢	    67.30	1783735808	  1.37	       1019.07亿	北京	5.34	5.39	1636650	1672099	  0.98	5.55	7325	  3.01	
002028	思源电气	4.06	-0.07	电气设备	390	11.56	--  	12.06	312827	2824	          5.39	5.95	12.25	12.06	0.315㈢	    28.69	373443232	  1.72	         69.97亿	上海	11.65	11.94	142462	170364	  0.84	12.05	119	  1.69	
601606	长城军工	3.95	0.00	专用机械	4075	16.85	--  	17.91	579826	11554	         39.18	8.19	18.26	17.90	0.055㈢	   243.25	1011628352	  1.06	         26.49亿	安徽	16.96	17.45	295338	284488	  1.04	17.90	188	  2.83	
600495	晋西车轴	3.83	0.18	运输设备	1209	5.20	--  	5.43	623494	6936	          5.16	9.20	5.68	5.42	0.033㈢	   123.30	336629728	  1.37	         65.48亿	山西	5.27	5.40	278984	344509	  0.81	5.42	2511	  2.71	
300395	菲利华	3.76	-0.09	玻璃	329	18.21	--  	19.04	78786	660	          2.93	8.45	19.76	19.03	0.400㈢	    36.65	149701648	  1.47	         51.21亿	湖北	18.26	19.00	32078	46707	  0.69	19.03	70	  1.40	
000801	四川九洲	3.70	0.16	通信设备	921	6.06	--  	6.17	512264	7316	          5.01	4.87	6.35	6.17	0.022㈢	   205.72	316357408	  1.13	         63.11亿	四川	6.30	6.18	272260	240003	  1.13	6.16	505	  1.33	
002423	中原特钢	3.69	0.37	特种钢	676	12.18	--  	13.49	498299	2745	          9.91	13.23	13.90	13.48	-0.130㈢	--  	648349824	  2.29	         67.80亿	河南	12.40	13.01	249973	248326	  1.01	13.48	148	  1.33	
