代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
601929	吉视传媒	9.84	0.00	影视音像	42908	2.64	--  	--  	1617891	1146	          5.20	5.91	2.79	2.79	0.060㈢	    36.39	445395392	  2.86	         86.79亿	吉林	2.71	2.75	892326	725564	  1.23	2.79	0	  8.72	
002118	紫鑫药业	3.86	-0.27	中成药	3388	6.65	--  	7.01	763798	9154	          7.45	6.53	7.09	7.00	0.257㈢	    20.42	525449696	  1.12	         71.77亿	吉林	6.75	6.88	400836	362962	  1.10	7.00	1111	  1.49	
600189	吉林森工	3.39	0.00	林业	744	4.41	--  	4.57	104773	2087	          2.46	3.85	4.58	4.57	0.049㈢	    69.37	47171604	  1.24	         19.45亿	吉林	4.44	4.50	40657	64115	  0.63	4.56	5	  2.27	
600247	*ST成城	3.38	0.00	商贸代理	57	5.83	--  	6.11	42101	67	          1.25	6.43	6.21	6.11	0.044㈢	   104.20	25755914	  1.07	         20.56亿	吉林	5.93	6.12	18337	23763	  0.77	6.10	25	  2.26	
600333	长春燃气	2.39	0.17	供气供热	1105	5.78	--  	6.02	262221	3694	          4.95	4.09	6.02	6.01	-0.212㈢	--  	154825872	  1.32	         31.83亿	吉林	5.80	5.90	124597	137623	  0.91	6.01	1604	  1.26	
000545	金浦钛业	1.89	0.27	化工原料	600	3.70	--  	3.78	274390	5043	          2.86	3.50	3.83	3.78	0.082㈢	    34.51	103001128	  1.12	         36.27亿	吉林	3.72	3.75	127678	146712	  0.87	3.77	2355	 -0.48	
000766	通化金马	1.87	0.13	中成药	791	7.49	--  	7.65	132060	290	          2.30	4.53	7.83	7.64	0.186㈢	    30.86	101290624	  1.12	         43.81亿	吉林	7.50	7.67	66598	65462	  1.02	7.64	201	 -0.50	
002501	利源精制	1.86	0.61	铝	5860	3.15	--  	3.30	744504	11141	          7.44	5.57	3.33	3.29	-0.783㈢	--  	241243680	  1.34	         32.94亿	吉林	3.18	3.24	401710	342793	  1.17	3.29	3783	 -0.51	
000928	中钢国际	1.41	0.20	建筑施工	634	4.96	--  	5.05	237357	3137	          3.19	3.22	5.12	5.04	0.224㈢	    16.86	119970952	  0.85	         37.46亿	吉林	5.00	5.05	110448	126908	  0.87	5.04	1064	 -0.96	
000669	金鸿控股	1.22	0.52	供气供热	716	5.61	--  	5.80	353386	4772	          5.27	4.37	5.86	5.79	0.250㈢	    17.34	203114000	  1.22	         38.79亿	吉林	5.70	5.75	189802	163584	  1.16	5.79	2905	 -1.14	
002566	益盛药业	1.21	0.15	中成药	76	6.63	--  	6.71	43181	238	          1.91	3.02	6.83	6.71	0.161㈢	    31.35	29053838	  1.03	         15.19亿	吉林	6.63	6.73	21474	21707	  0.99	6.70	150	 -1.16	
000631	顺发恒业	1.17	-0.28	区域地产	320	3.42	--  	3.47	136510	742	          0.56	2.92	3.52	3.47	0.354㈢	     7.35	47586496	  1.00	         84.41亿	吉林	3.43	3.49	62431	74078	  0.84	3.46	197	 -1.20	
600360	华微电子	1.13	0.16	半导体	1267	6.20	--  	6.24	333424	1200	          4.49	2.59	6.36	6.24	0.100㈢	    45.00	209167872	  1.18	         46.31亿	吉林	6.21	6.27	161349	172074	  0.94	6.23	852	  0.01	
600881	亚泰集团	1.03	0.51	水泥	257	3.84	--  	3.92	404369	985	          1.25	5.41	4.05	3.92	0.032㈢	    90.75	159468432	  1.06	        126.36亿	吉林	3.91	3.94	210842	193527	  1.09	3.91	1419	 -0.09	
600148	长春一东	0.98	0.18	汽车配件	310	16.41	--  	16.57	40980	630	          2.90	3.41	16.97	16.56	0.171㈢	    72.76	68192592	  0.89	         23.44亿	吉林	16.45	16.64	20476	20503	  1.00	16.56	9	 -0.15	
600697	欧亚集团	0.97	0.14	百货	42	20.75	--  	20.89	12721	124	          0.82	1.55	21.07	20.88	1.250㈢	    12.53	26600230	  1.02	         32.40亿	吉林	20.75	20.91	5981	6739	  0.89	20.88	43	 -0.15	
600856	中天能源	0.93	0.46	供气供热	1936	4.22	--  	4.35	497797	6136	          3.71	4.41	4.41	4.35	0.134㈢	    24.35	215377552	  0.94	         58.44亿	吉林	4.23	4.33	261227	236570	  1.10	4.34	993	 -0.19	
000718	苏宁环球	0.82	0.00	区域地产	2488	3.63	--  	3.70	284204	2497	          1.24	4.36	3.79	3.70	0.191㈢	    14.56	105525304	  1.26	         84.70亿	吉林	3.68	3.71	147729	136475	  1.08	3.69	1687	 -1.55	
600110	诺德股份	0.63	0.21	电气设备	4572	4.74	--  	4.80	648849	9334	          5.64	5.03	4.98	4.80	0.053㈢	    68.13	313533440	  1.60	         55.21亿	吉林	4.79	4.83	322666	326182	  0.99	4.79	2394	 -0.49	
600742	一汽富维	0.51	-0.16	汽车配件	362	11.77	--  	11.80	99800	488	          1.97	2.73	12.09	11.79	0.764㈢	    11.57	119065328	  1.45	         59.85亿	吉林	11.77	11.93	47944	51855	  0.92	11.79	40	 -0.61	
002232	启明信息	0.48	0.12	软件服务	233	8.32	--  	8.36	100939	739	          2.50	3.13	8.58	8.36	0.098㈢	    63.80	85096344	  1.08	         33.75亿	吉林	8.32	8.43	46156	54783	  0.84	8.35	189	 -1.88	
000420	吉林化纤	0.42	-0.41	化纤	4568	2.35	--  	2.38	358283	5509	          2.15	3.81	2.44	2.37	0.065㈢	    27.37	85486008	  0.66	         39.41亿	吉林	2.36	2.39	191564	166719	  1.15	2.37	1981	 -1.94	
000875	吉电股份	0.35	0.00	火力发电	6658	2.86	--  	2.88	566144	4192	          2.90	2.79	2.94	2.88	0.000㈢	  4945.11	164050960	  0.94	         56.28亿	吉林	2.88	2.90	315867	250277	  1.26	2.87	7547	 -2.02	
300108	吉药控股	0.17	0.34	中成药	981	5.87	--  	5.90	56150	666	          1.23	3.06	6.05	5.90	0.160㈢	    29.01	33408456	  0.98	         26.85亿	吉林	5.93	5.95	29411	26739	  1.10	5.89	407	 -2.19	
601518	吉林高速	0.00	-0.31	路桥	2157	3.10	--  	3.11	210052	3218	          1.73	2.25	3.17	3.11	0.155㈢	    15.01	65810292	  0.78	         37.73亿	吉林	3.11	3.13	102611	107441	  0.96	3.10	1557	 -1.12	
600215	长春经开	0.00	0.51	园区开发	468	7.77	--  	7.82	116894	1050	          2.51	2.56	7.97	7.81	0.162㈢	    36.11	92100792	  1.10	         36.32亿	吉林	7.84	7.88	71502	45391	  1.58	7.81	368	 -1.12	
002622	融钰集团	0.00	-0.24	电气设备	5597	3.98	--  	4.03	822713	8908	          9.79	3.73	4.13	4.02	0.023㈢	   129.46	332943104	  0.80	         33.77亿	吉林	4.04	4.05	424475	398237	  1.07	4.02	1061	 -2.36	
000661	长春高新	--  	--  	生物制药	0	--  	--  	--  	0	0	          0.00	0.00	--  	226.05	4.930㈢	    34.39	0	  0.00	        384.18亿	吉林	--  	226.05	0	0	--  	--  	0	 -2.36	
000546	金圆股份	-0.10	0.10	水泥	319	10.16	--  	10.23	96737	552	          1.46	2.74	10.44	10.22	0.517㈢	    14.82	99355456	  1.29	         67.56亿	吉林	10.17	10.27	51374	45362	  1.13	10.22	288	 -2.46	
000800	一汽轿车	-0.12	0.12	汽车整车	1869	8.34	--  	8.40	212787	1183	          1.51	3.45	8.63	8.40	0.083㈢	    75.88	181449232	  1.09	        118.59亿	吉林	8.46	8.53	115530	97256	  1.19	8.39	42	 -2.48	
数据来源:通达信
