代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
601608	中信重工	9.98	0.00	专用机械	99886	4.40	--  	--  	1583529	2889	          3.65	7.89	4.74	4.74	0.020㈢	   218.01	736953472	  2.05	        205.69亿	河南	4.54	4.65	841305	742224	  1.13	4.74	0	  8.86	
600100	同方股份	9.28	-0.08	电脑设备	1542	10.52	--  	11.20	613050	3001	          2.07	7.23	11.26	11.19	-0.193㈢	--  	679055552	  3.44	        331.66亿	北京	10.52	11.08	255934	357115	  0.72	11.19	1809	  8.16	
300257	开山股份	4.62	-0.14	机械基件	13	13.00	--  	13.58	69742	474	          0.85	8.24	14.07	13.58	0.105㈢	    96.81	95031552	  2.00	        111.02亿	浙江	13.03	13.63	32499	37242	  0.87	13.57	92	  2.26	
600481	双良节能	3.94	0.48	环境保护	5109	4.08	--  	4.23	261249	2098	          1.61	4.93	4.28	4.22	0.090㈢	    34.29	109373864	  1.59	         68.38亿	江苏	4.09	4.19	101009	160240	  0.63	4.22	1218	  2.82	
300157	恒泰艾普	2.29	-0.19	石油开采	1950	4.80	--  	4.93	305646	1353	          4.98	4.37	5.01	4.92	0.045㈢	    82.02	150006256	  1.16	         30.19亿	北京	4.83	4.91	151974	153672	  0.99	4.92	1249	 -0.08	
000404	长虹华意	2.23	-0.21	专用机械	919	4.49	--  	4.59	139271	529	          2.01	3.56	4.65	4.59	0.090㈢	    38.22	64007904	  0.97	         31.81亿	江西	4.49	4.60	61695	77576	  0.80	4.58	191	 -0.14	
600619	海立股份	1.63	0.21	机械基件	145	9.23	--  	9.36	70234	374	          1.21	2.83	9.49	9.35	0.232㈢	    30.27	65699112	  1.32	         54.43亿	上海	9.28	9.35	31326	38907	  0.81	9.35	244	  0.51	
600475	华光股份	1.01	0.00	专用机械	151	9.85	--  	9.97	75837	1053	          5.40	3.14	10.16	9.96	0.584㈢	    12.80	75758368	  1.05	         13.99亿	江苏	9.85	9.99	40553	35284	  1.15	9.96	144	 -0.11	
000852	石化机械	0.96	-0.11	化工机械	557	8.30	--  	8.44	224367	2487	          3.75	5.03	8.72	8.43	-0.061㈢	--  	189890496	  1.34	         50.42亿	湖北	8.38	8.46	121856	102510	  1.19	8.43	580	 -1.41	
000530	大冷股份	0.75	0.00	机械基件	389	4.00	--  	4.04	212984	2534	          3.56	2.75	4.11	4.03	0.087㈢	    34.71	86276128	  0.84	         24.09亿	辽宁	4.04	4.05	107925	105059	  1.03	4.03	1252	 -1.61	
002011	盾安环境	0.72	0.00	工程机械	1288	5.54	--  	5.60	419197	3251	          4.98	4.86	5.81	5.59	0.045㈢	    92.94	237375024	  0.79	         47.02亿	浙江	5.60	5.66	213516	205680	  1.04	5.59	3358	 -1.64	
002413	雷科防务	0.44	0.00	通信设备	4092	6.78	--  	6.87	467355	6165	          4.70	4.39	7.08	6.87	0.093㈢	    55.24	321755936	  1.12	         68.38亿	江苏	6.84	6.88	242861	224494	  1.08	6.86	1297	 -1.93	
002084	海鸥住工	0.42	-0.20	家居用品	302	4.76	--  	4.81	55501	465	          1.11	2.51	4.88	4.80	0.069㈢	    52.44	26775500	  1.19	         23.90亿	广东	4.78	4.82	28784	26717	  1.08	4.80	191	 -1.95	
002158	汉钟精机	0.40	0.30	工程机械	219	9.77	--  	9.93	268469	3417	          5.07	3.24	10.09	9.92	0.300㈢	    24.97	266326688	  0.91	         52.49亿	上海	9.87	9.92	143518	124951	  1.15	9.92	183	 -1.96	
000811	冰轮环境	0.00	0.00	工程机械	1905	6.26	--  	6.28	281952	10714	          4.32	4.94	6.57	6.28	0.300㈢	    15.71	180962336	  1.37	         41.01亿	山东	6.30	6.42	141125	140827	  1.00	6.27	20577	 -2.36	
000958	东方能源	-0.23	0.00	火力发电	4229	4.22	--  	4.25	322457	3719	          2.93	2.35	4.32	4.25	0.122㈢	    26.11	137538576	  1.08	         46.72亿	河北	4.28	4.27	173968	148489	  1.17	4.24	106	 -2.60	
300263	隆华科技	-0.52	0.53	专用机械	131	5.60	--  	5.72	517051	5593	          9.15	5.05	5.89	5.71	0.100㈢	    43.30	295787232	  0.99	         32.28亿	河南	5.77	5.72	279701	237350	  1.18	5.71	543	 -2.89	
数据来源:通达信
