代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300016	北陆药业	10.00	0.00	中成药	10092	9.24	--  	--  	375641	753	          9.40	7.33	9.90	9.90	0.302㈣	    32.76	364081504	  1.39	         39.57亿	北京	9.42	9.69	203140	172501	  1.18	9.90	0	  7.64	
300685	艾德生物	8.36	0.33	生物制药	41	50.16	--  	54.35	26018	180	          2.86	9.25	54.80	54.33	0.666㈢	    61.20	136256960	  1.23	         49.50亿	福建	50.60	52.37	12431	13587	  0.91	54.33	2	  5.99	
002030	达安基因	6.75	0.00	生物制药	992	11.86	--  	12.50	357802	1950	          4.68	8.71	12.88	12.50	0.098㈢	    95.28	441462112	  1.61	         95.48亿	广东	11.86	12.34	165426	192376	  0.86	12.49	1455	  4.38	
300558	贝达药业	5.63	-0.65	化学制药	99	42.26	--  	44.84	84741	461	          4.99	10.39	46.67	44.82	0.368㈢	    91.23	383753280	  1.77	         76.06亿	浙江	42.49	45.29	48240	36501	  1.32	44.82	29	  3.27	
002172	澳洋健康	4.72	0.65	化纤	508	4.37	--  	4.66	205010	2006	          2.95	7.87	4.72	4.66	0.032㈢	   108.78	93677696	  1.84	         32.36亿	江苏	4.42	4.57	94001	111009	  0.85	4.65	185	  2.35	
300436	广生堂	4.45	0.22	化学制药	10	26.57	--  	27.01	34146	543	          3.04	6.96	28.37	27.01	0.043㈢	   474.13	93183248	  2.03	         30.36亿	福建	28.37	27.29	18252	15893	  1.15	27.00	47	  2.08	
002118	紫鑫药业	3.86	-0.27	中成药	3388	6.65	--  	7.01	763798	9154	          7.45	6.53	7.09	7.00	0.257㈢	    20.42	525449696	  1.12	         71.77亿	吉林	6.75	6.88	400836	362962	  1.10	7.00	1111	  1.49	
300254	仟源医药	3.73	0.52	化学制药	64	7.47	--  	7.80	79794	1005	          4.93	5.99	7.92	7.79	0.105㈢	    55.71	61565272	  1.85	         12.61亿	山西	7.52	7.72	35730	44063	  0.81	7.79	145	  1.36	
300171	东富龙	3.70	0.22	医疗保健	255	8.95	--  	9.25	400616	5586	         12.01	6.95	9.57	9.25	0.105㈢	    66.31	371215040	  1.59	         30.86亿	上海	9.39	9.27	215864	184751	  1.17	9.24	162	  1.34	
300595	欧普康视	3.68	0.51	医疗保健	285	48.10	--  	49.35	34274	281	          2.49	5.05	50.50	49.30	0.750㈢	    50.13	169351008	  0.79	         67.95亿	安徽	48.32	49.41	16394	17880	  0.92	49.30	1	  1.32	
300109	新开源	3.56	0.28	化工原料	381	17.20	--  	17.76	85961	854	          6.72	9.63	18.85	17.75	0.368㈢	    36.18	155153760	  1.02	         22.69亿	河南	17.20	18.05	46337	39624	  1.17	17.75	62	  1.19	
000710	贝瑞基因	3.04	0.14	医疗保健	220	43.00	--  	44.37	36330	130	          5.84	7.18	46.09	44.36	0.674㈢	    49.37	162746736	  1.03	         27.59亿	四川	43.59	44.80	19202	17128	  1.12	44.36	2	  0.68	
000513	丽珠集团	3.03	-0.02	中成药	121	33.69	--  	34.69	118500	691	          2.59	3.95	35.02	34.69	1.307㈢	    19.90	408496736	  0.92	        158.97亿	广东	33.70	34.47	64367	54133	  1.19	34.68	400	  0.66	
603882	金域医学	2.58	0.04	医疗保健	23	25.42	--  	26.27	40549	1014	          1.45	6.80	27.16	26.26	0.359㈢	    54.88	107115176	  0.80	         73.43亿	广东	25.70	26.42	16358	24191	  0.68	26.26	15	  1.46	
002362	汉王科技	2.43	0.17	电脑设备	384	17.02	--  	17.31	129944	901	          7.31	4.80	17.83	17.30	0.124㈢	   104.95	226777440	  0.89	         30.75亿	北京	17.10	17.45	64168	65775	  0.98	17.30	48	  0.06	
600645	中源协和	2.34	0.59	生物制药	114	20.24	--  	20.58	185067	1287	          4.82	4.53	21.15	20.57	0.840㈢	    20.30	383939968	  1.03	         78.94亿	天津	20.42	20.75	92232	92834	  0.99	20.57	520	  1.22	
