代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
600705	中航资本	-2.59	0.71	多元金融	2706	5.57	5.64	0.71	702261	4966	          0.78	4.66	5.84	5.64	0.245㈢	    17.26	398632480	  0.51	        506.26亿	黑龙江	5.73	5.68	406387	295873	  1.37	5.63	1015	 -1.39	         89.76	-0.15	        506.26亿	   4003	--  	    175	        0.0002	20181214	19960516	         89.76	--  	--  	2442.40	247.91	         63.81	87.24	1359.05	60.91	0.46	1458.42	39.63	0.10	2.68	51.68	27.94	39.09	8.28	39.18	28.78	22.00	85.00	-460.58	-344.63	180099.00	         30259	17.07万	12.16	31.94	          2.04	-1.10	9.80	5.79	          2.76	0.00	          0.44	          0.95	         10.15	   8.88㈢	         45.94	         75.63	         42.57	600705	--  	--  	--  	
600816	安信信托	-2.92	0.69	多元金融	9198	7.12	7.32	0.69	1312137	18780	          2.81	6.11	7.58	7.31	0.004㈢	  1244.83	963222272	  0.46	        341.56亿	上海	7.37	7.34	702199	609937	  1.15	7.31	470	 -1.72	         46.73	-0.22	        399.79亿	   4545	--  	    289	        0.0006	20190213	19940128	         54.69	--  	--  	229.18	138.68	          0.00	39.49	0.00	0.08	0.05	0.00	31.01	0.00	0.00	12.80	0.00	-1.65	-0.02	0.50	0.24	0.24	35.89	26.94	-29.18	80354.00	         45857	33.52万	-99.15	-69.50	          2.88	14.84	31.23	7.53	          2.54	0.00	          0.57	          0.66	         60.51	   0.17㈢	--  	        -12.92	          1.88	600816	--  	--  	--  	
600747	ST大控	-3.92	0.68	多元金融	4544	1.45	1.47	0.68	243122	980	          2.28	4.58	1.52	1.47	-0.002㈢	--  	35902808	  0.84	         15.65亿	辽宁	1.51	1.48	148263	94859	  1.56	1.46	5276	 -2.72	         10.64	-0.06	         21.53亿	   1099	--  	    221	        0.0021	20190213	19960916	         14.64	--  	--  	25.01	19.91	          0.16	19.79	16.81	0.17	0.01	4.87	10.12	0.30	1.07	13.49	13.24	-0.02	-0.00	-0.01	-0.02	-0.02	-6.01	-0.63	-0.52	65921.00	         14325	2.11万	-104.82	53.34	          1.08	-33.97	1.60	1.53	          1.36	0.00	          0.69	         -0.41	         79.58	  -0.12㈢	          1.90	         -0.11	         -0.17	600747	20171121	3.03	-51.49	
600053	九鼎投资	-8.22	0.66	多元金融	178	25.39	25.89	0.66	120665	776	          2.78	9.15	27.97	25.89	0.389㈢	    49.87	315374432	  1.09	        112.24亿	江西	27.81	26.14	64814	55850	  1.16	25.88	130	 -7.03	          4.34	-2.32	        112.24亿	   3601	--  	     34	        0.0008	20190213	19970418	          4.34	--  	--  	50.52	20.41	          0.60	58.42	32.78	0.39	0.01	23.28	1.89	19.65	2.04	5.97	0.37	1.81	0.46	1.82	1.70	1.69	13.43	14.49	3.48	17294.00	          6927	17.94万	22.24	30.65	          5.50	7.75	18.81	28.21	          4.71	0.00	          0.44	          3.10	         40.40	   8.27㈢	         93.87	         30.31	         28.29	600053	--  	--  	--  	
000416	民生控股	-4.73	0.40	多元金融	546	4.90	5.04	0.40	150553	890	          2.83	7.18	5.28	5.04	0.030㈢	   127.78	76154328	  0.68	         26.79亿	山东	5.18	5.06	88723	61830	  1.43	5.03	613	 -2.91	          5.32	-0.25	         26.81亿	   2083	--  	     72	        0.0014	20190213	19960719	          5.32	--  	--  	9.15	8.66	          0.27	2.42	7.36	0.38	0.00	0.22	0.28	0.00	0.12	0.59	0.00	0.28	0.09	0.27	0.18	0.16	2.60	-1.13	-0.46	36159.00	         11385	5.74万	-41.42	937.76	          3.09	-23.66	45.32	5.29	          1.63	0.00	          0.05	          0.49	         94.64	   1.82㈢	         99.85	         46.61	         26.60	000416	--  	--  	--  	
300309	吉艾科技	-4.20	0.26	多元金融	426	7.56	7.76	0.26	160484	1072	          2.15	7.41	8.16	7.76	0.350㈢	    16.61	125328112	  0.46	         57.96亿	北京	8.13	7.81	82746	77738	  1.06	7.75	716	 -2.38	          7.47	-0.34	         67.61亿	   2462	--  	     65	        0.0009	20190213	20120410	          8.71	--  	--  	69.26	19.85	          1.17	69.65	16.24	1.16	0.13	18.38	6.08	0.28	2.14	5.79	2.47	3.49	0.22	3.47	3.01	3.05	4.59	-5.95	-2.46	11906.00	         34867	27.06万	67.05	34.97	          3.41	-11.35	11.67	8.10	          2.28	0.00	          0.70	          0.53	         28.65	  15.38㈢	         57.28	         60.18	         52.70	300309	--  	--  	--  	
000540	中天金融	-1.28	0.22	多元金融	6075	4.60	4.63	0.22	873794	4414	          1.34	4.48	4.81	4.63	0.675㈢	     5.14	409780736	  0.59	        301.21亿	贵州	4.66	4.69	445078	428716	  1.04	4.62	4038	  0.54	         65.06	-0.06	        324.34亿	   3886	--  	    225	        0.0003	20190215	19940202	         70.05	--  	--  	793.75	204.78	         22.39	71.38	367.03	1.10	0.37	355.30	10.99	8.53	7.18	71.92	50.64	78.79	81.60	78.49	47.29	47.31	115.13	-51.27	109.25	227212.00	         16720	7.74万	185.77	-34.66	          1.58	-6.33	4.51	4.69	          2.92	0.00	          0.16	          1.64	         25.80	  23.10㈢	         29.58	        109.55	         65.78	000540	--  	--  	--  	
600830	香溢融通	-5.08	0.16	多元金融	274	6.07	6.17	0.16	115584	1548	          2.54	6.31	6.48	6.17	0.065㈢	    70.91	72363256	  0.55	         28.03亿	浙江	6.48	6.26	70291	45292	  1.55	6.16	416	 -3.88	          4.54	-0.33	         28.03亿	   1604	--  	     72	        0.0016	20190213	19940224	          4.54	--  	--  	31.19	21.28	          2.10	25.07	10.84	0.81	0.45	4.03	5.24	0.65	0.67	6.14	5.10	0.47	0.00	0.53	0.29	0.30	10.37	0.89	0.12	37354.00	          9493	5.86万	-43.84	-12.49	          1.32	31.44	4.57	6.50	          4.68	0.00	          1.15	          2.28	         68.21	   1.39㈢	         16.85	          7.63	          4.83	600830	--  	--  	--  	
000567	海德股份	-3.80	0.15	多元金融	3	12.92	13.19	0.15	70250	482	          4.67	7.37	13.93	13.18	0.220㈢	    57.25	93622496	  0.62	         19.82亿	海南	13.74	13.33	43140	27110	  1.59	13.18	58	 -1.98	          1.50	-0.52	         58.28亿	   2089	--  	     34	        0.0022	20181031	19940525	          4.42	--  	--  	65.94	40.97	          0.00	37.87	62.95	0.07	0.00	24.74	35.52	0.00	0.65	2.47	0.00	0.90	0.04	0.90	0.76	0.76	1.02	-8.58	17.89	25581.00	          4557	6.01万	35.51	89.43	          1.42	-6.80	23.55	13.70	          9.27	0.00	          8.03	          0.23	         62.13	   1.86㈢	--  	         36.38	         30.85	000567	20180416	28.27	-53.38	
600390	五矿资本	-6.78	0.10	多元金融	2361	9.90	10.04	0.10	230791	2322	          4.49	7.06	10.66	10.03	0.452㈢	    16.63	236270976	  0.59	         51.51亿	湖南	10.47	10.24	137765	93026	  1.48	10.03	216	 -5.59	          5.14	-0.73	        375.96亿	   3439	--  	     67	        0.0013	20190213	20010115	         37.48	--  	--  	1182.36	328.38	         32.63	69.47	438.69	0.47	4.11	644.21	220.73	1.55	0.08	60.50	35.99	26.38	11.81	26.62	19.94	16.96	47.59	-13.90	-38.34	37259.00	         13783	13.82万	-19.68	-15.46	          1.14	-27.05	6.21	10.76	          8.76	0.00	          5.89	          1.27	         27.77	   5.16㈢	         40.51	         43.61	         28.03	600390	--  	--  	--  	
