代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600131	岷江水电	10.01	0.00	水力发电	27869	17.18	--  	--  	339752	133	          8.33	3.89	17.81	17.81	0.218㈢	    61.31	601267200	  0.63	         72.60亿	四川	17.28	17.70	193161	146591	  1.32	17.81	0	  8.88	
300316	晶盛机电	2.54	0.00	专用机械	159	14.10	--  	14.51	428164	1669	          3.57	8.20	15.26	14.51	0.350㈢	    31.36	626498304	  1.19	        173.87亿	浙江	14.35	14.63	215117	213047	  1.01	14.50	366	  0.18	
600151	航天机电	2.07	0.37	半导体	1025	5.32	--  	5.43	546783	5136	          3.94	5.45	5.61	5.43	-0.169㈢	--  	297907008	  0.65	         75.41亿	上海	5.53	5.45	303543	243240	  1.25	5.42	649	  0.95	
002006	精功科技	1.91	0.34	专用机械	506	5.77	--  	5.89	147681	879	          3.24	3.64	5.98	5.88	0.070㈢	    62.60	87057968	  0.94	         26.76亿	浙江	5.83	5.90	74112	73568	  1.01	5.88	611	 -0.46	
002506	协鑫集成	1.15	0.19	电气设备	1068	5.20	--  	5.27	485741	2792	          0.96	2.88	5.35	5.27	-0.020㈢	--  	256196176	  1.18	        265.95亿	上海	5.21	5.27	244706	241034	  1.02	5.26	4398	 -1.21	
600206	有研新材	1.09	0.12	半导体	352	8.24	--  	8.32	320217	2206	          3.82	3.28	8.51	8.32	0.080㈢	    77.60	268202720	  0.93	         69.79亿	北京	8.30	8.38	163366	156851	  1.04	8.31	262	 -0.03	
000012	南 玻Ａ	0.80	0.20	玻璃	1993	4.98	--  	5.01	364513	1884	          2.05	2.62	5.11	5.01	0.170㈢	    22.93	183887376	  1.04	         88.93亿	深圳	5.00	5.04	177019	187493	  0.94	5.00	285	 -1.56	
600220	江苏阳光	0.73	0.36	纺织	5784	2.73	--  	2.76	409422	2840	          2.30	3.65	2.83	2.76	0.052㈢	    40.01	113912528	  0.90	         49.22亿	江苏	2.77	2.78	210943	198478	  1.06	2.75	5409	 -0.39	
002011	盾安环境	0.72	0.00	工程机械	1288	5.54	--  	5.60	419197	3251	          4.98	4.86	5.81	5.59	0.045㈢	    92.94	237375024	  0.79	         47.02亿	浙江	5.60	5.66	213516	205680	  1.04	5.59	3358	 -1.64	
600550	保变电气	0.68	0.23	电气设备	717	4.37	--  	4.42	212199	2671	          1.38	2.51	4.48	4.41	-0.120㈢	--  	94061128	  1.08	         67.68亿	河北	4.39	4.43	107848	104351	  1.03	4.41	1704	 -0.44	
300029	天龙光电	0.56	0.38	专用机械	37	5.30	--  	5.36	61088	167	          3.05	3.01	5.46	5.35	-0.150㈢	--  	32858444	  1.14	         10.70亿	江苏	5.35	5.38	27653	33434	  0.83	5.35	131	 -1.80	
600644	乐山电力	0.51	0.17	水力发电	245	5.82	--  	5.94	125250	1170	          2.33	5.41	6.14	5.94	0.253㈢	    17.58	75096208	  1.15	         31.98亿	四川	5.83	6.00	69256	55994	  1.24	5.93	475	 -0.61	
600295	鄂尔多斯	0.45	0.11	小金属	1298	8.91	--  	8.97	111375	1548	          1.82	2.58	9.14	8.97	0.483㈢	    13.94	100536480	  1.03	         54.90亿	内蒙	9.09	9.03	53579	57796	  0.93	8.96	388	 -0.67	
600089	特变电工	0.25	0.13	电气设备	3640	7.94	--  	7.97	759875	4508	          2.05	2.39	8.13	7.96	0.522㈢	    11.44	610764800	  1.28	        295.66亿	新疆	8.00	8.04	403753	356122	  1.13	7.96	1892	 -0.87	
002083	孚日股份	0.18	0.00	纺织	183	5.55	--  	5.59	78342	932	          0.91	1.97	5.66	5.58	0.365㈢	    11.48	43984716	  1.11	         48.27亿	山东	5.61	5.61	32952	45390	  0.73	5.58	388	 -2.18	
603260	合盛硅业	0.02	0.59	化工原料	1	55.86	--  	56.45	46549	395	          1.78	3.28	57.71	56.45	3.353㈢	    12.63	263714048	  1.03	        147.25亿	浙江	56.66	56.65	23747	22801	  1.04	56.43	46	 -1.10	
002218	拓日新能	-0.27	0.27	半导体	8304	3.63	--  	3.68	476447	3234	          3.92	3.80	3.77	3.67	0.059㈢	    46.67	175875744	  0.86	         44.62亿	深圳	3.69	3.69	257269	219178	  1.17	3.67	1992	 -2.64	
600438	通威股份	-0.58	0.17	饲料	1960	11.73	--  	11.94	916226	4678	          3.10	4.17	12.23	11.93	0.428㈢	    20.93	1095943040	  1.19	        353.06亿	四川	12.16	11.96	444637	471588	  0.94	11.93	414	 -1.70	
002129	中环股份	-0.91	-0.19	半导体	516	9.69	--  	9.79	900170	7382	          3.40	3.95	10.08	9.78	0.160㈢	    47.98	889187776	  0.81	        258.61亿	天津	9.93	9.88	491241	408929	  1.20	9.78	4010	 -3.28	
601012	隆基股份	-0.98	0.04	半导体	207	27.11	--  	27.40	571425	3286	          2.05	3.65	28.12	27.40	0.610㈢	    33.91	1579487744	  0.93	        762.19亿	陕西	27.80	27.64	270227	301198	  0.90	27.39	99	 -2.10	
数据来源:通达信
