代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600651	飞乐音响	10.13	0.00	电器仪表	90010	4.25	--  	--  	375450	103	          3.81	2.53	4.35	4.35	-0.837㈢	--  	163177792	  1.00	         42.86亿	上海	4.35	4.35	308577	66872	  4.61	4.35	0	  9.01	
600072	中船科技	10.01	0.00	船舶	25857	9.80	--  	--  	446367	2879	          7.43	9.91	10.77	10.77	0.004㈢	  2257.89	461120192	  1.71	         64.70亿	上海	9.80	10.33	223351	223016	  1.00	10.77	0	  8.89	
600775	南京熊猫	10.01	0.00	通信设备	13948	10.16	--  	--  	743171	599	         11.06	10.30	11.21	11.21	0.089㈢	    94.59	816658688	  1.31	         75.31亿	江苏	10.38	10.99	424959	318211	  1.34	11.21	0	  8.89	
600536	中国软件	10.00	0.00	软件服务	22073	29.40	--  	--  	572197	848	         11.57	7.59	31.58	31.58	-0.485㈢	--  	1770019840	  1.44	        156.18亿	北京	29.66	30.93	282173	290023	  0.97	31.58	0	  8.87	
002189	利达光电	9.99	0.84	元器件	1205	19.01	--  	--  	183487	1781	          9.33	7.34	20.37	20.37	0.220㈢	    82.09	366178336	  1.62	         40.07亿	河南	19.69	19.96	95982	87504	  1.10	20.37	0	  7.62	
600962	国投中鲁	9.97	0.00	软饮料	8018	9.31	--  	--  	223228	990	          8.79	12.28	10.48	10.48	0.025㈢	   313.50	225935824	  2.92	         26.62亿	北京	9.45	10.12	138339	84889	  1.63	10.48	0	  8.85	
000727	华东科技	9.96	0.00	元器件	182204	2.52	--  	--  	3677277	2258	         12.55	5.39	2.65	2.65	-0.348㈢	--  	966334976	  1.19	         77.66亿	江苏	2.65	2.63	2080530	1596746	  1.30	2.65	0	  7.59	
002080	中材科技	9.51	0.00	化纤	689	11.74	--  	12.78	331059	1887	          5.17	9.43	12.84	12.78	0.578㈢	    16.60	413728704	  2.34	         81.79亿	江苏	11.80	12.50	155533	175525	  0.89	12.77	807	  7.15	
000695	滨海能源	8.05	5.52	供气供热	1390	10.38	--  	11.30	37108	3311	          1.67	8.62	11.28	11.28	0.165㈢	    51.17	39439140	  2.27	         25.01亿	天津	10.45	10.63	12377	24731	  0.50	11.28	38	  5.68	
600685	中船防务	6.27	0.19	船舶	1879	14.60	--  	15.77	298332	8528	          3.63	8.43	15.85	15.76	-0.408㈢	--  	450750720	  1.29	        129.46亿	广东	14.78	15.11	147322	151009	  0.98	15.76	384	  5.15	
300557	理工光科	5.38	2.12	电器仪表	15	26.05	--  	27.40	20587	572	          6.06	7.54	28.01	27.40	-0.562㈢	--  	55213904	  2.86	          9.31亿	湖北	26.06	26.82	7134	13452	  0.53	27.28	42	  3.02	
600452	涪陵电力	5.31	0.18	水力发电	0	20.99	--  	22.04	49618	348	          2.22	6.88	22.43	22.03	0.940㈢	    17.58	109032304	  1.68	         49.35亿	重庆	20.99	21.97	21369	28249	  0.76	22.03	29	  4.18	
600027	华电国际	5.20	0.00	火力发电	3528	4.45	--  	4.66	1250667	9658	          1.79	4.75	4.66	4.65	0.155㈢	    22.54	571828672	  2.66	        325.30亿	山东	4.45	4.57	474170	776496	  0.61	4.65	7015	  4.08	
600011	华能国际	4.88	0.57	火力发电	3267	6.77	--  	7.09	702956	11568	          0.67	4.88	7.10	7.09	0.120㈢	    41.97	489494784	  1.65	        744.45亿	北京	6.78	6.96	278511	424445	  0.66	7.08	314	  3.76	
000151	中成股份	4.87	-0.06	商贸代理	373	13.03	--  	13.99	289733	2618	         10.87	11.77	14.60	13.99	0.223㈢	    47.05	395792448	  1.46	         37.29亿	北京	13.30	13.66	142390	147342	  0.97	13.98	152	  2.51	
002066	瑞泰科技	4.66	0.32	其他建材	893	8.80	--  	9.43	173068	1294	          7.49	8.66	9.58	9.43	0.035㈢	   200.39	159590544	  1.55	         21.78亿	北京	8.97	9.22	86254	86813	  0.99	9.42	1143	  2.30	
000786	北新建材	4.46	0.40	其他建材	194	19.10	--  	19.90	362419	2624	          2.56	7.09	20.45	19.89	1.160㈢	    12.34	719646656	  1.16	        281.24亿	北京	19.10	19.86	193504	168914	  1.15	19.89	133	  2.10	
000877	天山股份	4.40	0.10	水泥	3016	10.15	--  	10.45	1029467	11367	         11.70	8.20	10.97	10.44	0.730㈢	    10.73	1088057856	  2.20	         91.88亿	新疆	10.45	10.57	542557	486910	  1.11	10.44	2011	  2.04	
601989	中国重工	4.13	2.02	船舶	7369	5.29	--  	5.56	3308750	97003	          1.80	4.88	5.55	5.55	0.062㈢	    67.30	1783735808	  1.37	       1019.07亿	北京	5.34	5.39	1636650	1672099	  0.98	5.55	7325	  3.01	
600602	云赛智联	3.84	0.00	软件服务	1534	6.36	--  	6.49	171602	859	          1.66	4.96	6.67	6.49	0.133㈢	    36.68	112390032	  1.58	         67.07亿	上海	6.36	6.55	89505	82096	  1.09	6.48	718	  2.72	
600495	晋西车轴	3.83	0.18	运输设备	1209	5.20	--  	5.43	623494	6936	          5.16	9.20	5.68	5.42	0.033㈢	   123.30	336629728	  1.37	         65.48亿	山西	5.27	5.40	278984	344509	  0.81	5.42	2511	  2.71	
