代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002356	赫美集团	9.97	0.00	其他商业	295341	7.06	--  	--  	8141	12	          0.17	0.00	7.06	7.06	-0.473㈢	--  	5747758	  0.08	         33.90亿	深圳	7.06	7.06	6531	1610	  4.06	7.06	0	  7.60	
600086	东方金钰	9.94	0.00	服饰	20374	4.80	--  	--  	1508841	23234	         14.28	12.58	5.42	5.42	-0.053㈢	--  	778561728	  1.04	         57.28亿	湖北	4.88	5.16	724312	784529	  0.92	5.42	0	  8.82	
600612	老凤祥	2.24	0.19	服饰	126	40.70	--  	42.00	38714	502	          1.22	3.26	42.04	42.00	1.888㈢	    16.68	161184816	  1.44	        133.19亿	上海	40.93	41.63	19654	19060	  1.03	41.99	119	  1.12	
002574	明牌珠宝	1.94	0.00	服饰	375	5.67	--  	5.79	130285	1321	          2.47	3.00	5.84	5.78	0.161㈢	    26.93	74933424	  1.52	         30.52亿	浙江	5.68	5.75	55547	74737	  0.74	5.78	509	 -0.42	
000858	五 粮 液	1.78	0.34	白酒	204	75.51	--  	77.25	612471	4044	          1.61	5.26	79.50	77.25	2.470㈢	    23.69	4731317760	  1.27	       2932.23亿	四川	76.59	77.25	304414	308057	  0.99	77.24	54	 -0.59	
002494	华斯股份	1.69	0.17	服饰	640	5.90	--  	6.01	108639	753	          3.68	2.88	6.07	6.00	0.044㈣	   137.17	65139332	  1.03	         17.70亿	河北	5.95	6.00	59869	48770	  1.23	6.00	743	 -0.67	
002731	萃华珠宝	1.38	0.00	服饰	107	19.53	--  	19.79	14912	126	          1.16	1.64	19.85	19.78	0.205㈢	    72.36	29371678	  0.91	         25.44亿	辽宁	19.58	19.70	8110	6801	  1.19	19.78	101	 -0.98	
002740	爱迪尔	1.37	0.15	服饰	549	6.54	--  	6.64	77802	600	          4.75	2.75	6.72	6.64	0.119㈢	    41.68	51579184	  0.92	         10.88亿	深圳	6.55	6.63	38734	39068	  0.99	6.63	155	 -0.99	
600337	美克家居	1.32	-0.21	家居用品	186	4.55	--  	4.63	306208	2846	          1.77	4.17	4.74	4.62	0.190㈢	    18.25	142397968	  1.05	         79.85亿	新疆	4.56	4.65	131543	174664	  0.75	4.62	1519	  0.19	
002867	周大生	1.23	0.10	服饰	40	30.06	--  	30.42	35146	114	          2.16	2.33	30.76	30.42	1.230㈢	    18.69	107119512	  1.13	         49.61亿	深圳	30.07	30.48	15429	19717	  0.78	30.41	57	 -1.13	
603900	莱绅通灵	0.98	0.30	服饰	175	13.16	--  	13.38	89723	846	         10.54	4.23	13.72	13.36	0.626㈢	    15.99	120317152	  1.10	         11.37亿	江苏	13.40	13.41	45884	43839	  1.05	13.36	58	 -0.14	
002345	潮宏基	0.81	0.20	服饰	856	4.95	--  	4.99	186148	1756	          2.12	2.02	5.05	4.99	0.252㈢	    14.88	92996080	  0.95	         43.82亿	广东	4.95	5.00	91892	94256	  0.97	4.98	681	 -1.56	
002721	金一文化	0.47	0.15	服饰	1895	6.40	--  	6.47	238934	2767	          3.98	3.88	6.65	6.47	0.013㈢	   384.62	155427696	  0.88	         38.82亿	北京	6.42	6.51	114541	124392	  0.92	6.46	88	 -1.90	
000026	飞亚达Ａ	0.23	-0.11	其他商业	81	8.55	--  	8.59	46963	110	          1.32	3.85	8.88	8.59	0.370㈢	    17.54	40690180	  1.39	         30.64亿	深圳	8.58	8.66	23624	23339	  1.01	8.58	384	 -2.13	
600519	贵州茅台	-0.94	0.13	白酒	2	777.22	--  	781.86	84586	676	          0.67	2.67	798.33	781.86	19.689㈢	    29.78	6661386752	  1.30	       9821.71亿	贵州	795.00	787.53	46415	38170	  1.22	781.85	29	 -2.06	
601888	中国国旅	-1.12	0.19	旅游服务	166	63.30	--  	63.74	148736	1087	          0.76	4.11	65.95	63.73	1.386㈢	    34.50	964340480	  1.28	       1244.31亿	北京	64.98	64.84	76872	71864	  1.07	63.73	4	 -2.24	
数据来源:通达信
