代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300279	和晶科技	9.98	0.00	元器件	142906	6.39	--  	--  	53453	414	          1.71	0.00	6.39	6.39	-0.089㈢	--  	34156524	  0.28	         19.97亿	江苏	6.39	6.39	43221	10232	  4.22	6.39	0	  7.62	
002308	威创股份	6.80	-0.67	电脑设备	389	5.58	--  	5.82	776704	7054	          8.61	7.35	5.98	5.81	0.162㈢	    26.97	448492032	  1.79	         52.39亿	广东	5.80	5.77	403509	373194	  1.08	5.81	2765	  4.44	
603557	起步股份	6.45	0.91	服饰	42	8.33	--  	8.91	162653	4410	          7.43	7.41	8.95	8.91	0.310㈢	    21.49	139810000	  1.57	         19.50亿	浙江	8.34	8.60	82462	80191	  1.03	8.90	1259	  5.33	
000156	华数传媒	5.96	0.09	影视音像	391	10.55	--  	10.68	250282	2182	          1.95	4.47	11.00	10.67	0.337㈢	    23.76	268807840	  1.92	        136.61亿	浙江	10.70	10.74	134064	116218	  1.15	10.67	479	  3.59	
000671	阳 光 城	4.30	0.00	区域地产	744	7.02	--  	7.28	587811	3472	          1.48	7.02	7.51	7.28	0.390㈢	    13.99	429126752	  1.10	        289.15亿	福建	7.02	7.30	283770	304040	  0.93	7.27	1466	  1.93	
300043	星辉娱乐	3.41	0.00	文教休闲	584	4.21	--  	4.26	402339	1859	          4.46	6.81	4.49	4.25	0.171㈢	    18.66	175920304	  1.87	         38.36亿	广东	4.35	4.37	190860	211478	  0.90	4.25	2090	  1.04	
002162	悦心健康	3.14	0.28	医疗保健	1710	3.47	--  	3.62	169978	1107	          1.99	6.00	3.68	3.61	0.029㈣	   126.59	60939992	  1.41	         30.79亿	上海	3.47	3.59	87890	82088	  1.07	3.61	1221	  0.78	
000915	山大华特	3.01	0.84	化学制药	89	18.55	--  	19.15	115612	641	          4.95	6.14	19.69	19.14	0.611㈢	    23.48	220956368	  1.55	         44.68亿	山东	18.80	19.11	50570	65041	  0.78	19.14	82	  0.65	
002269	美邦服饰	2.92	0.36	服饰	3137	2.74	--  	2.83	148262	2050	          0.59	4.38	2.86	2.82	0.016㈢	   132.39	41673896	  1.13	         70.85亿	上海	2.77	2.81	74929	73332	  1.02	2.82	1664	  0.56	
002699	美盛文化	2.63	0.16	服饰	1060	6.11	--  	6.25	337911	4252	          4.27	4.93	6.41	6.25	0.124㈢	    37.68	212358672	  1.19	         49.41亿	浙江	6.15	6.28	158812	179099	  0.89	6.24	964	  0.26	
600735	新华锦	2.57	0.31	商贸代理	135	6.23	--  	6.39	234767	3182	          6.24	6.43	6.63	6.38	0.155㈢	    30.84	149678576	  1.25	         23.99亿	山东	6.27	6.38	112719	122047	  0.92	6.38	249	  1.45	
002570	*ST因美	2.45	0.34	乳制品	99	5.77	--  	5.87	168359	1903	          1.65	3.50	5.97	5.86	0.027㈢	   160.71	98937464	  1.08	         59.90亿	浙江	5.77	5.88	88282	80076	  1.10	5.86	727	  0.08	
002292	奥飞娱乐	2.37	0.29	影视音像	1118	6.75	--  	6.92	434983	2371	          5.35	4.88	7.08	6.92	0.053㈢	    97.02	300290368	  1.46	         56.29亿	广东	6.88	6.90	192963	242019	  0.80	6.91	721	  0.00	
600249	两面针	2.30	0.23	日用化工	553	4.33	--  	4.45	236250	1692	          4.30	8.51	4.70	4.45	0.004㈢	   855.65	105512488	  1.42	         24.47亿	广西	4.35	4.47	115762	120487	  0.96	4.44	1153	  1.18	
002575	群兴玩具	2.29	0.00	文教休闲	2606	9.41	--  	9.84	462333	4891	          7.85	8.01	10.18	9.83	0.012㈣	   836.08	452322304	  0.68	         57.87亿	广东	9.76	9.78	246284	216049	  1.14	9.83	1273	 -0.08	
002078	太阳纸业	1.82	0.14	造纸	1352	7.11	--  	7.27	748881	2607	          2.94	5.04	7.47	7.27	0.690㈢	     7.84	546014528	  1.36	        185.45亿	山东	7.14	7.29	369572	379309	  0.97	7.26	2946	 -0.54	
002737	葵花药业	1.80	0.06	中成药	248	16.11	--  	16.39	151036	1191	          2.92	2.30	16.48	16.38	0.760㈢	    20.77	246806960	  1.35	         84.65亿	黑龙江	16.19	16.34	85487	65549	  1.30	16.38	121	 -0.56	
002762	金发拉比	1.75	-0.52	服饰	347	7.30	--  	7.57	207264	2566	         10.90	4.85	7.66	7.56	0.170㈢	    33.35	155095552	  1.22	         14.37亿	广东	7.33	7.48	108107	99156	  1.09	7.56	291	 -0.61	
600079	人福医药	1.74	0.36	化学制药	656	10.95	--  	11.13	230474	409	          1.79	3.39	11.32	11.12	0.430㈢	    17.41	257483120	  1.11	        143.01亿	湖北	10.98	11.17	118504	111970	  1.06	11.12	23	  0.62	
300723	一品红	1.68	0.15	化学制药	2	33.31	--  	33.95	13713	145	          2.90	3.41	34.45	33.95	0.795㈢	    32.03	46702768	  0.94	         16.07亿	广东	33.38	34.06	6842	6870	  1.00	33.92	100	 -0.69	
300703	创源文化	1.63	0.68	文教休闲	18	15.90	--  	16.27	53525	594	          8.03	2.81	16.35	16.26	0.537㈢	    22.70	86359008	  1.28	         10.83亿	浙江	16.02	16.13	28822	24702	  1.17	16.26	2	 -0.74	
002862	实丰文化	1.46	-0.24	文教休闲	16	23.80	--  	24.32	66298	1419	         21.28	7.22	25.53	24.32	0.326㈢	    55.93	163045056	  0.87	          7.58亿	广东	24.13	24.59	31353	34944	  0.90	24.31	124	 -0.90	
300160	秀强股份	1.42	0.23	玻璃	997	4.21	--  	4.29	148985	1311	          2.51	3.07	4.34	4.29	0.143㈢	    22.44	63730916	  0.60	         25.44亿	江苏	4.24	4.28	73811	75173	  0.98	4.28	1417	 -0.95	
300142	沃森生物	1.41	-0.04	生物制药	18	21.30	--  	21.58	231376	2278	          1.68	1.79	21.68	21.58	0.059㈢	   273.08	497219008	  1.11	        297.17亿	云南	21.54	21.49	120165	111211	  1.08	21.57	54	 -0.95	
600823	世茂股份	1.36	-0.21	全国地产	13959	4.40	--  	4.47	328475	770	          0.88	3.18	4.54	4.46	0.393㈢	     8.50	147079088	  1.38	        167.30亿	上海	4.40	4.48	173631	154844	  1.12	4.46	1635	  0.24	
300106	西部牧业	1.29	0.32	农业综合	2163	6.16	--  	6.30	108470	821	          5.14	4.82	6.46	6.30	0.109㈢	    43.45	68483400	  0.99	         13.30亿	新疆	6.20	6.31	49946	58524	  0.85	6.29	1044	 -1.08	
600069	银鸽投资	1.15	-0.27	造纸	1121	3.42	--  	3.52	659775	9057	          4.06	6.03	3.63	3.52	0.009㈢	   296.10	234644960	  1.31	         57.16亿	河南	3.48	3.56	336723	323052	  1.04	3.51	1091	  0.03	
603268	松发股份	1.01	0.40	陶瓷	10	19.52	--  	20.03	49573	683	          3.99	4.44	20.40	20.03	0.289㈢	    52.02	98541400	  1.28	         24.87亿	广东	19.84	19.88	23888	25684	  0.93	20.01	123	 -0.11	
600398	海澜之家	1.01	0.20	服饰	190	9.87	--  	10.02	170486	1647	          0.38	3.83	10.25	10.02	0.585㈢	    12.85	171698816	  1.00	        450.17亿	江苏	10.00	10.07	99199	71287	  1.39	10.01	128	 -0.11	
300086	康芝药业	0.99	-0.15	化学制药	633	6.06	--  	6.15	132559	1666	          3.04	2.96	6.24	6.14	0.101㈢	    45.58	81700040	  1.18	         26.75亿	海南	6.08	6.16	61829	70730	  0.87	6.14	1626	 -1.38	
600257	大湖股份	0.97	0.19	渔业	1109	5.14	--  	5.19	183964	1803	          4.31	2.72	5.28	5.19	0.046㈢	    84.81	95804728	  1.23	         22.16亿	湖南	5.16	5.21	87051	96912	  0.90	5.18	809	 -0.15	
002502	骅威文化	0.95	0.24	影视音像	2302	4.20	--  	4.26	338539	5012	          5.45	3.32	4.34	4.26	0.039㈢	    82.16	144501744	  0.97	         26.47亿	广东	4.23	4.27	164951	173587	  0.95	4.25	1813	 -1.42	
002730	电光科技	0.92	0.13	电气设备	347	7.62	--  	7.70	39205	156	          1.35	2.76	7.83	7.69	0.152㈢	    37.94	30299188	  0.98	         22.34亿	浙江	7.67	7.73	19003	20202	  0.94	7.69	124	 -1.45	
300318	博晖创新	0.88	0.00	医疗保健	90	4.54	--  	4.60	69890	293	          0.96	3.07	4.68	4.60	0.028㈢	   122.16	32252380	  0.86	         33.46亿	北京	4.59	4.61	33308	36582	  0.91	4.59	130	 -1.49	
603839	安正时尚	0.87	0.00	服饰	45	11.49	--  	11.64	62267	547	          5.90	2.51	11.78	11.64	0.620㈢	    14.29	72449768	  1.22	         12.28亿	浙江	11.58	11.64	33035	29232	  1.13	11.63	149	 -0.26	
000043	中航善达	0.84	0.12	房产服务	227	8.31	--  	8.40	77106	1178	          1.16	3.24	8.58	8.40	1.245㈢	     5.06	65147436	  0.98	         56.01亿	深圳	8.33	8.45	36247	40859	  0.89	8.39	197	 -1.52	
603079	圣达生物	0.81	0.09	食品	234	20.70	--  	21.25	34409	354	          9.42	6.74	22.12	21.24	0.462㈢	    34.50	73702520	  1.26	          7.76亿	浙江	21.01	21.42	18195	16214	  1.12	21.24	34	 -0.31	
000502	绿景控股	0.76	-0.37	医疗保健	188	7.92	--  	7.95	30954	324	          1.69	2.28	8.10	7.94	0.227㈢	    26.21	24844520	  1.07	         14.56亿	广东	7.92	8.03	11008	19946	  0.55	7.94	160	 -1.60	
600429	三元股份	0.70	-0.16	乳制品	271	5.66	--  	5.73	51909	518	          0.59	1.58	5.75	5.72	0.093㈢	    46.21	29612762	  1.03	         50.62亿	北京	5.68	5.70	24836	27073	  0.92	5.72	749	 -0.42	
600419	天润乳业	0.57	0.13	乳制品	403	15.72	--  	15.92	77974	1162	          3.76	3.35	16.25	15.91	0.504㈢	    23.69	124245960	  0.99	         32.95亿	新疆	15.85	15.93	41190	36784	  1.12	15.91	120	 -0.55	
002014	永新股份	0.55	-0.13	塑料	128	7.30	--  	7.35	45908	277	          0.94	2.60	7.49	7.34	0.447㈣	    16.41	33860636	  1.06	         35.69亿	安徽	7.33	7.38	21980	23928	  0.92	7.34	292	 -1.82	
603238	诺邦股份	0.47	0.05	纺织	50	18.99	--  	19.16	25047	581	          8.35	2.15	19.40	19.16	0.346㈢	    41.51	48104068	  1.13	          5.75亿	浙江	19.14	19.21	12992	12054	  1.08	19.15	183	 -0.65	
600750	江中药业	0.44	0.28	中成药	10	17.96	--  	18.08	129572	249	          3.09	1.78	18.28	18.08	0.842㈢	    16.11	234824080	  1.62	         75.94亿	江西	18.16	18.12	67685	61887	  1.09	18.06	600	 -0.68	
600479	千金药业	0.44	0.00	中成药	358	9.16	--  	9.20	88029	160	          2.10	2.30	9.37	9.19	0.331㈢	    20.83	81416280	  1.27	         38.46亿	湖南	9.17	9.25	46941	41087	  1.14	9.19	311	 -0.68	
002571	德力股份	0.38	0.38	玻璃	68	5.24	--  	5.29	94222	1567	          3.72	2.85	5.39	5.28	-0.107㈢	--  	50197524	  0.91	         13.37亿	安徽	5.30	5.33	45593	48629	  0.94	5.28	214	 -1.98	
002261	拓维信息	0.36	-0.35	互联网	2004	5.46	--  	5.52	676091	10127	          7.43	5.64	5.77	5.52	0.046㈢	    90.90	379094112	  0.98	         50.20亿	湖南	5.54	5.61	351571	324519	  1.08	5.51	2487	 -2.00	
600976	健民集团	0.30	-0.17	中成药	86	16.71	--  	16.83	34560	220	          2.25	3.22	17.25	16.81	0.475㈢	    26.54	58547472	  1.25	         25.77亿	湖北	16.86	16.94	19858	14701	  1.35	16.81	45	 -0.82	
300081	恒信东方	0.30	0.20	文教休闲	178	10.08	--  	10.14	197637	1335	          6.26	3.17	10.40	10.14	0.389㈢	    19.54	202080576	  1.18	         32.01亿	河北	10.35	10.22	101272	96364	  1.05	10.13	392	 -2.07	
002621	三垒股份	0.27	0.23	专用机械	177	22.03	--  	22.15	19104	377	          0.71	1.90	22.45	22.15	0.039㈢	   431.11	42409200	  0.53	         59.95亿	辽宁	22.11	22.20	10975	8129	  1.35	22.13	326	 -2.09	
000058	深 赛 格	0.25	0.00	元器件	3212	7.90	--  	8.01	321888	4159	          5.98	5.39	8.33	8.00	0.112㈢	    53.70	259519600	  0.78	         43.04亿	深圳	8.10	8.06	151509	170379	  0.89	8.00	2097	 -2.11	
600668	尖峰集团	0.22	0.00	水泥	1213	13.51	--  	13.64	202127	1688	          5.87	2.57	13.86	13.63	1.419㈢	     7.21	276668224	  1.34	         46.90亿	浙江	13.70	13.69	104673	97453	  1.07	13.63	567	 -0.90	
002599	盛通股份	0.18	-0.17	广告包装	115	11.10	--  	11.13	31437	310	          1.61	3.51	11.49	11.12	0.223㈢	    37.44	35467228	  0.69	         21.71亿	北京	11.10	11.28	17815	13622	  1.31	11.12	44	 -2.18	
600351	亚宝药业	0.16	0.16	中成药	1004	6.30	--  	6.37	129083	623	          1.68	2.68	6.47	6.36	0.277㈢	    17.21	82297704	  1.35	         48.97亿	山西	6.35	6.38	61708	67374	  0.92	6.36	450	 -0.96	
600757	长江传媒	0.14	0.00	出版业	2267	7.11	--  	7.15	226798	826	          1.87	2.38	7.28	7.14	0.523㈢	    10.25	163207616	  1.21	         86.64亿	湖北	7.14	7.20	116557	110241	  1.06	7.14	457	 -0.98	
002563	森马服饰	0.10	-0.08	服饰	439	10.34	--  	10.52	218905	880	          1.19	3.62	10.72	10.52	0.471㈢	    16.75	230807008	  1.69	        193.45亿	浙江	10.52	10.54	121208	97697	  1.24	10.51	21	 -2.27	
603398	邦宝益智	0.00	0.07	文教休闲	467	13.24	--  	13.43	81166	489	          3.83	3.43	13.70	13.43	0.145㈢	    69.30	109180616	  1.08	         28.43亿	广东	13.43	13.45	43949	37217	  1.18	13.42	152	 -1.12	
