代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300270	中威电子	10.06	0.00	通信设备	25242	7.86	--  	--  	115587	494	          7.66	8.65	8.53	8.53	0.130㈢	    54.18	96207872	  1.63	         12.87亿	浙江	7.96	8.32	58175	57411	  1.01	8.53	0	  7.70	
000665	湖北广电	10.06	0.00	影视音像	65741	8.94	--  	--  	68222	50	          1.07	2.99	9.19	9.19	0.324㈢	    21.29	62549400	  0.90	         58.46亿	湖北	8.95	9.17	50761	17460	  2.91	9.19	0	  7.70	
300691	联合光电	10.02	0.00	元器件	15460	28.00	--  	--  	5834	20	          0.97	0.00	28.00	28.00	0.400㈢	    53.41	16334640	  0.33	         16.76亿	广东	28.00	28.00	4642	1191	  3.90	28.00	0	  7.66	
300397	天和防务	9.99	0.00	通信设备	29729	18.16	--  	--  	156301	14	         10.08	6.87	19.37	19.37	-0.306㈢	--  	294694656	  0.93	         30.04亿	陕西	18.16	18.85	75201	81099	  0.93	19.37	0	  7.63	
600728	佳都科技	9.63	1.35	软件服务	5714	10.81	--  	11.27	1894057	17753	         11.81	4.86	11.31	11.27	0.070㈢	   121.49	2108389760	  2.24	        180.79亿	广东	11.31	11.13	1041367	852690	  1.22	11.26	1122	  8.51	
600100	同方股份	9.28	-0.08	电脑设备	1542	10.52	--  	11.20	613050	3001	          2.07	7.23	11.26	11.19	-0.193㈢	--  	679055552	  3.44	        331.66亿	北京	10.52	11.08	255934	357115	  0.72	11.19	1809	  8.16	
300020	银江股份	6.58	0.72	软件服务	263	7.96	--  	8.42	353750	4387	          5.63	6.71	8.49	8.42	0.019㈢	   335.03	291571008	  1.46	         52.88亿	浙江	8.10	8.24	164225	189524	  0.87	8.41	1292	  4.22	
002835	同为股份	5.70	0.11	元器件	720	8.18	--  	8.72	96804	1049	         11.46	8.36	8.87	8.72	0.002㈢	  3571.82	82870736	  2.42	          7.37亿	深圳	8.24	8.56	44053	52751	  0.84	8.71	70	  3.33	
002373	千方科技	5.40	0.57	软件服务	324	15.30	--  	15.82	325384	3210	          3.88	5.66	16.15	15.82	0.360㈢	    35.96	513412480	  1.55	        132.78亿	北京	15.35	15.78	167858	157526	  1.07	15.81	265	  3.03	
300076	GQY视讯	5.33	0.78	电脑设备	160	5.02	--  	5.15	307140	8560	          8.04	3.69	5.20	5.14	0.078㈢	    49.36	156403424	  1.38	         19.63亿	浙江	5.04	5.09	128735	178404	  0.72	5.14	2218	  2.96	
002236	大华股份	5.23	0.12	电器仪表	1902	16.15	--  	16.49	1552241	10995	          8.46	6.89	17.23	16.49	0.540㈢	    23.71	2570447616	  1.75	        302.48亿	浙江	16.38	16.56	773961	778280	  0.99	16.48	239	  2.87	
