代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002600	领益智造	10.09	0.00	元器件	248154	5.62	--  	--  	1954521	1569	         13.14	6.97	6.00	6.00	-0.050㈢	--  	1158442624	  0.64	         89.27亿	广东	6.00	5.93	1404683	549838	  2.55	6.00	0	  7.73	
002903	宇环数控	10.02	0.00	机床制造	4249	18.22	--  	--  	187012	173	         28.34	10.29	20.10	20.10	0.284㈢	    53.08	366120704	  2.55	         13.27亿	湖南	18.39	19.58	106717	80294	  1.33	20.10	0	  7.65	
300538	同益股份	10.01	0.00	批发业	42837	30.11	--  	--  	11181	101	          4.66	0.00	30.11	30.11	0.300㈢	    73.28	33667316	  0.64	          7.23亿	深圳	30.11	30.11	10531	650	 16.20	30.11	0	  7.65	
002148	北纬科技	9.83	-0.12	互联网	332	6.93	--  	7.61	791893	4579	         17.83	9.83	7.61	7.60	0.068㈢	    83.66	584241024	  2.39	         33.75亿	北京	6.95	7.38	377055	414837	  0.91	7.60	1051	  7.46	
300679	电连技术	9.50	1.16	元器件	114	33.73	--  	36.79	105838	2341	         10.48	9.59	36.95	36.78	0.932㈢	    29.59	379696640	  1.41	         37.16亿	深圳	33.73	35.88	45707	60131	  0.76	36.78	237	  7.13	
002913	奥士康	4.93	0.02	元器件	116	54.40	--  	56.00	97802	2628	         27.16	7.87	58.60	56.00	1.280㈢	    33.40	552035392	  1.62	         20.17亿	湖南	56.00	56.44	45666	52136	  0.88	55.99	45	  2.56	
000100	TCL 集团	4.86	0.29	家用电器	22912	3.42	--  	3.46	5397387	70686	          4.22	3.65	3.54	3.45	0.184㈢	    14.08	1873347584	  1.42	        441.18亿	广东	3.48	3.47	2590115	2807271	  0.92	3.45	32677	  2.50	
000889	中嘉博创	4.27	0.40	通信设备	12	12.50	--  	12.70	72739	289	          1.17	6.40	13.28	12.70	0.260㈢	    39.47	93793832	  1.02	         78.95亿	河北	12.70	12.89	38183	34556	  1.10	12.69	167	  1.90	
300598	诚迈科技	4.12	0.29	软件服务	377	23.66	--  	24.51	46227	743	          9.56	3.61	24.51	24.51	0.123㈢	   149.90	111793960	  1.21	         11.85亿	江苏	23.70	24.18	22048	24178	  0.91	24.50	10	  1.76	
300242	佳云科技	3.78	0.43	互联网	978	4.57	--  	4.67	270707	1429	          5.25	5.11	4.80	4.67	0.052㈢	    66.96	126587944	  1.30	         24.09亿	广东	4.58	4.68	115933	154773	  0.75	4.66	1531	  1.41	
603386	广东骏亚	3.50	0.45	元器件	340	17.28	--  	18.03	122861	1372	         21.68	9.08	18.86	18.02	0.315㈢	    42.93	219524864	  1.50	         10.21亿	广东	17.51	17.87	58989	63872	  0.92	18.02	65	  2.38	
300433	蓝思科技	3.44	0.00	元器件	1535	8.80	--  	9.03	778535	5255	          1.99	6.88	9.40	9.02	0.270㈢	    24.95	708454144	  1.44	        352.71亿	湖南	8.80	9.10	376921	401614	  0.94	9.02	2324	  1.08	
300083	劲胜智能	3.35	0.82	元器件	358	3.57	--  	3.70	747580	6326	          5.99	9.78	3.92	3.70	-0.071㈢	--  	279985408	  1.42	         46.21亿	广东	3.61	3.75	360161	387418	  0.93	3.69	216	  0.99	
300458	全志科技	3.18	0.26	元器件	1719	22.82	--  	23.03	208194	1559	          8.89	7.71	24.54	23.02	0.437㈢	    39.54	494192384	  1.68	         53.92亿	广东	24.54	23.74	117353	90840	  1.29	23.02	53	  0.82	
002456	欧菲科技	2.97	0.57	元器件	4387	13.91	--  	14.21	1659482	13000	          6.22	4.13	14.48	14.20	0.510㈢	    20.99	2354999808	  1.07	        378.84亿	深圳	14.02	14.19	803107	856374	  0.94	14.20	416	  0.61	
002681	奋达科技	2.81	0.21	家用电器	1771	4.65	--  	4.76	372420	1410	          3.37	4.33	4.85	4.75	0.160㈢	    28.08	177957936	  1.08	         52.48亿	深圳	4.65	4.78	161913	210506	  0.77	4.75	1079	  0.45	
002369	卓翼科技	1.84	0.23	通信设备	635	8.75	--  	8.87	602885	3464	         14.37	4.60	9.15	8.86	0.078㈢	    85.61	538794048	  1.40	         37.18亿	深圳	8.80	8.94	292325	310559	  0.94	8.86	81	 -0.53	
300207	欣旺达	1.75	-0.50	元器件	313	11.40	--  	11.60	167267	713	          1.47	4.82	11.95	11.60	0.300㈢	    31.38	196348608	  1.16	        132.14亿	深圳	11.60	11.74	75403	91864	  0.82	11.59	525	 -0.61	
002768	国恩股份	1.74	0.00	塑料	43	24.24	--  	24.60	43171	487	          1.80	4.72	25.38	24.59	0.760㈢	    24.77	106878056	  0.83	         59.02亿	山东	24.24	24.76	23201	19969	  1.16	24.59	17	 -0.63	
