代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300353	东土科技	10.04	0.00	通信设备	11286	11.03	--  	--  	535813	609	         15.26	9.40	12.06	12.06	0.088㈢	   102.92	631186752	  1.97	         42.34亿	北京	11.26	11.78	277638	258175	  1.08	12.06	0	  7.67	
300170	汉得信息	9.99	0.00	软件服务	248140	13.87	--  	--  	32725	1184	          0.47	0.00	13.87	13.87	0.280㈢	    37.34	45389256	  0.11	         96.16亿	上海	13.87	13.87	28070	4654	  6.03	13.87	0	  7.63	
603803	瑞斯康达	9.97	0.00	通信设备	18695	11.56	--  	--  	338942	386	         15.42	8.92	12.58	12.58	0.191㈢	    49.39	417757792	  2.26	         27.65亿	北京	11.56	12.33	195036	143906	  1.36	12.58	0	  8.84	
603859	能科股份	8.12	-0.67	软件服务	38	24.83	--  	26.23	75915	145	         15.22	7.63	26.68	26.22	0.159㈢	   123.65	198681936	  1.69	         13.08亿	北京	25.22	26.17	30532	45383	  0.67	26.22	3	  7.00	
600031	三一重工	7.65	-0.08	工程机械	225	10.93	--  	11.55	2681238	19645	          3.45	8.02	11.79	11.54	0.630㈢	    13.83	3085041920	  2.42	        895.85亿	北京	11.00	11.51	1301433	1379805	  0.94	11.54	843	  6.53	
600172	黄河旋风	6.23	0.47	矿物制品	5850	4.02	--  	4.27	1064048	9776	          9.30	7.73	4.33	4.26	0.070㈢	    45.66	443104544	  1.68	         48.76亿	河南	4.02	4.16	486986	577061	  0.84	4.26	2899	  5.11	
002364	中恒电气	6.13	0.45	电气设备	5	10.63	--  	11.25	214309	2413	          4.16	8.96	11.58	11.25	0.158㈢	    53.40	237290768	  1.36	         57.98亿	浙江	10.66	11.07	101571	112738	  0.90	11.24	477	  3.77	
300687	赛意信息	5.96	1.12	软件服务	194	25.55	--  	26.16	88662	538	         14.16	6.45	27.14	26.14	0.480㈢	    41.54	234810192	  1.82	         16.37亿	广东	25.55	26.48	48362	40299	  1.20	26.14	149	  3.59	
002217	合力泰	5.13	0.40	元器件	7065	7.26	--  	7.58	2162561	29375	          8.44	6.10	7.70	7.58	0.381㈢	    14.91	1621293184	  1.37	        194.15亿	山东	7.26	7.50	960298	1202262	  0.80	7.57	10649	  2.77	
300310	宜通世纪	4.95	0.16	通信设备	689	6.00	--  	6.36	952505	11806	         15.16	9.08	6.55	6.36	-0.645㈢	--  	595671232	  1.20	         39.96亿	广东	6.17	6.25	448972	503533	  0.89	6.35	745	  2.59	
600845	宝信软件	4.03	0.03	软件服务	23	29.50	--  	30.17	108154	882	          1.69	5.17	31.00	30.17	0.630㈢	    38.29	327332320	  1.38	        193.34亿	上海	29.50	30.27	36692	71462	  0.51	30.16	92	  2.91	
300383	光环新网	4.01	0.00	电信运营	140	17.30	--  	17.92	413575	2757	          3.02	5.05	18.17	17.91	0.330㈢	    43.53	736159744	  1.31	        244.88亿	北京	17.59	17.80	192679	220895	  0.87	17.91	20	  1.64	
300757	罗博特科	3.79	-0.07	专用机械	270	68.00	--  	71.00	50781	584	         25.39	6.55	72.48	70.99	0.799㈢	    66.67	355806720	  1.06	         14.20亿	江苏	68.00	70.07	22983	27798	  0.83	70.99	26	  1.42	
002184	海得控制	3.64	-0.35	软件服务	652	10.76	--  	11.10	147232	1948	         10.84	8.68	11.69	11.10	-0.203㈢	--  	164658560	  1.45	         15.08亿	上海	10.76	11.18	67397	79834	  0.84	11.09	37	  1.28	
300213	佳讯飞鸿	2.95	0.00	通信设备	1576	7.53	--  	7.67	353994	2966	          9.18	5.10	7.91	7.67	0.113㈢	    50.77	272161280	  1.14	         29.59亿	北京	7.58	7.69	163487	190506	  0.86	7.66	510	  0.59	
002230	科大讯飞	2.90	0.03	软件服务	1929	36.37	--  	36.87	952582	5525	          5.23	4.55	38.00	36.87	0.110㈢	   264.09	3547937792	  0.97	        671.87亿	安徽	37.30	37.25	481867	470714	  1.02	36.86	90	  0.54	
300002	神州泰岳	2.90	0.44	软件服务	3292	4.42	--  	4.61	1055158	14549	          7.50	8.48	4.80	4.61	-0.078㈢	--  	485276928	  1.14	         64.84亿	北京	4.47	4.60	566903	488254	  1.16	4.60	1313	  0.54	
300245	天玑科技	2.79	-0.09	软件服务	592	10.06	--  	10.30	88438	402	          3.41	6.59	10.72	10.30	0.160㈢	    48.37	91600296	  1.18	         26.74亿	上海	10.15	10.36	41714	46723	  0.89	10.29	206	  0.43	
300457	赢合科技	2.75	0.03	专用机械	77	28.25	--  	28.81	103197	701	          5.44	3.35	29.19	28.80	0.600㈢	    39.05	297516256	  0.93	         54.65亿	深圳	28.28	28.83	49829	53368	  0.93	28.80	71	  0.38	
601869	长飞光纤	2.68	0.34	通信设备	404	46.96	--  	47.56	127269	942	         16.79	4.62	49.10	47.55	1.760㈢	    21.85	612072640	  1.26	         36.04亿	湖北	46.97	48.09	64290	62978	  1.02	47.55	5	  1.56	
603019	中科曙光	2.66	0.00	电脑设备	556	47.40	--  	47.92	323690	1699	          5.03	4.50	49.50	47.91	0.270㈢	   132.91	1570715008	  1.28	        308.07亿	天津	48.51	48.53	165686	158003	  1.05	47.91	125	  1.54	
603083	剑桥科技	2.65	0.11	通信设备	442	26.10	--  	26.39	71330	976	         12.91	5.45	27.50	26.38	0.440㈢	    45.20	190383504	  1.13	         14.58亿	上海	27.06	26.69	38239	33090	  1.16	26.38	26	  1.52	
000410	沈阳机床	2.64	0.12	机床制造	2932	8.13	--  	8.56	449612	5028	          6.07	12.47	9.17	8.56	-0.229㈢	--  	388662176	  1.21	         63.37亿	辽宁	8.36	8.64	234882	214730	  1.09	8.55	55	  0.27	
002380	科远股份	2.55	0.08	电气设备	218	12.20	--  	12.49	50570	520	          3.53	5.75	12.90	12.48	0.305㈢	    30.71	63767588	  1.49	         17.89亿	江苏	12.32	12.61	22931	27639	  0.83	12.48	1042	  0.18	
300378	鼎捷软件	2.50	0.16	软件服务	87	12.57	--  	12.71	144330	962	          5.50	5.48	13.25	12.71	0.214㈢	    44.64	184941664	  1.20	         33.35亿	上海	12.59	12.81	72085	72245	  1.00	12.70	156	  0.14	
300532	今天国际	2.48	0.29	软件服务	440	13.33	--  	14.05	86234	1470	          7.21	5.99	14.15	14.04	0.078㈢	   135.58	120194184	  1.10	         16.80亿	深圳	13.78	13.94	38721	47512	  0.81	14.04	216	  0.12	
002439	启明星辰	2.40	0.08	软件服务	92	25.66	--  	26.47	179831	1067	          2.88	7.12	27.50	26.47	0.132㈢	   150.47	479287808	  1.27	        165.15亿	北京	26.01	26.65	84631	95200	  0.89	26.46	110	  0.03	
300124	汇川技术	2.38	-0.54	电器仪表	49	26.90	--  	27.14	233573	1143	          1.72	2.94	27.68	27.13	0.477㈢	    42.64	638637056	  1.51	        367.60亿	深圳	27.05	27.34	120240	113332	  1.06	27.13	6	  0.01	
002169	智光电气	2.24	-0.21	电气设备	222	4.47	--  	4.57	304357	1085	          4.05	5.83	4.73	4.56	0.106㈢	    32.22	139572256	  1.31	         34.24亿	广东	4.52	4.59	155072	149285	  1.04	4.56	1425	 -0.12	
300007	汉威科技	2.21	0.00	电器仪表	252	11.50	--  	11.58	187856	1398	          8.28	7.33	12.33	11.58	0.309㈢	    28.10	222564176	  1.35	         26.28亿	河南	11.85	11.85	98756	89099	  1.11	11.57	170	 -0.16	
300161	华中数控	2.08	-0.06	机床制造	443	13.33	--  	13.72	58701	616	          3.50	4.09	13.88	13.72	-0.342㈢	--  	80041328	  1.14	         23.04亿	湖北	13.51	13.64	26147	32553	  0.80	13.71	15	 -0.28	
002925	盈趣科技	1.90	0.14	元器件	82	54.80	--  	55.90	79401	577	          4.77	5.63	57.89	55.88	1.360㈢	    31.73	448961728	  1.05	         93.05亿	福建	55.69	56.54	35877	43523	  0.82	55.88	29	 -0.47	
300607	拓斯达	1.87	0.05	专用机械	1	37.61	--  	38.22	41875	262	          7.30	3.89	39.07	38.22	0.988㈢	    29.02	161064592	  1.22	         21.92亿	广东	37.93	38.46	18872	23003	  0.82	38.21	58	 -0.50	
300166	东方国信	1.79	-0.06	软件服务	1342	14.60	--  	14.80	327988	2106	          4.05	6.19	15.50	14.80	0.173㈢	    64.29	493384096	  1.07	        119.98亿	北京	14.90	15.04	153602	174386	  0.88	14.79	318	 -0.58	
002079	苏州固锝	1.78	0.15	半导体	1062	6.77	--  	6.88	382784	4580	          5.27	3.70	7.02	6.88	0.095㈢	    54.06	264600576	  1.02	         49.98亿	江苏	6.88	6.91	177047	205737	  0.86	6.87	835	 -0.59	
300682	朗新科技	1.70	0.73	软件服务	439	19.03	--  	19.20	61822	988	          3.76	4.72	19.92	19.19	-0.250㈢	--  	120350816	  1.01	         31.51亿	江苏	19.35	19.47	31982	29840	  1.07	19.19	78	 -0.67	
601138	工业富联	1.53	0.07	通信设备	1811	15.13	--  	15.32	938905	8160	          8.40	5.04	15.89	15.31	0.530㈢	    23.18	1458847488	  1.13	        171.15亿	深圳	15.13	15.54	497069	441835	  1.13	15.31	758	  0.40	
600355	精伦电子	1.36	0.22	元器件	1185	4.43	--  	4.48	436308	3157	          8.87	4.30	4.62	4.48	0.008㈢	   398.49	196689920	  0.96	         22.05亿	湖北	4.55	4.51	239276	197032	  1.21	4.47	3415	  0.24	
300297	蓝盾股份	1.22	0.15	软件服务	907	6.55	--  	6.63	570483	2868	          7.34	5.50	6.91	6.63	0.193㈢	    25.74	382612544	  1.16	         51.55亿	广东	6.59	6.71	298200	272283	  1.10	6.62	527	 -1.14	
600588	用友网络	0.77	0.19	软件服务	651	30.80	--  	31.31	448750	3060	          2.36	7.60	33.16	31.30	0.080㈢	   298.49	1432818304	  1.24	        595.24亿	北京	32.00	31.93	213784	234966	  0.91	31.30	542	 -0.35	
