代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300267	尔康制药	10.10	0.00	化学制药	66225	5.06	--  	--  	1950209	193	         14.25	13.71	5.78	5.78	0.144㈢	    30.03	1065870656	  5.83	         79.12亿	湖南	5.24	5.47	891705	1058503	  0.84	5.78	0	  6.32	
002565	顺灏股份	9.99	0.00	造纸	46058	15.66	--  	--  	1768988	2217	         25.83	16.88	18.50	18.50	0.090㈢	   154.27	3036331264	  1.17	        126.69亿	上海	15.93	17.16	896250	872738	  1.03	18.50	0	  6.21	
300487	蓝晓科技	4.65	0.00	化工原料	272	33.27	--  	34.89	46105	453	          4.25	5.11	34.97	34.85	0.710㈣	    50.25	158278320	  0.89	         37.77亿	陕西	33.30	34.33	17220	28884	  0.60	34.85	38	  0.88	
002118	紫鑫药业	3.43	-0.18	中成药	938	9.08	--  	10.25	1172511	15133	         11.44	16.97	10.76	10.24	0.257㈢	    29.87	1150270592	  0.86	        104.98亿	吉林	9.50	9.81	567612	604898	  0.94	10.24	390	 -0.34	
300755	华致酒行	2.17	0.40	其他商业	469	33.65	--  	34.86	70219	1772	         12.13	4.25	35.10	34.85	0.992㈣	    35.14	242967680	  0.43	         20.17亿	云南	33.66	34.60	33652	36567	  0.92	34.85	274	 -1.61	
601718	际华集团	2.11	0.00	服饰	3675	4.67	--  	4.84	408507	4792	          0.93	3.80	4.85	4.84	0.039㈢	    93.59	194917888	  0.37	        212.55亿	北京	4.67	4.77	188594	219912	  0.86	4.83	3177	 -1.09	
600298	安琪酵母	1.69	0.19	食品	538	26.33	--  	27.07	250873	2493	          3.04	3.53	27.27	27.06	1.040㈣	    26.03	674899200	  0.96	        223.00亿	湖北	26.70	26.90	128978	121895	  1.06	27.06	164	 -1.51	
600177	雅戈尔	1.67	-0.10	服饰	930	8.81	--  	9.12	338489	4347	          0.95	3.68	9.14	9.11	0.654㈢	    10.45	305037504	  0.54	        326.27亿	浙江	8.92	9.01	162448	176040	  0.92	9.11	1842	 -1.53	
600572	康恩贝	0.69	0.00	中成药	12351	9.65	--  	10.23	2306157	24737	          8.67	9.56	10.62	10.22	0.287㈢	    26.67	2336888832	  0.83	        271.91亿	浙江	10.15	10.13	1091175	1214981	  0.90	10.22	4568	 -2.51	
000813	德展健康	-0.21	-0.62	化学制药	1075	13.30	--  	14.22	1063232	9564	          9.84	13.26	15.19	14.22	0.326㈢	    32.74	1501434240	  1.54	        153.66亿	新疆	14.29	14.12	527350	535882	  0.98	14.21	873	 -3.99	
600108	亚盛集团	-0.52	0.00	农业综合	4775	3.61	--  	3.86	960750	10961	          4.93	8.76	3.95	3.86	0.032㈢	    89.96	360669728	  0.49	         75.15亿	甘肃	3.78	3.75	486178	474571	  1.02	3.85	6346	 -3.71	
002923	润都股份	-1.23	0.11	化学制药	31	26.21	--  	28.01	80429	889	         20.10	8.29	28.56	28.01	0.690㈢	    31.18	220032720	  1.35	         11.21亿	广东	27.02	27.36	45775	34653	  1.32	28.00	156	 -5.01	
600493	凤竹纺织	-1.40	-0.12	纺织	1843	7.26	--  	7.78	195288	3136	          7.18	6.85	7.80	7.77	0.174㈢	    33.47	148116784	  0.56	         21.13亿	福建	7.59	7.58	106662	88626	  1.20	7.77	482	 -4.60	
002083	孚日股份	-1.42	0.97	纺织	2009	5.93	--  	6.27	422928	11262	          4.89	6.61	6.35	6.26	0.365㈢	    12.88	259093808	  0.78	         54.15亿	山东	6.21	6.13	247212	175715	  1.41	6.26	1064	 -5.19	
002390	信邦制药	-1.66	-0.16	中成药	725	5.50	--  	5.92	532399	4739	          3.19	8.32	6.00	5.91	0.158㈢	    28.00	307130912	  0.86	         98.53亿	贵州	5.50	5.77	270468	261930	  1.03	5.91	46	 -5.44	
600664	哈药股份	-2.04	-0.47	化学制药	2068	5.73	--  	6.25	2961254	17854	         11.81	12.40	6.52	6.24	0.137㈣	    45.49	1777015680	  1.91	        156.43亿	黑龙江	6.06	6.00	1405471	1555783	  0.90	6.24	4225	 -5.24	
600096	云天化	-2.31	-0.43	农药化肥	3287	6.56	--  	6.79	255404	3525	          1.93	4.90	6.90	6.78	0.090㈣	    78.85	172584432	  0.80	         89.59亿	云南	6.67	6.76	136614	118790	  1.15	6.78	212	 -5.50	
600829	人民同泰	-2.70	-0.12	医药商业	914	7.22	--  	7.57	132342	1097	          2.28	5.41	7.64	7.56	0.445㈣	    17.00	98115576	  1.38	         43.84亿	黑龙江	7.39	7.41	76046	56296	  1.35	7.56	399	 -5.90	
600800	天津磁卡	-3.14	-0.36	综合类	2753	7.51	--  	8.03	632454	11472	         10.35	11.59	8.47	8.02	0.119㈣	    67.64	497069408	  0.65	         49.00亿	天津	7.97	7.86	322375	310079	  1.04	8.02	80	 -6.34	
600805	悦达投资	-3.63	-0.46	综合类	1095	6.13	--  	6.38	479923	3886	          5.64	5.90	6.52	6.37	0.175㈢	    27.34	303504064	  1.20	         54.16亿	江苏	6.39	6.32	278060	201862	  1.38	6.37	542	 -6.83	
000850	华茂股份	-3.89	-0.62	纺织	719	4.45	--  	4.71	515652	8951	          5.47	8.59	4.87	4.70	0.142㈢	    24.86	238925552	  0.69	         44.34亿	安徽	4.62	4.63	279418	236234	  1.18	4.70	2839	 -7.66	
600203	福日电子	-4.06	-0.29	元器件	1169	6.35	--  	6.63	413949	9277	         11.18	6.81	6.82	6.62	0.043㈢	   114.60	272301216	  1.00	         24.51亿	福建	6.51	6.58	235657	178292	  1.32	6.62	1781	 -7.26	
000837	秦川机床	-4.34	-0.18	机床制造	2948	5.02	--  	5.29	548479	7604	          9.41	5.79	5.34	5.29	-0.031㈢	--  	284194048	  0.78	         30.82亿	陕西	5.25	5.18	303913	244565	  1.24	5.28	3011	 -8.11	
002172	澳洋健康	-4.45	0.61	化纤	1550	4.70	--  	4.94	235235	4193	          3.39	5.80	5.00	4.94	0.032㈢	   115.32	114178696	  0.82	         34.31亿	江苏	4.92	4.85	121903	113331	  1.08	4.93	176	 -8.22	
