代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
600860	京城股份	6.01	1.87	专用机械	40	5.51	6.00	1.87	69168	2197	          2.15	9.19	6.03	6.00	-0.105㈢	--  	40078332	  1.76	         19.32亿	北京	5.69	5.79	33191	35976	  0.92	5.99	1521	  7.20	          3.22	0.34	         19.32亿	   1591	--  	     43	        0.0014	20190213	19940506	          4.22	--  	          1.00	18.52	5.45	          4.20	47.90	9.35	6.76	1.37	7.27	6.87	4.78	2.09	7.63	6.81	-0.64	0.05	-0.54	-0.60	-0.44	-6.12	0.60	0.10	15308.00	          9098	5.46万	35.98	-10.03	          4.65	42.43	3.32	5.66	          1.29	0.00	          1.63	         -1.45	         29.40	  -8.11㈢	         10.81	         -8.44	         -5.78	600860	--  	--  	--  	
603311	金海环境	-1.67	1.73	专用机械	8577	11.49	11.77	1.73	24057	1293	          1.15	4.52	12.03	11.76	0.296㈢	    29.78	28155752	  0.65	         24.70亿	浙江	11.76	11.70	14423	9634	  1.50	11.76	20	 -0.47	          2.10	-0.20	         24.70亿	    921	--  	     26	        0.0012	20190213	20150518	          2.10	--  	--  	9.76	7.52	          0.00	23.01	6.04	1.66	0.68	2.17	2.08	1.15	1.28	4.32	2.92	0.71	0.04	0.71	0.62	0.62	2.93	0.59	-0.90	21347.00	          4357	5.12万	-21.30	6.83	          3.29	42.06	5.72	11.96	          3.58	0.00	          0.99	          1.40	         76.99	   8.27㈢	         32.38	         16.41	         14.39	603311	--  	--  	--  	
300281	金明精机	-5.74	1.27	专用机械	15	6.12	6.40	1.27	154348	3918	          5.89	10.01	6.80	6.40	0.079㈢	    60.56	98975496	  0.63	         16.78亿	广东	6.70	6.41	89397	64950	  1.38	6.39	58	 -3.93	          2.62	-0.39	         26.81亿	   2161	--  	     71	        0.0027	20190213	20111229	          4.19	--  	--  	15.18	12.24	          0.00	19.37	9.11	2.76	1.25	2.23	4.95	3.00	1.08	3.06	2.27	0.38	0.08	0.38	0.33	0.33	2.77	0.52	-0.39	9553.00	         23181	14.84万	1.12	6.86	          2.19	51.38	8.77	6.79	          2.92	0.00	          1.18	          0.66	         80.63	   2.71㈢	         25.73	         12.41	         10.86	300281	--  	--  	--  	
603159	上海亚虹	-1.65	1.07	专用机械	7	20.21	20.80	1.07	13294	559	          5.32	4.16	21.09	20.80	0.298㈢	    52.36	27297456	  0.58	          5.20亿	上海	20.91	20.53	7678	5616	  1.37	20.71	160	 -0.46	          0.25	-0.35	         20.80亿	    953	--  	     14	        0.0056	20190213	20160812	          1.00	--  	--  	5.85	4.10	          0.00	29.90	3.29	1.71	0.28	1.68	1.22	1.43	1.17	4.74	3.77	0.37	0.01	0.37	0.30	0.30	1.71	0.38	0.15	12212.00	          2047	4.26万	-6.87	10.04	          5.07	54.10	4.39	21.15	          4.10	0.00	          1.22	          1.71	         70.10	   7.26㈢	         20.39	          7.80	          6.29	603159	--  	--  	--  	
300173	智慧松德	-2.22	0.98	轻工机械	1009	5.71	6.19	0.98	323460	12043	          8.35	12.18	6.48	6.18	0.046㈢	   101.32	197927216	  0.73	         23.94亿	广东	6.25	6.12	166720	156739	  1.06	6.18	812	 -0.40	          3.87	-0.14	         36.23亿	   2621	--  	    123	        0.0032	20190312	20110201	          5.86	--  	--  	28.90	16.96	         -0.00	41.32	16.05	0.11	1.18	9.09	8.18	4.16	0.00	2.74	1.92	0.34	0.11	0.34	0.27	0.27	2.74	0.15	-1.80	25783.00	         10300	6.37万	-49.45	-2.57	          4.28	243.28	13.22	6.32	          1.44	1.44	          1.39	          0.47	         58.68	   1.58㈢	         30.07	         12.29	          9.79	300173	20180920	5.21	18.62	
300461	田中精机	-0.49	0.91	专用机械	102	23.30	24.41	0.91	13727	373	          1.48	4.89	24.50	24.40	0.850㈢	    22.33	32685010	  0.60	         22.70亿	浙江	24.15	23.81	8347	5380	  1.55	24.40	29	  1.33	          0.93	-0.12	         30.40亿	    867	--  	     16	        0.0017	20190311	20150519	          1.25	--  	--  	17.45	4.71	          1.20	66.15	11.49	1.10	0.41	9.73	2.65	2.40	7.21	7.63	4.48	1.40	0.00	1.45	1.23	1.02	1.48	0.82	0.41	6037.00	          8520	20.79万	340.99	107.79	         12.84	37.23	3.98	24.52	          1.90	1.90	          2.13	          1.19	         27.00	  21.68㈢	         41.30	         18.32	         13.38	300461	20170928	67.65	-34.98	
603757	大元泵业	-2.68	0.87	专用机械	5	22.60	23.26	0.87	22488	204	          6.43	6.28	24.10	23.25	1.200㈢	    14.53	52246004	  0.84	          8.14亿	浙江	23.90	23.23	14162	8325	  1.70	23.25	5	 -1.48	          0.35	-0.64	         27.28亿	   1140	--  	     20	        0.0056	20181027	20170711	          1.17	--  	--  	12.51	9.81	          0.00	21.59	9.27	2.48	0.23	2.54	4.59	1.87	2.13	8.52	5.82	1.62	0.06	1.62	1.41	1.41	3.88	0.67	-1.75	7112.00	          4921	11.44万	13.18	10.32	          2.78	40.78	3.20	23.89	          8.36	0.00	          3.91	          3.31	         78.41	  14.36㈢	         31.66	         18.99	         16.54	603757	--  	--  	--  	
002430	杭氧股份	-2.58	0.86	化工机械	20	11.50	11.70	0.86	137581	2182	          1.45	5.00	12.10	11.70	0.559㈢	    15.69	161001056	  0.80	        111.13亿	浙江	11.97	11.70	81635	55945	  1.46	11.67	386	 -0.77	          9.50	-0.31	        112.86亿	   2615	--  	     53	        0.0006	20190312	20100610	          9.65	--  	--  	113.91	50.95	          3.90	51.85	63.39	40.44	3.13	38.02	16.17	11.76	17.99	59.68	45.88	7.21	0.04	7.22	5.74	5.40	21.68	7.61	0.62	23445.00	         14241	16.66万	160.35	28.33	          2.12	14.83	1.89	12.01	          5.51	5.51	          1.68	          2.25	         44.73	  10.59㈢	         23.13	         12.08	          9.04	002430	20180123	15.84	-25.66	
000404	长虹华意	-5.16	0.84	专用机械	217	4.70	4.78	0.84	147510	705	          2.13	7.54	5.08	4.78	0.090㈢	    39.81	71300656	  0.86	         33.12亿	江西	5.07	4.83	86206	61303	  1.41	4.76	141	 -3.34	          6.93	-0.26	         33.27亿	   1770	--  	     83	        0.0012	20190213	19960619	          6.96	--  	--  	99.34	31.36	         10.34	58.02	76.28	15.11	2.91	56.02	15.37	12.49	16.83	67.58	59.77	1.72	0.12	1.72	1.44	0.63	8.55	-0.20	-10.01	38909.00	         12631	6.04万	-47.75	8.31	          1.06	-168.01	0.49	5.04	          4.51	0.00	          2.21	          1.23	         31.57	   2.00㈢	         11.55	          2.54	          0.93	000404	--  	--  	--  	
002490	山东墨龙	-1.75	0.80	化工机械	192	4.84	5.05	0.80	138340	1937	          4.79	6.43	5.17	5.04	0.100㈢	    37.91	68929616	  0.91	         14.55亿	山东	5.08	4.98	79656	58683	  1.36	5.04	337	  0.06	          2.89	-0.09	         27.30亿	   2251	--  	     61	        0.0021	20190311	20101021	          7.98	--  	          2.56	63.44	19.50	          0.52	68.43	28.55	29.28	4.35	40.62	8.63	8.01	5.29	32.98	28.02	0.74	0.00	0.72	0.70	0.80	1.15	1.53	-1.27	39443.00	          7321	3.69万	682.47	60.11	          2.07	26.27	1.22	5.13	          2.44	2.44	          1.08	          0.14	         30.74	   4.08㈢	         15.05	          2.23	          2.41	002490	20180926	5.21	-3.26	
