代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
601100	恒立液压	4.79	0.82	工程机械	1	30.68	32.15	0.82	104762	526	          1.19	7.99	33.13	32.15	0.816㈢	    29.56	334624640	  1.85	        283.56亿	江苏	30.80	31.94	48617	56144	  0.87	32.13	65	  5.99	          8.82	1.47	        283.56亿	   3899	--  	     27	        0.0003	20190213	20111028	          8.82	--  	--  	69.87	44.33	          0.29	36.13	42.32	20.14	2.84	19.39	18.34	10.02	7.38	31.60	20.26	8.16	0.13	8.45	7.21	7.19	15.36	3.71	2.01	11115.00	         23225	74.67万	160.38	55.92	          6.40	76.35	8.97	30.68	          5.03	0.00	          2.08	          1.74	         63.45	  16.23㈢	         35.87	         25.83	         22.77	601100	20171031	21.46	110.76	
002667	鞍重股份	0.25	0.74	工程机械	161	7.88	8.13	0.74	66207	1274	          4.04	5.80	8.35	8.12	0.081㈢	    74.93	53874824	  0.84	         13.31亿	辽宁	8.24	8.14	30785	35421	  0.87	8.12	289	  2.06	          1.64	0.02	         18.77亿	   2119	--  	     31	        0.0019	20190213	20120329	          2.31	--  	--  	9.28	7.74	          0.03	16.24	6.74	1.32	0.35	1.31	2.34	1.42	1.38	1.37	0.82	0.23	0.07	0.23	0.18	0.19	2.73	0.03	0.02	13444.00	          9027	7.33万	-23.31	9.28	          2.42	589.91	13.66	8.10	          3.35	0.00	          1.01	          1.18	         83.43	   2.43㈢	         40.23	         16.72	         13.67	002667	20180925	8.36	-2.87	
002526	山东矿机	-5.63	0.71	工程机械	11291	2.78	2.85	0.71	877055	6576	          5.40	7.28	3.00	2.85	0.063㈢	    33.88	251565360	  0.61	         46.31亿	山东	3.00	2.87	484041	393013	  1.23	2.84	5969	 -3.81	         16.25	-0.17	         50.81亿	   4009	--  	    219	        0.0013	20190225	20101217	         17.83	--  	--  	32.27	24.02	          0.63	23.59	20.20	4.25	1.78	7.55	3.88	4.56	7.44	14.00	10.41	1.68	0.05	1.68	1.28	1.12	1.84	1.85	0.30	74000.00	         16950	4.83万	205.86	55.19	          2.08	27.47	3.63	3.02	          1.37	1.37	          0.22	          0.10	         74.45	   4.68㈢	         25.67	         11.99	          8.03	002526	--  	--  	--  	
002158	汉钟精机	-5.18	0.52	工程机械	1062	9.61	9.71	0.52	175379	1307	          3.31	6.74	10.30	9.71	0.300㈢	    24.44	173791248	  0.72	         51.38亿	上海	10.04	9.91	105454	69924	  1.51	9.70	427	 -3.36	          5.29	-0.53	         51.97亿	   2897	--  	     61	        0.0011	20181026	20070817	          5.35	--  	--  	32.56	18.09	          0.15	43.99	22.95	7.27	0.73	10.62	4.08	4.08	3.84	12.66	8.42	1.96	0.23	1.95	1.60	1.59	7.21	-0.34	0.26	43183.00	          4658	4.52万	-9.79	5.90	          2.85	-152.62	4.11	10.24	          3.41	3.41	          0.76	          1.35	         55.55	   8.82㈢	         33.46	         15.51	         12.60	002158	--  	--  	--  	
300185	通裕重工	-4.44	0.47	工程机械	5695	2.11	2.16	0.47	819215	4137	          2.99	6.22	2.25	2.15	0.048㈢	    33.71	177294960	  0.52	         58.94亿	山东	2.23	2.16	433223	385992	  1.12	2.15	13583	 -2.63	         27.41	-0.10	         70.26亿	   3270	--  	    251	        0.0009	20190213	20110308	         32.68	--  	--  	100.62	50.93	          2.24	47.16	47.78	41.02	5.07	40.33	11.45	20.11	13.38	25.82	19.99	2.17	0.00	2.22	1.73	1.56	5.72	2.20	-1.54	130477.00	         19190	4.13万	11.06	15.57	          1.38	31.95	2.72	2.25	          1.56	0.00	          0.35	          0.18	         50.62	   3.07㈢	         22.56	          8.42	          6.05	300185	--  	--  	--  	
000811	冰轮环境	-0.98	0.43	工程机械	100	6.65	7.04	0.43	248979	3764	          3.81	8.02	7.22	7.04	0.300㈢	    17.62	171274176	  0.82	         45.97亿	山东	7.02	6.88	139654	109325	  1.28	7.03	60	  0.83	          6.53	-0.07	         45.98亿	   2476	--  	    101	        0.0015	20181027	19980528	          6.53	--  	--  	58.43	28.67	          1.27	48.76	31.56	6.75	2.34	26.61	0.40	6.79	12.13	24.43	17.39	2.37	0.51	2.39	2.02	1.96	17.22	0.43	-0.91	33423.00	         10194	7.18万	-10.63	4.98	          1.60	107.68	1.88	7.11	          4.39	0.00	          0.06	          2.64	         49.07	   6.83㈢	         28.83	          9.68	          8.01	000811	--  	--  	--  	
600815	厦工股份	-3.98	0.30	工程机械	374	3.32	3.39	0.30	166922	480	          1.74	6.82	3.56	3.38	-0.111㈢	--  	56834564	  0.94	         32.41亿	福建	3.53	3.40	101746	65175	  1.56	3.38	1614	 -2.78	          9.59	-0.14	         32.41亿	   1636	--  	    102	        0.0011	20190213	19940128	          9.59	--  	--  	57.28	4.40	          1.74	89.29	40.09	6.36	2.51	46.14	20.57	11.85	0.00	22.67	19.79	-0.64	0.01	-0.42	-0.61	-1.06	-28.48	5.57	-0.98	44574.00	         11127	3.76万	-197.42	-31.94	          7.37	5.82	1.43	3.52	          0.46	0.00	          2.14	         -2.97	          7.67	 -24.15㈢	         12.72	         -2.82	         -4.68	600815	--  	--  	--  	
600761	安徽合力	-2.09	0.29	工程机械	143	10.25	10.31	0.29	68107	655	          0.92	3.23	10.59	10.31	0.601㈢	    12.87	70666496	  0.58	         76.31亿	安徽	10.54	10.38	38309	29798	  1.29	10.30	175	 -0.89	          7.40	-0.22	         76.31亿	   1599	--  	     43	        0.0006	20190213	19961009	          7.40	--  	--  	74.03	46.08	          2.69	34.13	52.17	14.68	1.99	22.30	5.53	11.20	8.65	73.79	59.60	6.18	0.56	6.19	5.23	4.45	27.43	4.57	-3.58	32730.00	         14029	14.46万	29.04	17.51	          1.66	16.70	1.03	10.53	          6.22	0.00	          0.75	          3.71	         62.24	   9.65㈢	         19.22	          8.37	          6.03	600761	--  	--  	--  	
600320	振华重工	-1.75	0.26	工程机械	1041	3.90	3.93	0.26	149524	1546	          0.45	3.50	4.04	3.93	0.037㈢	    79.66	59099264	  0.49	        130.55亿	上海	3.98	3.95	94062	55461	  1.70	3.92	1071	 -0.55	         33.22	-0.07	        207.05亿	   2019	--  	     74	        0.0002	20190213	20001221	         52.68	         19.46	--  	693.25	149.66	         19.57	75.59	348.35	177.54	36.12	325.65	46.49	83.99	54.26	147.89	120.93	2.43	0.92	2.52	1.63	1.95	31.75	1.24	-20.80	248750.00	         15074	5.92万	14.01	-2.74	          1.38	167.01	1.40	4.00	          2.84	0.00	          0.88	          0.60	         21.59	   1.30㈢	         18.23	          1.64	          1.32	600320	--  	--  	--  	
000425	徐工机械	0.49	0.25	工程机械	5867	3.97	4.07	0.25	849066	9805	          1.21	4.44	4.15	4.07	0.192㈢	    15.86	343771488	  0.64	        284.64亿	江苏	4.03	4.05	372137	476929	  0.78	4.06	2958	  2.31	         69.94	0.02	        318.83亿	   3985	--  	    213	        0.0003	20181031	19960828	         78.34	--  	--  	586.28	276.53	          1.88	52.51	433.72	69.23	20.59	267.16	50.12	100.80	180.21	340.76	279.69	16.72	3.40	16.73	15.12	15.08	112.23	19.21	11.67	250984.00	         15982	6.50万	93.85	58.17	          1.28	16.60	0.94	4.05	          3.19	3.19	          0.64	          1.43	         47.17	   5.45㈢	         17.92	          4.91	          4.43	000425	--  	--  	--  	
