代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
002712	思美传媒	-7.63	0.94	广告包装	2117	8.38	8.61	0.94	331857	3532	         11.01	11.49	9.45	8.60	0.350㈢	    18.75	292861216	  0.80	         25.93亿	浙江	9.16	8.82	192245	139611	  1.38	8.60	30	 -5.81	          3.02	-0.71	         49.98亿	   3380	--  	     98	        0.0033	20190308	20140123	          5.81	--  	--  	51.70	34.75	          0.23	32.34	29.06	0.07	0.28	16.68	18.89	1.66	12.87	41.95	37.34	2.25	0.04	2.25	2.05	2.00	9.44	0.98	-2.33	17803.00	         13797	11.87万	5.31	39.09	          1.42	50.75	1.19	9.31	          6.04	6.04	          3.25	          1.62	         67.22	   5.75㈢	         10.99	          5.36	          4.76	002712	--  	--  	--  	
600880	博瑞传播	-1.58	0.69	广告包装	2229	4.30	4.37	0.69	191840	3760	          1.76	4.28	4.49	4.37	0.021㈢	   153.15	84079416	  0.62	         47.77亿	四川	4.40	4.38	90060	101779	  0.88	4.36	311	 -0.38	         10.93	-0.07	         47.78亿	   2223	--  	     86	        0.0008	20190213	19951115	         10.93	--  	--  	40.63	36.54	          0.66	8.45	10.24	2.91	0.41	2.55	8.17	0.06	0.95	4.24	2.97	0.25	0.23	0.37	0.24	0.23	13.82	-0.06	-0.38	67236.00	         10805	4.72万	154.79	-30.76	          1.31	-743.17	11.26	4.44	          3.34	0.00	          0.75	          1.26	         89.93	   0.64㈢	         30.09	          6.01	          5.52	600880	--  	--  	--  	
603022	新通联	-4.58	0.59	广告包装	1126	9.88	10.21	0.59	46160	624	          2.31	8.89	10.83	10.20	0.159㈢	    48.05	47062640	  0.53	         20.40亿	上海	10.83	10.20	26944	19216	  1.40	10.20	50	 -3.39	          2.00	-0.49	         20.40亿	   1508	--  	     31	        0.0015	20190213	20150518	          2.00	--  	--  	8.09	6.20	          0.00	23.35	5.15	2.05	0.77	1.82	1.35	1.19	1.73	4.90	3.88	0.41	0.02	0.42	0.32	0.32	2.65	0.39	0.45	19500.00	          4226	4.31万	52.88	14.35	          3.29	52.11	4.16	10.69	          3.10	0.00	          0.67	          1.32	         76.65	   5.14㈢	         20.91	          8.26	          6.49	603022	--  	--  	--  	
300612	宣亚国际	-4.13	0.47	广告包装	954	22.90	23.69	0.47	32219	307	          7.11	8.10	24.90	23.68	0.046㈢	   382.71	76054840	  0.46	         10.74亿	北京	24.70	23.61	16747	15471	  1.08	23.68	27	 -2.31	          0.45	-1.02	         38.36亿	   2147	--  	     15	        0.0033	20190213	20170215	          1.62	--  	--  	5.71	4.36	          0.11	21.75	4.74	0.08	0.02	1.24	2.00	0.19	1.39	2.70	1.65	0.10	-0.01	0.15	0.09	0.08	0.47	0.97	0.36	16006.00	          2833	6.71万	-78.75	-10.97	          8.80	39.49	14.22	24.70	          2.69	0.00	          1.24	          0.29	         76.30	   1.72㈢	         38.79	          3.86	          2.79	300612	20171222	39.17	-8.04	
600210	紫江企业	-5.93	0.44	广告包装	3570	4.49	4.60	0.44	1093779	7796	          7.21	9.82	4.97	4.60	0.258㈢	    13.38	512958688	  0.96	         69.77亿	上海	4.80	4.69	618948	474831	  1.30	4.59	2169	 -4.73	         15.17	-0.29	         69.77亿	   3863	--  	    283	        0.0019	20190213	19990824	         15.17	--  	--  	108.81	44.28	          2.36	57.14	56.27	29.92	2.24	58.28	3.62	17.72	17.77	71.77	58.07	5.36	1.66	5.34	4.12	3.91	20.25	7.16	4.65	121575.00	          9225	4.24万	-41.57	7.33	          1.58	9.74	0.97	4.89	          2.92	0.00	          0.24	          1.34	         40.69	   8.83㈢	         19.08	          7.48	          5.45	600210	--  	--  	--  	
002831	裕同科技	3.74	0.29	广告包装	42	56.80	58.77	0.29	122240	463	         10.23	7.89	61.27	58.77	1.356㈢	    32.50	715919936	  5.54	         70.21亿	深圳	59.00	58.57	57523	64717	  0.89	58.76	192	  5.56	          1.19	2.12	        235.09亿	   4185	--  	     29	        0.0024	20190307	20161216	          4.00	--  	--  	104.73	53.12	          2.57	46.83	61.61	27.41	3.14	38.17	13.71	9.78	29.51	54.55	39.70	6.34	0.40	6.51	5.68	5.43	33.23	7.68	2.21	10364.00	         11528	67.75万	-11.22	20.57	          4.16	30.60	4.31	56.65	         14.12	14.12	          3.43	          8.31	         50.72	  10.21㈢	         27.21	         11.62	          9.95	002831	--  	--  	--  	
300501	海顺新材	-5.64	0.24	广告包装	6	20.50	20.90	0.24	18173	81	          3.35	4.92	21.59	20.90	0.510㈢	    31.58	38200204	  0.93	         11.33亿	上海	21.51	21.02	11128	7044	  1.58	20.86	35	 -3.83	          0.54	-1.25	         21.81亿	   1104	--  	     16	        0.0030	20190227	20160204	          1.04	--  	--  	8.84	6.30	          0.71	20.65	4.56	2.73	0.74	1.75	2.72	1.02	1.53	3.56	2.39	0.59	0.06	0.60	0.51	0.52	2.37	0.36	-0.71	8622.00	          4543	9.49万	9.57	32.61	          3.27	61.35	6.12	22.15	          6.39	6.39	          2.61	          2.27	         71.28	   8.22㈢	         32.97	         16.57	         14.54	300501	--  	--  	--  	
000812	陕西金叶	-3.12	0.22	广告包装	527	4.61	4.67	0.22	262791	3200	          3.93	6.65	4.93	4.66	0.033㈢	   107.44	124180368	  0.60	         31.19亿	陕西	4.73	4.73	139908	122882	  1.14	4.66	862	 -1.30	          6.69	-0.15	         35.82亿	   2416	--  	    109	        0.0016	20190312	19980623	          7.69	--  	--  	23.95	13.63	          0.43	41.29	8.93	7.26	0.92	7.89	1.93	2.92	2.07	6.69	4.47	0.41	0.04	0.41	0.26	0.25	2.85	0.71	-1.22	52212.00	         10683	4.98万	244.86	30.18	          2.63	50.29	5.36	4.81	          1.77	0.00	          0.25	          0.37	         56.91	   1.83㈢	         33.12	          6.11	          3.74	000812	--  	--  	--  	
000607	华媒控股	-9.65	0.18	广告包装	895	5.41	5.43	0.18	394980	2250	          4.46	4.66	5.69	5.43	0.060㈢	    67.85	216722864	  1.04	         48.05亿	浙江	5.56	5.49	233249	161730	  1.44	5.42	414	 -7.84	          8.85	-0.58	         55.26亿	   2680	--  	    147	        0.0017	20190308	19960830	         10.18	--  	--  	31.38	18.46	          2.40	33.53	14.44	2.15	0.81	10.18	-2.35	0.50	4.53	11.75	8.59	1.02	0.20	1.02	0.97	0.61	9.89	-0.95	-1.93	40359.00	         12823	6.96万	-32.61	-2.93	          2.99	-57.99	4.70	6.01	          1.81	0.00	         -0.23	          0.97	         58.84	   3.31㈢	         26.85	          8.66	          5.20	000607	--  	--  	--  	
002803	吉宏股份	-3.66	0.16	广告包装	109	18.02	18.40	0.16	42685	499	          5.47	5.29	19.03	18.40	0.666㈢	    20.72	78898168	  0.58	         14.36亿	福建	18.95	18.48	25774	16911	  1.52	18.39	104	 -1.85	          0.78	-0.70	         36.28亿	   1982	--  	     22	        0.0028	20181217	20160712	          1.97	--  	--  	13.58	5.36	          0.30	58.34	7.83	3.08	0.72	7.78	1.45	1.78	3.35	16.18	9.73	1.60	0.10	1.62	1.43	1.31	3.38	1.16	0.49	9417.00	          7030	12.93万	242.17	131.93	          6.77	31.24	2.24	19.10	          2.72	0.00	          0.74	          1.71	         39.45	  24.51㈢	         39.86	          9.90	          8.12	002803	--  	--  	--  	
300057	万顺股份	-4.07	0.13	广告包装	830	7.61	7.77	0.13	246132	2375	          6.77	6.05	8.10	7.77	0.160㈢	    41.71	193557600	  0.83	         28.25亿	广东	8.00	7.86	148509	97622	  1.52	7.76	363	 -2.26	          3.64	-0.33	         39.75亿	   2521	--  	     98	        0.0027	20190311	20100226	          5.12	--  	--  	65.01	26.69	          4.50	52.02	37.21	19.60	2.29	24.47	14.65	6.71	0.00	30.62	26.72	1.18	-0.02	1.17	0.98	0.71	7.05	1.30	6.89	23116.00	         13701	10.65万	2.71	37.12	          1.27	30.49	1.30	8.10	          6.11	6.11	          2.86	          1.38	         41.05	   2.68㈢	         12.72	          3.87	          2.33	300057	--  	--  	--  	
002812	恩捷股份	1.37	0.13	广告包装	12	62.18	63.68	0.13	21665	134	          1.71	4.30	64.88	63.68	0.780㈢	    70.14	138523776	  0.80	         80.91亿	云南	63.20	63.94	11460	10204	  1.12	63.60	56	  3.18	          1.27	0.86	        301.76亿	   1911	--  	     11	        0.0009	20190216	20160914	          4.74	--  	--  	60.35	36.03	          2.22	36.62	25.18	21.47	2.35	11.98	21.65	4.83	5.21	16.22	9.39	5.19	0.09	5.20	4.61	3.23	9.16	-2.87	-2.10	8036.00	         15812	100.69万	9.74	2.76	          7.66	-105.31	18.61	62.82	          8.31	8.31	          4.57	          1.93	         59.69	   8.96㈢	         42.09	         32.02	         19.89	002812	--  	--  	--  	
002787	华源控股	-3.91	0.13	广告包装	311	7.75	7.88	0.13	55171	889	          3.55	5.37	8.19	7.87	0.190㈢	    33.54	43776788	  0.70	         12.22亿	江苏	8.16	7.93	31156	24015	  1.30	7.87	294	 -2.09	          1.55	-0.32	         24.66亿	   1248	--  	     44	        0.0028	20190123	20151231	          3.13	--  	--  	19.56	13.36	          0.05	31.44	10.87	3.73	1.03	5.90	6.73	3.47	4.10	9.95	8.04	0.70	0.02	0.70	0.55	0.55	3.40	-0.77	-0.69	18720.00	          6528	5.14万	-28.13	13.25	          1.81	-32.11	2.48	8.19	          4.36	4.36	          2.15	          1.09	         68.31	   4.13㈢	         19.19	          7.05	          5.54	002787	20180123	12.02	-32.86	
