代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
000789	万年青	10.00	1.43	水泥	36501	12.97	--  	1.43	633040	20705	         10.32	9.46	14.19	14.19	1.422㈢	     7.49	868469120	  3.36	         87.03亿	江西	12.99	13.72	260541	372498	  0.70	14.19	0	 11.82	          6.13	1.29	         87.04亿	   4146	--  	    153	        0.0025	20190213	19970923	          6.13	--  	--  	91.72	37.65	         19.09	38.14	36.66	38.33	7.27	28.34	2.41	5.00	6.93	70.18	46.82	18.48	0.28	17.88	14.17	8.72	27.03	14.12	5.31	46355.00	          7597	10.78万	272.58	52.06	          2.31	6.16	1.24	12.90	          6.14	0.00	          0.39	          4.41	         41.04	  23.16㈢	         33.29	         26.34	         12.43	000789	20180207	11.80	23.22	
600449	宁夏建材	5.02	0.97	水泥	1127	8.96	9.41	0.97	420700	4638	          8.80	8.37	9.71	9.41	0.728㈢	     9.70	394093376	  3.12	         45.00亿	宁夏	8.99	9.37	188063	232637	  0.81	9.40	578	  6.22	          4.78	0.45	         45.00亿	   3397	--  	    124	        0.0026	20190213	20030829	          4.78	--  	--  	74.93	47.78	          3.21	31.94	26.93	41.80	3.65	17.80	20.30	3.40	8.55	31.09	20.07	4.50	0.03	4.66	3.87	3.48	20.57	2.70	-0.39	34005.00	          7374	6.94万	21.17	-9.58	          0.94	16.64	1.45	8.96	          9.99	0.00	          4.25	          4.30	         63.77	   7.28㈢	         35.43	         14.47	         11.19	600449	--  	--  	--  	
300160	秀强股份	-3.21	0.89	玻璃	84	4.42	4.52	0.89	151932	4690	          2.56	6.42	4.72	4.52	0.143㈢	    23.65	68647920	  0.44	         26.80亿	江苏	4.62	4.52	82826	69105	  1.20	4.50	417	 -1.40	          5.93	-0.15	         26.80亿	   1638	--  	     93	        0.0016	20190213	20110113	          5.93	--  	--  	21.67	12.66	          0.22	40.58	9.55	4.77	0.33	7.65	2.29	0.83	3.55	10.57	7.52	1.08	0.05	1.06	0.89	0.85	3.69	1.30	-0.63	26680.00	         12054	5.45万	-37.00	0.32	          2.13	20.56	2.53	4.67	          2.12	2.12	          0.39	          0.62	         58.41	   6.71㈢	         28.93	         10.18	          8.04	300160	20170330	12.67	-62.27	
600425	青松建化	1.45	0.82	水泥	4206	4.66	4.89	0.82	1116428	18192	          8.10	9.96	5.14	4.89	0.328㈢	    11.18	552295680	  0.72	         67.42亿	新疆	4.75	4.95	523231	593197	  0.88	4.88	934	  2.65	         13.79	0.07	         67.42亿	   4157	--  	    269	        0.0019	20190213	20030724	         13.79	--  	--  	96.99	45.00	         -1.43	55.08	26.04	49.70	3.50	32.43	31.99	4.94	4.40	19.52	13.55	-0.83	0.19	4.04	2.78	4.52	-2.14	2.43	0.55	89000.00	         11432	5.59万	18509.93	24.26	          1.50	27.79	3.45	4.82	          3.26	0.00	          2.32	         -0.16	         46.40	  10.05㈢	         30.60	         -4.27	         23.16	600425	--  	--  	--  	
002571	德力股份	-7.22	0.71	玻璃	1085	5.49	5.66	0.71	230185	2167	          9.09	7.39	5.94	5.65	-0.107㈢	--  	131461272	  1.02	         14.31亿	安徽	5.91	5.71	137853	92332	  1.49	5.65	164	 -5.41	          2.53	-0.44	         22.15亿	   2831	--  	     81	        0.0032	20190308	20110412	          3.92	--  	--  	18.83	14.89	          0.02	20.84	7.17	5.49	0.55	3.88	9.05	2.82	2.06	5.69	4.64	-0.37	0.03	-0.40	-0.42	-0.42	1.26	-0.33	-0.86	18905.00	         10167	5.74万	-249.48	-2.19	          1.57	-66.99	3.89	6.09	          3.61	3.61	          2.31	          0.32	         79.08	  -2.82㈢	         18.49	         -6.46	         -7.37	002571	20180531	7.49	-24.57	
300093	金刚玻璃	-9.50	0.59	玻璃	843	6.82	6.87	0.59	216998	3675	         10.06	10.29	7.60	6.86	0.066㈢	    77.67	152266528	  1.31	         14.79亿	广东	7.50	7.02	95543	121454	  0.79	6.86	134	 -7.68	          2.16	-0.72	         14.82亿	   2299	--  	     94	        0.0044	20190213	20100708	          2.16	--  	--  	16.20	9.04	         -0.00	44.20	10.43	4.91	0.31	5.10	3.87	2.97	2.23	4.24	2.66	0.17	0.00	0.17	0.14	0.14	2.53	0.50	-0.94	18341.00	          9265	6.36万	3.56	26.29	          1.64	29.63	3.49	7.58	          4.18	0.00	          1.79	          1.17	         55.80	   1.58㈢	         37.33	          3.96	          3.37	300093	20180507	10.02	-31.44	
600802	福建水泥	1.76	0.58	水泥	238	8.52	8.68	0.58	361368	4280	          9.46	4.93	8.94	8.67	0.843㈢	     7.72	315937280	  2.01	         33.11亿	福建	8.54	8.74	179502	181866	  0.99	8.67	409	  2.96	          3.82	0.15	         33.11亿	   3244	--  	    111	        0.0029	20190213	19940103	          3.82	--  	--  	39.30	8.96	          5.14	64.11	7.98	20.48	3.59	23.73	2.14	1.90	0.01	19.96	13.26	4.74	0.23	4.73	3.85	3.22	-0.90	5.91	0.60	40858.00	          6165	5.34万	501.20	70.41	          3.69	5.60	1.66	8.52	          2.35	0.00	          0.56	         -0.24	         22.80	  35.92㈢	         33.56	         23.76	         16.13	600802	20180410	8.07	7.43	
603969	银龙股份	-0.19	0.57	其他建材	408	5.10	5.28	0.57	161379	2586	          1.92	5.49	5.39	5.27	0.110㈢	    36.04	84491144	  0.74	         44.32亿	天津	5.32	5.24	88169	73210	  1.20	5.27	526	  1.01	          8.41	-0.01	         44.32亿	   2518	--  	     64	        0.0008	20190213	20150227	          8.41	--  	--  	25.28	16.66	          0.08	33.78	19.09	2.64	0.94	8.29	2.31	3.98	9.36	16.30	13.62	1.10	0.02	1.10	0.91	0.92	5.04	1.73	1.20	43845.00	          7440	3.92万	0.52	9.52	          2.66	25.57	2.72	5.28	          1.98	0.00	          0.27	          0.60	         65.91	   5.54㈢	         16.43	          6.74	          5.66	603969	20180228	13.38	-16.07	
600552	凯盛科技	2.74	0.50	玻璃	2764	5.71	5.99	0.50	366466	5900	          4.80	5.83	6.05	5.99	0.095㈢	    47.16	216596688	  0.49	         45.76亿	安徽	5.80	5.91	176844	189621	  0.93	5.98	669	  3.94	          7.64	0.16	         45.76亿	   3558	--  	    103	        0.0013	20190213	20021108	          7.64	--  	--  	57.69	24.51	          1.71	54.55	37.04	12.84	3.38	21.76	9.76	15.05	10.41	21.43	17.97	0.16	0.00	0.95	0.80	0.73	6.78	0.14	-1.57	30840.00	         19362	11.60万	-19.53	-18.12	          1.87	336.03	2.14	5.83	          3.20	3.20	          1.28	          0.89	         42.49	   2.97㈢	         16.15	          0.77	          3.40	600552	--  	--  	--  	
300163	先锋新材	-2.17	0.50	其他建材	385	3.99	4.06	0.50	62795	627	          1.91	5.30	4.21	4.06	-0.315㈢	--  	25520530	  0.63	         13.38亿	浙江	4.17	4.06	41724	21070	  1.98	4.05	661	 -0.35	          3.30	-0.09	         19.24亿	    997	--  	     63	        0.0019	20190213	20110113	          4.74	--  	--  	8.98	5.38	         -0.09	41.03	4.34	3.45	0.56	1.57	0.94	1.66	1.29	4.26	2.49	-1.68	0.00	-1.64	-1.65	-1.49	-0.43	-0.61	-0.16	27727.00	         11031	4.48万	-6472.94	-17.18	          3.58	-31.41	4.52	4.15	          1.13	0.00	          0.20	         -0.09	         59.92	 -27.78㈢	         41.65	        -39.53	        -35.08	300163	20180727	4.35	-6.67	
