代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
603030	全筑股份	-3.21	2.41	装修装饰	10	6.98	7.23	2.41	110368	2007	          2.07	8.30	7.60	7.23	0.235㈢	    23.06	79228616	  0.85	         38.61亿	上海	7.36	7.18	65207	45160	  1.44	7.19	236	 -2.01	          5.34	-0.24	         38.92亿	   1597	--  	     69	        0.0013	20190213	20150320	          5.38	--  	--  	71.92	17.20	          1.02	74.65	61.84	4.61	0.45	48.02	5.08	8.20	34.82	45.36	39.60	1.88	0.07	1.91	1.51	1.27	6.42	-0.89	-0.19	16162.00	         17801	12.87万	160.35	51.50	          2.26	-43.62	0.86	7.47	          3.20	0.00	          0.94	          1.19	         23.92	   7.36㈢	         12.71	          4.14	          2.79	603030	--  	--  	--  	
300506	名家汇	-1.47	1.82	建筑工程	10	18.50	20.11	1.82	70583	4524	          5.27	10.98	20.74	20.11	0.790㈢	    20.53	139937664	  0.90	         26.94亿	深圳	20.58	19.83	35297	35285	  1.00	20.10	186	  0.35	          1.34	-0.30	         69.33亿	   1839	--  	     38	        0.0029	20190312	20160324	          3.45	--  	--  	34.98	18.17	          0.59	46.36	23.22	0.64	0.10	15.30	8.45	8.41	5.41	9.74	4.78	3.26	-0.00	3.24	2.67	2.53	5.81	-2.37	6.38	27258.00	          4915	9.88万	115.48	135.81	          3.67	-29.19	7.12	20.41	          5.48	5.48	          2.45	          1.68	         51.94	  13.94㈢	         50.96	         33.43	         26.00	300506	--  	--  	--  	
603637	镇海股份	0.00	0.95	建筑工程	14	15.45	15.96	0.95	35474	697	          8.21	4.89	16.23	15.95	0.229㈢	    52.30	56068036	  1.70	          6.89亿	浙江	16.08	15.81	21467	14007	  1.53	15.95	10	  1.20	          0.43	0.00	         27.76亿	   1067	--  	     33	        0.0077	20190213	20170208	          1.74	--  	--  	9.53	7.40	          0.00	22.34	8.56	0.55	0.29	2.03	2.54	1.03	1.52	3.86	3.29	0.45	0.14	0.45	0.40	0.40	2.34	0.53	-0.23	8710.00	          4963	7.92万	15.26	152.91	          3.75	51.89	7.19	15.95	          4.25	0.00	          1.46	          1.34	         77.66	   5.38㈢	         14.81	         11.72	         10.31	603637	--  	--  	--  	
603038	华立股份	-2.20	0.90	装修装饰	8	18.82	19.08	0.90	9337	54	          2.48	4.46	19.69	19.08	0.607㈢	    23.56	17857684	  0.52	          7.17亿	广东	19.69	19.13	4884	4452	  1.10	18.99	26	 -1.01	          0.38	-0.43	         17.93亿	    709	--  	     13	        0.0035	20181114	20170116	          0.94	--  	--  	12.15	9.84	          0.12	17.99	7.34	3.12	0.96	1.80	3.23	1.22	1.20	5.26	3.88	0.64	0.13	0.64	0.57	0.57	5.44	0.46	-1.56	8097.00	          2914	5.56万	-20.87	14.97	          1.82	38.84	3.41	19.51	         10.47	0.00	          3.44	          5.79	         81.03	   5.80㈢	         26.31	         12.21	         10.85	603038	--  	--  	--  	
000928	中钢国际	-2.31	0.79	建筑工程	40	4.97	5.09	0.79	175550	1483	          2.36	4.23	5.19	5.08	0.224㈢	    17.00	88837672	  0.74	         37.75亿	吉林	5.17	5.06	103296	72254	  1.43	5.08	1389	 -0.49	          7.43	-0.12	         63.84亿	   2055	--  	     85	        0.0011	20190213	19990312	         12.57	--  	--  	145.59	46.26	          0.91	67.60	124.94	2.51	1.89	96.89	20.12	16.95	35.17	44.24	38.23	3.88	0.23	3.88	2.87	2.82	13.93	1.75	3.82	51981.00	          9760	4.96万	-12.90	-8.58	          1.38	36.50	1.44	5.20	          3.68	0.00	          1.60	          1.11	         31.77	   6.09㈢	         13.58	          8.77	          6.37	000928	20171225	6.42	-19.00	
600193	*ST创兴	-1.95	0.75	装修装饰	41	3.92	4.03	0.75	76401	1205	          1.80	6.08	4.17	4.03	0.045㈢	    66.68	30702646	  0.97	         17.14亿	上海	4.09	4.02	47317	29084	  1.63	4.02	154	 -0.75	          4.25	-0.08	         17.14亿	    738	--  	    104	        0.0024	20190213	19990527	          4.25	--  	--  	2.75	2.01	          0.00	26.77	0.65	0.00	0.00	0.73	1.40	0.08	0.36	1.14	0.98	0.12	0.00	0.22	0.19	0.19	-4.13	-0.69	-0.53	42861.00	          6680	2.69万	116.19	335.82	          8.53	-24.74	15.07	4.11	          0.47	0.00	          0.33	         -0.97	         73.23	   9.59㈢	         14.19	         10.37	         16.95	600193	20180412	4.72	-14.62	
600512	腾达建设	-4.17	0.73	建筑工程	784	2.71	2.77	0.73	566148	7108	          3.68	6.25	2.89	2.76	0.008㈢	   267.98	157643968	  0.63	         42.43亿	浙江	2.85	2.78	362927	203220	  1.79	2.76	1492	 -2.97	         15.37	-0.12	         44.13亿	   2552	--  	    222	        0.0014	20190213	20021226	         15.99	--  	--  	108.93	42.45	          1.70	59.47	76.51	1.52	2.74	38.79	18.02	30.85	10.55	23.95	20.56	-0.63	0.43	-0.64	-0.96	0.12	6.27	-1.84	-5.06	79510.00	         19336	5.34万	-94.72	4.13	          1.04	-24.05	1.84	2.88	          2.65	0.00	          1.13	          0.39	         38.97	   0.29㈢	         14.17	         -2.65	          0.52	600512	--  	--  	--  	
300117	嘉寓股份	-6.77	0.71	装修装饰	2340	4.20	4.27	0.71	200543	2204	          2.81	6.99	4.52	4.27	0.084㈢	    38.04	86904848	  0.96	         30.50亿	北京	4.46	4.33	111871	88671	  1.26	4.26	51	 -4.95	          7.14	-0.31	         30.61亿	   2316	--  	     87	        0.0012	20190213	20100902	          7.17	--  	--  	60.91	13.73	          0.00	77.47	52.77	4.31	1.40	43.44	0.00	24.91	14.37	27.95	24.20	0.72	0.00	0.71	0.63	0.60	6.05	-1.40	-0.11	31553.00	          9650	4.12万	-17.36	44.16	          2.23	-21.80	1.10	4.58	          1.91	0.00	          0.00	          0.84	         22.53	   4.40㈢	         13.43	          2.58	          2.16	300117	--  	--  	--  	
603316	诚邦股份	-2.33	0.68	建筑工程	50	8.56	8.82	0.68	26661	300	          2.54	5.65	9.07	8.82	0.207㈢	    31.92	23482598	  0.52	          9.27亿	浙江	9.02	8.81	13494	13167	  1.02	8.78	13	 -1.13	          1.05	-0.21	         17.93亿	    782	--  	     34	        0.0032	20181030	20170619	          2.03	--  	--  	15.68	8.28	          0.00	47.18	13.01	0.16	0.02	7.00	3.34	5.37	2.89	5.30	4.02	0.47	0.06	0.47	0.42	0.42	2.65	-0.43	1.79	12255.00	          6855	6.05万	-7.54	2.07	          2.16	-41.79	3.38	9.03	          4.08	0.00	          1.64	          1.30	         52.82	   5.09㈢	         24.16	          8.77	          7.94	603316	--  	--  	--  	
002822	中装建设	0.99	0.49	装修装饰	524	6.01	6.11	0.49	160305	2193	          5.24	9.77	6.60	6.10	0.221㈢	    20.66	99621024	  1.37	         18.67亿	深圳	6.43	6.21	91021	69284	  1.31	6.10	447	  2.81	          3.06	0.06	         36.60亿	   2299	--  	     70	        0.0023	20190213	20161129	          6.00	--  	--  	47.04	21.38	         -0.02	54.58	42.05	1.56	2.68	24.63	6.61	1.73	28.60	29.64	25.61	1.67	0.09	1.67	1.32	1.33	7.95	-3.31	-2.55	40212.00	          6732	4.11万	15.85	36.57	          1.71	-11.07	1.23	6.04	          3.56	0.00	          1.10	          1.32	         45.46	   6.21㈢	         13.57	          5.62	          4.48	002822	--  	--  	--  	
