代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600331	宏达股份	10.12	0.84	铅锌	18181	3.18	--  	--  	2077467	27059	         10.22	12.58	3.59	3.59	0.008㈢	   330.86	716350016	  1.73	         72.95亿	四川	3.19	3.45	1090859	986608	  1.11	3.59	0	  9.00	
600839	四川长虹	10.10	0.00	家用电器	319825	3.13	--  	--  	880363	3236	          1.91	1.05	3.16	3.16	0.044㈢	    53.35	277916064	  1.01	        145.81亿	四川	3.13	3.16	753051	127312	  5.92	3.16	0	  8.98	
000876	新 希 望	10.03	0.00	饲料	21653	11.76	--  	--  	1226124	2450	          2.94	6.60	12.51	12.51	0.344㈢	    27.27	1513178112	  1.44	        522.35亿	四川	12.05	12.34	660785	565339	  1.17	12.51	0	  7.66	
600131	岷江水电	10.01	0.00	水力发电	27869	17.18	--  	--  	339752	133	          8.33	3.89	17.81	17.81	0.218㈢	    61.31	601267200	  0.63	         72.60亿	四川	17.28	17.70	193161	146591	  1.32	17.81	0	  8.88	
000810	创维数字	9.96	0.00	家用电器	110382	8.39	--  	--  	48994	1394	          0.50	0.00	8.39	8.39	0.220㈢	    29.36	41105580	  0.22	         81.42亿	四川	8.39	8.39	43227	5766	  7.50	8.39	0	  7.60	
300249	依米康	9.95	0.00	软件服务	43928	6.46	--  	--  	213078	379	          7.00	9.49	7.07	7.07	0.135㈢	    39.32	146507360	  2.05	         21.53亿	四川	6.47	6.88	96516	116561	  0.83	7.07	0	  7.59	
600093	易见股份	7.92	-0.17	仓储物流	958	10.23	--  	11.04	340068	3561	          3.03	8.80	11.13	11.04	0.603㈢	    13.72	363746016	  1.40	        123.92亿	四川	10.28	10.70	165446	174622	  0.95	11.03	510	  6.80	
000688	国城矿业	6.35	0.23	铅锌	70	12.51	--  	13.23	71872	1122	          0.63	6.11	13.27	13.23	0.270㈢	    36.73	93113280	  2.32	        150.46亿	重庆	12.52	12.96	28583	43289	  0.66	13.19	339	  3.99	
002357	富临运业	5.99	-0.29	公路	589	6.15	--  	6.56	129129	2718	          4.12	6.96	6.58	6.55	0.156㈢	    31.53	81996216	  1.60	         20.52亿	四川	6.19	6.35	48238	80890	  0.60	6.55	2624	  3.62	
600452	涪陵电力	5.31	0.18	水力发电	0	20.99	--  	22.04	49618	348	          2.22	6.88	22.43	22.03	0.940㈢	    17.58	109032304	  1.68	         49.35亿	重庆	20.99	21.97	21369	28249	  0.76	22.03	29	  4.18	
600132	重庆啤酒	4.87	0.31	啤酒	50	33.39	--  	35.11	42279	1051	          0.87	5.11	35.10	35.10	0.795㈢	    33.12	145182656	  1.21	        169.87亿	重庆	33.40	34.34	17529	24749	  0.71	35.10	108	  3.75	
002558	巨人网络	4.21	0.00	互联网	387	21.43	--  	22.50	167750	2574	          3.93	6.99	22.94	22.50	0.491㈢	    34.40	372557408	  1.10	         96.10亿	重庆	21.80	22.21	78140	89609	  0.87	22.49	5121	  1.85	
002628	成都路桥	4.20	0.85	建筑施工	87	5.60	--  	5.95	725387	5275	         10.03	11.73	6.27	5.95	0.028㈣	   212.24	424150400	  1.35	         43.05亿	四川	5.74	5.85	346045	379342	  0.91	5.94	1906	  1.84	
600116	三峡水利	3.91	0.31	水力发电	811	9.28	--  	9.58	215680	2908	          2.17	5.21	9.76	9.57	0.176㈢	    40.80	206213072	  1.16	         95.03亿	重庆	9.29	9.56	106565	109114	  0.98	9.57	423	  2.79	
600505	西昌电力	3.77	0.85	水力发电	152	6.99	--  	7.15	118994	1633	          3.26	5.52	7.37	7.15	0.131㈢	    40.80	85239840	  1.25	         26.07亿	四川	6.99	7.16	64409	54585	  1.18	7.14	655	  2.65	
000801	四川九洲	3.70	0.16	通信设备	921	6.06	--  	6.17	512264	7316	          5.01	4.87	6.35	6.17	0.022㈢	   205.72	316357408	  1.13	         63.11亿	四川	6.30	6.18	272260	240003	  1.13	6.16	505	  1.33	
300127	银河磁体	3.63	0.15	元器件	626	12.66	--  	13.15	81202	1466	          3.58	4.65	13.25	13.14	0.383㈢	    25.75	104730280	  1.90	         29.84亿	四川	12.74	12.90	40641	40561	  1.00	13.14	766	  1.26	
000803	金宇车城	3.36	0.58	纺织	214	13.26	--  	13.86	15705	436	          1.23	5.45	13.99	13.85	-0.066㈢	--  	21233998	  1.42	         17.69亿	四川	13.30	13.52	8338	7367	  1.13	13.85	150	  0.99	
000607	华媒控股	3.32	0.20	广告包装	46	4.85	--  	4.98	133054	1185	          1.50	6.02	5.14	4.98	0.060㈢	    62.23	66524316	  1.35	         44.07亿	浙江	4.86	5.00	57847	75207	  0.77	4.97	84	  0.95	
600292	远达环保	3.29	0.16	环境保护	270	6.08	--  	6.28	185982	1351	          2.38	5.26	6.40	6.28	0.138㈢	    34.14	116606496	  1.60	         49.04亿	重庆	6.10	6.27	96950	89031	  1.09	6.27	528	  2.17	
600101	明星电力	3.13	0.59	水力发电	104	8.28	--  	8.57	150203	2303	          4.63	3.37	8.56	8.56	0.324㈢	    19.82	126820912	  1.52	         27.75亿	四川	8.40	8.44	81087	69115	  1.17	8.56	220	  2.01	
000710	贝瑞基因	3.04	0.14	医疗保健	220	43.00	--  	44.37	36330	130	          5.84	7.18	46.09	44.36	0.674㈢	    49.37	162746736	  1.03	         27.59亿	四川	43.59	44.80	19202	17128	  1.12	44.36	2	  0.68	
600369	西南证券	2.97	-0.17	证券	9682	5.25	--  	5.55	2122086	18019	          3.76	11.87	5.89	5.55	0.053㈢	    79.12	1176020096	  1.00	        313.30亿	重庆	5.43	5.54	1012202	1109883	  0.91	5.54	3063	  1.85	
600678	四川金顶	2.95	0.14	水泥	238	7.06	--  	7.34	706928	6711	         20.26	8.71	7.68	7.33	0.089㈢	    61.82	519278976	  2.34	         25.58亿	四川	7.16	7.35	337788	369139	  0.92	7.33	2372	  1.83	
600804	鹏博士	2.90	0.61	电信运营	664	9.70	--  	9.95	838924	16276	          5.86	4.55	10.14	9.94	0.239㈢	    31.26	831614848	  0.95	        142.38亿	四川	9.82	9.91	427628	411295	  1.04	9.94	1897	  1.78	
000586	汇源通信	2.66	0.08	通信设备	223	11.67	--  	11.96	207337	2117	         10.72	4.73	12.22	11.95	-0.010㈢	--  	248529248	  1.00	         23.12亿	四川	11.70	11.99	101422	105914	  0.96	11.95	93	  0.30	
000736	中交地产	2.41	0.00	全国地产	27	9.00	--  	9.34	103563	1042	          2.32	5.93	9.54	9.33	0.663㈢	    10.55	96794352	  1.29	         41.59亿	重庆	9.16	9.35	46057	57506	  0.80	9.33	7	  0.05	
600793	宜宾纸业	2.22	0.30	造纸	41	16.13	--  	16.60	36935	600	          3.51	7.09	17.28	16.59	1.996㈢	     6.23	61047160	  1.44	         17.47亿	四川	16.24	16.53	18619	18315	  1.02	16.59	270	  1.10	
601208	东材科技	2.19	0.36	化工原料	2174	5.28	--  	5.60	570401	8805	          9.10	7.66	5.70	5.60	0.044㈢	    94.75	313221376	  1.10	         35.09亿	四川	5.50	5.49	278506	291895	  0.95	5.59	3828	  1.07	
002507	涪陵榨菜	2.18	0.15	食品	178	26.27	--  	27.20	145800	633	          1.87	7.33	28.22	27.19	0.663㈢	    30.77	399509888	  1.06	        212.02亿	重庆	26.58	27.40	73965	71835	  1.03	27.19	423	 -0.18	
002259	ST升达	2.13	0.42	供气供热	9253	2.34	--  	2.41	234937	15652	          3.25	2.55	2.40	2.40	-0.054㈢	--  	55794384	  1.14	         17.37亿	四川	2.35	2.37	121621	113315	  1.07	2.40	2067	 -0.24	
002004	华邦健康	2.06	0.00	化学制药	302	5.31	--  	5.46	263135	1228	          1.56	3.93	5.52	5.45	0.235㈢	    17.39	142969504	  1.74	         91.94亿	重庆	5.34	5.43	129004	134131	  0.96	5.45	876	 -0.30	
600129	太极集团	1.98	0.00	中成药	83	10.68	--  	10.84	66083	596	          1.21	4.70	11.18	10.84	0.263㈢	    30.90	72134736	  0.90	         58.96亿	重庆	10.74	10.92	32355	33727	  0.96	10.83	120	  0.85	
600039	四川路桥	1.88	0.53	建筑施工	448	3.72	--  	3.80	734105	1748	          2.12	4.56	3.89	3.80	0.153㈢	    18.65	279467200	  1.31	        131.37亿	四川	3.75	3.81	332331	401774	  0.83	3.79	5794	  0.76	
000858	五 粮 液	1.78	0.34	白酒	204	75.51	--  	77.25	612471	4044	          1.61	5.26	79.50	77.25	2.470㈢	    23.69	4731317760	  1.27	       2932.23亿	四川	76.59	77.25	304414	308057	  0.99	77.24	54	 -0.59	
000155	川能动力	1.75	0.49	农药化肥	775	4.00	--  	4.08	202462	3123	          2.16	3.49	4.14	4.08	-0.012㈢	--  	82644912	  1.16	         38.24亿	四川	4.00	4.08	88151	114311	  0.77	4.07	2104	 -0.62	
000892	欢瑞世纪	1.74	0.00	影视音像	194	5.17	--  	5.25	76885	143	          1.43	3.10	5.33	5.25	0.176㈢	    22.37	40309416	  0.99	         28.25亿	重庆	5.18	5.24	33224	43661	  0.76	5.24	416	 -0.62	
000568	泸州老窖	1.70	-0.01	白酒	747	53.00	--  	54.41	216438	768	          1.48	5.52	55.95	54.40	1.878㈢	    21.72	1177824640	  1.25	        794.30亿	四川	53.90	54.42	109362	107076	  1.02	54.40	12	 -0.66	
000584	哈工智能	1.60	0.24	化纤	64	8.12	--  	8.24	165560	2041	          2.71	4.20	8.46	8.23	0.164㈢	    37.59	136899920	  0.87	         50.31亿	江苏	8.17	8.27	84820	80739	  1.05	8.23	220	 -0.76	
600875	东方电气	1.53	0.81	电气设备	20	9.83	--  	9.97	246516	2319	          1.23	3.16	10.14	9.97	0.291㈢	    25.67	246571072	  1.17	        199.09亿	四川	9.86	10.00	127214	119302	  1.07	9.96	887	  0.41	
600139	西部资源	1.52	0.25	汽车整车	1870	3.94	--  	4.00	233497	4978	          3.53	3.55	4.08	4.00	-0.055㈢	--  	93825208	  0.92	         26.48亿	四川	3.95	4.02	110058	123438	  0.89	3.99	436	  0.40	
000788	北大医药	1.51	0.17	化学制药	1148	5.97	--  	6.07	103398	1195	          1.73	2.84	6.14	6.07	0.064㈢	    71.49	62772656	  1.17	         36.18亿	重庆	5.97	6.07	49967	53431	  0.94	6.06	1501	 -0.86	
600691	阳煤化工	1.45	0.36	农药化肥	1891	2.76	--  	2.80	348787	3677	          1.99	3.26	2.85	2.80	0.060㈢	    45.62	97597824	  1.04	         49.18亿	山西	2.76	2.80	161855	186931	  0.87	2.79	6744	  0.33	
600466	蓝光发展	1.44	0.63	区域地产	9	6.28	--  	6.36	581062	2592	          1.95	4.63	6.57	6.35	0.310㈢	    11.65	373556832	  1.54	        189.49亿	四川	6.32	6.43	284453	296609	  0.96	6.35	310	  0.32	
