代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
600748	上实发展	-1.21	2.16	全国地产	18	8.78	9.00	2.16	571037	2099	          3.10	13.39	10.00	9.00	0.155㈢	    43.46	531237408	  1.52	        166.01亿	上海	9.30	9.30	315854	255183	  1.24	8.99	890	 -0.01	         18.45	-0.11	        166.01亿	   3254	--  	    175	        0.0010	20190121	19960925	         18.45	--  	--  	387.22	101.06	         17.36	69.42	335.78	0.92	0.33	175.08	31.14	196.57	16.21	47.29	33.54	6.11	-0.05	6.39	4.78	2.86	44.63	2.98	-22.63	38342.00	         21813	19.63万	-18.73	23.27	          1.64	55.75	3.51	9.11	          5.48	0.00	          1.69	          2.42	         26.10	   2.83㈢	         29.08	         12.92	          6.06	600748	--  	--  	--  	
600649	城投控股	-5.44	1.52	区域地产	10	7.68	7.99	1.52	456091	9572	          1.88	8.99	8.44	7.99	0.346㈢	    17.30	362599264	  0.84	        193.42亿	上海	8.30	7.95	265933	190158	  1.40	7.98	2679	 -4.25	         24.21	-0.46	        202.11亿	   3714	--  	    123	        0.0005	20190213	19930518	         25.30	--  	--  	350.31	189.50	         11.13	42.73	246.25	0.19	0.00	98.03	18.08	197.36	0.52	53.23	38.94	12.32	4.58	12.71	9.83	8.76	121.83	-6.20	-22.36	110517.00	         10138	8.10万	-14.02	207.61	          1.07	-32.62	3.80	8.45	          7.49	0.00	          0.71	          4.82	         54.09	   4.62㈢	         26.85	         23.14	         16.46	600649	--  	--  	--  	
600095	哈高科	8.30	1.52	区域地产	1190	4.99	5.36	1.52	529676	8523	         14.66	8.91	5.43	5.35	-0.007㈢	--  	281867776	  3.30	         19.33亿	黑龙江	4.99	5.32	332219	197457	  1.68	5.35	3605	  9.50	          3.61	0.41	         19.33亿	   3235	--  	    164	        0.0045	20190213	19970708	          3.61	--  	--  	10.44	7.27	          0.24	28.07	4.79	1.77	0.27	2.54	2.67	2.61	0.12	1.35	0.87	0.02	0.09	0.02	-0.06	-0.03	0.62	0.28	-0.84	45850.00	          6612	3.54万	-142.90	9.49	          2.66	70.15	14.28	4.94	          2.01	0.00	          0.74	          0.17	         69.59	  -0.36㈢	         36.05	          1.61	         -1.95	600095	20180326	7.61	-29.46	
600773	西藏城投	-3.50	1.50	区域地产	7	7.16	7.45	1.50	326684	4215	          4.38	11.79	8.07	7.45	0.086㈢	    65.00	248317696	  1.50	         55.58亿	西藏	7.95	7.60	187813	138870	  1.35	7.40	617	 -2.30	          7.46	-0.27	         61.06亿	   3234	--  	    101	        0.0014	20190228	19961108	          8.20	--  	--  	112.64	32.74	         -0.03	70.95	100.55	4.75	1.33	22.79	16.42	73.70	1.62	8.08	4.88	0.82	0.18	0.76	0.67	0.70	8.06	-7.08	-8.19	58440.00	          7324	5.46万	31.08	8.22	          1.87	-8.62	7.56	7.72	          3.99	0.00	          2.00	          0.98	         29.07	   2.15㈢	         39.52	         10.14	          8.72	600773	20170919	17.47	-57.30	
000534	万泽股份	-3.83	0.84	区域地产	30	9.31	9.55	0.84	44507	1046	          0.91	6.04	9.91	9.55	0.033㈢	   219.25	42750576	  0.78	         46.93亿	广东	9.88	9.61	30778	13728	  2.24	9.54	428	 -2.01	          4.91	-0.38	         46.97亿	   2065	--  	     22	        0.0004	20190305	19940110	          4.92	--  	--  	26.34	14.93	          0.06	43.08	15.56	1.72	0.91	9.01	3.97	6.22	0.12	0.39	0.16	0.16	0.72	0.15	0.01	0.16	4.23	-5.26	-5.23	16603.00	         14109	13.47万	22.66	-83.84	          3.14	-8.93	120.27	9.93	          3.04	0.00	          0.81	          0.86	         56.71	   1.08㈢	         59.76	         41.62	         41.14	000534	20170904	14.53	-33.93	
600094	大名城	-1.56	0.80	区域地产	10	6.21	6.33	0.80	318606	2952	          1.40	7.62	6.70	6.33	0.022㈢	   211.24	205105024	  0.72	        144.11亿	上海	6.45	6.44	165577	153029	  1.08	6.30	420	 -0.36	         22.77	-0.10	        156.69亿	   3070	--  	    104	        0.0005	20190213	19970703	         24.75	          1.99	--  	541.84	116.22	          9.01	76.89	442.51	6.34	0.01	292.49	58.34	369.02	2.41	70.07	46.30	0.89	-3.53	1.74	1.22	0.56	31.42	46.22	-0.41	60612.00	         32834	20.78万	-91.53	71.19	          1.35	3.39	2.24	6.43	          4.70	0.00	          2.36	          1.27	         21.45	   0.48㈢	         33.92	          1.28	          0.79	600094	--  	--  	--  	
600648	外高桥	-2.75	0.77	园区开发	306	16.54	16.96	0.77	115545	2258	          1.24	5.56	17.51	16.96	0.585㈢	    21.76	195161040	  1.12	        158.54亿	上海	17.51	16.89	70828	44717	  1.58	16.95	341	 -1.55	          9.35	-0.48	        192.56亿	   2670	--  	     43	        0.0005	20190213	19930504	         11.35	          2.01	--  	320.79	105.47	          5.20	65.50	158.38	10.94	0.93	144.95	40.94	100.90	4.69	57.39	41.16	9.12	0.68	9.12	7.08	6.64	44.20	0.58	-6.58	63479.00	          8400	14.25万	89.04	1.98	          1.83	332.76	3.35	17.44	          9.29	0.00	          3.61	          3.89	         32.88	   6.29㈢	         28.29	         15.88	         11.56	600648	20171020	19.46	-11.82	
000863	三湘印象	-0.93	0.76	区域地产	814	5.15	5.33	0.76	353348	2581	          3.85	11.55	5.77	5.32	0.081㈢	    49.43	191404992	  3.20	         48.77亿	上海	5.44	5.42	174359	178989	  0.97	5.32	197	  0.88	          9.17	-0.05	         72.95亿	   2381	--  	    148	        0.0016	20190213	19970925	         13.71	--  	--  	134.29	62.23	         -0.67	54.16	106.19	0.44	4.64	34.37	32.02	94.21	0.51	13.79	8.76	1.43	0.15	1.67	0.79	1.11	19.57	14.62	-0.77	26221.00	         18478	9.83万	80.00	36.82	          1.17	4.99	5.29	5.37	          4.54	0.00	          2.33	          1.43	         46.34	   1.78㈢	         36.51	         10.36	          8.02	000863	--  	--  	--  	
002133	广宇集团	-1.44	0.74	全国地产	123	4.01	4.11	0.74	166922	3093	          2.63	4.80	4.21	4.11	0.418㈢	     7.38	68478472	  0.93	         26.10亿	浙江	4.12	4.10	92507	74414	  1.24	4.10	264	  0.38	          6.35	-0.06	         31.82亿	   1762	--  	     95	        0.0015	20190213	20070427	          7.74	--  	--  	108.69	32.13	          6.61	64.36	100.61	0.19	0.09	49.75	8.37	69.16	0.13	25.81	14.79	7.62	-0.01	7.62	5.53	3.23	14.09	-4.71	8.09	46171.00	         12146	4.99万	150.74	0.76	          0.99	-6.75	1.23	4.17	          4.15	0.00	          1.08	          1.82	         29.56	  10.06㈢	         42.72	         29.52	         12.53	002133	--  	--  	--  	
000046	泛海控股	-2.92	0.72	全国地产	570	6.80	6.99	0.72	407660	3399	          0.79	9.44	7.48	6.99	0.350㈢	    14.99	291259744	  0.88	        361.75亿	北京	7.10	7.14	250968	156691	  1.60	6.98	1215	 -1.10	         51.75	-0.21	        363.21亿	   2973	--  	    137	        0.0003	20190213	19940912	         51.96	--  	--  	2079.09	211.68	         82.08	85.87	1485.34	10.20	1.05	1087.30	56.48	926.68	15.23	24.92	11.17	8.91	8.11	20.08	18.95	18.17	84.90	65.29	-2.31	37552.00	         43408	30.34万	48.70	-29.00	          1.72	5.56	14.58	7.20	          4.07	0.00	          1.09	          1.63	         10.18	   8.58㈢	         55.19	         35.77	         72.92	000046	--  	--  	--  	
000671	阳 光 城	-3.14	0.68	区域地产	450	7.34	7.41	0.68	331156	1582	          0.83	6.67	7.85	7.41	0.390㈢	    14.23	250176096	  0.75	        294.32亿	福建	7.62	7.55	191395	139760	  1.37	7.40	1648	 -1.32	         39.72	-0.24	        300.11亿	   2736	--  	    121	        0.0003	20190305	19961218	         40.50	--  	--  	2641.34	214.70	        166.89	85.55	2421.94	32.36	8.25	1544.90	35.46	1516.29	12.45	259.39	190.71	27.31	4.10	27.41	16.35	15.81	79.00	113.18	-46.21	49022.00	         30600	22.67万	155.55	67.13	          1.82	2.65	1.16	7.65	          4.07	4.07	          0.88	          1.95	          8.13	   7.36㈢	         26.48	         10.53	          6.10	000671	--  	--  	--  	
600240	华业资本	-2.10	0.62	全国地产	5880	3.16	3.27	0.62	771139	10576	          5.41	8.38	3.44	3.27	-0.095㈢	--  	252943936	  0.62	         46.57亿	北京	3.35	3.28	402921	368217	  1.09	3.26	841	 -0.90	         14.24	-0.07	         46.57亿	   3613	--  	    213	        0.0015	20190213	20000628	         14.24	--  	--  	170.26	65.26	         -0.05	61.70	40.59	1.93	5.46	56.14	5.64	26.15	4.69	46.95	19.26	0.70	6.07	0.68	-1.37	-1.36	44.29	-0.62	-10.98	36911.00	         23625	7.73万	-114.94	41.04	          0.71	-74.70	0.99	3.34	          4.58	0.00	          0.40	          3.11	         38.33	  -2.08㈢	         58.98	          1.50	         -2.89	600240	20180620	7.26	-53.58	
000506	中润资源	-3.98	0.60	区域地产	4182	3.27	3.38	0.60	459943	6271	          4.95	8.81	3.58	3.38	0.010㈢	   264.88	156749888	  0.61	         31.39亿	山东	3.48	3.41	244865	215078	  1.14	3.37	2122	 -2.16	          9.29	-0.14	         31.40亿	   2806	--  	    164	        0.0018	20190311	19930312	          9.29	--  	--  	25.41	10.37	          0.62	56.78	14.05	6.10	2.42	13.53	0.51	5.15	0.06	3.02	2.74	-0.02	0.00	-0.02	-0.02	0.09	-0.36	2.38	-0.26	50000.00	         12596	4.26万	106.37	-47.35	          3.03	13.18	10.39	3.52	          1.12	0.00	          0.06	         -0.04	         40.79	   0.86㈢	          9.28	         -0.53	          2.94	000506	--  	--  	--  	
000918	嘉凯城	-7.71	0.57	全国地产	163	6.91	7.07	0.57	197293	1702	          1.09	6.67	7.42	7.06	-0.299㈢	--  	141278160	  1.13	        127.38亿	浙江	7.24	7.16	119604	77689	  1.54	7.06	627	 -5.90	         18.04	-0.59	        127.38亿	   2359	--  	     84	        0.0005	20190213	19990720	         18.04	--  	--  	248.62	45.19	          1.52	81.21	181.07	3.42	0.16	150.60	-9.01	164.00	0.89	7.70	7.56	-5.26	0.37	-5.67	-6.21	-5.39	25.92	-8.31	-3.58	58686.00	         11504	8.12万	45.68	-18.37	          2.82	-15.32	16.53	7.65	          2.50	0.00	         -0.50	          1.44	         18.18	 -11.93㈢	          1.84	        -68.29	        -69.99	000918	20180109	7.86	-10.18	
000797	中国武夷	-2.39	0.53	全国地产	345	5.67	5.74	0.53	85033	879	          0.65	4.94	5.96	5.73	0.137㈢	    31.39	49003756	  0.53	         74.46亿	福建	5.78	5.76	56561	28471	  1.99	5.73	470	 -0.57	         12.99	-0.14	         75.10亿	   1326	--  	     64	        0.0005	20190305	19970715	         13.11	--  	--  	155.85	55.11	          1.34	63.78	143.14	4.61	0.88	63.63	24.92	103.10	8.24	21.24	16.41	3.11	0.00	3.11	2.25	1.79	8.56	-12.79	-20.11	27964.00	         21551	12.35万	71.23	-2.13	          1.53	-5.87	3.54	5.87	          3.75	3.75	          1.90	          0.65	         35.36	   3.26㈢	         22.74	         14.63	          8.45	000797	--  	--  	--  	
000560	我爱我家	5.41	0.50	房产服务	32	5.68	6.04	0.50	399069	3650	          2.34	8.55	6.17	6.04	0.213㈢	    21.25	239505744	  2.45	        103.16亿	云南	5.68	6.00	163109	235960	  0.69	6.02	7882	  7.23	         17.08	0.31	        142.27亿	   3226	--  	    124	        0.0007	20190304	19940202	         23.56	--  	--  	183.03	93.40	          0.71	48.59	86.41	3.86	13.35	72.75	55.56	6.01	12.89	84.10	59.10	7.87	0.30	7.95	5.49	5.02	12.77	11.65	4.86	27550.00	         44241	26.72万	986.29	797.10	          1.52	12.21	1.69	5.73	          3.97	0.00	          2.36	          0.54	         51.03	   5.38㈢	         29.72	          9.36	          5.97	000560	20170830	11.67	-32.63	
601155	新城控股	0.62	0.47	区域地产	884	37.90	38.69	0.47	189627	867	          0.84	4.42	39.60	38.68	4.690㈣	     8.32	736514368	  0.81	        868.75亿	江苏	39.37	38.84	88782	100844	  0.88	38.68	427	  1.82	         22.46	0.24	        872.90亿	   3835	--  	     49	        0.0002	20190311	20151204	         22.57	--  	--  	3303.18	304.93	        204.64	84.57	2642.27	21.12	5.76	2254.96	26.39	1455.73	0.00	541.33	342.73	156.43	22.67	157.67	122.09	104.91	239.50	38.17	196.95	38400.00	         19015	73.55万	74.02	33.58	          2.86	22.87	1.61	38.44	         13.51	0.00	          1.17	         10.61	          9.23	  34.41㈣	         36.69	         28.90	         19.38	601155	--  	--  	--  	
000628	高新发展	-3.39	0.46	园区开发	91	10.66	10.83	0.46	87424	816	          4.65	3.93	11.10	10.83	0.044㈢	   185.02	94826560	  0.65	         20.36亿	四川	11.10	10.85	52302	35122	  1.49	10.82	634	 -1.57	          1.88	-0.38	         33.73亿	   2078	--  	     42	        0.0022	20190311	19961118	          3.11	--  	--  	31.68	7.68	          0.29	74.84	27.65	1.31	0.62	21.60	7.29	4.04	3.55	5.16	4.06	0.17	0.02	0.20	0.14	0.14	-2.82	-0.95	0.61	29473.00	          5465	5.92万	-43.04	23.74	          4.15	-35.35	6.54	11.21	          2.61	2.61	          2.34	         -0.91	         24.24	   1.78㈢	         21.27	          3.29	          2.65	000628	--  	--  	--  	
000609	中迪投资	0.74	0.44	区域地产	243	6.52	6.83	0.44	393305	6557	         13.47	11.82	7.32	6.82	-0.021㈢	--  	271234688	  2.47	         19.91亿	北京	6.63	6.90	185454	207851	  0.89	6.82	1460	  2.55	          2.92	0.05	         20.41亿	   3176	--  	    124	        0.0042	20190213	19961010	          2.99	--  	--  	26.28	15.70	          0.00	40.25	24.01	0.10	0.00	7.28	0.49	21.62	0.00	0.20	0.15	-0.04	0.06	-0.03	-0.07	-0.06	10.82	-10.22	-4.39	23481.00	          9406	6.41万	-105.16	-91.88	          1.30	-2.00	104.47	6.77	          5.25	0.00	          0.16	          3.62	         59.74	  -0.40㈢	         21.97	        -19.30	        -32.38	000609	20170904	16.53	-58.14	
600791	京能置业	-4.92	0.43	全国地产	946	4.54	4.64	0.43	145073	1258	          3.21	6.56	4.86	4.64	0.244㈢	    14.23	67923192	  0.70	         20.99亿	北京	4.84	4.68	89407	55665	  1.61	4.63	173	 -3.72	          4.52	-0.24	         21.01亿	   1891	--  	     77	        0.0017	20190213	19970130	          4.53	--  	--  	65.97	16.85	          9.95	59.36	60.98	0.16	0.01	20.64	1.45	46.62	0.00	5.32	4.32	1.19	1.11	1.21	1.16	1.11	9.91	5.26	7.04	29533.00	          8375	3.89万	78.77	12.07	          1.25	3.99	3.95	4.88	          3.72	0.00	          0.32	          2.19	         25.55	   6.57㈢	         18.71	         22.42	         20.83	600791	--  	--  	--  	
600807	*ST天业	3.40	0.41	区域地产	388	4.74	4.87	0.41	147783	2613	          1.88	4.46	4.95	4.87	-1.160㈢	--  	71698832	  1.29	         38.33亿	山东	4.74	4.85	62262	85521	  0.73	4.86	1023	  4.59	          7.87	0.16	         43.08亿	   1427	--  	    104	        0.0013	20190213	19940103	          8.85	--  	--  	85.16	7.14	          0.11	91.49	67.43	1.74	4.07	73.08	11.83	15.44	31.01	9.50	9.09	-10.47	-0.03	-9.63	-10.02	-10.00	-11.42	1.42	0.04	66689.00	          9040	4.40万	-1161.96	-25.25	          6.03	30.43	4.54	4.71	          0.81	0.00	          1.34	         -1.29	          8.39	-139.96㈢	          4.28	       -110.18	       -105.26	600807	20171103	11.75	-58.55	
600657	信达地产	-2.37	0.41	全国地产	365	4.86	4.94	0.41	141830	219	          0.93	5.73	5.15	4.94	0.410㈢	    11.91	70920560	  0.98	         75.30亿	北京	5.06	5.00	68512	73318	  0.93	4.92	39	 -1.17	         15.24	-0.12	        140.88亿	   3333	--  	     43	        0.0003	20190213	19930524	         28.52	--  	--  	997.07	186.35	          5.57	80.75	910.14	2.75	0.03	565.67	83.10	633.02	2.41	79.52	52.70	9.36	0.96	12.76	9.82	8.87	74.73	48.43	-8.20	44988.00	         16665	8.23万	191.02	-16.11	          0.76	2.91	1.77	5.06	          6.53	0.00	          2.91	          2.62	         18.69	   4.76㈢	         33.72	         11.76	         11.16	600657	--  	--  	--  	
600683	京投发展	-6.27	0.40	区域地产	609	5.03	5.10	0.40	92256	413	          1.25	7.20	5.42	5.08	0.109㈢	    34.94	47758552	  0.84	         37.63亿	浙江	5.25	5.18	55621	36634	  1.52	5.08	61	 -5.08	          7.41	-0.34	         37.63亿	   1772	--  	     52	        0.0007	20190213	19931025	          7.41	--  	--  	328.79	22.84	         16.35	88.08	279.03	0.46	0.09	143.04	3.28	232.11	1.12	21.95	15.73	3.14	-0.05	3.15	2.16	0.81	11.07	-7.19	22.41	24088.00	         13292	6.75万	4308.64	-2.33	          1.65	-5.23	1.71	5.42	          3.08	0.00	          0.44	          1.49	          6.95	   3.54㈢	         28.35	         14.30	          3.68	600683	20170831	8.49	-37.81	
600622	光大嘉宝	-1.28	0.39	区域地产	469	7.50	7.72	0.39	203313	1669	          1.76	7.54	8.09	7.72	0.376㈢	    15.39	157454896	  0.83	         89.06亿	上海	7.76	7.74	91030	112282	  0.81	7.71	897	 -0.08	         11.54	-0.10	         89.06亿	   3179	--  	     64	        0.0006	20190213	19921203	         11.54	--  	--  	217.83	56.55	         19.53	65.07	125.08	2.02	0.22	84.08	17.68	66.48	1.52	30.16	13.81	8.99	0.43	9.01	6.29	4.34	23.94	16.44	16.50	28314.00	         20364	15.72万	29.66	105.87	          1.57	5.42	2.95	7.82	          4.90	0.00	          1.53	          2.08	         25.96	   7.67㈢	         54.20	         29.81	         14.39	600622	20180612	11.47	-10.67	
600162	香江控股	-4.88	0.37	全国地产	3735	2.70	2.74	0.37	411940	6517	          1.38	6.97	2.90	2.73	0.083㈢	    24.65	114799448	  0.84	         81.21亿	深圳	2.86	2.79	261297	150643	  1.73	2.73	2051	 -3.68	         29.75	-0.14	         92.80亿	   2457	--  	    168	        0.0006	20190104	19980609	         33.99	--  	--  	201.85	48.56	          3.62	74.15	151.84	8.79	1.09	105.58	0.14	109.22	0.89	27.61	14.72	3.24	-0.18	3.20	2.15	2.82	13.56	-20.24	-25.41	80085.00	         21362	5.83万	-31.45	-0.32	          1.93	-4.59	3.36	2.87	          1.41	1.41	          0.00	          0.40	         24.06	   5.82㈢	         46.70	         11.73	         10.23	600162	--  	--  	--  	
000537	广宇发展	-0.46	0.35	区域地产	389	8.50	8.72	0.35	161744	1050	          3.15	5.49	8.98	8.71	1.239㈢	     5.27	140891984	  0.75	         44.66亿	天津	8.71	8.71	89786	71957	  1.25	8.71	541	  1.36	          5.13	-0.04	        162.23亿	   3223	--  	     50	        0.0010	20190311	19931210	         18.63	--  	--  	835.70	104.89	          0.00	87.45	760.48	18.67	9.02	579.59	17.21	652.26	0.10	144.48	97.24	30.43	0.01	30.52	23.07	23.07	68.07	33.47	-22.91	33560.00	         12096	10.54万	225.09	49.89	          1.55	4.85	1.12	8.75	          5.63	0.00	          0.92	          3.65	         12.55	  21.99㈢	         32.69	         21.06	         15.97	000537	20170825	9.55	-7.43	
000861	海印股份	-2.68	0.34	房产服务	335	2.88	2.91	0.34	190494	788	          0.96	4.68	3.02	2.91	0.060㈢	    36.41	55934692	  0.64	         57.49亿	广东	2.99	2.94	113727	76766	  1.48	2.90	3148	 -0.86	         19.76	-0.08	         63.45亿	   1805	--  	    106	        0.0005	20190129	19981028	         21.80	--  	--  	122.33	34.58	          2.63	69.58	69.47	1.03	0.18	32.31	0.26	40.68	4.16	18.76	11.21	2.72	0.37	2.77	1.61	1.31	9.46	1.18	-8.83	91309.00	          9934	2.89万	12.63	22.77	          2.01	53.90	3.38	2.99	          1.45	1.45	          0.01	          0.43	         28.27	   3.78㈢	         40.27	         14.51	          6.97	000861	--  	--  	--  	
000615	京汉股份	-3.64	0.34	全国地产	1997	5.72	5.82	0.34	188680	5099	          2.93	5.63	6.06	5.82	0.007㈢	   585.41	110993400	  0.65	         37.47亿	湖北	5.97	5.88	114999	73680	  1.56	5.81	677	 -1.83	          6.44	-0.22	         45.59亿	   2356	--  	     80	        0.0012	20190201	19961016	          7.83	--  	--  	112.74	17.79	          9.54	75.75	101.63	5.25	1.91	62.74	0.19	70.28	1.10	16.17	12.50	-0.29	0.00	0.37	0.03	0.06	8.64	3.21	2.33	60848.00	          5777	3.36万	106.36	86.11	          2.56	14.22	2.82	6.04	          2.27	0.00	          0.02	          1.10	         15.78	   0.33㈢	         22.73	         -1.81	          0.36	000615	20170811	14.67	-59.99	
