代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600425	青松建化	10.10	0.00	水泥	168450	4.36	--  	--  	904031	5054	          6.56	2.71	4.47	4.47	0.328㈢	    10.22	403698400	  1.33	         61.63亿	新疆	4.47	4.47	675339	228692	  2.95	4.47	0	  8.98	
601519	大智慧	10.06	0.00	软件服务	120297	8.27	--  	--  	1654395	1601	          8.32	7.33	8.86	8.86	-0.020㈢	--  	1427239808	  1.37	        176.11亿	上海	8.27	8.63	886756	767638	  1.16	8.86	0	  8.94	
000526	紫光学大	3.79	0.25	文教休闲	302	22.41	--  	23.82	41206	374	          4.28	6.41	23.88	23.80	0.710㈢	    25.14	96220872	  1.56	         22.89亿	福建	22.85	23.35	16900	24306	  0.70	23.80	38	  1.43	
601106	中国一重	3.56	0.49	工程机械	3726	4.00	--  	4.08	2021808	27375	          3.09	7.12	4.28	4.07	0.015㈢	   203.49	834156416	  1.42	        266.10亿	黑龙江	4.01	4.13	967712	1054095	  0.92	4.07	7919	  2.44	
002312	三泰控股	3.42	0.26	电脑设备	2329	3.89	--  	3.94	726473	10088	          7.16	5.00	4.08	3.93	-0.110㈢	--  	288601888	  1.09	         39.87亿	四川	3.98	3.97	382913	343560	  1.11	3.93	2141	  1.06	
000803	金宇车城	3.36	0.58	纺织	214	13.26	--  	13.86	15705	436	          1.23	5.45	13.99	13.85	-0.066㈢	--  	21233998	  1.42	         17.69亿	四川	13.30	13.52	8338	7367	  1.13	13.85	150	  0.99	
002504	弘高创意	3.07	0.00	装修装饰	5187	3.96	--  	4.04	319608	3215	          7.71	3.58	4.10	4.03	0.014㈢	   222.37	129003248	  1.24	         16.71亿	北京	3.99	4.04	142076	177531	  0.80	4.03	3180	  0.70	
600733	北汽蓝谷	2.03	0.22	汽车整车	553	8.74	--  	9.03	428157	4013	         10.79	5.42	9.22	9.03	0.050㈢	   178.56	382883424	  1.31	         35.84亿	北京	8.89	8.94	218137	210020	  1.04	9.02	666	  0.91	
600636	三爱富	1.80	-0.27	化工原料	125	13.92	--  	14.17	99357	657	          2.22	5.61	14.70	14.15	1.216㈢	     8.72	142222464	  1.21	         63.24亿	上海	13.92	14.31	44527	54829	  0.81	14.15	36	  0.68	
000595	宝塔实业	1.67	0.55	机械基件	2885	3.55	--  	3.67	418484	4467	          5.55	5.00	3.73	3.66	-0.010㈢	--  	152524064	  1.00	         27.61亿	宁夏	3.61	3.64	218206	200278	  1.09	3.66	1437	 -0.70	
600112	天成控股	1.56	0.22	电气设备	1127	4.43	--  	4.56	461584	3927	          9.06	4.69	4.64	4.55	0.160㈢	    21.36	209144384	  1.05	         23.17亿	贵州	4.53	4.53	235147	226437	  1.04	4.55	980	  0.44	
002134	天津普林	1.34	-0.14	元器件	711	6.72	--  	6.84	43979	302	          1.79	3.41	6.95	6.83	-0.053㈢	--  	30125146	  0.95	         16.79亿	天津	6.78	6.85	18419	25560	  0.72	6.83	275	 -1.03	
000950	重药控股	1.23	0.17	农药化肥	2181	5.64	--  	5.75	192462	2082	          2.71	4.05	5.87	5.75	0.259㈢	    16.64	110772608	  1.22	         40.88亿	重庆	5.71	5.76	90339	102123	  0.88	5.74	316	 -1.13	
000780	平庄能源	1.09	0.27	煤炭开采	1384	3.63	--  	3.73	241273	1636	          2.38	5.98	3.85	3.72	-0.051㈢	--  	90179016	  0.92	         37.73亿	内蒙	3.67	3.74	112655	128617	  0.88	3.72	1930	 -1.28	
000755	山西路桥	1.05	0.00	公路	899	4.70	--  	4.83	180155	1177	          3.84	7.32	5.05	4.83	-0.216㈢	--  	87171216	  1.41	         22.67亿	山西	4.77	4.84	89001	91153	  0.98	4.82	599	 -1.32	
603188	亚邦股份	0.94	0.00	染料涂料	251	8.53	--  	8.63	86062	490	          1.49	3.04	8.79	8.63	0.476㈢	    13.60	74546424	  1.08	         49.71亿	江苏	8.55	8.66	40649	45412	  0.90	8.62	541	 -0.19	
000809	铁岭新城	0.71	0.35	区域地产	609	2.81	--  	2.83	136366	1045	          1.65	2.49	2.88	2.83	0.014㈢	   153.28	38784804	  1.05	         23.34亿	辽宁	2.85	2.84	75091	61274	  1.23	2.82	215	 -1.65	
600403	大有能源	0.70	0.23	煤炭开采	21	4.24	--  	4.29	78010	296	          0.33	2.82	4.36	4.29	0.282㈢	    11.43	33521200	  0.75	        102.57亿	河南	4.27	4.30	41865	36145	  1.16	4.28	1181	 -0.42	
002490	山东墨龙	0.64	0.21	化工机械	84	4.70	--  	4.76	116591	1544	          4.04	2.97	4.84	4.75	0.100㈢	    35.73	55601400	  1.02	         13.72亿	山东	4.72	4.77	55510	61081	  0.91	4.75	687	 -1.73	
600121	郑州煤电	0.57	0.00	煤炭开采	2106	3.47	--  	3.52	222144	4468	          2.19	4.57	3.63	3.52	0.162㈢	    16.27	78519024	  0.92	         35.74亿	河南	3.53	3.53	110281	111862	  0.99	3.51	1097	 -0.55	
600540	新赛股份	0.44	0.44	种植业	527	4.52	--  	4.57	127709	1260	          2.71	2.42	4.63	4.57	0.004㈢	   808.95	58374596	  1.02	         21.52亿	新疆	4.57	4.57	67686	60022	  1.13	4.56	761	 -0.68	
002571	德力股份	0.38	0.38	玻璃	68	5.24	--  	5.29	94222	1567	          3.72	2.85	5.39	5.28	-0.107㈢	--  	50197524	  0.91	         13.37亿	安徽	5.30	5.33	45593	48629	  0.94	5.28	214	 -1.98	
002496	辉丰股份	0.34	0.00	农药化肥	1333	2.95	--  	2.98	306373	1647	          3.17	3.03	3.04	2.98	-0.160㈢	--  	91664264	  0.90	         28.79亿	江苏	2.98	2.99	168617	137756	  1.22	2.97	700	 -2.03	
600225	天津松江	0.30	-0.59	区域地产	3416	3.28	--  	3.30	217984	3427	          2.34	2.74	3.37	3.29	-0.281㈢	--  	72544424	  1.11	         30.69亿	天津	3.30	3.33	115434	102550	  1.13	3.29	205	 -0.82	
000629	攀钢钒钛	0.27	0.00	小金属	28123	3.64	--  	3.69	2142830	15799	          4.50	5.18	3.83	3.68	0.238㈢	    11.58	795473472	  1.27	        175.43亿	四川	3.70	3.71	1153958	988871	  1.17	3.68	8644	 -2.09	
000659	珠海中富	0.26	0.00	广告包装	2031	3.82	--  	3.85	280521	2530	          2.18	2.08	3.90	3.85	0.019㈢	   154.64	108201168	  0.95	         49.50亿	广东	3.87	3.86	159450	121071	  1.32	3.84	1410	 -2.10	
000922	佳电股份	0.25	-0.24	电气设备	79	7.75	--  	7.89	153655	977	          3.17	3.94	8.06	7.88	0.527㈢	    11.21	121919904	  1.39	         38.24亿	黑龙江	7.80	7.93	79256	74398	  1.07	7.88	162	 -2.11	
002248	华东数控	0.20	0.10	机床制造	411	10.03	--  	10.14	46376	311	          1.56	4.06	10.44	10.13	-0.548㈢	--  	47324208	  0.82	         30.05亿	山东	10.12	10.20	23797	22579	  1.05	10.13	174	 -2.17	
000403	振兴生化	0.04	-0.59	生物制药	32	28.25	--  	28.34	16993	799	          0.64	3.11	29.13	28.34	0.295㈢	    72.07	48776672	  0.87	         75.18亿	山西	28.33	28.70	7456	9537	  0.78	28.33	263	 -2.33	
600815	厦工股份	0.00	0.00	工程机械	3602	3.40	--  	3.46	175672	787	          1.83	4.64	3.56	3.45	-0.111㈢	--  	61334192	  0.59	         33.08亿	福建	3.40	3.49	89837	85835	  1.05	3.45	559	 -1.12	
600847	万里股份	-0.31	0.31	电气设备	94	12.81	--  	12.97	11153	331	          0.73	3.31	13.24	12.96	-0.025㈢	--  	14505791	  0.80	         19.87亿	重庆	13.01	13.01	5971	5182	  1.15	12.96	1	 -1.43	
数据来源:通达信
