代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600839	四川长虹	10.10	0.00	家用电器	319825	3.13	--  	--  	880363	3236	          1.91	1.05	3.16	3.16	0.044㈢	    53.35	277916064	  1.01	        145.81亿	四川	3.13	3.16	753051	127312	  5.92	3.16	0	  8.98	
002157	正邦科技	10.04	0.00	饲料	19681	12.12	--  	--  	894186	634	          4.14	6.89	12.93	12.93	0.020㈢	   651.87	1127549440	  0.70	        279.31亿	江西	12.57	12.61	488864	405321	  1.21	12.93	0	  7.68	
000911	南宁糖业	10.03	0.00	食品	19975	6.79	--  	--  	229494	283	          7.08	11.34	7.57	7.57	-1.999㈢	--  	168156368	  1.79	         24.53亿	广西	6.87	7.33	108145	121348	  0.89	7.57	0	  7.66	
600682	南京新百	10.00	0.00	百货	34529	11.59	--  	--  	163467	77	          1.63	9.22	12.65	12.65	-1.070㈢	--  	201758608	  0.88	        126.77亿	江苏	11.59	12.34	97511	65956	  1.48	12.65	0	  8.88	
300016	北陆药业	10.00	0.00	中成药	10092	9.24	--  	--  	375641	753	          9.40	7.33	9.90	9.90	0.302㈣	    32.76	364081504	  1.39	         39.57亿	北京	9.42	9.69	203140	172501	  1.18	9.90	0	  7.64	
600604	市北高新	9.98	0.00	园区开发	50851	11.88	--  	--  	2454147	472	         18.39	9.48	13.00	13.00	0.031㈢	   318.89	3099451392	  1.42	        173.44亿	上海	12.34	12.63	1308396	1145751	  1.14	13.00	0	  8.86	
300279	和晶科技	9.98	0.00	元器件	142906	6.39	--  	--  	53453	414	          1.71	0.00	6.39	6.39	-0.089㈢	--  	34156524	  0.28	         19.97亿	江苏	6.39	6.39	43221	10232	  4.22	6.39	0	  7.62	
300070	碧水源	9.97	0.10	环境保护	1543	9.61	--  	10.48	1258299	8844	          6.24	9.13	10.48	10.48	0.182㈢	    43.19	1291084160	  1.90	        211.22亿	北京	9.62	10.26	614239	644060	  0.95	10.47	12904	  7.60	
002238	天威视讯	9.95	0.00	影视音像	32011	8.21	--  	--  	143713	178	          2.33	2.49	8.40	8.40	0.244㈢	    25.81	120648176	  1.15	         51.86亿	深圳	8.40	8.40	132129	11584	 11.41	8.40	0	  7.58	
600031	三一重工	7.65	-0.08	工程机械	225	10.93	--  	11.55	2681238	19645	          3.45	8.02	11.79	11.54	0.630㈢	    13.83	3085041920	  2.42	        895.85亿	北京	11.00	11.51	1301433	1379805	  0.94	11.54	843	  6.53	
603588	高能环境	6.85	0.19	环境保护	974	9.71	--  	10.30	234348	2218	          3.58	7.99	10.48	10.30	0.365㈢	    21.14	238360976	  2.08	         67.40亿	北京	9.80	10.17	101586	132762	  0.77	10.29	6	  5.72	
002030	达安基因	6.75	0.00	生物制药	992	11.86	--  	12.50	357802	1950	          4.68	8.71	12.88	12.50	0.098㈢	    95.28	441462112	  1.61	         95.48亿	广东	11.86	12.34	165426	192376	  0.86	12.49	1455	  4.38	
600571	信雅达	6.70	-0.35	软件服务	320	10.13	--  	10.99	663519	5149	         15.39	11.65	11.33	10.99	0.021㈢	   390.30	717282304	  1.66	         47.38亿	浙江	10.35	10.81	340420	323098	  1.05	10.98	2194	  5.58	
600119	长江投资	6.59	0.53	仓储物流	369	7.17	--  	7.60	223740	4339	          7.28	6.45	7.63	7.60	-0.947㈢	--  	165866384	  1.66	         23.36亿	上海	7.24	7.41	96479	127260	  0.76	7.59	2390	  5.47	
300020	银江股份	6.58	0.72	软件服务	263	7.96	--  	8.42	353750	4387	          5.63	6.71	8.49	8.42	0.019㈢	   335.03	291571008	  1.46	         52.88亿	浙江	8.10	8.24	164225	189524	  0.87	8.41	1292	  4.22	
300687	赛意信息	5.96	1.12	软件服务	194	25.55	--  	26.16	88662	538	         14.16	6.45	27.14	26.14	0.480㈢	    41.54	234810192	  1.82	         16.37亿	广东	25.55	26.48	48362	40299	  1.20	26.14	149	  3.59	
000156	华数传媒	5.96	0.09	影视音像	391	10.55	--  	10.68	250282	2182	          1.95	4.47	11.00	10.67	0.337㈢	    23.76	268807840	  1.92	        136.61亿	浙江	10.70	10.74	134064	116218	  1.15	10.67	479	  3.59	
002548	金新农	5.74	0.22	饲料	95	8.54	--  	9.03	165819	837	          4.90	7.50	9.18	9.02	-0.140㈢	--  	147407008	  1.37	         30.53亿	深圳	8.66	8.89	84217	81601	  1.03	9.02	324	  3.38	
300126	锐奇股份	5.46	0.17	轻工机械	993	5.52	--  	5.80	239022	1634	         11.35	9.47	6.04	5.79	-0.074㈢	--  	138944816	  2.37	         12.20亿	上海	5.55	5.81	121594	117428	  1.04	5.79	2378	  3.10	
