代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600682	南京新百	10.00	0.00	百货	34529	11.59	--  	--  	163467	77	          1.63	9.22	12.65	12.65	-1.070㈢	--  	201758608	  0.88	        126.77亿	江苏	11.59	12.34	97511	65956	  1.48	12.65	0	  8.88	
300609	汇纳科技	6.70	0.12	互联网	26	41.32	--  	43.16	22193	81	          4.06	7.62	44.40	43.15	0.390㈢	    83.05	95942664	  1.11	         23.58亿	上海	41.40	43.23	10183	12010	  0.85	43.15	16	  4.34	
600415	小商品城	5.19	0.41	商品城	1883	4.65	--  	4.86	758765	7450	          1.39	6.28	4.94	4.86	0.250㈢	    14.60	366860000	  1.44	        264.54亿	浙江	4.65	4.83	405699	353065	  1.15	4.85	3004	  4.07	
002127	南极电商	4.66	0.36	互联网	118	10.44	--  	11.00	196870	959	          1.05	7.23	11.20	11.00	0.183㈢	    45.06	214978720	  1.15	        205.87亿	江苏	10.45	10.92	82866	114003	  0.73	10.99	219	  2.30	
000062	深圳华强	3.92	0.00	批发业	151	20.15	--  	20.96	98178	1717	          1.39	7.44	21.65	20.95	0.719㈢	    21.84	202649504	  1.59	        147.87亿	深圳	20.20	20.64	48903	49274	  0.99	20.95	49	  1.55	
002419	天虹股份	3.10	0.00	百货	171	12.32	--  	12.65	171326	943	          1.43	8.81	13.40	12.64	0.561㈢	    16.90	217080112	  1.73	        151.67亿	深圳	12.34	12.67	85776	85549	  1.00	12.64	446	  0.74	
600122	宏图高科	2.90	0.47	其他商业	2420	4.17	--  	4.27	643917	6513	          5.56	3.86	4.33	4.26	-0.310㈢	--  	274246208	  0.89	         49.34亿	江苏	4.17	4.26	313869	330048	  0.95	4.26	3340	  1.78	
300755	华致酒行	2.69	0.16	其他商业	67	29.98	--  	30.94	170112	1831	         29.39	7.14	32.13	30.93	0.992㈣	    31.19	527785984	  1.27	         17.90亿	云南	30.50	31.03	80706	89405	  0.90	30.93	79	  0.32	
002024	苏宁易购	2.68	0.32	电器连锁	823	12.35	--  	12.65	1110297	7863	          1.90	4.06	12.85	12.65	0.658㈢	    14.42	1403165056	  1.13	        739.61亿	江苏	12.40	12.64	572395	537901	  1.06	12.64	845	  0.31	
000759	中百集团	2.06	0.31	超市连锁	81	6.31	--  	6.45	81527	828	          1.20	3.64	6.54	6.45	0.687㈢	     7.04	52251780	  1.19	         43.90亿	湖北	6.31	6.41	35175	46352	  0.76	6.44	304	 -0.31	
603708	家家悦	1.83	0.04	超市连锁	26	23.01	--  	23.43	39786	167	          2.53	3.13	23.73	23.42	0.643㈢	    27.30	93550480	  1.24	         36.76亿	山东	23.20	23.51	23516	16270	  1.45	23.42	21	  0.70	
000882	华联股份	1.75	0.35	百货	4259	2.85	--  	2.90	823184	6311	          3.32	3.51	2.95	2.90	0.114㈢	    19.16	238320624	  1.08	         71.98亿	北京	2.95	2.90	449809	373374	  1.20	2.89	5001	 -0.61	
300078	思创医惠	1.62	-0.19	元器件	387	9.95	--  	10.07	304980	1835	          4.18	3.54	10.30	10.06	0.135㈢	    55.97	309067616	  1.28	         73.37亿	浙江	10.20	10.13	158688	146292	  1.08	10.06	623	 -0.75	
300441	鲍斯股份	1.59	0.52	机床制造	261	7.55	--  	7.69	80275	728	          3.24	3.31	7.80	7.68	0.204㈢	    28.28	61681052	  0.77	         19.04亿	浙江	7.56	7.68	38924	41351	  0.94	7.68	1277	 -0.78	
603101	汇嘉时代	1.58	0.30	百货	443	13.28	--  	13.51	64066	747	          8.90	3.84	13.79	13.50	0.400㈢	    25.32	86218256	  1.40	          9.72亿	新疆	13.31	13.46	30225	33840	  0.89	13.50	64	  0.46	
000564	供销大集	1.46	0.29	百货	4170	3.38	--  	3.48	1239300	7930	          6.56	7.87	3.65	3.48	0.128㈢	    20.43	432924736	  1.11	         65.73亿	陕西	3.45	3.49	636671	602629	  1.06	3.47	3405	 -0.91	
600838	上海九百	1.29	0.14	百货	307	7.01	--  	7.10	115316	1535	          2.88	3.86	7.28	7.09	0.179㈢	    29.77	82178704	  1.24	         28.42亿	上海	7.01	7.13	51989	63327	  0.82	7.09	804	  0.16	
600785	新华百货	1.12	0.39	百货	0	17.69	--  	18.08	12083	66	          0.54	3.97	18.40	18.07	0.609㈣	    29.69	21772934	  1.62	         40.77亿	宁夏	17.98	18.02	6744	5338	  1.26	18.07	38	 -0.00	
603877	太平鸟	1.12	0.37	服饰	686	18.79	--  	19.00	33806	389	          1.69	2.98	19.35	18.99	0.587㈢	    24.25	64641344	  1.37	         38.07亿	浙江	18.84	19.12	16598	17207	  0.96	18.99	30	 -0.00	
601366	利群股份	1.04	0.15	百货	593	6.78	--  	6.83	161303	1662	          3.40	2.37	6.94	6.83	0.345㈢	    14.83	110590320	  1.51	         32.44亿	山东	6.80	6.86	82184	79118	  1.04	6.82	1770	 -0.09	
600697	欧亚集团	0.97	0.14	百货	42	20.75	--  	20.89	12721	124	          0.82	1.55	21.07	20.88	1.250㈢	    12.53	26600230	  1.02	         32.40亿	吉林	20.75	20.91	5981	6739	  0.89	20.88	43	 -0.15	
002344	海宁皮城	0.96	0.00	商品城	424	5.20	--  	5.27	250509	1972	          1.97	3.84	5.40	5.26	0.232㈢	    17.03	132643176	  1.07	         66.84亿	浙江	5.21	5.29	129353	121155	  1.07	5.26	889	 -1.40	
601933	永辉超市	0.92	0.23	超市连锁	328	8.72	--  	8.81	704986	3833	          0.88	2.75	8.96	8.80	0.106㈢	    62.06	623198912	  1.18	        701.21亿	福建	8.74	8.84	368355	336630	  1.09	8.80	623	 -0.20	
000571	新大洲Ａ	0.90	0.00	综合类	703	3.29	--  	3.36	352900	6022	          4.38	3.01	3.39	3.35	-0.021㈢	--  	118048400	  0.87	         27.02亿	海南	3.32	3.35	186936	165964	  1.13	3.35	3111	 -1.46	
000785	武汉中商	0.78	0.09	百货	209	11.50	--  	11.70	370442	3838	         14.75	9.14	12.56	11.69	0.376㈢	    23.29	443890464	  1.15	         29.35亿	湖北	11.59	11.98	181249	189193	  0.96	11.69	519	 -1.59	
002277	友阿股份	0.76	0.00	百货	1434	3.92	--  	3.96	311726	4707	          2.20	3.31	4.05	3.96	0.153㈢	    19.45	124330856	  1.19	         56.10亿	湖南	3.95	3.99	170832	140893	  1.21	3.95	4338	 -1.60	
000861	海印股份	0.68	0.34	房产服务	207	2.93	--  	2.98	373989	4763	          1.89	3.39	3.03	2.97	0.060㈢	    37.16	111699416	  0.77	         58.67亿	广东	2.97	2.99	200271	173717	  1.15	2.97	2675	 -1.69	
600898	国美通讯	0.67	0.00	通信设备	365	8.90	--  	8.95	54374	956	          2.15	2.59	9.13	8.95	-0.406㈢	--  	49065744	  0.92	         22.60亿	山东	8.96	9.02	27244	27129	  1.00	8.94	66	 -0.45	
601086	国芳集团	0.66	0.17	百货	2109	6.02	--  	6.08	155759	1312	          9.38	2.65	6.18	6.07	0.159㈢	    28.68	94943736	  1.06	         10.08亿	甘肃	6.03	6.10	79863	75896	  1.05	6.07	798	 -0.46	
002264	新 华 都	0.63	0.47	超市连锁	1716	6.33	--  	6.41	240030	980	          3.99	3.45	6.55	6.41	0.022㈢	   214.75	154298624	  1.06	         38.57亿	福建	6.37	6.43	124478	115552	  1.08	6.40	2047	 -1.74	
600865	百大集团	0.58	0.00	百货	166	6.84	--  	6.91	65168	550	          1.73	2.92	7.04	6.90	0.264㈢	    19.60	45162804	  0.71	         25.96亿	浙江	6.87	6.93	36700	28468	  1.29	6.90	77	 -0.54	
600693	东百集团	0.53	0.18	百货	180	5.60	--  	5.65	95163	1296	          1.06	1.78	5.70	5.65	0.044㈢	    95.52	53701696	  1.01	         50.69亿	福建	5.62	5.64	52727	42436	  1.24	5.64	136	 -0.59	
002251	步 步 高	0.42	0.74	超市连锁	677	9.37	--  	9.53	226349	1321	          2.82	3.59	9.71	9.52	0.228㈢	    31.35	215682448	  1.57	         76.48亿	湖南	9.47	9.53	131820	94528	  1.39	9.52	273	 -1.94	
002561	徐家汇	0.34	0.22	百货	329	8.88	--  	8.94	51004	1300	          1.29	2.81	9.13	8.93	0.410㈢	    16.32	45859016	  1.22	         35.44亿	上海	8.92	8.99	27165	23838	  1.14	8.93	70	 -2.03	
600827	百联股份	0.31	0.31	超市连锁	27	9.73	--  	9.84	124890	702	          0.81	3.48	10.07	9.80	0.393㈢	    18.72	123711384	  1.55	        151.19亿	上海	9.73	9.91	65081	59808	  1.09	9.80	329	 -0.81	
002187	广百股份	0.22	0.00	百货	193	9.00	--  	9.07	49341	447	          1.44	2.65	9.24	9.06	0.447㈢	    15.21	44863316	  1.33	         31.02亿	广东	9.09	9.09	28607	20733	  1.38	9.06	119	 -2.14	
600729	重庆百货	0.19	0.39	百货	14	30.70	--  	30.91	73489	278	          1.81	3.73	31.85	30.91	1.891㈢	    12.26	229501984	  1.40	        125.63亿	重庆	30.87	31.23	38734	34755	  1.11	30.90	18	 -0.93	
000501	鄂武商Ａ	0.18	0.18	百货	157	10.95	--  	11.00	117153	440	          1.73	2.91	11.27	11.00	1.040㈢	     8.11	130352680	  1.56	         74.52亿	湖北	11.05	11.13	60783	56369	  1.08	10.99	6	 -2.18	
