代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
000430	张家界	-1.79	1.01	旅游景点	52	5.88	6.03	1.01	28599	1222	          0.86	4.89	6.18	6.03	0.135㈢	    33.43	17187894	  0.67	         20.00亿	湖南	6.13	6.01	16371	12228	  1.34	5.97	476	  0.02	          3.32	-0.11	         24.41亿	    937	--  	     31	        0.0009	20190213	19960829	          4.05	--  	--  	24.83	16.09	          0.08	34.88	2.51	5.86	10.02	4.37	8.53	0.06	0.00	3.66	2.29	0.72	0.03	0.70	0.54	0.55	3.04	1.22	-0.25	25108.00	         10432	6.29万	-22.46	-14.15	          1.52	20.05	6.67	6.14	          3.98	0.00	          2.11	          0.75	         64.81	   3.40㈢	         37.36	         19.62	         14.97	000430	--  	--  	--  	
000613	大东海A	-2.67	0.83	旅游服务	3020	7.00	7.29	0.83	121084	1559	          4.56	7.61	7.57	7.29	0.002㈣	  4063.52	88512520	  0.60	         19.37亿	海南	7.46	7.31	71114	49970	  1.42	7.28	1089	 -0.85	          2.66	-0.20	         26.54亿	   2208	--  	     55	        0.0021	20190311	19970128	          3.64	          0.88	--  	0.88	0.78	          0.00	11.80	0.18	0.36	0.22	0.09	0.54	0.00	0.00	0.30	0.12	0.01	0.00	0.01	0.01	0.01	-3.40	0.07	0.06	40600.00	          7137	5.20万	-77.15	5.77	         34.12	391.27	89.93	7.49	          0.21	0.00	          0.15	         -0.94	         88.20	   0.84㈣	         60.17	          2.77	          2.21	000613	20170829	9.99	-27.03	
600593	大连圣亚	2.67	0.65	旅游服务	12	33.28	34.28	0.65	21797	169	          1.69	5.63	35.16	34.28	0.840㈢	    36.26	74461752	  1.97	         44.15亿	辽宁	33.31	34.16	8568	13228	  0.65	34.20	35	  3.86	          1.29	0.89	         44.15亿	   1687	--  	     13	        0.0010	20190213	20020711	          1.29	--  	--  	16.84	5.30	          2.62	52.98	3.21	1.94	5.89	6.95	1.61	0.02	0.02	3.00	0.82	1.20	0.00	1.21	0.90	0.91	2.11	1.22	0.39	4808.00	         16677	57.17万	1.99	-1.90	          8.33	36.24	14.73	33.39	          4.11	0.00	          1.25	          1.64	         31.47	  17.24㈢	         72.58	         39.94	         30.47	600593	--  	--  	--  	
300178	腾邦国际	-0.86	0.58	旅游服务	1064	9.99	10.40	0.58	185172	3154	          3.16	7.73	10.80	10.39	0.477㈢	    16.35	191378400	  0.71	         60.83亿	深圳	10.44	10.34	100960	84211	  1.20	10.39	446	  0.96	          5.85	-0.09	         64.06亿	   2887	--  	     64	        0.0011	20190223	20110215	          6.17	--  	--  	93.27	29.44	          3.53	64.65	65.74	4.70	4.37	53.89	11.07	0.00	10.03	44.78	36.98	4.64	1.14	4.55	3.64	2.94	11.66	-12.77	-9.03	33061.00	         10715	11.13万	37.31	60.24	          2.12	-5.02	1.43	10.48	          4.90	4.90	          1.80	          1.89	         31.57	   9.98㈢	         17.40	         10.36	          6.56	300178	--  	--  	--  	
002159	三特索道	-3.23	0.53	旅游服务	285	20.61	21.08	0.53	17824	256	          1.29	4.42	21.57	21.00	1.146㈢	    13.75	37386064	  0.77	         29.10亿	湖北	21.45	20.98	10327	7496	  1.38	21.00	2	 -1.41	          1.39	-0.70	         29.12亿	   1163	--  	     15	        0.0011	20190213	20070817	          1.39	--  	--  	26.98	9.85	          0.28	62.45	7.02	10.37	0.31	11.86	4.59	1.62	0.00	5.04	2.21	2.16	1.27	2.16	1.64	1.59	3.24	2.32	3.65	6692.00	         13901	29.19万	1032.43	27.87	          2.96	12.55	5.78	21.70	          7.10	0.00	          3.31	          2.34	         36.51	  16.13㈢	         56.14	         42.90	         31.54	002159	--  	--  	--  	
002707	众信旅游	-5.14	0.42	旅游服务	143	6.95	7.20	0.42	133755	1519	          2.53	9.22	7.65	7.20	0.250㈢	    22.90	96477992	  0.80	         38.06亿	北京	7.65	7.21	80650	53104	  1.52	7.19	174	 -3.32	          5.29	-0.39	         63.75亿	   2483	--  	     54	        0.0010	20190115	20140123	          8.85	--  	--  	61.06	24.14	          1.66	57.74	39.93	0.74	0.58	29.02	4.03	0.03	6.97	93.90	84.07	3.13	0.28	3.16	2.45	2.09	10.30	-1.22	-4.18	33146.00	         13940	10.04万	15.03	1.80	          2.71	-52.14	0.68	7.59	          2.66	2.66	          0.45	          1.16	         39.53	   8.65㈢	         10.47	          3.34	          2.22	002707	--  	--  	--  	
600555	海航创新	-3.86	0.31	旅游服务	2146	3.17	3.24	0.31	244321	3390	          2.51	6.82	3.40	3.24	-0.003㈢	--  	79395544	  0.59	         31.54亿	海南	3.34	3.25	151338	92983	  1.63	3.23	1081	 -2.66	          9.74	-0.13	         42.23亿	   2180	--  	    112	        0.0012	20190213	20010328	         13.04	          3.30	--  	26.49	15.71	         -0.01	40.73	13.65	0.52	3.15	10.59	4.04	3.80	0.05	0.05	0.06	-0.06	1.00	-0.04	-0.04	-0.04	-2.84	-1.82	-3.79	84369.00	         11930	3.87万	97.88	-82.30	          2.69	-23.20	875.99	3.37	          1.21	0.00	          0.31	         -0.22	         59.29	  -0.24㈢	        -31.71	       -122.51	        -78.19	600555	20180427	5.81	-44.23	
603136	天目湖	-3.45	0.23	旅游景点	5	34.01	34.16	0.23	10991	144	          5.50	4.35	35.55	34.16	1.290㈣	    26.48	37987620	  0.51	          6.83亿	江苏	35.03	34.56	6688	4303	  1.55	34.14	15	 -2.25	          0.20	-1.22	         27.33亿	   1058	--  	     10	        0.0052	20190311	20170927	          0.80	--  	--  	11.27	8.26	          0.73	20.24	2.90	6.72	1.19	1.61	3.56	0.06	0.00	4.89	1.85	1.58	0.06	1.58	1.18	1.03	3.49	2.25	1.75	10400.00	          1923	6.57万	22.18	6.24	          3.31	12.13	5.58	35.38	         10.32	0.00	          4.45	          4.36	         73.25	  12.50㈣	         62.10	         32.35	         21.09	603136	--  	--  	--  	
002033	丽江旅游	-3.64	0.15	旅游景点	1879	6.54	6.63	0.15	81161	1036	          1.48	4.66	6.86	6.62	0.369㈢	    13.45	54187396	  0.74	         36.38亿	云南	6.81	6.68	51743	29418	  1.76	6.62	280	 -1.82	          5.49	-0.25	         36.38亿	   1696	--  	     48	        0.0009	20190213	20040825	          5.49	--  	--  	27.09	24.45	          1.18	5.38	13.43	7.76	0.86	1.40	5.58	0.17	0.09	5.60	1.54	2.57	0.03	2.57	2.14	2.03	11.61	2.11	-0.58	46035.00	          6565	4.35万	10.49	4.21	          1.49	17.27	6.50	6.87	          4.45	0.00	          1.02	          2.11	         90.26	   8.30㈢	         72.54	         45.91	         36.23	002033	--  	--  	--  	
000069	华侨城Ａ	-1.87	0.15	旅游景点	476	6.77	6.83	0.15	345268	1520	          0.49	3.74	7.03	6.82	0.620㈢	     8.24	237780208	  0.65	        477.23亿	深圳	6.93	6.89	204257	141011	  1.45	6.82	1086	 -0.06	         69.98	-0.13	        559.52亿	   3364	--  	    103	        0.0001	20190311	19970910	         82.04	--  	--  	2737.41	539.49	        162.45	74.36	2193.70	138.84	61.97	1147.01	56.75	1311.37	4.71	245.50	96.04	71.24	5.16	71.26	53.81	50.90	374.23	-206.89	111.31	103751.00	         35591	24.27万	7.60	26.75	          1.04	-2.70	2.28	6.95	          6.58	0.00	          0.69	          4.56	         19.71	   9.44㈢	         60.88	         29.02	         20.73	000069	--  	--  	--  	
603199	九华旅游	-2.12	0.10	旅游景点	11	20.66	20.79	0.10	7419	73	          0.67	3.82	21.47	20.77	0.725㈢	    21.48	15582248	  0.79	         22.99亿	安徽	21.06	21.00	4421	2997	  1.48	20.77	2	 -0.92	          1.11	-0.45	         22.99亿	    822	--  	      9	        0.0008	20190213	20150326	          1.11	--  	--  	12.60	10.88	          0.00	13.59	3.60	6.61	1.04	1.51	3.33	0.07	0.20	3.63	1.88	1.08	0.06	1.08	0.80	0.80	5.76	1.15	0.41	12342.00	          3428	7.12万	4.31	4.90	          2.11	19.93	6.33	21.22	          9.83	0.00	          3.01	          5.21	         86.41	   7.37㈢	         48.31	         29.79	         22.11	603199	--  	--  	--  	
600706	曲江文旅	-3.97	0.09	旅游服务	118	11.50	11.62	0.09	38704	372	          2.18	4.96	12.10	11.62	0.632㈢	    13.79	45309756	  0.98	         20.67亿	陕西	11.97	11.71	23584	15120	  1.56	11.61	55	 -2.77	          1.78	-0.48	         20.86亿	   1556	--  	     25	        0.0014	20190213	19960516	          1.80	--  	--  	21.09	10.62	          0.00	49.65	9.48	7.93	1.40	6.44	4.48	0.44	5.41	9.87	6.86	1.34	0.01	1.33	1.14	1.13	4.34	0.77	0.62	16223.00	          5167	6.00万	42.41	22.83	          1.96	27.03	2.11	12.10	          5.92	0.00	          2.50	          2.42	         50.34	  10.68㈢	         30.51	         13.60	         11.49	600706	--  	--  	--  	
