代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
601700	风范股份	10.02	0.00	电气设备	9064	8.15	--  	--  	1574180	11557	         13.89	12.77	9.22	9.22	0.035㈢	   195.94	1384298240	  1.34	        104.48亿	江苏	8.41	8.79	758828	815352	  0.93	9.22	0	  8.90	
300079	数码科技	10.00	0.00	通信设备	617405	4.62	--  	--  	109926	330	          0.91	0.00	4.62	4.62	0.059㈢	    59.04	50785928	  0.20	         55.86亿	北京	4.62	4.62	96424	13502	  7.14	4.62	0	  7.64	
002526	山东矿机	9.93	0.00	工程机械	39870	2.78	--  	--  	3670136	4575	         22.59	11.35	3.10	3.10	0.063㈢	    36.85	1102100224	  2.84	         50.37亿	山东	2.83	3.00	1531973	2138162	  0.72	3.10	0	  7.56	
002577	雷柏科技	6.61	0.39	电脑设备	334	12.02	--  	12.75	119735	3074	          4.26	7.19	12.88	12.75	0.065㈢	   147.26	147455760	  1.76	         35.86亿	深圳	12.02	12.32	51404	68330	  0.75	12.74	977	  4.24	
002224	三 力 士	5.66	0.28	橡胶	3169	6.88	--  	7.10	744112	3214	         15.77	7.45	7.38	7.09	0.140㈢	    37.71	530535456	  3.88	         33.45亿	浙江	6.90	7.13	315909	428203	  0.74	7.09	1207	  3.30	
002076	雪 莱 特	4.84	0.82	家用电器	1785	3.51	--  	3.69	421045	9719	          9.45	5.41	3.70	3.68	-0.071㈢	--  	151757472	  1.52	         16.39亿	广东	3.53	3.60	159926	261118	  0.61	3.68	4841	  2.48	
300213	佳讯飞鸿	2.95	0.00	通信设备	1576	7.53	--  	7.67	353994	2966	          9.18	5.10	7.91	7.67	0.113㈢	    50.77	272161280	  1.14	         29.59亿	北京	7.58	7.69	163487	190506	  0.86	7.66	510	  0.59	
300496	中科创达	2.93	-0.22	软件服务	46	34.11	--  	34.81	152275	1364	          6.38	5.03	35.81	34.81	0.260㈢	   102.16	531343136	  1.20	         83.14亿	北京	35.50	34.89	69590	82685	  0.84	34.80	982	  0.56	
002829	星网宇达	2.47	0.21	通信设备	132	19.01	--  	19.48	30496	328	          4.96	3.68	19.71	19.48	0.130㈢	   117.76	59262456	  1.43	         11.98亿	北京	19.01	19.43	13555	16940	  0.80	19.47	23	  0.11	
300034	钢研高纳	2.37	0.09	小金属	566	11.46	--  	11.68	130628	1036	          3.10	4.21	11.94	11.68	0.160㈢	    58.27	152844352	  1.28	         49.17亿	北京	11.47	11.70	61420	69208	  0.89	11.67	229	  0.00	
600677	航天通信	2.29	0.13	通信设备	2628	14.92	--  	15.19	534494	8327	         12.84	4.18	15.54	15.18	0.238㈢	    47.91	816101056	  0.89	         63.21亿	浙江	15.01	15.27	249194	285300	  0.87	15.18	577	  1.17	
300699	光威复材	2.23	0.21	化工原料	146	46.04	--  	47.20	57413	437	          2.50	3.62	47.71	47.19	0.840㈢	    42.19	270132576	  1.13	        108.43亿	山东	46.41	47.05	30930	26483	  1.17	47.19	57	 -0.13	
002170	芭田股份	2.17	0.71	农药化肥	1758	4.15	--  	4.23	405640	8742	          6.20	3.14	4.28	4.23	0.007㈢	   478.38	171374432	  0.80	         27.69亿	深圳	4.16	4.22	193990	211649	  0.92	4.22	29	 -0.19	
300367	东方网力	2.01	0.18	电脑设备	1325	11.06	--  	11.17	458900	2763	          7.67	4.47	11.55	11.17	0.225㈢	    37.29	516372096	  1.30	         66.87亿	北京	11.26	11.25	244538	214362	  1.14	11.16	344	 -0.36	
000532	华金资本	1.90	-0.16	元器件	696	11.80	--  	11.81	183264	1571	          5.34	3.36	12.19	11.81	0.060㈢	   148.27	219115664	  0.81	         40.57亿	广东	12.06	11.96	91158	92106	  0.99	11.80	227	 -0.47	
000697	炼石航空	1.85	0.00	航空	259	12.46	--  	12.70	91705	519	          2.02	4.17	12.98	12.69	-0.380㈢	--  	116689416	  1.34	         57.58亿	陕西	12.60	12.72	42340	49365	  0.86	12.69	767	 -0.52	
300045	华力创通	1.73	0.21	电脑设备	505	9.27	--  	9.41	132046	1389	          3.24	3.03	9.55	9.41	0.079㈢	    89.85	124221944	  1.15	         38.32亿	北京	9.28	9.41	67129	64916	  1.03	9.40	165	 -0.63	
600435	北方导航	1.72	0.64	专用机械	3629	9.25	--  	9.47	568731	7782	          3.82	4.19	9.64	9.46	0.003㈢	  2623.64	536396320	  1.05	        140.89亿	北京	9.32	9.43	292945	275785	  1.06	9.46	372	  0.60	
000687	华讯方舟	1.56	0.13	通信设备	23	7.68	--  	7.82	165542	685	          2.20	4.94	8.06	7.81	0.065㈢	    89.44	129917504	  1.42	         58.80亿	河北	7.75	7.85	81783	83758	  0.98	7.81	588	 -0.80	
002664	长鹰信质	1.56	0.44	汽车配件	1689	13.42	--  	13.72	133159	672	          3.80	4.22	13.99	13.71	0.497㈢	    20.68	182808384	  1.13	         47.98亿	浙江	13.55	13.73	69471	63687	  1.09	13.71	294	 -0.81	
300627	华测导航	1.52	0.00	通信设备	120	19.14	--  	19.36	42842	336	          4.16	2.83	19.68	19.35	0.280㈢	    54.57	83285384	  1.03	         19.95亿	上海	19.14	19.44	20928	21914	  0.96	19.35	14	 -0.84	
300719	安达维尔	1.48	0.69	航空	582	11.48	--  	11.69	76965	1470	          9.35	2.61	11.78	11.68	-0.076㈢	--  	89459880	  1.04	          9.62亿	北京	11.60	11.62	39060	37904	  1.03	11.68	36	 -0.89	
600846	同济科技	1.44	0.24	综合类	899	8.38	--  	8.47	310271	2734	          4.97	3.36	8.66	8.46	0.235㈢	    26.98	263508752	  0.88	         52.85亿	上海	8.40	8.49	152402	157868	  0.97	8.46	557	  0.32	
000066	中国长城	1.43	0.00	电脑设备	1672	7.00	--  	7.10	916800	5148	          3.68	5.01	7.35	7.09	0.071㈢	    75.06	655728640	  1.11	        176.59亿	深圳	7.12	7.15	448445	468354	  0.96	7.09	1613	 -0.93	
300493	润欣科技	1.40	0.46	通信设备	432	10.68	--  	10.85	100808	1255	          3.36	4.58	11.17	10.85	0.097㈢	    83.66	110334320	  0.81	         32.55亿	上海	10.70	10.94	51682	49126	  1.05	10.84	198	 -0.96	
002298	中电兴发	1.27	0.14	软件服务	87	7.12	--  	7.19	114818	879	          2.21	3.39	7.36	7.18	0.170㈢	    31.62	83069048	  1.16	         37.23亿	安徽	7.12	7.23	55793	59025	  0.95	7.18	146	 -1.10	
300342	天银机电	1.09	0.36	元器件	253	8.28	--  	8.37	109477	704	          2.75	2.42	8.48	8.36	0.229㈢	    27.42	91708304	  1.11	         33.28亿	江苏	8.30	8.38	56939	52537	  1.08	8.36	244	 -1.28	
600879	航天电子	1.06	0.30	航空	5721	6.62	--  	6.71	685643	5691	          2.84	2.71	6.80	6.70	0.126㈢	    39.89	460128288	  1.07	        161.69亿	湖北	6.68	6.71	351287	334355	  1.05	6.70	1617	 -0.07	
002013	中航机电	1.06	0.39	航空	3098	7.57	--  	7.66	530758	2672	          1.69	2.37	7.75	7.66	0.140㈢	    41.18	406952672	  1.18	        240.72亿	湖北	7.61	7.67	277789	252968	  1.10	7.65	1179	 -1.31	
600869	智慧能源	0.76	0.00	电气设备	1136	5.28	--  	5.32	225017	2019	          1.01	2.27	5.40	5.32	0.134㈢	    29.72	120244856	  0.90	        118.07亿	青海	5.30	5.34	111829	113188	  0.99	5.31	657	 -0.36	
