代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300270	中威电子	10.06	0.00	通信设备	25242	7.86	--  	--  	115587	494	          7.66	8.65	8.53	8.53	0.130㈢	    54.18	96207872	  1.63	         12.87亿	浙江	7.96	8.32	58175	57411	  1.01	8.53	0	  7.70	
002703	浙江世宝	9.96	1.02	汽车配件	14545	5.25	--  	--  	463908	1760	          8.39	13.10	5.96	5.96	-0.007㈢	--  	266459456	  2.28	         32.96亿	浙江	5.25	5.74	212111	251797	  0.84	5.96	0	  7.60	
002488	金固股份	9.96	0.00	汽车配件	104402	8.50	--  	--  	309618	63	          4.03	1.40	8.61	8.61	0.125㈢	    51.62	266358416	  1.13	         66.19亿	浙江	8.61	8.60	171676	137941	  1.24	8.61	0	  7.60	
601689	拓普集团	6.58	0.91	汽车配件	453	18.94	--  	19.91	170850	1433	          6.98	7.76	20.39	19.91	0.848㈢	    17.60	337271840	  1.56	         48.71亿	浙江	18.94	19.74	88855	81994	  1.08	19.90	156	  5.46	
300020	银江股份	6.58	0.72	软件服务	263	7.96	--  	8.42	353750	4387	          5.63	6.71	8.49	8.42	0.019㈢	   335.03	291571008	  1.46	         52.88亿	浙江	8.10	8.24	164225	189524	  0.87	8.41	1292	  4.22	
002373	千方科技	5.40	0.57	软件服务	324	15.30	--  	15.82	325384	3210	          3.88	5.66	16.15	15.82	0.360㈢	    35.96	513412480	  1.55	        132.78亿	北京	15.35	15.78	167858	157526	  1.07	15.81	265	  3.03	
002008	大族激光	4.97	0.65	电器仪表	7	40.23	--  	42.00	388593	1994	          3.91	5.92	42.60	42.00	1.550㈢	    20.29	1618060672	  1.38	        417.19亿	深圳	40.25	41.64	208377	180215	  1.16	41.99	1023	  2.61	
600718	东软集团	4.22	0.08	软件服务	301	12.17	--  	12.60	451298	1377	          3.63	6.53	12.96	12.60	0.100㈢	    94.27	569866368	  1.48	        156.54亿	辽宁	12.51	12.63	213783	237514	  0.90	12.59	952	  3.10	
300598	诚迈科技	4.12	0.29	软件服务	377	23.66	--  	24.51	46227	743	          9.56	3.61	24.51	24.51	0.123㈢	   149.90	111793960	  1.21	         11.85亿	江苏	23.70	24.18	22048	24178	  0.91	24.50	10	  1.76	
002920	德赛西威	3.89	0.00	汽车配件	84	25.25	--  	26.17	47446	261	          3.88	6.08	26.78	26.16	0.615㈢	    31.91	124283872	  0.97	         31.99亿	广东	25.25	26.19	21502	25943	  0.83	26.16	27	  1.53	
