代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300182	捷成股份	10.08	0.00	软件服务	98098	5.35	--  	--  	480529	5473	          2.68	0.00	5.35	5.35	0.308㈢	    13.03	257083136	  0.58	         96.04亿	北京	5.35	5.35	462348	18181	 25.43	5.35	0	  7.72	
000665	湖北广电	10.06	0.00	影视音像	65741	8.94	--  	--  	68222	50	          1.07	2.99	9.19	9.19	0.324㈢	    21.29	62549400	  0.90	         58.46亿	湖北	8.95	9.17	50761	17460	  2.91	9.19	0	  7.70	
300203	聚光科技	10.02	0.00	环境保护	568	26.37	--  	--  	318027	644	          7.04	9.18	28.77	28.77	0.928㈢	    23.26	898723328	  3.72	        129.94亿	浙江	26.50	28.26	158936	159090	  1.00	28.77	0	  7.65	
300070	碧水源	9.97	0.10	环境保护	1543	9.61	--  	10.48	1258299	8844	          6.24	9.13	10.48	10.48	0.182㈢	    43.19	1291084160	  1.90	        211.22亿	北京	9.62	10.26	614239	644060	  0.95	10.47	12904	  7.60	
600728	佳都科技	9.63	1.35	软件服务	5714	10.81	--  	11.27	1894057	17753	         11.81	4.86	11.31	11.27	0.070㈢	   121.49	2108389760	  2.24	        180.79亿	广东	11.31	11.13	1041367	852690	  1.22	11.26	1122	  8.51	
600100	同方股份	9.28	-0.08	电脑设备	1542	10.52	--  	11.20	613050	3001	          2.07	7.23	11.26	11.19	-0.193㈢	--  	679055552	  3.44	        331.66亿	北京	10.52	11.08	255934	357115	  0.72	11.19	1809	  8.16	
002512	达华智能	8.54	1.42	元器件	264	5.25	--  	5.73	761013	11084	          8.62	10.44	5.80	5.72	-0.368㈢	--  	423397440	  1.57	         50.52亿	福建	5.25	5.56	329153	431859	  0.76	5.72	785	  6.17	
300020	银江股份	6.58	0.72	软件服务	263	7.96	--  	8.42	353750	4387	          5.63	6.71	8.49	8.42	0.019㈢	   335.03	291571008	  1.46	         52.88亿	浙江	8.10	8.24	164225	189524	  0.87	8.41	1292	  4.22	
300212	易华录	6.05	0.15	软件服务	743	25.51	--  	26.63	182115	1009	          4.30	7.93	27.50	26.63	0.250㈢	    81.65	485816448	  1.23	        112.87亿	北京	25.59	26.68	86938	95176	  0.91	26.62	123	  3.69	
300074	华平股份	5.63	0.67	通信设备	1737	4.32	--  	4.50	383877	3513	          7.87	6.34	4.59	4.50	-0.008㈢	--  	170651088	  1.40	         21.96亿	上海	4.35	4.45	169403	214474	  0.79	4.49	1346	  3.27	
002373	千方科技	5.40	0.57	软件服务	324	15.30	--  	15.82	325384	3210	          3.88	5.66	16.15	15.82	0.360㈢	    35.96	513412480	  1.55	        132.78亿	北京	15.35	15.78	167858	157526	  1.07	15.81	265	  3.03	
002421	达实智能	5.29	0.46	软件服务	3000	4.14	--  	4.38	806016	11095	          4.75	8.41	4.49	4.38	0.082㈢	    40.10	348085504	  1.87	         74.28亿	深圳	4.18	4.32	354979	451036	  0.79	4.37	1965	  2.92	
002236	大华股份	5.23	0.12	电器仪表	1902	16.15	--  	16.49	1552241	10995	          8.46	6.89	17.23	16.49	0.540㈢	    23.71	2570447616	  1.75	        302.48亿	浙江	16.38	16.56	773961	778280	  0.99	16.48	239	  2.87	
300168	万达信息	5.20	-0.41	软件服务	2889	13.56	--  	14.17	600851	5414	          5.51	8.25	14.67	14.16	0.150㈢	    76.82	839646656	  1.50	        154.52亿	上海	13.62	13.97	289039	311812	  0.93	14.16	169	  2.84	
002178	延华智能	5.00	0.46	建筑施工	535	4.29	--  	4.41	649623	2569	          9.15	7.86	4.62	4.41	0.025㈢	   133.71	291145312	  2.97	         31.31亿	上海	4.29	4.48	349818	299804	  1.17	4.40	1190	  2.64	
600718	东软集团	4.22	0.08	软件服务	301	12.17	--  	12.60	451298	1377	          3.63	6.53	12.96	12.60	0.100㈢	    94.27	569866368	  1.48	        156.54亿	辽宁	12.51	12.63	213783	237514	  0.90	12.59	952	  3.10	
603189	网达软件	3.85	0.08	软件服务	159	12.28	--  	12.42	76677	728	          6.96	4.85	12.86	12.41	0.032㈢	   287.88	96140032	  1.71	         13.66亿	上海	12.77	12.54	38035	38641	  0.98	12.41	168	  2.73	
600602	云赛智联	3.84	0.00	软件服务	1534	6.36	--  	6.49	171602	859	          1.66	4.96	6.67	6.49	0.133㈢	    36.68	112390032	  1.58	         67.07亿	上海	6.36	6.55	89505	82096	  1.09	6.48	718	  2.72	
002368	太极股份	3.60	0.04	软件服务	19	27.40	--  	28.21	240588	1413	          6.01	5.80	28.98	28.20	0.167㈢	   126.32	680156224	  1.75	        112.93亿	北京	28.00	28.27	103413	137174	  0.75	28.20	215	  1.24	
300293	蓝英装备	3.41	0.89	专用机械	3437	8.63	--  	9.11	113823	3540	          4.22	7.16	9.26	9.10	0.049㈢	   139.16	101571776	  1.47	         24.57亿	辽宁	8.87	8.92	65276	48547	  1.34	9.10	170	  1.04	
002401	中远海科	3.32	0.18	软件服务	68	10.59	--  	10.88	138332	2158	          4.60	5.51	11.17	10.88	0.232㈢	    35.16	150751392	  1.69	         32.69亿	上海	10.63	10.90	66443	71888	  0.92	10.87	20	  0.96	
002410	广联达	3.11	0.44	软件服务	105	26.51	--  	27.20	190528	690	          2.15	6.71	28.28	27.20	0.260㈢	    78.51	521888384	  1.49	        241.10亿	北京	26.51	27.39	90030	100497	  0.90	27.19	82	  0.74	
300287	飞利信	3.00	-0.21	软件服务	3344	4.40	--  	4.48	850685	6665	          7.60	5.53	4.64	4.47	0.170㈢	    19.77	382388992	  1.39	         50.01亿	北京	4.41	4.50	401548	449137	  0.89	4.47	636	  0.63	
300167	迪威迅	2.96	0.54	通信设备	246	5.50	--  	5.58	197451	3553	          6.58	6.84	5.87	5.57	-0.101㈢	--  	111522296	  1.53	         16.72亿	深圳	5.60	5.65	97661	99790	  0.98	5.57	463	  0.59	
000555	神州信息	2.93	0.34	软件服务	1164	11.75	--  	11.96	388912	3686	          4.16	3.88	12.20	11.95	0.308㈢	    29.14	466352032	  1.14	        111.72亿	深圳	11.75	11.99	193337	195574	  0.99	11.95	926	  0.56	
300007	汉威科技	2.21	0.00	电器仪表	252	11.50	--  	11.58	187856	1398	          8.28	7.33	12.33	11.58	0.309㈢	    28.10	222564176	  1.35	         26.28亿	河南	11.85	11.85	98756	89099	  1.11	11.57	170	 -0.16	
300605	恒锋信息	2.03	0.06	软件服务	19	16.80	--  	17.09	26162	164	          5.40	3.94	17.46	17.09	0.273㈢	    46.91	44910776	  1.18	          8.27亿	福建	16.80	17.17	12195	13967	  0.87	17.08	83	 -0.33	
603869	新智认知	2.00	0.30	软件服务	279	19.41	--  	19.90	53382	395	          1.99	5.74	20.53	19.89	0.824㈢	    18.11	106685480	  1.14	         53.33亿	广西	19.56	19.99	28431	24950	  1.14	19.89	117	  0.88	
600797	浙大网新	1.99	0.33	软件服务	1307	9.13	--  	9.24	552178	3066	          5.44	4.75	9.56	9.23	0.150㈢	    46.11	514946496	  1.04	         93.71亿	浙江	9.16	9.33	264346	287832	  0.92	9.23	753	  0.87	
002609	捷顺科技	1.91	0.14	软件服务	1195	6.81	--  	6.93	128925	1300	          3.28	3.68	7.06	6.92	0.075㈢	    68.80	89309616	  1.16	         27.16亿	深圳	6.90	6.93	66566	62359	  1.07	6.92	1707	 -0.45	
300075	数字政通	1.79	0.34	软件服务	745	11.76	--  	11.92	164011	1672	          5.45	4.27	12.26	11.91	0.210㈢	    42.40	196431792	  1.21	         35.85亿	北京	11.82	11.98	80216	83794	  0.96	11.91	97	 -0.57	
002288	超华科技	1.75	0.17	元器件	2915	5.72	--  	5.82	777808	7087	          9.72	5.25	6.02	5.81	0.044㈢	    99.76	457803936	  0.80	         46.50亿	广东	5.74	5.89	384539	393269	  0.98	5.81	1189	 -0.61	
002253	川大智胜	1.57	0.36	软件服务	61	16.68	--  	16.87	101903	1025	          4.93	4.28	17.39	16.86	0.139㈢	    91.16	172915344	  1.02	         34.86亿	四川	16.80	16.97	51416	50487	  1.02	16.86	107	 -0.80	
000413	东旭光电	1.40	0.17	元器件	11896	5.71	--  	5.80	2587803	43325	          5.32	4.55	5.97	5.80	0.230㈢	    18.95	1507967232	  1.04	        282.12亿	河北	5.77	5.83	1333941	1253862	  1.06	5.79	2017	 -0.97	
