代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300270	中威电子	10.06	0.00	通信设备	25242	7.86	--  	--  	115587	494	          7.66	8.65	8.53	8.53	0.130㈢	    54.18	96207872	  1.63	         12.87亿	浙江	7.96	8.32	58175	57411	  1.01	8.53	0	  7.70	
600100	同方股份	9.28	-0.08	电脑设备	1542	10.52	--  	11.20	613050	3001	          2.07	7.23	11.26	11.19	-0.193㈢	--  	679055552	  3.44	        331.66亿	北京	10.52	11.08	255934	357115	  0.72	11.19	1809	  8.16	
002512	达华智能	8.54	1.42	元器件	264	5.25	--  	5.73	761013	11084	          8.62	10.44	5.80	5.72	-0.368㈢	--  	423397440	  1.57	         50.52亿	福建	5.25	5.56	329153	431859	  0.76	5.72	785	  6.17	
300020	银江股份	6.58	0.72	软件服务	263	7.96	--  	8.42	353750	4387	          5.63	6.71	8.49	8.42	0.019㈢	   335.03	291571008	  1.46	         52.88亿	浙江	8.10	8.24	164225	189524	  0.87	8.41	1292	  4.22	
300212	易华录	6.05	0.15	软件服务	743	25.51	--  	26.63	182115	1009	          4.30	7.93	27.50	26.63	0.250㈢	    81.65	485816448	  1.23	        112.87亿	北京	25.59	26.68	86938	95176	  0.91	26.62	123	  3.69	
002373	千方科技	5.40	0.57	软件服务	324	15.30	--  	15.82	325384	3210	          3.88	5.66	16.15	15.82	0.360㈢	    35.96	513412480	  1.55	        132.78亿	北京	15.35	15.78	167858	157526	  1.07	15.81	265	  3.03	
002236	大华股份	5.23	0.12	电器仪表	1902	16.15	--  	16.49	1552241	10995	          8.46	6.89	17.23	16.49	0.540㈢	    23.71	2570447616	  1.75	        302.48亿	浙江	16.38	16.56	773961	778280	  0.99	16.48	239	  2.87	
300168	万达信息	5.20	-0.41	软件服务	2889	13.56	--  	14.17	600851	5414	          5.51	8.25	14.67	14.16	0.150㈢	    76.82	839646656	  1.50	        154.52亿	上海	13.62	13.97	289039	311812	  0.93	14.16	169	  2.84	
002869	金溢科技	4.42	0.43	通信设备	8	18.17	--  	18.89	49119	669	         10.81	8.57	19.72	18.89	-0.021㈢	--  	92816392	  2.09	          8.59亿	深圳	18.25	18.90	22514	26604	  0.85	18.85	33	  2.06	
600718	东软集团	4.22	0.08	软件服务	301	12.17	--  	12.60	451298	1377	          3.63	6.53	12.96	12.60	0.100㈢	    94.27	569866368	  1.48	        156.54亿	辽宁	12.51	12.63	213783	237514	  0.90	12.59	952	  3.10	
600845	宝信软件	4.03	0.03	软件服务	23	29.50	--  	30.17	108154	882	          1.69	5.17	31.00	30.17	0.630㈢	    38.29	327332320	  1.38	        193.34亿	上海	29.50	30.27	36692	71462	  0.51	30.16	92	  2.91	
300462	华铭智能	3.76	0.23	专用机械	273	16.58	--  	17.09	97278	862	         12.57	5.71	17.52	17.09	0.300㈢	    41.63	165909968	  1.48	         13.22亿	上海	16.58	17.06	45236	52041	  0.87	17.08	63	  1.40	
300024	机器人	3.35	0.17	专用机械	1010	17.00	--  	17.27	471214	3640	          3.11	4.49	17.75	17.27	0.211㈢	    61.38	820223168	  1.32	        261.40亿	辽宁	17.25	17.41	245281	225932	  1.09	17.26	2681	  0.99	
002401	中远海科	3.32	0.18	软件服务	68	10.59	--  	10.88	138332	2158	          4.60	5.51	11.17	10.88	0.232㈢	    35.16	150751392	  1.69	         32.69亿	上海	10.63	10.90	66443	71888	  0.92	10.87	20	  0.96	
300287	飞利信	3.00	-0.21	软件服务	3344	4.40	--  	4.48	850685	6665	          7.60	5.53	4.64	4.47	0.170㈢	    19.77	382388992	  1.39	         50.01亿	北京	4.41	4.50	401548	449137	  0.89	4.47	636	  0.63	
300007	汉威科技	2.21	0.00	电器仪表	252	11.50	--  	11.58	187856	1398	          8.28	7.33	12.33	11.58	0.309㈢	    28.10	222564176	  1.35	         26.28亿	河南	11.85	11.85	98756	89099	  1.11	11.57	170	 -0.16	
300552	万集科技	2.08	0.57	软件服务	3	17.49	--  	17.70	17332	206	          4.20	4.38	18.25	17.70	-0.149㈢	--  	30993288	  1.22	          7.30亿	北京	17.49	17.88	8555	8777	  0.97	17.68	581	 -0.29	
