代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600962	国投中鲁	9.97	0.00	软饮料	8018	9.31	--  	--  	223228	990	          8.79	12.28	10.48	10.48	0.025㈢	   313.50	225935824	  2.92	         26.62亿	北京	9.45	10.12	138339	84889	  1.63	10.48	0	  8.85	
000503	国新健康	6.97	-0.04	医疗保健	333	20.09	--  	21.32	415544	3091	          4.62	9.08	21.90	21.32	-0.126㈢	--  	878107008	  1.48	        191.63亿	海南	20.39	21.13	197691	217852	  0.91	21.31	465	  4.61	
300020	银江股份	6.58	0.72	软件服务	263	7.96	--  	8.42	353750	4387	          5.63	6.71	8.49	8.42	0.019㈢	   335.03	291571008	  1.46	         52.88亿	浙江	8.10	8.24	164225	189524	  0.87	8.41	1292	  4.22	
000150	宜华健康	5.84	0.08	医疗保健	681	12.21	--  	13.04	482512	3842	          8.38	10.47	13.50	13.04	0.328㈢	    29.80	614141376	  1.43	         75.07亿	广东	12.50	12.73	248514	233997	  1.06	13.03	685	  3.48	
300074	华平股份	5.63	0.67	通信设备	1737	4.32	--  	4.50	383877	3513	          7.87	6.34	4.59	4.50	-0.008㈢	--  	170651088	  1.40	         21.96亿	上海	4.35	4.45	169403	214474	  0.79	4.49	1346	  3.27	
002421	达实智能	5.29	0.46	软件服务	3000	4.14	--  	4.38	806016	11095	          4.75	8.41	4.49	4.38	0.082㈢	    40.10	348085504	  1.87	         74.28亿	深圳	4.18	4.32	354979	451036	  0.79	4.37	1965	  2.92	
300168	万达信息	5.20	-0.41	软件服务	2889	13.56	--  	14.17	600851	5414	          5.51	8.25	14.67	14.16	0.150㈢	    76.82	839646656	  1.50	        154.52亿	上海	13.62	13.97	289039	311812	  0.93	14.16	169	  2.84	
002178	延华智能	5.00	0.46	建筑施工	535	4.29	--  	4.41	649623	2569	          9.15	7.86	4.62	4.41	0.025㈢	   133.71	291145312	  2.97	         31.31亿	上海	4.29	4.48	349818	299804	  1.17	4.40	1190	  2.64	
300310	宜通世纪	4.95	0.16	通信设备	689	6.00	--  	6.36	952505	11806	         15.16	9.08	6.55	6.36	-0.645㈢	--  	595671232	  1.20	         39.96亿	广东	6.17	6.25	448972	503533	  0.89	6.35	745	  2.59	
300451	创业慧康	4.49	0.47	软件服务	208	20.28	--  	21.19	224759	3257	          6.48	6.41	21.58	21.19	0.230㈢	    68.99	470591648	  1.50	         73.46亿	浙江	20.48	20.94	107000	117759	  0.91	21.18	80	  2.12	
600718	东软集团	4.22	0.08	软件服务	301	12.17	--  	12.60	451298	1377	          3.63	6.53	12.96	12.60	0.100㈢	    94.27	569866368	  1.48	        156.54亿	辽宁	12.51	12.63	213783	237514	  0.90	12.59	952	  3.10	
300479	神思电子	3.86	0.52	软件服务	46	17.25	--  	17.50	139301	1487	          8.71	5.88	18.24	17.50	0.039㈢	   339.99	246892224	  0.97	         28.00亿	山东	17.54	17.72	63393	75907	  0.84	17.49	37	  1.49	
300199	翰宇药业	3.72	0.00	化学制药	822	9.68	--  	10.05	323014	2085	          5.84	8.47	10.50	10.04	0.316㈢	    23.81	324777376	  1.25	         55.54亿	深圳	9.70	10.05	148293	174720	  0.85	10.04	473	  1.35	
002690	美亚光电	3.70	0.60	专用机械	181	24.37	--  	24.95	113635	607	          3.47	5.61	25.72	24.95	0.473㈢	    39.54	283333792	  1.58	         81.69亿	安徽	24.37	24.93	54747	58887	  0.93	24.94	245	  1.33	
300253	卫宁健康	3.58	-0.21	软件服务	3166	12.84	--  	13.33	693962	4252	          5.28	7.62	13.82	13.32	0.119㈢	    84.16	920619456	  1.21	        175.18亿	上海	13.09	13.27	316986	376976	  0.84	13.32	935	  1.21	
300096	易联众	3.12	0.52	软件服务	453	11.31	--  	11.57	183841	1602	          4.88	7.04	12.10	11.57	-0.040㈢	--  	214131200	  0.81	         43.56亿	福建	11.34	11.65	88737	95104	  0.93	11.56	70	  0.75	
600572	康恩贝	3.11	0.00	中成药	8140	7.90	--  	8.28	2202279	20452	          8.28	7.72	8.52	8.28	0.287㈢	    21.61	1793939584	  1.09	        220.30亿	浙江	8.19	8.15	1084690	1117588	  0.97	8.27	2847	  1.99	
002262	恩华药业	2.32	0.26	化学制药	110	11.22	--  	11.49	397621	2636	          4.50	5.61	11.85	11.48	0.515㈣	    22.31	459951840	  1.17	        101.50亿	江苏	11.22	11.57	197262	200359	  0.98	11.48	185	 -0.05	
300049	福瑞股份	2.25	0.38	中成药	36	10.22	--  	10.46	83019	908	          3.64	3.23	10.55	10.45	0.223㈢	    35.20	86465936	  1.36	         23.82亿	内蒙	10.34	10.42	36515	46504	  0.79	10.45	241	 -0.11	
300216	千山药机	2.18	-0.20	医疗保健	2853	4.44	--  	4.70	717584	4695	         25.48	10.46	4.92	4.69	-1.117㈢	--  	332579104	  1.33	         13.21亿	湖南	4.44	4.63	345434	372149	  0.93	4.69	2904	 -0.19	
603990	麦迪科技	2.15	0.68	软件服务	4	41.88	--  	42.79	9968	115	          1.65	4.35	43.70	42.78	0.142㈢	   226.44	42868720	  1.22	         25.78亿	江苏	41.88	43.01	6279	3689	  1.70	42.78	26	  1.03	
002065	东华软件	2.10	0.12	软件服务	1272	8.14	--  	8.29	776443	2755	          2.77	5.30	8.57	8.28	0.210㈢	    29.57	648559424	  1.52	        232.48亿	北京	8.21	8.35	330340	446102	  0.74	8.28	2721	 -0.27	
300273	和佳股份	1.94	0.17	医疗保健	154	5.69	--  	5.77	352436	4108	          6.27	3.89	5.91	5.77	0.110㈢	    39.56	204220368	  1.07	         32.44亿	广东	5.74	5.79	166936	185500	  0.90	5.76	3370	 -0.42	
600055	万东医疗	1.87	0.46	医疗保健	100	12.70	--  	13.10	135242	1009	          2.50	5.68	13.43	13.10	0.163㈢	    60.11	177348976	  1.39	         70.85亿	北京	12.99	13.11	70846	64395	  1.10	13.09	418	  0.74	
002698	博实股份	1.86	0.35	化工机械	383	11.25	--  	11.50	60111	808	          1.10	3.55	11.65	11.49	0.192㈢	    44.81	69047976	  1.43	         62.56亿	黑龙江	11.32	11.49	24730	35380	  0.70	11.49	200	 -0.50	
300075	数字政通	1.79	0.34	软件服务	745	11.76	--  	11.92	164011	1672	          5.45	4.27	12.26	11.91	0.210㈢	    42.40	196431792	  1.21	         35.85亿	北京	11.82	11.98	80216	83794	  0.96	11.91	97	 -0.57	
002777	久远银海	1.69	-0.19	软件服务	42	28.98	--  	29.47	22112	114	          1.51	4.76	30.36	29.46	0.360㈢	    64.13	65449172	  1.04	         43.05亿	四川	29.35	29.60	9823	12289	  0.80	29.46	12	 -0.67	
300078	思创医惠	1.62	-0.19	元器件	387	9.95	--  	10.07	304980	1835	          4.18	3.54	10.30	10.06	0.135㈢	    55.97	309067616	  1.28	         73.37亿	浙江	10.20	10.13	158688	146292	  1.08	10.06	623	 -0.75	
300288	朗玛信息	1.46	0.00	软件服务	429	15.03	--  	15.26	128735	1047	          6.35	3.99	15.63	15.25	0.230㈢	    49.72	197562544	  1.03	         30.94亿	贵州	15.15	15.35	65130	63605	  1.02	15.25	167	 -0.90	
002315	焦点科技	1.21	0.07	互联网	341	14.88	--  	15.09	66306	770	          5.48	4.97	15.62	15.08	0.240㈣	    62.94	100660608	  1.16	         18.24亿	江苏	14.88	15.18	34992	31314	  1.12	15.08	83	 -1.16	
002223	鱼跃医疗	1.19	0.00	医疗保健	450	23.52	--  	23.79	121639	471	          1.42	4.21	24.51	23.78	0.627㈢	    28.47	293024384	  0.85	        203.34亿	江苏	23.52	24.09	53321	68318	  0.78	23.78	40	 -1.17	
